"Key","MainFile","MainLine","TranslationFile","TranslationLine","English","Russian","BuiltinRussian"
"artifact_valyrian_book","localization/english/artifacts/targ_artifacts_l_english.yml","45","localization/russian/targ_artifacts_l_russian.yml","46","Valyrian Book","Валирийская книга","Валирийская книга"
"artifact_vs_axe_description","localization/english/artifacts/targ_artifacts_l_english.yml","15","localization/russian/targ_artifacts_l_russian.yml","16","This axe was discovered during a voyage to Old Valyria. It is one of the few remaining Valyrian Steel weapons, which draws respect and intrigue, as well as enormous jealousy from those who lay their eyes upon it.","Этот топор был найден во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на него с почтительным трепетом — и немалой завистью.","Этот топор был обнаружен во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и интригу, а также огромную зависть у тех, кто положил на него глаз."
"artifact_vs_axe_name","localization/english/artifacts/targ_artifacts_l_english.yml","14","localization/russian/targ_artifacts_l_russian.yml","15","Valyrian Steel Axe","Топор из валирийской стали","Топор из валирийской стали"
"artifact_vs_dagger_1_description","localization/english/artifacts/targ_artifacts_l_english.yml","24","localization/russian/targ_artifacts_l_russian.yml","25","This dagger was discovered during a voyage to Old Valyria. It is one of the few remaining Valyrian Steel weapons, which draws respect and intrigue, as well as enormous jealousy from those who lay their eyes upon it.","Этот кинжал был найден во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на него с почтительным трепетом — и немалой завистью.","Этот кинжал был обнаружен во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и интригу, а также огромную зависть у тех, кто положил на него глаз."
"artifact_vs_dagger_1_name","localization/english/artifacts/targ_artifacts_l_english.yml","23","localization/russian/targ_artifacts_l_russian.yml","24","Valyrian Steel Dagger","Кинжал из валирийской стали","Кинжал из валирийской стали"
"artifact_vs_goblet","localization/english/artifacts/targ_artifacts_l_english.yml","49","localization/russian/targ_artifacts_l_russian.yml","50","Valyrian Steel Goblet","Кубок из валирийской стали","Кубок из валирийской стали"
"artifact_vs_goblet_description","localization/english/artifacts/targ_artifacts_l_english.yml","50","localization/russian/targ_artifacts_l_russian.yml","51","A Valyrian steel cup, forged in the fires of ancient Valyria, gleams with an otherworldly sheen. The cup's surface is etched with intricate patterns resembling dragon scales, and it feels both light and indestructible in hand. Its edges are smooth yet sharp, a testament to the legendary craftsmanship that created it.\n\nThere is enough Valyrian Steel within the cup that it could be smelted down and reforged...with the right smith.","Кубок из валирийской стали, выкованный в огнях Старой Валирии, мерцает неземным блеском. Его поверхность покрыта сложным узором, напоминающим драконью чешую, а в руке он кажется одновременно лёгким и несокрушимым. Кромка кубка гладка, но опасно остра — свидетельство легендарного мастерства его создателей.\n\nВ этом кубке достаточно валирийской стали, чтобы перековать его в другой предмет... если найти подходящего кузнеца.","Кубок из валирийской стали, выкованный в огне древней Валирии, сверкает потусторонним блеском. Поверхность кубка испещрена замысловатыми узорами, напоминающими чешую дракона, и в руке он кажется одновременно легким и нерушимым. Его края гладкие и в то же время острые, что свидетельствует о легендарном мастерстве, с которым он был создан.\n\nВ чаше достаточно валирийской стали, чтобы ее можно было переплавить и восстановить... при наличии подходящего кузнеца."
"artifact_vs_goblet_name","localization/english/artifacts/targ_artifacts_l_english.yml","48","localization/russian/targ_artifacts_l_russian.yml","49","Valyrian Steel Goblet","Кубок из валирийской стали","Кубок из валирийской стали"
"artifact_vs_halberd_description","localization/english/artifacts/targ_artifacts_l_english.yml","28","localization/russian/targ_artifacts_l_russian.yml","29","This Halberd was discovered during a voyage to Old Valyria. It is one of the few remaining Valyrian Steel weapons, which draws respect and intrigue, as well as enormous jealousy from those who lay their eyes upon it.\n\nThe Halberd pole is made of a black colored wood, and the weapon is made of Valyrian Steel, which still retains the sharp edge from the day it was crafted long ago","Эта алебарда была найдена во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на неё с почтительным трепетом — и немалой завистью.\n\nДревко алебарды сделано из чёрного дерева, а лезвие — из валирийской стали, сохранившей остроту с тех давних времён, когда это оружие было выковано.","Эта алебарда была обнаружена во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и зависть у тех, кто на него смотрит.\n\nДревко алебарды сделано из дерева черного цвета, а оружие - из валирийской стали, которая все еще сохраняет остроту с того дня, когда была изготовлена давным-давно."
"artifact_vs_halberd_name","localization/english/artifacts/targ_artifacts_l_english.yml","27","localization/russian/targ_artifacts_l_russian.yml","28","Valyrian Steel Halberd","Алебарда из валирийской стали","Алебарда из валирийской стали"
"artifact_vs_mace_description","localization/english/artifacts/targ_artifacts_l_english.yml","18","localization/russian/targ_artifacts_l_russian.yml","19","This mace was discovered during a voyage to Old Valyria. It is one of the few remaining Valyrian Steel weapons, which draws respect and intrigue, as well as enormous jealousy from those who lay their eyes upon it.","Эта булава была найдена во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на неё с почтительным трепетом — и немалой завистью.","Эта булава была обнаружена во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и интригу, а также огромную зависть у тех, кто положил на него глаз."
"artifact_vs_mace_name","localization/english/artifacts/targ_artifacts_l_english.yml","17","localization/russian/targ_artifacts_l_russian.yml","18","Valyrian Steel Mace","Булава из валирийской стали","Булава из валирийской стали"
"artifact_vs_spear_1_description","localization/english/artifacts/targ_artifacts_l_english.yml","21","localization/russian/targ_artifacts_l_russian.yml","22","This spear was discovered during a voyage to Old Valyria. It is one of the few remaining Valyrian Steel weapons, which draws respect and intrigue, as well as enormous jealousy from those who lay their eyes upon it.\n\nThe spear handle is made of a black colored wood, and the spearhead is made of Valyrian Steel, which still retains the sharp edge from the day it was crafted long ago","Это копьё было найдено во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на него с почтительным трепетом — и немалой завистью.\n\nДревко копья сделано из чёрного дерева, а наконечник — из валирийской стали, сохранившей остроту с тех давних времён, когда это оружие было выковано.","Это копье было найдено во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и интригу, а также огромную зависть у тех, кто положит на него глаз.\n\n\n Рукоятка копья сделана из дерева черного цвета, а наконечник - из валирийской стали, которая все еще сохраняет остроту с того дня, когда была изготовлена давным-давно."
"artifact_vs_spear_1_name","localization/english/artifacts/targ_artifacts_l_english.yml","20","localization/russian/targ_artifacts_l_russian.yml","21","Valyrian Steel Spear","Копьё из валирийской стали","Копьё из валирийской стали"
"artifact_vs_sword_1_description","localization/english/artifacts/targ_artifacts_l_english.yml","3","localization/russian/targ_artifacts_l_russian.yml","4","This sword was discovered during a voyage to Old Valyria, the ancient land that was once ruled by the Valyrians. The sword found in Old Valyria is a rare artifact, a testament to the skill and craftsmanship of a long-gone era. It is one of the few remaining relics of a time when magic and technology were intertwined, and the knowledge of its creation has been lost to the ages. It was either a stroke of luck or fate that has brought a piece of ancient Valyrian history into the present day.","Этот меч был найден во время плавания в Старую Валирию — землю Четырнадцати Огней, где некогда правили драконьи владыки. Сам клинок — редкий артефакт и подлинное свидетельство мастерства, исчезнувшего вместе с Валирийским фригольдом. В нём ещё чувствуется эпоха, когда магия и ремесло сплетались воедино, хотя тайна ковки таких клинков давно утрачена. Случайность ли это или воля судьбы, но в мир вернулась частица Валирии, пережившая Рок.","Этот меч был обнаружен во время путешествия в Старую Валирию, древнюю землю, которой когда-то правили валирийцы. Меч, найденный в Старой Валирии, - редкий артефакт, свидетельство мастерства и искусности давно ушедшей эпохи. Это одна из немногих оставшихся реликвий того времени, когда магия и технология были взаимосвязаны, а знания о его создании были утеряны в веках. Это был либо удар удачи, либо судьба, благодаря которой частица древней валирийской истории дошла до наших дней."
"artifact_vs_sword_1_name","localization/english/artifacts/targ_artifacts_l_english.yml","2","localization/russian/targ_artifacts_l_russian.yml","3","Valyrian Steel Sword","Меч из валирийской стали","Меч из валирийской стали"
"artifact_vs_sword_2_description","localization/english/artifacts/targ_artifacts_l_english.yml","6","localization/russian/targ_artifacts_l_russian.yml","7","This sword was discovered during a voyage to Old Valyria, the ancient land that was once ruled by the Valyrians. The sword found in Old Valyria is a rare artifact, a testament to the skill and craftsmanship of a long-gone era. It is one of the few remaining relics of a time when magic and technology were intertwined, and the knowledge of its creation has been lost to the ages. It was either a stroke of luck or fate that has brought a piece of ancient Valyrian history into the present day.","Этот меч был найден во время плавания в Старую Валирию — землю Четырнадцати Огней, где некогда правили драконьи владыки. Сам клинок — редкий артефакт и подлинное свидетельство мастерства, исчезнувшего вместе с Валирийским фригольдом. В нём ещё чувствуется эпоха, когда магия и ремесло сплетались воедино, хотя тайна ковки таких клинков давно утрачена. Случайность ли это или воля судьбы, но в мир вернулась частица Валирии, пережившая Рок.","Этот меч был обнаружен во время путешествия в Старую Валирию, древнюю землю, которой когда-то правили валирийцы. Меч, найденный в Старой Валирии, - редкий артефакт, свидетельство мастерства и искусности давно ушедшей эпохи. Это одна из немногих оставшихся реликвий того времени, когда магия и технология были взаимосвязаны, а знания о его создании были утеряны в веках. Это был либо удар удачи, либо судьба, благодаря которой частица древней валирийской истории дошла до наших дней."
"artifact_vs_sword_2_name","localization/english/artifacts/targ_artifacts_l_english.yml","5","localization/russian/targ_artifacts_l_russian.yml","6","Valyrian Steel Sword","Меч из валирийской стали","Меч из валирийской стали"
"artifact_vs_sword_3_description","localization/english/artifacts/targ_artifacts_l_english.yml","9","localization/russian/targ_artifacts_l_russian.yml","10","This sword was discovered during a voyage to Old Valyria, the ancient land that was once ruled by the Valyrians. The sword found in Old Valyria is a rare artifact, a testament to the skill and craftsmanship of a long-gone era. It is one of the few remaining relics of a time when magic and technology were intertwined, and the knowledge of its creation has been lost to the ages. It was either a stroke of luck or fate that has brought a piece of ancient Valyrian history into the present day.","Этот меч был найден во время плавания в Старую Валирию — землю Четырнадцати Огней, где некогда правили драконьи владыки. Сам клинок — редкий артефакт и подлинное свидетельство мастерства, исчезнувшего вместе с Валирийским фригольдом. В нём ещё чувствуется эпоха, когда магия и ремесло сплетались воедино, хотя тайна ковки таких клинков давно утрачена. Случайность ли это или воля судьбы, но в мир вернулась частица Валирии, пережившая Рок.","Этот меч был обнаружен во время путешествия в Старую Валирию, древнюю землю, которой когда-то правили валирийцы. Меч, найденный в Старой Валирии, - редкий артефакт, свидетельство мастерства и искусности давно ушедшей эпохи. Это одна из немногих оставшихся реликвий того времени, когда магия и технология были взаимосвязаны, а знания о его создании были утеряны в веках. Это был либо удар удачи, либо судьба, благодаря которой частица древней валирийской истории дошла до наших дней."
"artifact_vs_sword_3_name","localization/english/artifacts/targ_artifacts_l_english.yml","8","localization/russian/targ_artifacts_l_russian.yml","9","Valyrian Steel Sword","Меч из валирийской стали","Меч из валирийской стали"
"artifact_vs_sword_4_description","localization/english/artifacts/targ_artifacts_l_english.yml","12","localization/russian/targ_artifacts_l_russian.yml","13","This sword was discovered during a voyage to Old Valyria, the ancient land that was once ruled by the Valyrians. The sword found in Old Valyria is a rare artifact, a testament to the skill and craftsmanship of a long-gone era. It is one of the few remaining relics of a time when magic and technology were intertwined, and the knowledge of its creation has been lost to the ages. It was either a stroke of luck or fate that has brought a piece of ancient Valyrian history into the present day.","Этот меч был найден во время плавания в Старую Валирию — землю Четырнадцати Огней, где некогда правили драконьи владыки. Сам клинок — редкий артефакт и подлинное свидетельство мастерства, исчезнувшего вместе с Валирийским фригольдом. В нём ещё чувствуется эпоха, когда магия и ремесло сплетались воедино, хотя тайна ковки таких клинков давно утрачена. Случайность ли это или воля судьбы, но в мир вернулась частица Валирии, пережившая Рок.","Этот меч был обнаружен во время путешествия в Старую Валирию, древнюю землю, которой когда-то правили валирийцы. Меч, найденный в Старой Валирии, - редкий артефакт, свидетельство мастерства и искусности давно ушедшей эпохи. Это одна из немногих оставшихся реликвий того времени, когда магия и технология были взаимосвязаны, а знания о его создании были утеряны в веках. Это был либо удар удачи, либо судьба, благодаря которой частица древней валирийской истории дошла до наших дней."
"artifact_vs_sword_4_name","localization/english/artifacts/targ_artifacts_l_english.yml","11","localization/russian/targ_artifacts_l_russian.yml","12","Valyrian Steel Sword","Меч из валирийской стали","Меч из валирийской стали"
"bond_with_dragon_scheme_success_chance_add","localization/english/valyrian_decisions_l_english.yml","126","localization/russian/valyrian_decisions_l_russian.yml","127","Dragon Horn Bond/Tame Chance","Шанс установить связь с драконом или приручить его с помощью драконьего рога","Узы Драконьего Рога/Шанс приручения"
"custom_artifact_name","localization/english/valyrian_decisions_l_english.yml","70","localization/russian/valyrian_decisions_l_russian.yml","71","[ROOT.Var('selected_artifact').Var('person').Char.GetLocalizedText('custom_artifact_name')]","[ROOT.Var('selected_artifact').Var('person').Char.GetLocalizedText('custom_artifact_name')]","[ROOT.Var('selected_artifact').Var('person').Char.GetLocalizedText('custom_artifact_name')]"
"death_missing_valyria","localization/english/valyrian_death_reasons_l_english.yml","2","localization/russian/valyrian_death_reasons_l_russian.yml","3","Disappeared exploring Valyria","[Select_CString(CHARACTER.IsFemale, 'пропала без вести', 'пропал без вести' )] в Старой Валирии","Исчезли при исследовании Валирии"
"DEBUG_I_HAVE_MORE_GOLD_TRIGGER","localization/english/valyrian_decisions_l_english.yml","128","localization/russian/valyrian_decisions_l_russian.yml","129","Not enough gold","Недостаточно золота","Не хватает золота"
"dragon_egg_description","localization/english/valyrian_decisions_l_english.yml","82","localization/russian/valyrian_decisions_l_russian.yml","83","This dragon egg once belonged to one of the creatures that gave the Valyrians their power. A dragon. Unfortunately, a dragon egg hasn't been hatched in some time. Many rulers have attempted to hatch such eggs through...unorthodox methods...","Из этого яйца мог бы вылупиться дракон — одно из существ, даровавших валирийцам их могущество. Увы, уже давно ни один дракон не вылуплялся из такого яйца. Многие правители пытались заставить такие яйца проклюнуться... порой весьма необычными способами.","Это драконье яйцо когда-то принадлежало одному из существ, давших валирийцам их силу. Дракону. К сожалению, драконье яйцо не высиживалось уже давно. Многие правители пытались высидеть такие яйца... необычными методами..."
"dragon_egg_name","localization/english/valyrian_decisions_l_english.yml","80","localization/russian/valyrian_decisions_l_russian.yml","81","Dragon Egg","Драконье яйцо","Драконье яйцо"
"dragon_horn_black_1","localization/english/valyrian_fsb_poses_l_english.yml","80","localization/russian/valyrian_fsb_poses_l_russian.yml","81","@valyrian_steel_icon! Dragon Horn Black","@valyrian_steel_icon! Чёрный драконий рог","@valyrian_steel_icon! Драконий рог черный"
"dragon_horn_black_2","localization/english/valyrian_fsb_poses_l_english.yml","81","localization/russian/valyrian_fsb_poses_l_russian.yml","82","@valyrian_steel_icon! Dragon Horn Black (Glow)","@valyrian_steel_icon! Чёрный драконий рог (свечение)","@valyrian_steel_icon! Драконий рог черный (Светиться)"
"dragon_horn_black_3","localization/english/valyrian_fsb_poses_l_english.yml","82","localization/russian/valyrian_fsb_poses_l_russian.yml","83","@valyrian_steel_icon! Dragon Horn Black (Glow/Blowing)","@valyrian_steel_icon! Чёрный драконий рог (свечение/трубление)","@valyrian_steel_icon! Драконий рог черный (Светиться/Дует)"
"dragon_horn_black_desc","localization/english/artifacts/targ_artifacts_l_english.yml","36","localization/russian/targ_artifacts_l_russian.yml","37","$dragon_horn_desc$\nThis horn features a sleek, polished surface that exudes a sense of dark elegance and formidable power. $dragon_horn_end_desc$","$dragon_horn_desc$\nГладкая отполированная поверхность рога выглядит мрачно, изысканно и грозно. $dragon_horn_end_desc$","$dragon_horn_desc$\nЭтот рог имеет гладкую полированную поверхность, излучающую мрачную элегантность и грозную силу. $dragon_horn_end_desc$"
"dragon_horn_blackGold_1","localization/english/valyrian_fsb_poses_l_english.yml","96","localization/russian/valyrian_fsb_poses_l_russian.yml","97","@valyrian_steel_icon! Dragon Horn Black/Gold","@valyrian_steel_icon! Чёрно-золотой драконий рог","@valyrian_steel_icon! Драконий рог черный/золотой"
"dragon_horn_blackGold_2","localization/english/valyrian_fsb_poses_l_english.yml","97","localization/russian/valyrian_fsb_poses_l_russian.yml","98","@valyrian_steel_icon! Dragon Horn Black/Gold (Glow)","@valyrian_steel_icon! Чёрно-золотой драконий рог (свечение)","@valyrian_steel_icon! Драконий рог черный/золотой (Светиться)"
"dragon_horn_blackGold_3","localization/english/valyrian_fsb_poses_l_english.yml","98","localization/russian/valyrian_fsb_poses_l_russian.yml","99","@valyrian_steel_icon! Dragon Horn Black/Gold (Glow/Blowing)","@valyrian_steel_icon! Чёрно-золотой драконий рог (свечение/трубление)","@valyrian_steel_icon! Драконий рог черный/золотой (Светиться/Дует)"
"dragon_horn_blackGold_desc","localization/english/artifacts/targ_artifacts_l_english.yml","39","localization/russian/targ_artifacts_l_russian.yml","40","$dragon_horn_desc$\nThis horn was crafted from a dragon's dark horn, and features a sleek, ebony surface accented with intricate golden trim that highlights its majestic and powerful appearance. $dragon_horn_end_desc$","$dragon_horn_desc$\nЭбеново-чёрная поверхность отполирована до глубокого блеска, а тонкая золотая отделка придаёт ему царственный и зловещий облик. $dragon_horn_end_desc$","$dragon_horn_desc$\nЭтот рог был изготовлен из темного драконьего рога и имеет гладкую поверхность из черного дерева, украшенную сложной золотой отделкой, которая подчеркивает его величественный и мощный вид. $dragon_horn_end_desc$"
"dragon_horn_brown_1","localization/english/valyrian_fsb_poses_l_english.yml","100","localization/russian/valyrian_fsb_poses_l_russian.yml","101","@valyrian_steel_icon! Dragon Horn Brown","@valyrian_steel_icon! Коричневый драконий рог","@valyrian_steel_icon! Драконий рог коричневый"
"dragon_horn_brown_2","localization/english/valyrian_fsb_poses_l_english.yml","101","localization/russian/valyrian_fsb_poses_l_russian.yml","102","@valyrian_steel_icon! Dragon Horn Brown (Glow)","@valyrian_steel_icon! Коричневый драконий рог (свечение)","@valyrian_steel_icon! Драконий рог коричневый (Светиться)"
"dragon_horn_brown_3","localization/english/valyrian_fsb_poses_l_english.yml","102","localization/russian/valyrian_fsb_poses_l_russian.yml","103","@valyrian_steel_icon! Dragon Horn Brown (Glow/Blowing)","@valyrian_steel_icon! Коричневый драконий рог (свечение/трубление)","@valyrian_steel_icon! Драконий рог коричневый (Светиться/Дует)"
"dragon_horn_brown_desc","localization/english/artifacts/targ_artifacts_l_english.yml","38","localization/russian/targ_artifacts_l_russian.yml","39","$dragon_horn_desc$\nThis horn features a rich, textured surface with natural grain patterns, accented by vibrant orange trim that highlights its warm beauty. $dragon_horn_end_desc$","$dragon_horn_desc$\nНеровная поверхность рога, испещрённая природным узором, оттенена ярко-оранжевой отделкой и кажется почти живой. $dragon_horn_end_desc$","$dragon_horn_desc$\nЭтот рог имеет богатую текстурированную поверхность с естественным рисунком зерен, подчеркнутую яркой оранжевой отделкой, которая подчеркивает его теплую красоту. $dragon_horn_end_desc$"
"dragon_horn_decision.0001.a","localization/english/valyrian_decisions_l_english.yml","170","localization/russian/valyrian_decisions_l_russian.yml","171","Perhaps another time...","Возможно, в другой раз...","Возможно, в другой раз..."
"dragon_horn_decision.a","localization/english/valyrian_decisions_l_english.yml","166","localization/russian/valyrian_decisions_l_russian.yml","167","I will proceed.","Я продолжу.","Я буду продолжать."
"dragon_horn_decision.a.tt","localization/english/valyrian_decisions_l_english.yml","172","localization/russian/valyrian_decisions_l_russian.yml","173","This Dragon Horn can now be binded using a blood sacrifice.","Теперь этот драконий рог можно использовать в ритуале связывания кровью.","Этот драконий рог теперь можно связать с помощью жертвы крови."
"dragon_horn_decision.b","localization/english/valyrian_decisions_l_english.yml","167","localization/russian/valyrian_decisions_l_russian.yml","168","I can feel its power...","Я чувствую его силу...","Я чувствую его силу..."
"dragon_horn_decision.c","localization/english/valyrian_decisions_l_english.yml","168","localization/russian/valyrian_decisions_l_russian.yml","169","I feel its power fade...","Я чувствую, как его сила угасает...","Я чувствую, как угасает его сила..."
"dragon_horn_decision.c.tt","localization/english/valyrian_decisions_l_english.yml","173","localization/russian/valyrian_decisions_l_russian.yml","174","This Dragon Horn can no longer be binded using a blood sacrifice.","Этот драконий рог больше нельзя будет использовать в ритуале связывания кровью.","Этот драконий рог больше нельзя связать с помощью жертвы крови."
"dragon_horn_decision_0001_desc","localization/english/valyrian_decisions_l_english.yml","171","localization/russian/valyrian_decisions_l_russian.yml","172","Stories of Old Valyria tell of Dragon Horns with great power...the ability to tame a Dragon...\n\n The horn I possess cannot do such things...yet.\n\nWith a offering of my own blood, the full potential of this Horn can be unlocked...However I suspect that such a powerful artifact will have unintended side effects...","Сказания Старой Валирии говорят о драконьих рогах великой силы — таких, что способны укротить дракона...\n\nРог, которым я владею, пока на такое не способен. Пока.\n\nЕсли я принесу в жертву собственную кровь, истинную силу этого рога можно будет пробудить... но я подозреваю, что у столь могущественного артефакта будут нежелательные последствия.","Истории Старой Валирии рассказывают о драконьих рогах, обладающих огромной силой... способных приручить дракона...\n\n Рог, которым я владею, не может сделать такого... пока.\n\nС помощью моей собственной крови можно раскрыть весь потенциал этого рога... Однако я подозреваю, что столь мощный артефакт будет иметь непредвиденные побочные эффекты..."
"dragon_horn_decision_0001_t","localization/english/valyrian_decisions_l_english.yml","165","localization/russian/valyrian_decisions_l_russian.yml","166","The Dragon Horn comes to life...","Драконий рог оживает...","Драконий рог оживает..."
"dragon_horn_decision_0002_desc","localization/english/valyrian_decisions_l_english.yml","175","localization/russian/valyrian_decisions_l_russian.yml","176","I slowly cut across my hand with a knife, my blood drips into the Dragon Horn...\n\nMoments later the glyphs on the horn glow to life.\n\nIt is done.\n\nI now wield the power to tame a beast...","Я медленно провожу ножом по ладони, и кровь падает в драконий рог...\n\nМгновение спустя глифы на роге вспыхивают светом.\n\nСвершилось.\n\nТеперь в моих руках сила, способная укрощать драконов...","Я медленно режу руку ножом, и моя кровь капает в драконий рог...\n\nМгновением позже глифы на роге ожили.\n\nСделано.\n\nТеперь я могу укротить зверя..."
"dragon_horn_decision_0003_desc","localization/english/valyrian_decisions_l_english.yml","186","localization/russian/valyrian_decisions_l_russian.yml","187","Thankfully, the process to unenchant the Dragon Horn is easy enough...With enough reading and research I am able to release the power within the Dragon Horn...\n\nIts effects will no longer impact my health.\n\nAnd its power greatly diminished.","К моему облегчению, драконий рог удалось усмирить... После долгих изысканий мне наконец удалось ослабить силу, заключённую в роге.\n\nТеперь его воздействие больше не будет вредить моему здоровью.\n\nНо и мощь рога заметно ослабла.","К счастью, процесс снятия зачарования с драконьего рога достаточно прост... С помощью чтения и исследования я смогу освободить силу, заключенную в драконьем роге...\n\nЕго воздействие больше не будет влиять на мое здоровье.\n\nИ его сила значительно уменьшится."
"dragon_horn_decision_0003_t","localization/english/valyrian_decisions_l_english.yml","187","localization/russian/valyrian_decisions_l_russian.yml","188","Lifting the burden","Бремя усмирено","Облегчение ноши"
"dragon_horn_desc","localization/english/artifacts/targ_artifacts_l_english.yml","32","localization/russian/targ_artifacts_l_russian.yml","33","An ancient dragon horn crafted from the horn of a mighty dragon, this relic is imbued with the essence and power of its legendary origin. The horn’s surface is intricately etched with Valyrian glyphs, hinting at the potent magic within. \n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n","Этот древний инструмент, выточенный из рога могучего дракона, хранит силу своего легендарного происхождения. Его поверхность покрыта тонкой вязью валирийских глифов, намекающих на могущественную магию, заключённую в нём. \n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n","Древний драконий рог, созданный из рога могучего дракона, эта реликвия пропитана сущностью и силой своего легендарного происхождения. Поверхность рога искусно выгравирована валирийскими глифами, намекающими на мощную магию, заключенную в нем. \n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n"
