LogLine,Component,Owner,Symbols,SourceMods,Message
1232,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_lonely_light_04] is out of sync with its meshsettings. [dock_tower_wood] is not in use in file: gfx/models/buildings/special/Lonely Light/building_special_lonely_light_04.mesh
1240,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [starpike_mesh] is out of sync with its meshsettings. [starpike_ground] is not in use in file: gfx/models/buildings/special/starpike/starpike.mesh
1241,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [starpike_mesh] is out of sync with its meshsettings. [starpike_lower] is not in use in file: gfx/models/buildings/special/starpike/starpike.mesh
1243,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [high_hermitage_mesh] is out of sync with its meshsettings. [ep3_basilica_sant_apollinare_nuovo_decalShape] is not in use in file: gfx/models/buildings/special/high_hermitage/high_hermitage.mesh
1245,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'pole_town' in file 'gfx/models/buildings/special/planky town/planky_town.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1249,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'rooksrest_stone_ground' in file 'gfx/models/buildings/special/rooksrest/rooksrest.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1253,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/24castamere_3.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1254,pdxassetutil.cpp:1053,,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_properties.dds'
1255,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'
1256,pdxassetutil.cpp:1053,,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_normal.dds'
1257,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'
1258,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'pallet' in file 'gfx/models/buildings/special/castamere/24castamere_3.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1259,pdxassetutil.cpp:1053,,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_properties.dds'
1260,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'
1261,pdxassetutil.cpp:1053,,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_normal.dds'
1262,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'
1264,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'ashemark_stone_ground' in file 'gfx/models/buildings/special/ashemark/ashemark.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1265,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_palestone_sword_01_mesh] is out of sync with its meshsettings. [casterlyrock_rockShape] is not in use in file: gfx/models/buildings/special/palestone_sword/building_palestone_sword_01.mesh
1266,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'lannisport_dgShape' in file 'gfx/models/buildings/special/fanghill/fanghill.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1270,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/24castamere_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1271,pdxassetutil.cpp:1053,,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_properties.dds'
1272,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'
1273,pdxassetutil.cpp:1053,,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_normal.dds'
1274,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'
1275,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'pallet' in file 'gfx/models/buildings/special/castamere/24castamere_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1276,pdxassetutil.cpp:1053,,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_properties.dds'
1277,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'
1278,pdxassetutil.cpp:1053,,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_normal.dds'
1279,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'
1281,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1282,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1283,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_stone_ground' in file 'gfx/models/buildings/special/crag/crag_level_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1284,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh
1285,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh
1286,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh
1292,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_sisterton_mesh] is out of sync with its meshsettings. [sisteron_rough_walls] is not in use in file: gfx/models/buildings/special/sisterton/building_special_sisterton.mesh
1294,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'building_griffin_roost_castle' in file 'gfx/models/buildings/special/griffins roost/building_special_griffins_roost.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1295,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'rooksrest_stone_ground' in file 'gfx/models/buildings/special/rooksrest/rooksrest2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1296,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'rooksrest_stone' in file 'gfx/models/buildings/special/rooksrest/rooksrest2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1298,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'griffin_roost_roof' in file 'gfx/models/buildings/special/griffins roost/building_special_griffins_roost.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1300,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [lordsport_mesh] is out of sync with its meshsettings. [iron] is not in use in file: gfx/models/buildings/special/lordsport/lordsport.mesh
1301,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [lordsport_mesh] is out of sync with its meshsettings. [lordsport_stone_ground] is not in use in file: gfx/models/buildings/special/lordsport/lordsport.mesh
1309,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_yronwood_mesh] is out of sync with its meshsettings. [fp2_building_special_alhambra_01_palm_treeShape] is not in use in file: gfx/models/buildings/special/yronwood/building_special_yronwood.mesh
1311,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'the_ground' in file 'gfx/models/buildings/special/deepwood_motte/deepwood_motte.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1312,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'building_special_evenfall_1Shape' in file 'gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1313,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'building_special_evenfall_2Shape' in file 'gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1314,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [building_special_evenfall_4Shape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh
1315,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [building_special_evenfall_cellsShape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh
1316,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [fp4_legendary_western_palace_01_aShape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh
1317,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'bronze_bell' in file 'gfx/models/buildings/special/seagaurd/building_seagard_01.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1318,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'bellchain' in file 'gfx/models/buildings/special/seagaurd/building_seagard_01.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1319,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [City] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1320,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [building_western_castle_0Shape4] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1321,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1322,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape1] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1323,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape2] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1324,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape3] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1325,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [pallet] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1326,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [lift] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1327,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [hillfort_01] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1328,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [building_special_stormsend_castle_cliffsShape] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
1329,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/castamere_restored.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1330,pdxassetutil.cpp:1053,,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_properties.dds'
1331,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'
1332,pdxassetutil.cpp:1053,,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_normal.dds'
1333,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'
1334,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'windmill' in file 'gfx/models/buildings/special/castamere/castamere_restored.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1335,pdxassetutil.cpp:1053,,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_properties.dds'
1336,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'
1337,pdxassetutil.cpp:1053,,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_normal.dds'
1338,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'
1339,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'pallet' in file 'gfx/models/buildings/special/castamere/castamere_restored.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1340,pdxassetutil.cpp:1053,,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_properties.dds'
1341,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'
1342,pdxassetutil.cpp:1053,,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Failed to find texture 'building_backup_atlas_normal.dds'
1343,virtualfilesystem.cpp:456,Unresolved file,building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'
1345,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 0 in mesh 'building_mediterranean_city_02' in file 'gfx/models/buildings/special/the_arbor/the_arbor.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1347,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_1.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1348,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_1.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1349,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_stone_ground' in file 'gfx/models/buildings/special/crag/crag_level_1.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1350,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_windows' in file 'gfx/models/buildings/special/crag/crag_level_1.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1351,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_level_1_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_1.mesh
1352,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_level_1_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_1.mesh
1353,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_level_1_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_1.mesh
1357,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_duskendale_mesh] is out of sync with its meshsettings. [farm_mediterranean] is not in use in file: gfx/models/buildings/special/duskendale/building_special_duskendale.mesh
1358,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_duskendale_mesh] is out of sync with its meshsettings. [farm_mediterranean_vines] is not in use in file: gfx/models/buildings/special/duskendale/building_special_duskendale.mesh
1359,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_duskendale_mesh] is out of sync with its meshsettings. [farm_mediterranean_decal] is not in use in file: gfx/models/buildings/special/duskendale/building_special_duskendale.mesh
1360,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [building_special_duskendale_mesh] is out of sync with its meshsettings. [building_mediterranean_city_02] is not in use in file: gfx/models/buildings/special/duskendale/building_special_duskendale.mesh
1366,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'dunstonbury_stone_ground' in file 'gfx/models/buildings/special/whitegrove/whitegrove.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1367,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [whitegrove_mesh] is out of sync with its meshsettings. [whitegrove_roof] is not in use in file: gfx/models/buildings/special/whitegrove/whitegrove.mesh
1368,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [whitegrove_mesh] is out of sync with its meshsettings. [whitegrove_upper] is not in use in file: gfx/models/buildings/special/whitegrove/whitegrove.mesh
1369,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [whitegrove_mesh] is out of sync with its meshsettings. [whitegrove_stone_ground] is not in use in file: gfx/models/buildings/special/whitegrove/whitegrove.mesh
1370,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [whitegrove_mesh] is out of sync with its meshsettings. [whitegrove_windows] is not in use in file: gfx/models/buildings/special/whitegrove/whitegrove.mesh
1373,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 2 in mesh 'building_western' in file 'gfx/models/buildings/special/Ten Towers/cow_building_special_ten_towers.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1374,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 2 in mesh 'celtic_01' in file 'gfx/models/buildings/special/Ten Towers/cow_building_special_ten_towers.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
