Gene,Kind,Owner,File,Line,Templates
complexion,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,6148,complexion_1 | complexion_2 | complexion_3 | complexion_4 | complexion_5 | complexion_6 | complexion_7 | complexion_smooth_1 | complexion_beauty_1 | complexion_ugly_1 | complexion_no_face | complexion_8 | complexion_9 | complexion_10 | complexion_11 | complexion_12 | complexion_13 | complexion_14 | complexion_15 | complexion_16 | complexion_17 | complexion_18 | complexion_19 | complexion_20 | complexion_21 | complexion_22 | complexion_23 | complexion_24 | complexion_25 | complexion_26 | complexion_27 | complexion_28 | complexion_11a | complexion_12a | complexion_13a | complexion_14a | complexion_15a | complexion_16a | complexion_1af | complexion_2af | complexion_3af | complexion_4af | complexion_5af | complexion_6af | complexion_7af | complexion_29 | complexion_30 | complexion_31 | complexion_32 | complexion_33 | complexion_34 | complexion_35 | complexion_36 | complexion_37 | complexion_1in | complexion_2in | complexion_3in | complexion_4in | complexion_5in | complexion_6in | complexion_7in | complexion_8in | complexion_9in | complexion_10in | complexion_11in | complexion_12in | complexion_13in | complexion_14in | complexion_29a | complexion_30a | complexion_31a | complexion_32a | complexion_33a | complexion_34a | complexion_35a | complexion_36a | complexion_37a | complexion_38 | complexion_39 | complexion_40 | complexion_41 | complexion_42 | complexion_43 | complexion_44 | complexion_45 | complexion_46 | complexion_47 | complexion_48 | complexion_49 | complexion_50
cosmetics_blush,morph_genes,A Game of Thrones,common/genes/epe_genes_special_accessories_cosmetics_extra.txt,1479,blush_none | iranian_1 | european_1 | byzantine_1
cosmetics_eyeliner,morph_genes,A Game of Thrones,common/genes/epe_genes_special_accessories_cosmetics_extra.txt,10,eyeliner_none | iranian_1 | european_1 | byzantine_1 | indian_1 | arabian_1
cosmetics_eyeshadow,morph_genes,A Game of Thrones,common/genes/epe_genes_special_accessories_cosmetics_extra.txt,767,eyeshadow_none | iranian_1 | european_1 | byzantine_1
cosmetics_foundation,morph_genes,A Game of Thrones,common/genes/epe_genes_special_accessories_cosmetics_extra.txt,1123,foundation_none | iranian_1 | european_1 | byzantine_1
cosmetics_lipcolor,morph_genes,A Game of Thrones,common/genes/epe_genes_special_accessories_cosmetics_extra.txt,1830,lipcolor_none | iranian_1 | european_1 | byzantine_1 | misc_1
expression_brow_wrinkles,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,5463,brow_wrinkles_01 | brow_wrinkles_02 | brow_wrinkles_03 | brow_wrinkles_04
expression_eye_wrinkles,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,5643,eye_wrinkles_01 | eye_wrinkles_02 | eye_wrinkles_03
expression_forehead_wrinkles,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,5779,forehead_wrinkles_01 | forehead_wrinkles_02 | forehead_wrinkles_03
expression_other,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,5924,cheek_wrinkles_left_01 | cheek_wrinkles_right_01 | cheek_wrinkles_both_01 | nose_wrinkles_01
eye_accessory,accessory_genes,A Game of Thrones,common/genes/02_genes_accessories_misc.txt,16,normal_eyes | normal_eyes_no_shadow | normal_eyes_dark_iris | normal_eyes_asian | bloodshot_eyes | blind_eyes | no_eyes
eye_accessory_gem,accessory_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1996,one_eyed_gem_light_blue | one_eyed_gem_red | one_eyed_gem_white | one_eyed_gem_black | one_eyed_gem_purple | one_eyed_gem_orange | one_eyed_gem_yellow | one_eyed_gem_green | one_eyed_gem_blue
eye_color,color_genes,A Game of Thrones,common/genes/00_genes_color.txt,13,
eye_color_saturation,morph_genes,A Game of Thrones,common/genes/epe_color_genes_morph.txt,30,vanilla_eye_saturation | eye_color_saturation
eyelashes_accessory,accessory_genes,A Game of Thrones,common/genes/02_genes_accessories_misc.txt,138,no_eyelashes | normal_eyelashes | asian_eyelashes | dark_eyelashes | light_eyelashes
face_detail_cheek_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3739,cheek_def_01 | cheek_def_02
face_detail_cheek_fat,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3843,cheek_fat_01_pos | cheek_fat_02_pos | cheek_fat_03_pos | cheek_fat_04_pos | cheek_fat_01_neg
face_detail_chin_cleft,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,4121,chin_cleft | chin_dimple
face_detail_chin_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,4220,chin_def_neg | chin_def | chin_def_02
face_detail_eye_lower_lid_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,4338,eye_lower_lid_def | eye_lower_lid_def_02
face_detail_eye_socket,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,4475,eye_socket_01 | eye_socket_02 | eye_socket_03 | eye_socket_color_01 | eye_socket_color_02 | eye_socket_color_03
face_detail_eye_upper_lid_def,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,1083,vanilla_upper_lid_def | upper_lid_def | upper_lid_def_2
face_detail_nasolabial,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,5003,nasolabial_01 | nasolabial_02 | nasolabial_03 | nasolabial_04
face_detail_nose_ridge_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,5225,nose_ridge_def_pos | nose_ridge_def_02_pos | nose_ridge_def_neg
face_detail_nose_tip_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,5342,nose_tip_def | nose_tip_def_02
face_detail_temple_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,5409,temple_def
gene_additive_animations_child,morph_genes,CK3,common/genes/10_genes_special_misc.txt,216,child_additive
gene_additive_animations_dwarf,morph_genes,CK3,common/genes/10_genes_special_misc.txt,178,dwarf_additive
gene_additive_animations_fat,morph_genes,CK3,common/genes/10_genes_special_misc.txt,197,fat_additive
gene_age,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,14729,old_1 | old_2 | old_3 | old_4 | old_beauty_1 | no_aging
gene_age,morph_genes,A Game of Thrones,common/genes/gene_age_override.txt,119,old_1 | old_2 | old_3 | old_4 | old_beauty_1 | no_aging | disabled_aging
gene_agot_burned,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1265,agot_burned_hound | agot_burned_1 | agot_burned_2 | agot_burned_3
gene_agot_disfigured,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1411,agot_disfigured_1 | agot_disfigured_2 | agot_disfigured_3 | agot_disfigured_4 | agot_disfigured_5
gene_agot_greyscale,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1193,agot_greyscale
gene_agot_special_bust_cleavage,morph_genes,A Game of Thrones,common/genes/epe_special_genes_morph.txt,227,shrink_cleavage
gene_agot_special_bust_cleavage_02,morph_genes,A Game of Thrones,common/genes/epe_special_genes_morph.txt,291,base_cleavage
gene_agot_special_bust_meereen,morph_genes,A Game of Thrones,common/genes/epe_special_genes_morph.txt,158,shrink_meereen
gene_balding_hair_effect,morph_genes,CK3,common/genes/10_genes_special_misc.txt,7,no_baldness | shaved_baldness | baldness_stage_1 | baldness_stage_2
gene_baldness,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,18621,no_baldness | male_pattern_baldness
gene_beauty_details,morph_genes,A Game of Thrones,common/genes/epe_special_genes_morph.txt,9,beauty_details
gene_bloodraven,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1618,bloodraven_birthmark
gene_body_hair,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,17633,body_hair_sparse | body_hair_avg | body_hair_dense | body_hair_sparse_low_stubble | body_hair_avg_low_stubble | body_hair_dense_low_stubble | body_hair_sparse_lower_stubble | body_hair_avg_lower_stubble | body_hair_dense_lower_stubble | body_hair_dense_unisex
gene_bs_additive_headgears,morph_genes,CK3,common/genes/10_genes_special_misc.txt,128,additive_headgears
gene_bs_body_shape,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,12924,body_shape_average_clothed | body_shape_average | body_shape_apple_half | body_shape_apple_full | body_shape_hourglass_half | body_shape_hourglass_full | body_shape_pear_half | body_shape_pear_full | body_shape_rectangle_half | body_shape_rectangle_full | body_shape_triangle_half | body_shape_triangle_full
gene_bs_body_type,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,11944,body_average | body_fat_head_fat_low | body_fat_head_fat_medium | body_fat_head_fat_full | no_portrait
gene_bs_bust,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,13612,bust_clothes | bust_clothes_light
gene_bs_cheek_forward,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2095,cheek_forward_neg | cheek_forward_pos
gene_bs_cheek_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2132,cheek_height_neg | cheek_height_pos
gene_bs_cheek_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2169,cheek_width_neg | cheek_width_pos
gene_bs_cloak,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1144,no_cloak | cloak
gene_bs_cloak_offset,morph_genes,CK3,common/genes/10_genes_special_misc.txt,153,cloak_offset
gene_bs_cloak_offset2,morph_genes,A Game of Thrones,common/genes/epe_special_genes_morph.txt,326,cloak_offset2
gene_bs_cloak_offset3,morph_genes,A Game of Thrones,common/genes/epe_special_genes_morph.txt,339,cloak_offset3
gene_bs_ear_angle,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2206,ear_angle_neg | ear_angle_pos
gene_bs_ear_bend,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2263,ear_lower_bend_pos | ear_upper_bend_pos | ear_both_bend_pos
gene_bs_ear_inner_shape,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2243,ear_inner_shape_pos
gene_bs_ear_lobe,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,188,vanilla_ear_lobe | ear_lobe_fused | ear_lobe_detached
gene_bs_ear_outward,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2317,ear_outward_neg | ear_outward_pos
gene_bs_ear_size,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2375,ear_size_neg | ear_size_pos
gene_bs_ears_fantasy,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,1023,vanilla_ears_fantasy | ears_fantasy
gene_bs_eye_corner_depth,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2412,eye_corner_depth_neg | eye_corner_depth_pos
gene_bs_eye_fold_shape,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2449,eye_fold_shape_neg | eye_fold_shape_pos | eye_fold_shape_02_neg | eye_fold_shape_02_pos | eye_fold_shape_neg_02
gene_bs_eye_height_inside,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,99,vanilla_eye_height_inside | eye_height_inside_neg | eye_height_inside_pos
gene_bs_eye_height_outisde,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,144,vanilla_eye_height_outisde | eye_height_outisde_neg | eye_height_outisde_pos
gene_bs_eye_lower_lid_size,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,1320,vanilla_eye_lower_lid_size | eye_lower_lid_size
gene_bs_eye_outer_width,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,388,vanilla_eye_outer_width | eye_outer_width
gene_bs_eye_shape,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,1349,vanilla_eye_shape | eye_shape_01 | eye_shape_02 | eye_shape_03 | eye_shape_04
gene_bs_eye_size,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2535,eye_size_neg | eye_size_pos
gene_bs_eye_upper_lid_size,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2572,eye_upper_lid_size_neg | eye_upper_lid_size_pos | eye_upper_lid_size_pos_02
gene_bs_eyebrow_straight,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,625,vanilla_eyebrow_straight | eyebrow_straight
gene_bs_forehead_brow_curve,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2625,forehead_brow_curve_neg | forehead_brow_curve_pos
gene_bs_forehead_brow_forward,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2662,forehead_brow_forward_neg | forehead_brow_forward_pos
gene_bs_forehead_brow_inner_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2699,forehead_brow_inner_height_neg | forehead_brow_inner_height_pos
gene_bs_forehead_brow_outer_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2736,forehead_brow_outer_height_neg | forehead_brow_outer_height_pos
gene_bs_forehead_brow_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2773,forehead_brow_width_neg | forehead_brow_width_pos
gene_bs_head_asymmetry_1,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,417,vanilla_head_asymmetry_1 | head_asymmetry_1 | head_asymmetry_2 | head_asymmetry_3 | head_asymmetry_4 | head_asymmetry_5 | head_asymmetry_6 | head_asymmetry_7 | head_asymmetry_8 | head_asymmetry_9 | head_asymmetry_10
gene_bs_head_lower_height,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,863,vanilla_head_lower_height | head_lower_height_max | head_lower_height_min
gene_bs_head_shape,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,654,vanilla_head_round_shape | head_round_shape | head_archetype_shape_01 | head_archetype_shape_02 | head_archetype_shape_03 | head_archetype_shape_04 | head_archetype_shape_05 | head_archetype_shape_06 | head_archetype_shape_07 | head_archetype_shape_08 | head_archetype_shape_09 | head_archetype_shape_10
gene_bs_jaw_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2810,jaw_def_neg | jaw_def_pos
gene_bs_long_beard,morph_genes,CK3,common/genes/10_genes_special_misc.txt,141,long_beard
gene_bs_mouth_center_curve,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,581,vanilla_mouth_center_curve | mouth_center_curve_max | mouth_center_curve_min
gene_bs_mouth_glamour_lips,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,1054,vanilla_mouth_glamour_lips | mouth_glamour_lips
gene_bs_mouth_lower_lip_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2846,mouth_lower_lip_def_pos
gene_bs_mouth_lower_lip_forward,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,965,vanilla_lower_lip_forward | mouth_lower_lip_forward
gene_bs_mouth_lower_lip_full,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2866,mouth_lower_lip_full_neg | mouth_lower_lip_full_pos
gene_bs_mouth_lower_lip_pad,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2903,mouth_lower_lip_pad_neg | mouth_lower_lip_pad_pos
gene_bs_mouth_lower_lip_profile,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,359,vanilla_lower_lip_profile | lower_lip_profile
gene_bs_mouth_lower_lip_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2940,mouth_lower_lip_width_neg | mouth_lower_lip_width_pos
gene_bs_mouth_philtrum_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2977,mouth_philtrum_def_pos
gene_bs_mouth_philtrum_shape,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2996,mouth_philtrum_shape_neg | mouth_philtrum_shape_pos
gene_bs_mouth_philtrum_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3033,mouth_philtrum_width_neg | mouth_philtrum_width_pos
gene_bs_mouth_upper_lip_def,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3070,mouth_upper_lip_def_pos
