Gene,Value,Count,Example
eye_color_saturation,"""eye_color_saturation"" 140 ""eye_color_saturation"" 140",34,common/dna_data/agot_dna_braavos.txt:1673 (Forel_76)
eye_color_saturation,"""eye_color_saturation"" 125 ""eye_color_saturation"" 127",34,common/dna_data/agot_dna_braavos_ancestors.txt:4015 (Otherys_92)
eye_color_saturation,"""eye_color_saturation"" 116 ""eye_color_saturation"" 116",34,common/dna_data/agot_dna_contest.txt:110 (Moil_65)
eye_color_saturation,"""eye_color_saturation"" 107 ""eye_color_saturation"" 107",34,common/dna_data/agot_dna_crownlands.txt:33548 (Rykker_3)
eye_color_saturation,"""eye_color_saturation"" 137 ""eye_color_saturation"" 137",34,common/dna_data/agot_dna_dorne.txt:18093 (Martell_rs_8_C)
eye_color_saturation,"""eye_color_saturation"" 139 ""eye_color_saturation"" 139",32,common/dna_data/agot_dna_btw.txt:698 (Giantsbane_2)
eye_color_saturation,"""eye_color_saturation"" 112 ""eye_color_saturation"" 112",29,common/dna_data/agot_dna_crownlands_ancestors.txt:35686 (Sunglass_17)
eye_color_saturation,"""eye_color_saturation"" 108 ""eye_color_saturation"" 108",26,common/dna_data/agot_dna_crownlands.txt:26110 (Hollard_7)
eye_color_saturation,"""eye_color_saturation"" 145 ""eye_color_saturation"" 145",25,common/dna_data/agot_dna_braavos_ancestors.txt:4211 (Otherys_BP_1)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 126",25,common/dna_data/agot_dna_crownlands.txt:1874 (Blackberry_14)
eye_color_saturation,"""eye_color_saturation"" 92 ""eye_color_saturation"" 92",24,common/dna_data/agot_dna_crownlands_ancestors.txt:8318 (Cargyll_2)
eye_color_saturation,"""eye_color_saturation"" 136 ""eye_color_saturation"" 136",24,common/dna_data/agot_dna_dragonstone_ancestors.txt:9308 (Celtigar_37)
eye_color_saturation,"""eye_color_saturation"" 110 ""eye_color_saturation"" 110",22,common/dna_data/agot_dna_btw_ancestors.txt:2853 (Kingsblood_1)
eye_color_saturation,"""eye_color_saturation"" 89 ""eye_color_saturation"" 89",22,common/dna_data/agot_dna_crownlands_ancestors.txt:29242 (Massey_65)
eye_color_saturation,"""eye_color_saturation"" 105 ""eye_color_saturation"" 105",21,common/dna_data/agot_dna_btw_ancestors.txt:1873 (King_Beyond_The_Wall_1)
eye_color_saturation,"""eye_color_saturation"" 85 ""eye_color_saturation"" 85",21,common/dna_data/agot_dna_crownlands_ancestors.txt:16338 (Darklyn_18)
eye_color_saturation,"""eye_color_saturation"" 109 ""eye_color_saturation"" 109",21,common/dna_data/agot_dna_crownlands_ancestors.txt:28265 (Massey_32)
eye_color_saturation,"""eye_color_saturation"" 153 ""eye_color_saturation"" 153",20,common/dna_data/agot_dna_btw.txt:306 (Dogshead_2)
eye_color_saturation,"""eye_color_saturation"" 138 ""eye_color_saturation"" 138",20,common/dna_data/agot_dna_crownlands.txt:698 (Baxter_58)
eye_color_saturation,"""eye_color_saturation"" 126 ""eye_color_saturation"" 127",20,common/dna_data/agot_dna_crownlands.txt:1678 (Blackberry_13)
eye_color_saturation,"""eye_color_saturation"" 101 ""eye_color_saturation"" 101",20,common/dna_data/agot_dna_crownlands.txt:30807 (Massey_83)
eye_color_saturation,"""eye_color_saturation"" 117 ""eye_color_saturation"" 117",19,common/dna_data/agot_dna_crownlands_ancestors.txt:7535 (Buckwell_18_B)
eye_color_saturation,"""eye_color_saturation"" 100 ""eye_color_saturation"" 100",19,common/dna_data/agot_dna_crownlands_ancestors.txt:11452 (Cargyll_8)
eye_color_saturation,"""eye_color_saturation"" 113 ""eye_color_saturation"" 113",19,common/dna_data/agot_dna_dorne.txt:5584 (Drinkwater_5)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 124",18,common/dna_data/agot_dna_axe_ancestors.txt:110 (Aat_Caham_88)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 125",18,common/dna_data/agot_dna_braavos_ancestors.txt:8316 (Zalyne_19)
eye_color_saturation,"""eye_color_saturation"" 106 ""eye_color_saturation"" 106",18,common/dna_data/agot_dna_crownlands.txt:34525 (Slynt_1)
eye_color_saturation,"""eye_color_saturation"" 133 ""eye_color_saturation"" 133",17,common/dna_data/agot_dna_crownlands.txt:17127 (Corne_73)
eye_color_saturation,"""eye_color_saturation"" 114 ""eye_color_saturation"" 117",17,common/dna_data/agot_dna_reach_ancestors.txt:51061 (Oakheart_10)
eye_color_saturation,"""eye_color_saturation"" 96 ""eye_color_saturation"" 96",16,common/dna_data/agot_dna_btw.txt:1872 (Lowborn_Wildling_3)
eye_color_saturation,"""eye_color_saturation"" 142 ""eye_color_saturation"" 142",16,common/dna_data/agot_dna_dragonstone_ancestors.txt:2067 (Blackfyre_4)
eye_color_saturation,"""eye_color_saturation"" 111 ""eye_color_saturation"" 111",15,common/dna_data/agot_dna_dorne_ancestors.txt:28239 (Martell_27)
eye_color_saturation,"""eye_color_saturation"" 76 ""eye_color_saturation"" 76",15,common/dna_data/agot_dna_dragonstone_ancestors.txt:8330 (Celtigar_32)
eye_color_saturation,"""eye_color_saturation"" 98 ""eye_color_saturation"" 98",14,common/dna_data/agot_dna_crownlands.txt:7544 (Branfield_2)
eye_color_saturation,"""eye_color_saturation"" 93 ""eye_color_saturation"" 93",14,common/dna_data/agot_dna_crownlands.txt:38235 (Thorne_3)
eye_color_saturation,"""vanilla_eye_saturation"" 127 ""eye_color_saturation"" 126",14,common/dna_data/agot_dna_dorne_ancestors.txt:47781 (Wyl_21)
eye_color_saturation,"""eye_color_saturation"" 102 ""eye_color_saturation"" 102",13,common/dna_data/agot_dna_crownlands.txt:27482 (Massey_3)
eye_color_saturation,"""eye_color_saturation"" 91 ""eye_color_saturation"" 91",13,common/dna_data/agot_dna_crownlands_ancestors.txt:11844 (Cargyll_9)
eye_color_saturation,"""eye_color_saturation"" 124 ""eye_color_saturation"" 127",13,common/dna_data/agot_dna_pentos_ancestors.txt:697 (Estatis_69)
eye_color_saturation,"""eye_color_saturation"" 103 ""eye_color_saturation"" 103",12,common/dna_data/agot_dna_braavos_ancestors.txt:7337 (Velaron_50)
eye_color_saturation,"""eye_color_saturation"" 97 ""eye_color_saturation"" 97",12,common/dna_data/agot_dna_btw_ancestors.txt:502 (Bael_1)
eye_color_saturation,"""eye_color_saturation"" 99 ""eye_color_saturation"" 99",12,common/dna_data/agot_dna_crownlands_ancestors.txt:30997 (Rollingford_62)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 123",11,common/dna_data/agot_dna_braavos_ancestors.txt:1476 (Fregar_31)
eye_color_saturation,"""eye_color_saturation"" 148 ""eye_color_saturation"" 148",11,common/dna_data/agot_dna_crownlands.txt:7349 (Branfield_1)
eye_color_saturation,"""eye_color_saturation"" 120 ""eye_color_saturation"" 120",11,common/dna_data/agot_dna_crownlands.txt:20832 (Farring_2)
eye_color_saturation,"""eye_color_saturation"" 150 ""eye_color_saturation"" 150",11,common/dna_data/agot_dna_dorne.txt:11838 (Qorgyle_4)
eye_color_saturation,"""eye_color_saturation"" 127 ""vanilla_eye_saturation"" 127",11,common/dna_data/agot_dna_dorne_ancestors.txt:47194 (Wyl_18)
eye_color_saturation,"""eye_color_saturation"" 152 ""eye_color_saturation"" 152",10,common/dna_data/agot_dna_crownlands.txt:21419 (Farring_5)
eye_color_saturation,"""eye_color_saturation"" 95 ""eye_color_saturation"" 95",10,common/dna_data/agot_dna_crownlands.txt:30221 (Massey_80)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 98",10,common/dna_data/agot_dna_dragonstone_ancestors.txt:26127 (Targaryen_131)
eye_color_saturation,"""eye_color_saturation"" 146 ""eye_color_saturation"" 146",10,common/dna_data/agot_dna_iron_islands.txt:24956 (Merlyn_92)
eye_color_saturation,"""eye_color_saturation"" 122 ""eye_color_saturation"" 127",9,common/dna_data/agot_dna_braavos.txt:500 (Courtesan_3)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 122",9,common/dna_data/agot_dna_crownlands_ancestors.txt:29632 (Massey_66_B)
eye_color_saturation,"""eye_color_saturation"" 123 ""eye_color_saturation"" 127",9,common/dna_data/agot_dna_dorne.txt:3826 (Dayne_14)
eye_color_saturation,"""eye_color_saturation"" 141 ""eye_color_saturation"" 141",9,common/dna_data/agot_dna_dragonstone_ancestors.txt:5786 (Celtigar_19)
eye_color_saturation,"""eye_color_saturation"" 87 ""eye_color_saturation"" 87",9,common/dna_data/agot_dna_iron_islands.txt:10666 (Freeborn_5)
eye_color_saturation,"""eye_color_saturation"" 80 ""eye_color_saturation"" 80",9,common/dna_data/agot_dna_north_ancestors.txt:5786 (Bolton_42)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 134",8,common/dna_data/agot_dna_crownlands_ancestors.txt:20838 (Darklyn_8)
eye_color_saturation,"""vanilla_eye_saturation"" 127 ""eye_color_saturation"" 127",8,common/dna_data/agot_dna_dorne_ancestors.txt:46998 (Wyl_17)
eye_color_saturation,"""eye_color_saturation"" 132 ""eye_color_saturation"" 114",8,common/dna_data/agot_dna_reach.txt:37614 (Norridge_3)
eye_color_saturation,"""eye_color_saturation"" 83 ""eye_color_saturation"" 83",7,common/dna_data/agot_dna_a_historical_heroes.txt:110 (Heroes_24)
eye_color_saturation,"""eye_color_saturation"" 149 ""eye_color_saturation"" 149",7,common/dna_data/agot_dna_crownlands.txt:32373 (Rosby_1)
eye_color_saturation,"""eye_color_saturation"" 86 ""eye_color_saturation"" 86",7,common/dna_data/agot_dna_crownlands_ancestors.txt:21230 (Darkwood_39)
eye_color_saturation,"""eye_color_saturation"" 128 ""eye_color_saturation"" 127",7,common/dna_data/agot_dna_crownlands_ancestors.txt:29438 (Massey_66)
eye_color_saturation,"""eye_color_saturation"" 126 ""eye_color_saturation"" 123",7,common/dna_data/agot_dna_dragonstone_ancestors.txt:25541 (Targaryen_13_C)
eye_color_saturation,"""eye_color_saturation"" 88 ""eye_color_saturation"" 88",7,common/dna_data/agot_dna_nightswatch.txt:110 (Castle_Black_1)
eye_color_saturation,"""eye_color_saturation"" 82 ""eye_color_saturation"" 82",7,common/dna_data/agot_dna_north.txt:30824 (Moss_70)
eye_color_saturation,"""eye_color_saturation"" 124 ""eye_color_saturation"" 125",7,common/dna_data/agot_dna_reach_ancestors.txt:18858 (Costayne_15)
eye_color_saturation,"""eye_color_saturation"" 125 ""eye_color_saturation"" 126",6,common/dna_data/agot_dna_braavos_ancestors.txt:3040 (Otherys_48)
eye_color_saturation,"""eye_color_saturation"" 144 ""eye_color_saturation"" 144",6,common/dna_data/agot_dna_crownlands_ancestors.txt:23967 (Hayford_12)
eye_color_saturation,"""eye_color_saturation"" 154 ""eye_color_saturation"" 154",6,common/dna_data/agot_dna_dorne_ancestors.txt:6363 (Claviger_49)
eye_color_saturation,"""eye_color_saturation"" 107 ""eye_color_saturation"" 127",6,common/dna_data/agot_dna_dorne_ancestors.txt:48761 (Wyl_72)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 142",6,common/dna_data/agot_dna_dragonstone_ancestors.txt:30430 (Targaryen_29)
eye_color_saturation,"""eye_color_saturation"" 126 ""eye_color_saturation"" 125",6,common/dna_data/agot_dna_dragonstone_ancestors.txt:49399 (Velaryon_40)
eye_color_saturation,"""eye_color_saturation"" 114 ""eye_color_saturation"" 127",6,common/dna_data/agot_dna_iron_islands.txt:1474 (Botley_10)
eye_color_saturation,"""eye_color_saturation"" 147 ""eye_color_saturation"" 147",6,common/dna_data/agot_dna_reach_ancestors.txt:29590 (Fossoway_58)
eye_color_saturation,"""eye_color_saturation"" 143 ""eye_color_saturation"" 143",5,common/dna_data/agot_dna_crownlands_ancestors.txt:13800 (Darke_19)
eye_color_saturation,"""eye_color_saturation"" 125 ""eye_color_saturation"" 124",5,common/dna_data/agot_dna_crownlands_ancestors.txt:18100 (Darklyn_43)
eye_color_saturation,"""eye_color_saturation"" 120 ""eye_color_saturation"" 127",5,common/dna_data/agot_dna_crownlands_ancestors.txt:18491 (Darklyn_45)
eye_color_saturation,"""eye_color_saturation"" 130 ""eye_color_saturation"" 125",5,common/dna_data/agot_dna_dragonstone.txt:1673 (Brightflame_9)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 97",5,common/dna_data/agot_dna_dragonstone_ancestors.txt:1089 (Blackfyre_14)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 145",5,common/dna_data/agot_dna_dragonstone_ancestors.txt:26909 (Targaryen_135)
eye_color_saturation,"""vanilla_eye_saturation"" 125 ""vanilla_eye_saturation"" 125",5,common/dna_data/agot_dna_dragonstone_ancestors.txt:43335 (Tyanna_1)
eye_color_saturation,"""eye_color_saturation"" 59 ""eye_color_saturation"" 59",5,common/dna_data/agot_dna_iron_islands_ancestors.txt:1868 (Greyjoy_44)
eye_color_saturation,"""eye_color_saturation"" 175 ""eye_color_saturation"" 175",5,common/dna_data/agot_dna_north.txt:8330 (Dustin_8)
eye_color_saturation,"""eye_color_saturation"" 215 ""eye_color_saturation"" 215",5,common/dna_data/agot_dna_north.txt:45887 (Umber_3)
eye_color_saturation,"""vanilla_eye_saturation"" 255 ""vanilla_eye_saturation"" 255",5,common/dna_data/agot_dna_pentos_ancestors.txt:4017 (Haratis_9)
eye_color_saturation,"""eye_color_saturation"" 129 ""eye_color_saturation"" 127",5,common/dna_data/agot_dna_reach_ancestors.txt:15541 (Caswell_35)
eye_color_saturation,"""vanilla_eye_saturation"" 29 ""vanilla_eye_saturation"" 29",5,common/dna_data/agot_dna_vale_ancestors.txt:16946 (Elesham_10)
eye_color_saturation,"""eye_color_saturation"" 125 ""eye_color_saturation"" 130",5,common/dna_data/agot_dna_westerlands_ancestors.txt:40592 (Reyne_30)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 131",4,common/dna_data/agot_dna_braavos_ancestors.txt:2061 (Otherys_43)
eye_color_saturation,"""eye_color_saturation"" 78 ""eye_color_saturation"" 78",4,common/dna_data/agot_dna_crownlands_ancestors.txt:8710 (Cargyll_21_C)
eye_color_saturation,"""eye_color_saturation"" 69 ""eye_color_saturation"" 69",4,common/dna_data/agot_dna_crownlands_ancestors.txt:12236 (Chelsted_61)
eye_color_saturation,"""eye_color_saturation"" 134 ""eye_color_saturation"" 127",4,common/dna_data/agot_dna_crownlands_ancestors.txt:19861 (Darklyn_6)
eye_color_saturation,"""eye_color_saturation"" 135 ""eye_color_saturation"" 127",4,common/dna_data/agot_dna_dorne.txt:3046 (Dayne_1)
eye_color_saturation,"""eye_color_saturation"" 160 ""eye_color_saturation"" 160",4,common/dna_data/agot_dna_dorne_ancestors.txt:30966 (Martell_41)
eye_color_saturation,"""eye_color_saturation"" 161 ""eye_color_saturation"" 161",4,common/dna_data/agot_dna_dragonstone_ancestors.txt:7939 (Celtigar_30)
eye_color_saturation,"""eye_color_saturation"" 90 ""eye_color_saturation"" 90",4,common/dna_data/agot_dna_dragonstone_ancestors.txt:15175 (Palehair_hh_1)
eye_color_saturation,"""eye_color_saturation"" 98 ""eye_color_saturation"" 127",4,common/dna_data/agot_dna_iron_islands.txt:30433 (Stonehouse_5)
eye_color_saturation,"""eye_color_saturation"" 64 ""eye_color_saturation"" 64",4,common/dna_data/agot_dna_north_ancestors.txt:67430 (Stark_64)
eye_color_saturation,"""eye_color_saturation"" 130 ""eye_color_saturation"" 127",4,common/dna_data/agot_dna_reach.txt:53837 (Tyrell_26)
eye_color_saturation,"""eye_color_saturation"" 93 ""eye_color_saturation"" 127",4,common/dna_data/agot_dna_reach_ancestors.txt:19053 (Costayne_19)
eye_color_saturation,"""eye_color_saturation"" 111 ""eye_color_saturation"" 124",4,common/dna_data/agot_dna_reach_ancestors.txt:26465 (Florent_54)
eye_color_saturation,"""eye_color_saturation"" 125 ""eye_color_saturation"" 123",4,common/dna_data/agot_dna_riverlands_ancestors.txt:54648 (Tully_62)
eye_color_saturation,"""eye_color_saturation"" 123 ""eye_color_saturation"" 125",4,common/dna_data/agot_dna_riverlands_ancestors.txt:55039 (Tully_64)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 135",4,common/dna_data/agot_dna_three_daughters.txt:10847 (Rogare_41)
eye_color_saturation,"""vanilla_eye_saturation"" 69 ""vanilla_eye_saturation"" 69",4,common/dna_data/agot_dna_three_daughters_ancestors.txt:24928 (Lohar_68)
eye_color_saturation,"""eye_color_saturation"" 132 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_braavos_ancestors.txt:1280 (Antaryon_47)
eye_color_saturation,"""eye_color_saturation"" 131 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_braavos_ancestors.txt:2256 (Otherys_44)
eye_color_saturation,"""eye_color_saturation"" 72 ""eye_color_saturation"" 72",3,common/dna_data/agot_dna_braavos_ancestors.txt:4406 (Otherys_BP_2)
eye_color_saturation,"""eye_color_saturation"" 121 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_btw_craster.txt:501 (Craster_13)
eye_color_saturation,"""eye_color_saturation"" 124 ""eye_color_saturation"" 114",3,common/dna_data/agot_dna_crownlands.txt:10873 (Bush_21)
eye_color_saturation,"""eye_color_saturation"" 125 ""eye_color_saturation"" 110",3,common/dna_data/agot_dna_crownlands.txt:19080 (Darke_3)
eye_color_saturation,"""eye_color_saturation"" 68 ""eye_color_saturation"" 68",3,common/dna_data/agot_dna_crownlands.txt:28070 (Massey_69)
eye_color_saturation,"""eye_color_saturation"" 81 ""eye_color_saturation"" 81",3,common/dna_data/agot_dna_crownlands.txt:28265 (Massey_70)
eye_color_saturation,"""eye_color_saturation"" 113 ""vanilla_eye_saturation"" 116",3,common/dna_data/agot_dna_crownlands.txt:38819 (Thorne_32)
eye_color_saturation,"""vanilla_eye_saturation"" 128 ""vanilla_eye_saturation"" 128",3,common/dna_data/agot_dna_crownlands_ancestors.txt:1276 (Bar_Emmon_21)
eye_color_saturation,"""eye_color_saturation"" 143 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_crownlands_ancestors.txt:13018 (Darke_10)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 139",3,common/dna_data/agot_dna_crownlands_ancestors.txt:21034 (Darklyn_9)
eye_color_saturation,"""eye_color_saturation"" 84 ""eye_color_saturation"" 84",3,common/dna_data/agot_dna_crownlands_ancestors.txt:28069 (Massey_29)
eye_color_saturation,"""eye_color_saturation"" 79 ""eye_color_saturation"" 79",3,common/dna_data/agot_dna_crownlands_ancestors.txt:30412 (Quince_21_A)
eye_color_saturation,"""eye_color_saturation"" 123 ""eye_color_saturation"" 124",3,common/dna_data/agot_dna_crownlands_ancestors.txt:40549 (Whitfield_8_B)
eye_color_saturation,"""eye_color_saturation"" 130 ""eye_color_saturation"" 126",3,common/dna_data/agot_dna_dorne.txt:5194 (Dayne_8)
eye_color_saturation,"""eye_color_saturation"" 126 ""eye_color_saturation"" 117",3,common/dna_data/agot_dna_dorne.txt:9297 (Martell_16)
eye_color_saturation,"""eye_color_saturation"" 138 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_dorne_ancestors.txt:12616 (Dayne_181)
eye_color_saturation,"""eye_color_saturation"" 109 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_dorne_ancestors.txt:16329 (Dayne_62)
eye_color_saturation,"""eye_color_saturation"" 126 ""eye_color_saturation"" 132",3,common/dna_data/agot_dna_dragonstone.txt:4996 (Longwaters_6)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 90",3,common/dna_data/agot_dna_dragonstone.txt:10664 (Velaryon_2)
eye_color_saturation,"""eye_color_saturation"" 140 ""eye_color_saturation"" 132",3,common/dna_data/agot_dna_dragonstone.txt:13396 (Velaryon_89)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 116",3,common/dna_data/agot_dna_dragonstone_ancestors.txt:10481 (Celtigar_43)
eye_color_saturation,"""eye_color_saturation"" 140 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_dragonstone_ancestors.txt:44705 (Velaryon_16)
eye_color_saturation,"""eye_color_saturation"" 125 ""vanilla_eye_saturation"" 127",3,common/dna_data/agot_dna_dragonstone_ancestors.txt:47443 (Velaryon_30)
eye_color_saturation,"""eye_color_saturation"" 179 ""eye_color_saturation"" 179",3,common/dna_data/agot_dna_iron_islands.txt:16542 (Greyjoy_11)
eye_color_saturation,"""eye_color_saturation"" 58 ""eye_color_saturation"" 58",3,common/dna_data/agot_dna_iron_islands.txt:28280 (Saltcliffe_4)
eye_color_saturation,"""eye_color_saturation"" 111 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_iron_islands_ancestors.txt:891 (Goodbrother_42)
eye_color_saturation,"""eye_color_saturation"" 21 ""eye_color_saturation"" 21",3,common/dna_data/agot_dna_iron_islands_ancestors.txt:2062 (Greyjoy_45)
eye_color_saturation,"""eye_color_saturation"" 40 ""eye_color_saturation"" 40",3,common/dna_data/agot_dna_iron_islands_ancestors.txt:3233 (Greyjoy_51)
eye_color_saturation,"""eye_color_saturation"" 185 ""eye_color_saturation"" 185",3,common/dna_data/agot_dna_north.txt:6959 (Dustin_3)
eye_color_saturation,"""vanilla_eye_saturation"" 0 ""vanilla_eye_saturation"" 0",3,common/dna_data/agot_dna_north.txt:10478 (Fenn_34)
eye_color_saturation,"""eye_color_saturation"" 73 ""eye_color_saturation"" 73",3,common/dna_data/agot_dna_north.txt:10868 (FisherSS_1)
eye_color_saturation,"""eye_color_saturation"" 77 ""eye_color_saturation"" 77",3,common/dna_data/agot_dna_north.txt:18307 (Hornwood_1)
eye_color_saturation,"""eye_color_saturation"" 129 ""eye_color_saturation"" 0",3,common/dna_data/agot_dna_north.txt:21826 (Karstark_4)
eye_color_saturation,"""vanilla_eye_saturation"" 162 ""vanilla_eye_saturation"" 162",3,common/dna_data/agot_dna_north.txt:28870 (Mormont_10)
eye_color_saturation,"""vanilla_eye_saturation"" 173 ""vanilla_eye_saturation"" 173",3,common/dna_data/agot_dna_north.txt:29261 (Mormont_2)
eye_color_saturation,"""eye_color_saturation"" 61 ""eye_color_saturation"" 61",3,common/dna_data/agot_dna_north.txt:36497 (Slate_1)
eye_color_saturation,"""eye_color_saturation"" 109 ""eye_color_saturation"" 124",3,common/dna_data/agot_dna_north_ancestors.txt:8135 (Cerwyn_14)
eye_color_saturation,"""eye_color_saturation"" 133 ""eye_color_saturation"" 0",3,common/dna_data/agot_dna_north_ancestors.txt:32594 (Karstark_50)
eye_color_saturation,"""eye_color_saturation"" 156 ""eye_color_saturation"" 156",3,common/dna_data/agot_dna_north_ancestors.txt:36701 (Magnar_12)
eye_color_saturation,"""eye_color_saturation"" 91 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_reach.txt:7918 (Beesbury_76)
eye_color_saturation,"""eye_color_saturation"" 129 ""eye_color_saturation"" 95",3,common/dna_data/agot_dna_reach.txt:11039 (Caswell_3)
eye_color_saturation,"""eye_color_saturation"" 116 ""eye_color_saturation"" 128",3,common/dna_data/agot_dna_reach.txt:23938 (Florent_5)
eye_color_saturation,"""vanilla_eye_saturation"" 124 ""vanilla_eye_saturation"" 124",3,common/dna_data/agot_dna_reach.txt:33317 (Lowborn_Reach_3)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 108",3,common/dna_data/agot_dna_reach.txt:45040 (Rosvenore_96)
eye_color_saturation,"""eye_color_saturation"" 124 ""eye_color_saturation"" 129",3,common/dna_data/agot_dna_reach_ancestors.txt:1087 (Amandine_75)
eye_color_saturation,"""vanilla_eye_saturation"" 130 ""eye_color_saturation"" 127",3,common/dna_data/agot_dna_reach_ancestors.txt:4600 (Ball_31)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 129",3,common/dna_data/agot_dna_reach_ancestors.txt:15737 (Caswell_48)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 147",3,common/dna_data/agot_dna_reach_ancestors.txt:83121 (Tyrell_85)
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 161",3,common/dna_data/agot_dna_riverlands.txt:26085 (Tully_6)
