File,DNA,Coverage,Genes
common/dna_data/agot_dna_crownlands.txt,Massey_70,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_71,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_72,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_73,31,188
common/dna_data/agot_dna_crownlands.txt,Massey_74,31,188
common/dna_data/agot_dna_crownlands.txt,Massey_75,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_76,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_77,31,188
common/dna_data/agot_dna_crownlands.txt,Massey_78,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_79,31,188
common/dna_data/agot_dna_crownlands.txt,Massey_80,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_81,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_82,31,187
common/dna_data/agot_dna_crownlands.txt,Massey_83,31,189
common/dna_data/agot_dna_crownlands.txt,Pyne_1,31,189
common/dna_data/agot_dna_crownlands.txt,Pyne_2,31,189
common/dna_data/agot_dna_crownlands.txt,Pyne_21,31,189
common/dna_data/agot_dna_crownlands.txt,Pyne_22,31,189
common/dna_data/agot_dna_crownlands.txt,Pyne_23,31,189
common/dna_data/agot_dna_crownlands.txt,Pyne_24,31,188
common/dna_data/agot_dna_crownlands.txt,Pyne_rs_2,31,188
common/dna_data/agot_dna_crownlands.txt,Rosby_1,31,188
common/dna_data/agot_dna_crownlands.txt,Rosby_3,31,189
common/dna_data/agot_dna_crownlands.txt,Rosby_4,31,189
common/dna_data/agot_dna_crownlands.txt,Rosby_44,31,189
common/dna_data/agot_dna_crownlands.txt,Rychard_1,31,189
common/dna_data/agot_dna_crownlands.txt,Rykker_2,31,189
common/dna_data/agot_dna_crownlands.txt,Rykker_3,31,189
common/dna_data/agot_dna_crownlands.txt,Rykker_32,31,188
common/dna_data/agot_dna_crownlands.txt,Rykker_34,31,188
common/dna_data/agot_dna_crownlands.txt,Rykker_35,31,188
common/dna_data/agot_dna_crownlands.txt,Shreeve_45,31,189
common/dna_data/agot_dna_crownlands.txt,Slynt_1,31,189
common/dna_data/agot_dna_crownlands.txt,Stokeworth_1,31,189
common/dna_data/agot_dna_crownlands.txt,Stokeworth_2,31,189
common/dna_data/agot_dna_crownlands.txt,Stokeworth_3,31,188
common/dna_data/agot_dna_crownlands.txt,Stokeworth_4,31,188
common/dna_data/agot_dna_crownlands.txt,Stokeworth_5,31,188
common/dna_data/agot_dna_crownlands.txt,Stokeworth_6,31,188
common/dna_data/agot_dna_crownlands.txt,Stokeworth_7,31,188
common/dna_data/agot_dna_crownlands.txt,Sunglass_2,31,189
common/dna_data/agot_dna_crownlands.txt,Sunglass_3,31,189
common/dna_data/agot_dna_crownlands.txt,Sunglass_34,31,188
common/dna_data/agot_dna_crownlands.txt,Sweet_5,31,187
common/dna_data/agot_dna_crownlands.txt,Sweet_9,31,189
common/dna_data/agot_dna_crownlands.txt,Thorne_1,31,188
common/dna_data/agot_dna_crownlands.txt,Thorne_2,31,187
common/dna_data/agot_dna_crownlands.txt,Thorne_26,31,189
common/dna_data/agot_dna_crownlands.txt,Thorne_27,31,188
common/dna_data/agot_dna_crownlands.txt,Thorne_28,31,188
common/dna_data/agot_dna_crownlands.txt,Thorne_29,31,188
common/dna_data/agot_dna_crownlands.txt,Thorne_3,31,189
common/dna_data/agot_dna_crownlands.txt,Thorne_30,31,187
common/dna_data/agot_dna_crownlands.txt,Thorne_31,31,187
common/dna_data/agot_dna_crownlands.txt,Thorne_32,31,187
common/dna_data/agot_dna_crownlands.txt,Thorne_33,31,187
common/dna_data/agot_dna_crownlands.txt,Thorne_34,31,188
common/dna_data/agot_dna_crownlands.txt,Thorne_35,31,187
common/dna_data/agot_dna_crownlands.txt,Thorne_36,31,187
common/dna_data/agot_dna_crownlands.txt,Thorne_37,31,188
common/dna_data/agot_dna_crownlands.txt,Whitfield_23,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Asrig_55,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_14,31,187
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_15,31,187
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_16,31,187
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_17,31,187
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_87_B,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_21,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_22,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_27,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_32,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_33,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_46,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_49,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_79,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_80,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_81,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_87,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_88,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_89,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_90,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bar_Emmon_91,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bean_1,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bean_11,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Bean_2,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bean_32,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bean_44,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Blackberry_10,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Blackberry_62,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Blackberry_64,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Blackberry_65,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Blackberry_9,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Blackberry_9_B,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Blount_14_B,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bourney_33,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Branfield_40,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Branfield_44,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Brownhollow_35,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Brownhollow_36,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Buckwell_18_B,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bywater_24,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Bywater_27,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_1,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_2,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_2_B,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_21_C,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_25_A,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_3,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_3_B,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_3_C,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_3_D,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_4,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_5,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_6,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_6_B,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_6_C,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_6_D,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_6_E,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_7,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_8,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_8_A,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_9,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Cargyll_9_B,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Chelsted_61,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Chelsted_62,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Chelsted_63,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Corne_64,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_10,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_11,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_12,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_13,31,187
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_19,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_32,31,189
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_4,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_5,31,188
common/dna_data/agot_dna_crownlands_ancestors.txt,Darke_6,31,189
