"File","Function","FunctionHeader","Kind","SchemeLine","TargetLine","DiagnosticCount","LogLines","Actor","Dragon","Target","DragonMatchesTarget","DirectBondPrecedesScheme","ToastActor","ToastDragon","CurrentCharacter","ChildName","ChildAge","IdentityTrait","OptionalDragonGuard","ExplicitDragonExists","CandidateAliveGuard","CandidateNightswatchGuard","EligibilityNightswatchGuard"
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_36_birth_effect","asoiaf_canon_children_Targaryen_36_birth_effect = { #Alysanne Targaryen (daughter of Aenys I)","Birth","4881","4883","3","10094,10563,10567","scope:child","character:dragon_silverwing","character:dragon_silverwing","True","True","scope:child","character:dragon_silverwing","after_creation newborn","Alysanne","0","asoiaf_Targaryen_36_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_41_and_42_birth_effect","asoiaf_canon_children_Targaryen_41_and_42_birth_effect = { #Aerea & Rhaella Targaryen (children of Aegon)","Birth","5181","5183","3","10095,10575,10579","scope:child","character:dragon_balerion","character:dragon_balerion","True","True","scope:child","character:dragon_balerion","after_creation newborn","Aerea","0","asoiaf_Targaryen_41_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_45_birth_effect","asoiaf_canon_children_Targaryen_45_birth_effect = { #Aemon Targaryen (son of Jaehaerys I)","Birth","5417","5419","3","10096,10591,10595","scope:child","character:dragon_caraxes","character:dragon_caraxes","True","True","scope:child","character:dragon_caraxes","after_creation newborn","Aemon","0","asoiaf_Targaryen_45_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_47_birth_effect","asoiaf_canon_children_Targaryen_47_birth_effect = { #Alyssa Targaryen (daughter of Jaehaerys I)","Birth","5551","5553","3","10097,10607,10611","scope:child","character:dragon_meleys","character:dragon_meleys","True","True","scope:child","character:dragon_meleys","after_creation newborn","Alyssa","0","asoiaf_Targaryen_47_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_59_birth_effect","asoiaf_canon_children_Targaryen_59_birth_effect = { #Rhaenys Targaryen (daughter of Aemon)","Birth","6331","6333","3","10098,10615,10619","scope:child","character:dragon_meleys","character:dragon_meleys","True","True","scope:child","character:dragon_meleys","after_creation newborn","Rhaenys","0","asoiaf_Targaryen_59_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_60_birth_effect","asoiaf_canon_children_Targaryen_60_birth_effect = { #Viserys I Targaryen","Birth","6439","6441","3","10099,10623,10627","scope:child","character:dragon_balerion","character:dragon_balerion","True","True","scope:child","character:dragon_balerion","after_creation newborn","Viserys","0","asoiaf_Targaryen_60_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_61_birth_effect","asoiaf_canon_children_Targaryen_61_birth_effect = { #Daemon Targaryen (son of Baelon)","Birth","6542","6544","3","10100,10631,10635","scope:child","character:dragon_caraxes","character:dragon_caraxes","True","True","scope:child","character:dragon_caraxes","after_creation newborn","Daemon","0","asoiaf_Targaryen_61_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_63_birth_effect","asoiaf_canon_children_Targaryen_63_birth_effect = { #Rhaenyra Targaryen (daughter of Viserys I)","Birth","6729","6731","3","10101,10639,10643","scope:child","character:dragon_syrax","character:dragon_syrax","True","True","scope:child","character:dragon_syrax","after_creation newborn","Rhaenyra","0","asoiaf_Targaryen_63_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_65_birth_effect","asoiaf_canon_children_Targaryen_65_birth_effect = { #Aegon II Targaryen","Birth","6896","6898","3","10102,10647,10651","scope:child","character:dragon_sunfyre","character:dragon_sunfyre","True","True","scope:child","character:dragon_sunfyre","after_creation newborn","Aegon","0","asoiaf_Targaryen_65_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_66_birth_effect","asoiaf_canon_children_Targaryen_66_birth_effect = { #Helaena Targaryen (daughter of Viserys I)","Birth","7020","7022","3","10103,10655,10659","scope:child","character:dragon_dreamfyre","character:dragon_dreamfyre","True","True","scope:child","character:dragon_dreamfyre","after_creation newborn","Helaena","0","asoiaf_Targaryen_66_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_67_birth_effect","asoiaf_canon_children_Targaryen_67_birth_effect = { #Aemond Targaryen (son of Viserys I)","Birth","7131","7133","3","10104,10663,10667","scope:child","character:dragon_vhagar","character:dragon_vhagar","True","True","scope:child","character:dragon_vhagar","after_creation newborn","Aemond","0","asoiaf_Targaryen_67_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_68_birth_effect","asoiaf_canon_children_Targaryen_68_birth_effect = { #Daeron Targaryen (son of Viserys I)","Birth","7282","7284","3","10105,10671,10675","scope:child","character:dragon_tessarion","character:dragon_tessarion","True","True","scope:child","character:dragon_tessarion","after_creation newborn","Daeron","0","asoiaf_Targaryen_68_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_69_birth_effect","asoiaf_canon_children_Targaryen_69_birth_effect = { #Baela Targaryen (daughter of Daemon)","Birth","7425","7427","3","10106,10679,10683","scope:child","character:dragon_moondancer","character:dragon_moondancer","True","True","scope:child","character:dragon_moondancer","after_creation newborn","Baela","0","asoiaf_Targaryen_69_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_70_birth_effect","asoiaf_canon_children_Targaryen_70_birth_effect = { #Rhaena Targaryen (daughter of Daemon)","Birth","7513","7515","3","10107,10687,10691","scope:child","character:dragon_morning","character:dragon_morning","True","True","scope:child","character:dragon_morning","after_creation newborn","Rhaena","0","asoiaf_Targaryen_70_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_75_birth_effect","asoiaf_canon_children_Targaryen_75_birth_effect = { #Jacaerys Velaryon (son of Rhaenyra)","Birth","7840","7842","3","10108,10695,10699","scope:child","character:dragon_vermax","character:dragon_vermax","True","True","scope:child","character:dragon_vermax","after_creation newborn","Jacaerys","0","asoiaf_Targaryen_75_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_76_birth_effect","asoiaf_canon_children_Targaryen_76_birth_effect = { #Lucerys Velaryon (son of Rhaenyra)","Birth","7994","7996","3","10109,10703,10707","scope:child","character:dragon_arrax","character:dragon_arrax","True","True","scope:child","character:dragon_arrax","after_creation newborn","Lucerys","0","asoiaf_Targaryen_76_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_77_birth_effect","asoiaf_canon_children_Targaryen_77_birth_effect = { #Joffrey Velaryon (son of Rhaenyra)","Birth","8141","8143","3","10110,10711,10715","scope:child","character:dragon_tyraxes","character:dragon_tyraxes","True","True","scope:child","character:dragon_tyraxes","after_creation newborn","Joffrey","0","asoiaf_Targaryen_77_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_78_birth_effect","asoiaf_canon_children_Targaryen_78_birth_effect = { #Aegon III Targaryen","Birth","8287","8289","3","10111,10719,10723","scope:child","character:dragon_stormcloud","character:dragon_stormcloud","True","True","scope:child","character:dragon_stormcloud","after_creation newborn","Aegon","0","asoiaf_Targaryen_78_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Velaryon_34_birth_effect","asoiaf_canon_children_Velaryon_34_birth_effect = { #Laena Velaryon (daughter of Corlys)","Birth","11748","11750","3","10116,10727,10731","scope:child","character:dragon_vhagar","character:dragon_vhagar","True","True","scope:child","character:dragon_vhagar","after_creation newborn","Laena","0","asoiaf_Velaryon_34_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Velaryon_35_birth_effect","asoiaf_canon_children_Velaryon_35_birth_effect = { #Laenor Velaryon (son of Corlys)","Birth","11833","11835","3","10117,10735,10739","scope:child","character:dragon_seasmoke","character:dragon_seasmoke","True","True","scope:child","character:dragon_seasmoke","after_creation newborn","Laenor","0","asoiaf_Velaryon_35_trait","True","False",,,
