"Key","Order","Mod","Path","File","Line","Value","TrailingText","Repository"
"artifact_vs_sword_4_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","12","Этот меч был обнаружен во время путешествия в Старую Валирию, древнюю землю, которой когда-то правили валирийцы. Меч, найденный в Старой Валирии, - редкий артефакт, свидетельство мастерства и искусности давно ушедшей эпохи. Это одна из немногих оставшихся реликвий того времени, когда магия и технология были взаимосвязаны, а знания о его создании были утеряны в веках. Это был либо удар удачи, либо судьба, благодаря которой частица древней валирийской истории дошла до наших дней.","","False"
"artifact_vs_sword_4_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","13","Этот меч был найден во время плавания в Старую Валирию — землю Четырнадцати Огней, где некогда правили драконьи владыки. Сам клинок — редкий артефакт и подлинное свидетельство мастерства, исчезнувшего вместе с Валирийским фригольдом. В нём ещё чувствуется эпоха, когда магия и ремесло сплетались воедино, хотя тайна ковки таких клинков давно утрачена. Случайность ли это или воля судьбы, но в мир вернулась частица Валирии, пережившая Рок.","","False"
"artifact_vs_axe_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","14","Топор из валирийской стали","","False"
"artifact_vs_axe_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","15","Топор из валирийской стали","","False"
"artifact_vs_axe_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","15","Этот топор был обнаружен во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и интригу, а также огромную зависть у тех, кто положил на него глаз.","","False"
"artifact_vs_axe_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","16","Этот топор был найден во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на него с почтительным трепетом — и немалой завистью.","","False"
"artifact_vs_mace_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","17","Булава из валирийской стали","","False"
"artifact_vs_mace_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","18","Булава из валирийской стали","","False"
"artifact_vs_mace_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","18","Эта булава была обнаружена во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и интригу, а также огромную зависть у тех, кто положил на него глаз.","","False"
"artifact_vs_mace_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","19","Эта булава была найдена во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на неё с почтительным трепетом — и немалой завистью.","","False"
"artifact_vs_spear_1_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","20","Копьё из валирийской стали","","False"
"artifact_vs_spear_1_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","21","Копьё из валирийской стали","","False"
"artifact_vs_spear_1_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","21","Это копье было найдено во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и интригу, а также огромную зависть у тех, кто положит на него глаз.\n\n\n Рукоятка копья сделана из дерева черного цвета, а наконечник - из валирийской стали, которая все еще сохраняет остроту с того дня, когда была изготовлена давным-давно.","","False"
"artifact_vs_spear_1_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","22","Это копьё было найдено во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на него с почтительным трепетом — и немалой завистью.\n\nДревко копья сделано из чёрного дерева, а наконечник — из валирийской стали, сохранившей остроту с тех давних времён, когда это оружие было выковано.","","False"
"artifact_vs_dagger_1_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","23","Кинжал из валирийской стали","","False"
"artifact_vs_dagger_1_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","24","Кинжал из валирийской стали","","False"
"artifact_vs_dagger_1_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","24","Этот кинжал был обнаружен во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и интригу, а также огромную зависть у тех, кто положил на него глаз.","","False"
"artifact_vs_dagger_1_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","25","Этот кинжал был найден во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на него с почтительным трепетом — и немалой завистью.","","False"
"artifact_vs_halberd_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","27","Алебарда из валирийской стали","","False"
"artifact_vs_halberd_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","28","Алебарда из валирийской стали","","False"
"artifact_vs_halberd_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","28","Эта алебарда была обнаружена во время путешествия в Старую Валирию. Это одно из немногих сохранившихся оружий из валирийской стали, которое вызывает уважение и зависть у тех, кто на него смотрит.\n\nДревко алебарды сделано из дерева черного цвета, а оружие - из валирийской стали, которая все еще сохраняет остроту с того дня, когда была изготовлена давным-давно.","","False"
"artifact_vs_halberd_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","29","Эта алебарда была найдена во время плавания в Старую Валирию. Это один из немногих уцелевших образцов оружия из валирийской стали: всякий, кто понимает истинную цену такой находки, смотрит на неё с почтительным трепетом — и немалой завистью.\n\nДревко алебарды сделано из чёрного дерева, а лезвие — из валирийской стали, сохранившей остроту с тех давних времён, когда это оружие было выковано.","","False"
"artifact_dragon_horn_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","30","Драконий рог","","False"
"artifact_dragon_horn_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","31","Драконий рог","","False"
"dragon_horn_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","32","Древний драконий рог, созданный из рога могучего дракона, эта реликвия пропитана сущностью и силой своего легендарного происхождения. Поверхность рога искусно выгравирована валирийскими глифами, намекающими на мощную магию, заключенную в нем. \n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n","","False"
"dragon_horn_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","33","Этот древний инструмент, выточенный из рога могучего дракона, хранит силу своего легендарного происхождения. Его поверхность покрыта тонкой вязью валирийских глифов, намекающих на могущественную магию, заключённую в нём. \n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n","","False"
"dragon_horn_end_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","34","\n\nПо мнению некоторых, драконьи рога могут использоваться для укрощения древних зверей...","","False"
"dragon_horn_end_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","35","\n\nПо некоторым преданиям, древнее колдовство позволяет таким рогам служить для укрощения драконов...","","False"
"dragon_horn_silver_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","35","$dragon_horn_desc$\nЭтот рог блестит мягким серебристым металлом с бледно-белой окантовкой. $dragon_horn_end_desc$","","False"
"dragon_horn_silver_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","36","$dragon_horn_desc$\nРог мерцает мягким серебром с бледно-белой окантовкой. $dragon_horn_end_desc$","","False"
"dragon_horn_black_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","36","$dragon_horn_desc$\nЭтот рог имеет гладкую полированную поверхность, излучающую мрачную элегантность и грозную силу. $dragon_horn_end_desc$","","False"
"dragon_horn_black_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","37","$dragon_horn_desc$\nГладкая отполированная поверхность рога выглядит мрачно, изысканно и грозно. $dragon_horn_end_desc$","","False"
"dragon_horn_red_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","37","$dragon_horn_desc$\nВ конструкции этого рога использованы яркие вставки и отделка из красного металла, создающие драматический контраст, подчеркивающий его грозный вид. $dragon_horn_end_desc$"," ","False"
"dragon_horn_red_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","38","$dragon_horn_desc$\nАлые металлические вставки резко выделяются на поверхности рога и подчёркивают его грозное величие. $dragon_horn_end_desc$","","False"
"dragon_horn_brown_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","38","$dragon_horn_desc$\nЭтот рог имеет богатую текстурированную поверхность с естественным рисунком зерен, подчеркнутую яркой оранжевой отделкой, которая подчеркивает его теплую красоту. $dragon_horn_end_desc$"," ","False"
"dragon_horn_brown_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","39","$dragon_horn_desc$\nНеровная поверхность рога, испещрённая природным узором, оттенена ярко-оранжевой отделкой и кажется почти живой. $dragon_horn_end_desc$","","False"
"dragon_horn_blackGold_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","39","$dragon_horn_desc$\nЭтот рог был изготовлен из темного драконьего рога и имеет гладкую поверхность из черного дерева, украшенную сложной золотой отделкой, которая подчеркивает его величественный и мощный вид. $dragon_horn_end_desc$"," ","False"
"dragon_horn_blackGold_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","40","$dragon_horn_desc$\nЭбеново-чёрная поверхность отполирована до глубокого блеска, а тонкая золотая отделка придаёт ему царственный и зловещий облик. $dragon_horn_end_desc$","","False"
"dragon_horn_tan_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","40","$dragon_horn_desc$\nЭтот рог имеет гладкую поверхность песочного цвета с едва заметными естественными полосами и теплым, землистым отблеском. $dragon_horn_end_desc$"," ","False"
"dragon_horn_tan_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","41","$dragon_horn_desc$\nГладкая песчаная поверхность рога с едва заметными природными прожилками отливает тёплым землистым светом. $dragon_horn_end_desc$","","False"
"artifact_dragon_whip","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","42","Драконий хлыст"," ","False"
"artifact_dragon_whip","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","43","Драконья плеть","","False"
"artifact_dragon_whip_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","43","Драконий хлыст из Старой Валирии - страшный артефакт, выкованный в огне Четырнадцати Пламен. Изготовленный из редких металлов и драконьей кожи, этот кнут был инструментом господства, который использовали владыки драконов, чтобы повелевать и усмирять своих величественных зверей. Плеть, покрытая крошечными, острыми как бритва чешуйками, могла прорезать самую толстую шкуру, оставляя за собой след из мерцающих серебряных искр. Эта реликвия - напоминание о могуществе и мастерстве валирийцев над своими драконьими союзниками.\n\nВ умелых руках такой инструмент может оказаться полезным для укрощения дракона..."," ","False"
"artifact_dragon_whip_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","44","Драконья плеть Старой Валирии — грозный артефакт, созданный в пламени Четырнадцати Огней. Сплетённая из редких металлов и драконьей кожи, она служила орудием подчинения: драконьи владыки повелевали с её помощью своими величественными зверями и держали их в узде. Ремень, усеянный крошечными острыми чешуйками, мог рассечь самую толстую шкуру, оставляя за собой след серебристых искр. Этот артефакт напоминает о могуществе валирийцев и их власти над драконами.\n\nВ умелых руках такой инструмент может помочь укротить дракона...","","False"
"artifact_valyrian_book","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","45","Валирийская книга"," ","False"
"artifact_valyrian_book","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","46","Валирийская книга","","False"
"valyrian_book_desc","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","46","Древняя валирийская книга, переплетенная в кожу, - реликвия погибшей цивилизации. Тонкие и состаренные страницы испещрены загадочными глифами и магическими знаниями. Считается, что в этом фолианте содержатся могущественные заклинания, предания о драконах и секреты валирийской стали, что делает его желанным артефактом для ученых и колдунов.\n\nГоворят, что древние драконьи предания можно узнать из таких книг, как эта...","","False"
"valyrian_book_desc","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","47","Древняя валирийская книга в кожаном переплёте — реликт погибшей цивилизации. Её хрупкие, потемневшие от времени страницы исписаны загадочной валирийской вязью и тайными знаниями. Говорят, этот фолиант хранит могущественные заклинания, драконьи предания и тайны валирийской стали, а потому одинаково желанен для учёных, колдунов и всякого, кто ищет власть над драконами.\n\nСчитается, что по таким книгам можно восстановить забытые драконьи предания...","","False"
"artifact_vs_goblet_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","48","Кубок из валирийской стали"," ","False"
"artifact_vs_goblet_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","49","Кубок из валирийской стали","","False"
"artifact_vs_goblet","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","49","Кубок из валирийской стали"," ","False"
"artifact_vs_goblet","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","50","Кубок из валирийской стали","","False"
"artifact_vs_goblet_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","50","Кубок из валирийской стали, выкованный в огне древней Валирии, сверкает потусторонним блеском. Поверхность кубка испещрена замысловатыми узорами, напоминающими чешую дракона, и в руке он кажется одновременно легким и нерушимым. Его края гладкие и в то же время острые, что свидетельствует о легендарном мастерстве, с которым он был создан.\n\nВ чаше достаточно валирийской стали, чтобы ее можно было переплавить и восстановить... при наличии подходящего кузнеца.","","False"
"artifact_vs_goblet_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","51","Кубок из валирийской стали, выкованный в огнях Старой Валирии, мерцает неземным блеском. Его поверхность покрыта сложным узором, напоминающим драконью чешую, а в руке он кажется одновременно лёгким и несокрушимым. Кромка кубка гладка, но опасно остра — свидетельство легендарного мастерства его создателей.\n\nВ этом кубке достаточно валирийской стали, чтобы перековать его в другой предмет... если найти подходящего кузнеца.","","False"
"DRAGON_PREFIX","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\modifiers\valyrian_modifiers_l_russian.yml","localization/russian/modifiers/valyrian_modifiers_l_russian.yml","2","@temperament_icon!","","False"
"DRAGON_PREFIX","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\valyrian_modifiers_l_russian.yml","localization/russian/valyrian_modifiers_l_russian.yml","3","@temperament_icon!","","False"
"scheme_dragon_horn","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\modifiers\valyrian_modifiers_l_russian.yml","localization/russian/modifiers/valyrian_modifiers_l_russian.yml","3","Драконий рог: $VALUE|+0=-+$","","False"
"scheme_dragon_horn","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\valyrian_modifiers_l_russian.yml","localization/russian/valyrian_modifiers_l_russian.yml","4","Драконий рог: $VALUE|+0=-+$","","False"
"scheme_dragon_whip","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\modifiers\valyrian_modifiers_l_russian.yml","localization/russian/modifiers/valyrian_modifiers_l_russian.yml","4","Драконий хлыст: $VALUE|+0=-+$","","False"
