File,Category,OriginalLines,OutputLines,RemovedOrReplacedOriginalLines,InsertedOrReplacementLines,RemovedOrReplacedActiveLines,InsertedOrReplacementActiveLines,SourceSHA256,OutputSHA256
common/scripted_effects/asoiaf_clear_traits_effects.txt,Gameplay scripts and history/data,1038,1014,24,0,24,0,D595A8D3B2DD2F60FBB186D2765D98CB28F21AB789E3BC3896B7F7477C59087E,BCCD62296F65E16A0D292F848BCF76A473A8DB7A12AACEDE311C60F5D635A448
common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt,Gameplay scripts and history/data,2622,2649,31,58,31,2,4786ED9B37B34D4382DCBAEA41132CED9958F06E6F5AF6A04EC3688A2262416B,4CF249B155BC07E3CF65EE6EC30E6EB5DD498C02A047D209B60FE1A8E91F48DB
common/on_action/agot_on_actions/test_title_on_actions.txt,Gameplay scripts and history/data,1054,1053,51,50,51,21,C5D8C4ED2A7E7D74C3CE69B813A59B79F2F9BA7A9051B986D8BE9B8DA6D3C909,B20477F6BD1687F88BF75D00BBEDE8EDEF5E565EB17949144625F6931A556948
common/scripted_triggers/asoiaf_cultural_portrait_triggers.txt,Gameplay scripts and history/data,274,274,1,1,1,1,AFA7D370413B23E25BC4D85EA6C4BCB1254C14AA0CACF7DC31DB1315B031C037,B9E016D02F18B2238B73AA35629FB7B48D52FE7F1C429014124754B7F78FDB73
gfx/interface/illustrations/scripted_illustrations/ingame.txt,Graphics and interface definitions,21788,21787,1,0,1,0,7926254222CF475D4523DEE9C4CF595E6563ED1536E81D54E8E56E8F9C22C45B,054E74388D52224625DE59D2AD843BE745D8492D113F6CA0E80BB671A2BB76BC
gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,Graphics and interface definitions,19771,19767,180,176,180,176,F4D773BEAC227AD8BB5830F704B1F43FCDD107F83E20EF29D0FF21680D84EAEE,B60E4542B5527FB786BD65FE4AE322C5D488BA270CCF6E797D9E1DE875216A2D
gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt,Graphics and interface definitions,5706,5704,9,7,9,7,AE2EB65492606C72E55533F3A0B4D04DD80CD7BB8F10207E5FEAE09C6E821261,9E4A4805BBE74D16AB1928E8E76D849900185137A4F3033AB2952CE373A75550
common/on_action/asoiaf_marriage_concubinage_on_actions.txt,Gameplay scripts and history/data,228,203,30,5,30,4,E7D473B5AC906A8CF4AF3BEB3AD8180FCB458DCC67A302CAE17A446B609F3F93,E92569D11BC78F581B45A8A87EE77A9D1B23E198747898AA40886F7B4B35E552
common/on_action/asoiaf_setup.txt,Gameplay scripts and history/data,256,255,1,0,1,0,7F25A4EEBEEA047BE468ADF362AE73D266A7B308D23897A31BBEA237C35BD239,4F02869D2915635D638A9AEE17825DA9E370DF681E1B60CA2B222C3BE243B0F3
gfx/portraits/portrait_modifiers/asoiaf_clothes_situational.txt,Graphics and interface definitions,519,514,6,1,6,1,83382DA14ED0923BF7CB806EAD7980A7B5D94EA07E3CE49880AECB531912F099,4AC44F7847087C1DD809C4AC467858FADF98087489B29634795F868CEB2408CD
gfx/portraits/portrait_modifiers/asoiaf_headgear_situational.txt,Graphics and interface definitions,422,417,6,1,6,1,97C17944F7861BABA3E6D90A84171FE354A486490B371FA7F7D40CBD527C5A8B,6E8F1421994940A991D99C8E39D380787EC211304D831FC811EEA1B4B7C1D8AA
common/scripted_effects/asoiaf_scripted_effects_artifacts.txt,Gameplay scripts and history/data,2657,2672,30,45,30,30,42C5DA841DDB36017F8418637FB4438F344C100807334CF7D889B329BB90A8A7,B19E079D6D3DC828D835094C9DAC78FB1B5B1FB98C4E53A7D0AE3E7FEE034F34
common/modifiers/asoiaf_artifact_modifiers.txt,Gameplay scripts and history/data,95,96,7,8,6,0,B781C7358E4A93E7C980133728BFF9DE1F077595C0DC26420F2E65E4EA7A894D,1A2DDA9522602C6B318C259CFA2B96C55AC16D2180967AE314BFCC077EA4177C
history/characters/asoiaf_char_dummies.txt,Gameplay scripts and history/data,6663,6664,6,7,6,1,3247536CBCDDA49D1F86672468586D42267C9A1041623349895849EC3580C4D3,23E5127124284501CBFDD5812BE402B6EABD7E33ADD228A7D8949F0E6E68DF32
history/characters/asoiaf_char_stormlands.txt,Gameplay scripts and history/data,161,165,2,6,2,5,2695D6DA9D102F752A0CBA6DAD59041D24832AF565D1E8358C406315FB55C96E,3B4819776778E202D7CBC9FAA5B6AA776299BD2F5AF3813DD5ECC5E129040A5F
history/characters/asoiaf_char_vanity.txt,Gameplay scripts and history/data,3660,3660,96,96,96,0,2FE8519624FEA74011A50253C42C4749244A05C3523129895226CA5C2960ED86,1E3737F09630CE6C3B9B79DB5624D2639D6E17CB614124BD7F653B9C96FECA78
common/scripted_triggers/asoiaf_canon_children_triggers.txt,Gameplay scripts and history/data,2560,2588,38,66,36,64,B5E83DB3C1DFD66DD07446F3571CE569D184ACA343A4B3668003FB7052701A1D,A623A488BA8F0269EEA91D3C8D0530490F7DBF6227604028B15B06C8C458D974
events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt,Gameplay scripts and history/data,1192,1187,9,4,7,2,0732DD3EAF17C77AC2482EC0F6D305941DF4DEDCB32718F5FDCF2F37FAEBBF0E,EE0E9320BED7505FAFB867EC077E49FC2FB81E6A242DEB0A2F0BB6EAE8D3A90D
common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt,Gameplay scripts and history/data,999,1003,2,6,0,4,B6D3920F559C7B6183C3DB9B8BE3B9BE80F99209FA71CEB2CA2562D8471796E9,E3D189C0249A58FB7D270B5EF6281B30A2BAA9397BEAE97272F3CDFAF1F6FCE2
common/decisions/asoiaf_house_branch_decisions.txt,Gameplay scripts and history/data,940,943,8,11,8,3,0248521BF02C1435280CC9F4D2648B76E480752CD27BE295CF97F185D0D8F928,D0750B253FDEF7F345E369813E9E3707301E3D620105FBBFA5F9ABB8A8EFA8B2
common/on_action/asoiaf_army_on_actions.txt,Gameplay scripts and history/data,281,285,4,8,4,8,F9F0F018872923F06680E696EF4411211F0721CD8F531792EAB47521B22D6797,11A0ED712477C42BAE851447BF9085CCD19EE500CF5781AE343B310E142E11CE
events/asoiaf_mega_war_events.txt,Gameplay scripts and history/data,10,11,8,9,7,0,36C278A64244EF582FC68CC91914654C94585F1098CFD1B1CE4315B41CE2F15A,07754E0BB6B3993EEFAA5720E4B3789B2705AA150229906F86D48C6E7F86FD16
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,DNA and bookmark portraits,216,216,9,9,9,1,3CD6CE4AC27DEF61EC9550B6451236DEF0008DB3A0A6549855110DF50CEC338B,26175CCBEF8911CF09A61D27759E4942A3577287CA004ECE8AE696174120A45B
common/bookmark_portraits/bookmark_106_viserys_targaryen.txt,DNA and bookmark portraits,228,228,9,9,9,1,E1A51876F18B4B5EC2EF517060444F03E53DD95946F5AB0DC6B56BE9148491D2,02F49C0288CDFCC83AFDCCD8EC0CDE1D73755FAB9625F3302DCAA37059B149D0
common/bookmark_portraits/bookmark_209_egg.txt,DNA and bookmark portraits,227,227,9,9,9,1,402E4CCC834EA6A1E9B6C5F040C0C6B0CD039BEAD0B8B5565A0BC200847A5579,62E955B80DC9665966FAB045B349C80255C77BFEFA4CE9D16A76C8F5CA07979F
common/bookmark_portraits/bookmark_284_cressen.txt,DNA and bookmark portraits,204,204,10,10,10,2,0D29296219B96F7FA53B509023B2E12D9BC68A9A2354649E842DAB17F9D2876C,953C26DA547710C92D0A2A5CD1B109BC74DB1CA68E293C45DCD8B6CE3DB3CC82
common/bookmark_portraits/bookmark_82_osmund_strong.txt,DNA and bookmark portraits,219,219,9,9,9,1,5770EC2D1FEE0333E64908CE8AC573DE0C5DFF4061C1A3676321E546810D1867,B22C32B80D0A07D4853D6BE7F915ADE7479A1CFD37FC737F54B70A56B0E49B60
common/dna_data/test_dna_beyond_the_wall.txt,DNA and bookmark portraits,369,391,0,22,0,20,2CA1577F2A148F824924FEE71D58E551603D4E0B762C7F7BA22BFF60B7A09BCB,22BBF56AB1C053590D1C2F478867944C4F0715DDFE1329A1451476D7D2348479
common/dna_data/test_dna_crownlands.txt,DNA and bookmark portraits,4334,4832,149,647,149,495,D2B5AE3984C08831E1D4EC6C582D71C2C36D152F2D37033C7B39206E94CDD40D,34B3CEACD5878B5B6CF056A9EE97269AF5C0F440A3181E6A430CEFED70135DB0
common/dna_data/test_dna_dornish.txt,DNA and bookmark portraits,2340,2651,122,433,122,317,59236ABE59E7A674BE458F4799EFEFCB4A714E08A4CA83C04FE3D0EC575FF851,CBBB532CB121B0B54DA8AC3E184BE3BA3CFC779FD1AD7A9D143F1F579D515B02
common/dna_data/test_dna_easter_eggs.txt,DNA and bookmark portraits,924,979,0,55,0,50,3684BF120E6D93F3D2BDE2F1DC68DE7BE15F7FBE9398A701C3A901B1DA327860,AA363A6F9FD2D40AB0EF1E0950B9BF8ABBE4EC6481AE1F902C6F2B7D2B80B9B2
common/dna_data/test_dna_essos.txt,DNA and bookmark portraits,1632,1812,58,238,58,180,F6CA16B8D1695B807EC2D6E0292D054098D7A16412133A0BDA8B4A6EC0EC63ED,DACFB242DB0E03CD901C19D9470EAD07A5AC2EC7C4D7ED31AA4F7EDD64C8BB54
common/dna_data/test_dna_iron_isles.txt,DNA and bookmark portraits,911,1033,51,173,51,126,2C99A01B3C7D8CD3C7E9D515088E0AC57482254C47CB26180CDECF9757A2FEC0,040AEA93089F88A18DBB6CBACF1BEF4259DC163B33A112A3A863B8106C27C4F7
common/dna_data/test_dna_north.txt,DNA and bookmark portraits,8097,9173,404,1480,404,1083,C093F9A32BFA4FF5B4158770A71C4D3BEFCB67243C76B377391D69CE4CBB3417,EAF30FAB5D3E00623EE8C42052D3315FC805873E5FE2DBFB02E9E07EA59920B0
common/dna_data/test_dna_reach.txt,DNA and bookmark portraits,6360,7088,266,994,266,739,20561C6C949044F62D91BB21AD63E5AAC25DB46A7D06C3951E5A5B18BF22D18F,1647B8A0E4B4386F668F8607BC6CC7F3FFE2733984CCAA73D0FF3E06511BF61F
common/dna_data/test_dna_riverlands.txt,DNA and bookmark portraits,2707,3048,129,470,129,347,25064331BDF076DC23149A0F9A4E61BF9B6942BCF5227A3AFAFEEA8A8A3FEBFA,993438F97D7B9BB7AE6A7FAE33FEEA41D4B7417E98CB26EFB6834FD1E57E93E2
common/dna_data/test_dna_stormlands.txt,DNA and bookmark portraits,4690,5268,200,778,200,584,C7E02EEE1DCE1106C518ADFEF4A1A86172B403B8CE930BFCFB315695BEDFE74D,87AEDBDE61ED0E26768DF0E51E49EF659A30D7C55907F8E88700EEA1405105BE
common/dna_data/test_dna_vale.txt,DNA and bookmark portraits,1991,2229,88,326,88,241,22C114A8E9C1B2E55EEB21288A4A9C292E07690DFA1C27C8B5A96E29D30013F9,02BE996E188B88197828544842B4E0902322E38112807B0E4A2792D182E60FC1
common/dna_data/test_dna_valyrian.txt,DNA and bookmark portraits,13920,15533,513,2126,513,1601,719E5D5E4462EBA33C3AB56A4D9701B3E0E8935A4A0F4D695E14CCE8334C4F0C,A1FFFA3B783F7F84BE9867D226E7A34CFB8FB91AB61895A4C6892C3C9E762E05
common/dna_data/test_dna_vanity.txt,DNA and bookmark portraits,178,203,9,34,9,25,E4A1E575047A1AA3C35ADBED7D985A554BCB2060E58BB7F22C2195DD35CFE15A,A3E46B8D804FBEEB418970B71ADAD8E65D4BD71F705DC2BD4C802887A791EF0F
common/dna_data/test_dna_westerlands.txt,DNA and bookmark portraits,5446,6023,162,739,162,568,633D22DDBF0402B54CD1BB3F6A3C97AEDF212258E5B5A91A4748D2BB8D7D602C,18717644F53F2649F8EE31B3FBC63D2A278A83FCBD411B13368F831B647D059B
common/bookmark_portraits/bookmark_236_tion_lannister.txt,DNA and bookmark portraits,228,228,1,1,1,1,DB3343BE12CCF227D01C8B3ABEDEFBBB666B3A056B1E5F5A8851DB75A7EA8A75,CB26A235950CDA19B2C4944EB76B993D3F4B9738A49BAEEE9BAAB6DF2E646155
common/bookmark_portraits/bookmark_277_barristan_selmy.txt,DNA and bookmark portraits,224,224,1,1,1,1,18712B4595A4F46AE1317FBD584B2CB61A94DE5F3DA2259AA6D4438854A7D913,791F9C57226546C236808EF9B81B95EC64CE394B856228DDCB33321A24006AC0
common/bookmark_portraits/bookmark_282_eddard_stark.txt,DNA and bookmark portraits,241,241,1,1,1,0,0B3526760D80C191EDE82EE1D4A7BEC6C6ABE7B4A2AF3D13B902D6E3A259BA8B,E418B830B82A76C9C992B7404D640D9660FE66A9278E6DB7F5879127A033DD85
common/bookmark_portraits/bookmark_282_robert_baratheon.txt,DNA and bookmark portraits,263,263,1,1,1,0,C6C19D627A4C357F79F7B0E84FEDDB510D1957700B7E85EB8AEB7805FD095EB0,5E778D8EC3FB6643CDEBF3027928254A732A005179FD64EC6A0792022B9943CB
common/bookmark_portraits/challenge_character_282_walder_frey.txt,DNA and bookmark portraits,223,223,1,1,1,1,2109FB7F68A4461DC8C9981C8BF235994CEF4E7F3D02E97CE92BBDDEE8477027,AD82EC56C811081626A48807D28C59AC89F0BAF6DBA94067EE6D6BFFB2594371
gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,Graphics and interface definitions,1627,1627,3,3,3,3,56F731D03D9E12BE33C738989A0363B202D21A00922CF8FC9163540BE5E521AD,8B1C941DABB16F37FD7FDECC5D86E189DC436E74794BAA30B50F4D11A5E7C391
gfx/portraits/portrait_modifiers/asoiaf_clothes_armor.txt,Graphics and interface definitions,7036,7036,1,1,1,1,301830882EAD53DCA8BE6BA6098CAAF93EF8EAB55947E582FACCD8677EFC722B,EED092E93DF7D57F39649138942A5BA858247000C5507BDBA1A818E26D4CE03F
gfx/portraits/portrait_modifiers/asoiaf_dragon_appearance_flags.txt,Graphics and interface definitions,1681,1681,4,4,4,4,BFCF22E36943EE31A4CCEDE70B3EC04C793A795C623913D4B92B87638D0E304F,B9132056621E9DB4F497CCF8F1F6A8A5705C178199D9E10BD5DAC168E85C4B5D
gfx/portraits/portrait_modifiers/asoiaf_headgear_armor.txt,Graphics and interface definitions,6091,6091,5,5,5,5,FF1DDD63593768430F7B461BB58EAF1541B661CB5605A58354549B533E23AC8E,AB4AC546A515E18719292D2A03BE5286367CE3592A8EA7151F964861E55C21A3
gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt,Graphics and interface definitions,134,134,7,7,7,7,59C6F0D627E2535E4E253B855FE034C903183F404EDE0F10A5B45A1EF53E3A7D,758C190EEF440D71EED1A93834D9FA62A27BC6C62E8687767A5D5C8095946A70
gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,Graphics and interface definitions,718,718,10,10,10,10,F72DE568830E47F5FBBEC7000D7F2C832E67DB48AFF7F1863D461EA92C501D22,3008ACD9849DC669F80FB7DC059CB40031753D208500986208AC98DBA7270341
gfx/portraits/accessories/asoiaf_cloaks.txt,Graphics and interface definitions,65,65,3,3,3,0,B5CABEE4BF197ACD5F95F91E224A9666F32AA7F1C576E078F9DA90E60CFE1F53,BBE3AB53D8094B5078CB7249635B95576241C20775786A97413E355A1D2464A0
gfx/portraits/accessories/asoiaf_clothes.txt,Graphics and interface definitions,662,662,4,4,4,0,1D23E60E0259190A9CFE76EA6F2127D916980E73FD361428E12C7AC9B2AA2F4B,CEB74C4531A32592F43BC929DE734B237561713BCC58EB76AFDEBAF77355923A
gfx/portraits/accessories/asoiaf_jewellery.txt,Graphics and interface definitions,52,52,3,3,3,0,F37F6876CFB5242493CAE93C47FE52B922B3A00663F29012DC48F1F3CB087E8F,E2115D7470ACD22851D6CDC41AB9DF0C729B6C238517C9E5EA915CA4EB84B46C
gfx/models/portraits/m_legwear/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_legs_coa/asoiaf_ironborn_legs_coa.asset,Graphics and interface definitions,44,44,1,1,1,1,9B99F16E61C0B9222E20730CE5738107D070A3DF4E1B5FB628426F7BD0B0504B,93244E168DE301130584FBF6A8C8BC301F3F44F88CB7BE9E5962DD77A37290A3
gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/asoiaf_lannister_cloak_royal.asset,Graphics and interface definitions,48,25,24,1,22,0,F06884ED965B3F1D9144E31DF519785D9CB4BA38C937AEDD2DFF12CBB97C7B28,A1A0EE294D03FEAD2DEE08ADEF95B1F984C4A19A3714DDBB15B4B3143A6D3159
gfx/models/portraits/f_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/f_asoiaf_lannister_cloak_royal/f_asoiaf_lannister_cloak_royal.asset,Graphics and interface definitions,52,27,26,1,22,0,D37015C845C5F23E88D92423D669B95D19ED4211C4630E7BA5844D1E946A4A0F,27651832E2EC57E3FD9E22522815C52A76EE2AD061F00F4D4FCBF7C4DBD5D5EA
common/customizable_localization/asoiaf_historical_character_loc.txt,Gameplay scripts and history/data,178,178,25,25,25,25,938AB83D9EC572CDECA3F44AA7AAA025D30AF645624BEBF1378B4F13D3A5E930,5D7A64F249598FFEB8240B37F230D7DEF75AF5BB6A14F4C9B5E8974BD8CF7E87
gfx/portraits/portrait_modifiers/asoiaf_beards_custom_flags.txt,Graphics and interface definitions,2768,2768,1,1,1,1,DE3B97465D8CCA6AE504D89757CA23E3768E3A84DF58E5F20B83338F92882732,4B062171B30BF1377EF89534A492C2ED82D2049D5837527E2B247EA0B30B73B6
common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt,Gameplay scripts and history/data,1880,1880,3,3,3,3,417E878F321EDFF35ED11D80CA5DBBA087B93D3023E953BC1CE2C44EFD4C4036,E7C37D03C6D43D3BF5F841B816B87E0F31D5A06C55B634A4D70A2492328363EB
common/coat_of_arms/coat_of_arms/test_personal_coas.txt,Gameplay scripts and history/data,2426,2426,1,1,1,1,E404F3471BDCA432BEE34062FE6B465A303EE20D091DE7E673C7432382D8B271,FDB0AC7CA8016B41E68904CC9DDC07F8EA6210268C7245EC22D8662C7BBF3784
common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt,Gameplay scripts and history/data,1244,1267,8,31,8,18,680E7E748F72D470DCE05B6A3FAE91DC16BAC170F5612A1B4B36929C031AB0AF,51ED37E47B35557FF1795E33BCB46A31D1CBE87BCEE9E6E4E5FA294A01092A9A
common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt,Gameplay scripts and history/data,984,984,2,2,2,2,EA593611D2CA6ABE53FC50E17AF67EF2E6B70F706BCF07AC69863B2B7085D6FF,CCCED006EDFDEC13BBF0E3760DD9C21D983A674910E22CF23F1AFB6A18C1A39B
common/decisions/asoiaf_jon_targ_cadet_branch_decision.txt,Gameplay scripts and history/data,168,170,0,2,0,2,E823437BEE7004812928E6E27D4BC722CBA91B0D71A879637B3FB634A87F2553,CD497511E77166112919930D0DC8B16F38C89B60A0A0B96CABC0764C0453BE31
common/modifiers/asoiaf_canon_children_modifiers.txt,Gameplay scripts and history/data,1623,1624,7,8,7,0,359ECC47D8BBC8814AC73D7480AED47008287092AADCA0F05979465F0C5485FC,B42DB836F85C3535C9D9F31E75D0C87EE597F81B0522E0305513BF65E5FADFA7
common/artifacts/visuals/asoiaf_visuals.txt,Gameplay scripts and history/data,102,103,0,1,0,1,B772B389FBF5F94A4E0B8636E2493848B5E8C8F7B25CE6A55047D830A7701817,46FABBD917AC57A765D9B10C4465D9082AE8D7E43C324B2AEE05E23AAE1A2B31
