File,Category,Lines,NonblankLines,ActiveLines,Bytes,SHA256
localization/english/asoiaf_game_rules_l_english.yml,Localization,340,257,215,23234,DC6A5BCC2289A0AE82E9C85079DE3E01BD3CE9890B092CE95FDD73066087558E
localization/english/asoiaf_historical_characters_l_english.yml,Localization,52,27,27,8484,EF25C6E13A60A0C9AD3FF17830D211B2F2C33961636CD16F5BDF34A978E8350D
localization/english/asoiaf_house_relations_l_english.yml,Localization,3,3,3,357,50471AB399C3AC01AED4C968E22CF0DC43C5E9B787187A8E65E775C130115ABA
localization/english/asoiaf_legends_l_english.yml,Localization,4,4,3,312,5214CCBAB730E5237FEF72E9B712887CE51BBAB2444D89F5E5EE38057563E048
localization/english/asoiaf_memories_l_english.yml,Localization,21,18,17,1993,B4A8048D197EAC238D6D6EF55710D7579B299512B7A1A88520935AF667234D05
localization/english/asoiaf_nicknames_l_english.yml,Localization,18,17,17,1414,F9D4B933A2E2EC657A4BA287770DD970F63E76ECA286E421FED40C113AA1B9C3
localization/english/asoiaf_relationship_reasons_l_english.yml,Localization,103,63,63,12528,912A7B5D233711FC92FC455B7BC405E99968F3E6180EB486B2DE1FEB0359BCD3
localization/english/asoiaf_traits_l_english.yml,Localization,3,3,2,78,E6720625102591235266AAC18355F6AFD85C1274872380A87A1812A1E7206362
localization/english/asoiaf_uncategorised_l_english.yml,Localization,2,2,2,52,5AB9309F92C4C2FB1F5EAEF3E0DD7F85BEB26F5CCBDB059A17D8F35D4AC9E4CA
localization/replace/asoiaf_artifacts_l_english.yml,Localization,24,21,21,2991,3502E007F0CAF31B34728A0BC491D98C9D5F855FC57725B3AC6DF9E9288C7AC9
localization/replace/asoiaf_character_window_l_english.yml,Localization,2,2,2,66,86F149EEBB5630BB967839080C053517CF3F56BF9B4DD13FA0A99171D6241691
localization/replace/asoiaf_common_l_english.yml,Localization,2,2,2,91,C04B3FD19F79E45CA4BEF8B00159A55A5FB1C9F57B112BD3AA4BC2DE95BE4CEF
localization/replace/asoiaf_cultures_l_english.yml,Localization,4,4,4,115,4D0156D85561823DB517AD677DCCAFEEEA011B50CF53875710EDD18AB0D54577
localization/replace/asoiaf_culture_patronyms_dynasty_names_l_english.yml,Localization,3,3,3,87,CC12769DFEA3A765A45804FDAF5B2175DDB173417970086BA1744109476E8165
localization/replace/asoiaf_culture_titles_l_english.yml,Localization,9,7,5,313,8391758445FDA59CDD47059699F85C9B6691A0328C797CEBD15839909926EED2
localization/replace/asoiaf_death_reasons_l_english.yml,Localization,3,3,3,148,6CC56B723DC7A5EF164FB351CBA7178AC2690FC528A126A0044ED42E506B94F1
localization/replace/asoiaf_dorne_dynasty_names_l_english.yml,Localization,2,2,2,41,58AA81594D5FB6728725BE9355A13330AB8EBFFEDC8CA5A44DABDDFDDA21EFD5
localization/replace/asoiaf_dothraki_dynasty_names_l_english.yml,Localization,3,3,3,87,84F72C2C0D8638977B505AC92EE370A5A72AA26CDBB44BCF9121563AB163AB84
localization/replace/asoiaf_dynasty_mottos_l_english.yml,Localization,29,24,24,1044,2663F99B8DFF86A45267172A5EB742D03919F809A7AFD201F86B893642471C20
localization/replace/asoiaf_government_l_english.yml,Localization,4,4,4,772,C4C000A1D461D3CB8D66A9ED6BBFB096E52FE7F613C05C5897ADD95423EB836D
localization/replace/asoiaf_interactions_l_english.yml,Localization,2,2,2,57,92166A94EA9C0095A13C71BDD1B9D897FAA15C802E8A60A5701C9A15730538E7
localization/replace/asoiaf_maester_events_l_english.yml,Localization,5,5,4,403,0C83EFE997EAFFE4609AD4D3AEE7C3F293006534CC8BE42A3AB7A16C9209D681
localization/replace/asoiaf_modifiers_l_english.yml,Localization,2,2,2,57,19F5E0BB79739A9E7482A6F6E3F58F467D0F689367604B87A34CD67242933435
localization/replace/asoiaf_nicknames_l_english.yml,Localization,32,32,32,1457,F8F2ED616C81BD9EAC13EB1790B7E963DC1376ED3E2E1E5F4F635F9C458315E3
localization/replace/asoiaf_patron_deity_l_english.yml,Localization,9,8,8,1407,CBCF8288442281ED98BF1E18A422904D6A9AE0C68EF5394E1D5EA6C40799A4CD
localization/replace/asoiaf_portrait_modifiers_l_english.yml,Localization,55,51,50,3915,CEAE59F1814B99E84E284DCB9B9A94132C27E966CACF6B981BE3FAFA559F84E2
localization/replace/asoiaf_religion_faith_of_the_seven_l_english.yml,Localization,11,10,10,719,97889B66873FEBE72B60BC9463EF9A62F320436EEA09210C5CDF2BE8BADBDE58
localization/replace/asoiaf_start_years_l_english.yml,Localization,6,5,3,1461,132715B026C20FCB3C3D4A94FE0E3027ED0E2CF77127026E01BD71E36B11D92C
localization/replace/asoiaf_terrains_l_english.yml,Localization,16,15,15,1010,DA4BC76B24F7036EBBD72800C9F15BB54D6A36C570F573BDFFCF3C097108370A
localization/replace/asoiaf_valyrian_dynasty_names_l_english.yml,Localization,3,3,3,72,753559DF1DA6A4ABAD3779AA5E550A2ED0C990CE175A4C3342E4961C764D269F
localization/replace/zzz_asoiaf_traits_l_english.yml,Localization,4,4,4,495,5577D83775FCCA2566BA277330CD340CE73E68FE51157BBD1268DED0AA06B600
localization/replace/bookmarks/asoiaf_bm_group_8282_l_english.yml,Localization,19,14,14,4103,8CF98355ACE12643219FB5CA041614ED2FD62600230DCB19657F81D27B4DAF8E
localization/replace/bookmarks/asoiaf_bm_group_CS_l_english.yml,Localization,18,12,12,3655,5554F5F0C81236B01566755A4121424D7754D5EB21E2C7F4522FAE33B0C8F1AA
localization/english/asoiaf_artifacts/asoiaf_artifacts_l_english.yml,Localization,54,34,34,9935,8933F43A9DD6ECD87E6C127E442E1A998D746673F3728FC274C97E98B9AEF578
localization/english/dynasties/asoiaf_dynasty_mottos_l_english.yml,Localization,10,9,8,374,181E3B8EA7F854D07E4ACE871916AF535D836494EBFDB3F8747AD4E647C2C829
localization/english/dynasties/asoiaf_dynasty_names_l_english.yml,Localization,28,23,18,699,74A56BF0BA3A3D3A6B032AE50757E86A1E58CF0B0B0BC42EDB8BBEC0DBD21341
localization/english/event_localization/asoiaf_maintenance_l_english.yml,Localization,79,64,64,17624,7A1047BA445763B657DDC4FEDABBA921F04BF6EC309BDF12D3AF8D04E665E1EA
localization/english/gui/asoiaf_character_window_l_english.yml,Localization,2,2,2,66,86F149EEBB5630BB967839080C053517CF3F56BF9B4DD13FA0A99171D6241691
localization/english/gui/asoiaf_coa_designer_l_english.yml,Localization,2,2,2,53,05C76956955D8B16FF5507C7B6F69B07E45F4034F011F0D24174B0EA180109C4
localization/english/interactions/asoiaf_character_interactions_l_english.yml,Localization,23,19,19,2163,4C348495C52F5E439DDD513DB6F1954527FB95DD96671D8813AF801A2D9959B6
localization/english/modifiers/asoiaf_county_modifiers_l_english.yml,Localization,6,5,5,406,6B0AD2C0AECDE2EA0FBA12DA98CEAE4771B46B7486DD22C40FA04E8D51D13EA1
localization/english/modifiers/asoiaf_modifiers_l_english.yml,Localization,704,471,470,102565,1645AC3A1582CFB1AD5833F58E2F27F9C7434D91C6BF74A344FA7F880D67EA75
localization/english/opinions/asoiaf_opinions_l_english.yml,Localization,5,5,5,260,5F671D4D673A17246B5F839BBA2C749F4D27566ADC63CBEA805F596D57DCC162
history/characters/asoiaf_char_crownlands.txt,Gameplay scripts and history/data,163,135,120,3581,7D64C26011AFAAED39EF0C079D30B1147267F71F7A058EA75A052504FF530C12
history/characters/asoiaf_char_dummies.txt,Gameplay scripts and history/data,6663,5475,5162,122280,3247536CBCDDA49D1F86672468586D42267C9A1041623349895849EC3580C4D3
history/characters/asoiaf_char_stormlands.txt,Gameplay scripts and history/data,161,137,127,3729,2695D6DA9D102F752A0CBA6DAD59041D24832AF565D1E8358C406315FB55C96E
history/characters/asoiaf_char_summer_isles.txt,Gameplay scripts and history/data,57,48,42,1128,34E5AB14A77CCC2259939E93C4C8F634B189E3D2EDEC9767360B5F92587943E8
history/characters/asoiaf_char_vale.txt,Gameplay scripts and history/data,44,35,30,871,38EBF3AC0F03A676C3C8F27FB45A03FBF64FFF4525223028EB3F2DDC54F66DF4
history/characters/asoiaf_char_valyrian.txt,Gameplay scripts and history/data,19,16,12,347,64048CB874404B408E09F5702D7E5159A81EAAF180DDB87C3E2F69E413ED1A45
history/characters/asoiaf_char_vanity.txt,Gameplay scripts and history/data,3660,3257,3242,75374,2FE8519624FEA74011A50253C42C4749244A05C3523129895226CA5C2960ED86
gfx/FX/gui_coatofarms.shader,Graphics and interface definitions,295,248,232,8246,60667B3F5FBFC305F2B3E86FCB839743D938A80F9A750DB02C2CA90B8403382E
gfx/portraits/accessories/asoiaf_cloaks.txt,Graphics and interface definitions,65,57,45,2923,B5CABEE4BF197ACD5F95F91E224A9666F32AA7F1C576E078F9DA90E60CFE1F53
gfx/portraits/accessories/asoiaf_clothes.txt,Graphics and interface definitions,662,610,588,34508,1D23E60E0259190A9CFE76EA6F2127D916980E73FD361428E12C7AC9B2AA2F4B
gfx/portraits/accessories/asoiaf_headgear.txt,Graphics and interface definitions,298,268,247,13072,1CABCA270AF0F30CCD93141703482989907C1A62149B6F5AA86D70FC21EF7FA6
gfx/portraits/accessories/asoiaf_jewellery.txt,Graphics and interface definitions,52,46,36,2304,F37F6876CFB5242493CAE93C47FE52B922B3A00663F29012DC48F1F3CB087E8F
gfx/portraits/accessories/asoiaf_legwear.txt,Graphics and interface definitions,227,205,189,9764,1D634DBC8C9444AAF30B8582A0CCC28D83FD6033523B1ADCF635AE1DE7DE1626
gfx/portraits/accessories/asoiaf_weapon_props.txt,Graphics and interface definitions,47,36,36,2071,C8B12F87332697B2D314ACF1AFDE025C85584E0873AD3BCE5B14A8DE41B13FF7
gfx/portraits/accessory_variations/asoiaf_variations.txt,Graphics and interface definitions,3063,2879,2126,176211,6838677DEDA596E3885BE470D4408732B9312A80767A63B12F835492964100F6
gfx/portraits/portrait_modifiers/asoiaf_beards_custom_flags.txt,Graphics and interface definitions,2768,2765,2712,79971,DE3B97465D8CCA6AE504D89757CA23E3768E3A84DF58E5F20B83338F92882732
gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,Graphics and interface definitions,19771,19757,19713,444649,F4D773BEAC227AD8BB5830F704B1F43FCDD107F83E20EF29D0FF21680D84EAEE
gfx/portraits/portrait_modifiers/asoiaf_cloaks_base.txt,Graphics and interface definitions,200,195,195,5171,22D3E582B801ABEEFFC8BDEBF01AEC71D28D51AA3791894802CCA883D44BB1F2
gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,Graphics and interface definitions,1627,1615,1595,40356,56F731D03D9E12BE33C738989A0363B202D21A00922CF8FC9163540BE5E521AD
gfx/portraits/portrait_modifiers/asoiaf_clothes_armor.txt,Graphics and interface definitions,7036,7022,6666,268318,301830882EAD53DCA8BE6BA6098CAAF93EF8EAB55947E582FACCD8677EFC722B
gfx/portraits/portrait_modifiers/asoiaf_clothes_situational.txt,Graphics and interface definitions,519,516,515,15511,83382DA14ED0923BF7CB806EAD7980A7B5D94EA07E3CE49880AECB531912F099
gfx/portraits/portrait_modifiers/asoiaf_dragon_appearance_flags.txt,Graphics and interface definitions,1681,1673,1637,34740,BFCF22E36943EE31A4CCEDE70B3EC04C793A795C623913D4B92B87638D0E304F
gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt,Graphics and interface definitions,5706,5699,5485,155495,AE2EB65492606C72E55533F3A0B4D04DD80CD7BB8F10207E5FEAE09C6E821261
gfx/portraits/portrait_modifiers/asoiaf_headgear_armor.txt,Graphics and interface definitions,6091,6083,5701,213169,FF1DDD63593768430F7B461BB58EAF1541B661CB5605A58354549B533E23AC8E
gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,Graphics and interface definitions,718,716,714,20218,F72DE568830E47F5FBBEC7000D7F2C832E67DB48AFF7F1863D461EA92C501D22
gfx/portraits/portrait_modifiers/asoiaf_headgear_death_crowns.txt,Graphics and interface definitions,1736,1734,1733,33936,0C9F486ACE24482A2BA504E99DE44E559C68B5D0E7F447B4C0E35E6FD624C685
gfx/portraits/portrait_modifiers/asoiaf_headgear_situational.txt,Graphics and interface definitions,422,416,415,11469,97C17944F7861BABA3E6D90A84171FE354A486490B371FA7F7D40CBD527C5A8B
gfx/portraits/portrait_modifiers/asoiaf_house_dna.txt,Graphics and interface definitions,1116,1111,1096,21856,50967A20867F087FAE75B6FA57FCCC8D812E58FDED51841B5E2D171681F2336F
gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt,Graphics and interface definitions,134,131,130,3661,59C6F0D627E2535E4E253B855FE034C903183F404EDE0F10A5B45A1EF53E3A7D
gfx/portraits/portrait_modifiers/asoiaf_legwear_base.txt,Graphics and interface definitions,25,24,23,495,4E5B668A8424147202C6335F9EB2E1D4D546858B555EDFC3302D79CA8260F99D
gfx/models/tabletop/goldenage/tabletop_goldenage_basic_props.asset,Graphics and interface definitions,363,324,324,11113,F90DE1C2166F518B083B70227F2DBA587ACFE01E584615B072547FE6110BBCA6
gfx/models/tabletop/roguePrince/tabletop_rogueprince_basic_props.asset,Graphics and interface definitions,298,264,264,9113,ADD63796C1AA65DE4A30E9F078AE41475F7B3B01F6EF6876EBCE51FDA5AD3539
gfx/models/portraits/m_legwear/asoiaf/asoiaf_westerlands/asoiaf_hound_legs/asoiaf_hound_legs.asset,Graphics and interface definitions,34,31,31,2015,CC1441F3AF2212136A5D5AC4B9C742568C5D7775CEFCE64302AA422B881B313D
gfx/models/portraits/m_legwear/asoiaf/asoiaf_westerlands/asoiaf_lannister_legs/asoiaf_lannister_legs_dynast/asoiaf_lannister_legs_dynast.asset,Graphics and interface definitions,34,31,31,2337,4A895127D7A58FEA81F49B8C5D3EC7748ECA95A13067C0CBF91EB3AD5307C739
gfx/models/portraits/m_legwear/asoiaf/asoiaf_westerlands/asoiaf_lannister_legs/asoiaf_lannister_legs_light/asoiaf_lannister_legs_light.asset,Graphics and interface definitions,34,31,31,2309,6AC6C1E0959C172DAD96B81EB371110C011003A49D1C1334B9E92B532B4639F0
gfx/models/portraits/m_legwear/asoiaf/asoiaf_reach/asoiaf_tyrell_legs/asoiaf_tyrell_legs.asset,Graphics and interface definitions,34,31,31,2043,6DC552E8FFFCB95C761009F8672348A8BD32B1F5B5DA7AAEA99DDECF10B03661
gfx/models/portraits/m_legwear/asoiaf/asoiaf_north/asoiaf_bolton_legs/asoiaf_bolton_legs.asset,Graphics and interface definitions,34,31,31,2043,0A4B7D58BAB9A5482BEF55A70FE9570E454F4D22856C2E4F2370EC0615D4E045
gfx/models/portraits/m_legwear/asoiaf/asoiaf_north/asoiaf_north_legs/asoiaf_north_legs.asset,Graphics and interface definitions,126,113,110,6793,6FE10CDC0F1C60E022D29E96B58E7FC539162E97D8A07D3EBA9F287E9B48D250
gfx/models/portraits/m_legwear/asoiaf/asoiaf_north/asoiaf_umber_legs/asoiaf_umber_legs.asset,Graphics and interface definitions,80,72,71,4456,A8D7B10C3AB0EE189F9C6CD74461EB21490C83A2660369C0168E04AEB0388843
gfx/models/portraits/m_legwear/asoiaf/asoiaf_nights_watch/asoiaf_nights_watch_legs/asoiaf_nights_watch_legs.asset,Graphics and interface definitions,34,31,31,2214,0287E69085B09F1C41D962809B0053F9F5122EA9FEB21EE8FB44F5F96196F0BF
gfx/models/portraits/m_legwear/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_legs/asoiaf_greyjoy_legs.asset,Graphics and interface definitions,34,31,31,2070,97F2C2937105F0DCF12567B8C3790EDD362C746687C7ED6EDBAF7FD22531E22E
gfx/models/portraits/m_legwear/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_legs_coa/asoiaf_ironborn_legs_coa.asset,Graphics and interface definitions,44,40,40,2837,9B99F16E61C0B9222E20730CE5738107D070A3DF4E1B5FB628426F7BD0B0504B
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_blacksmith_legs/asoiaf_blacksmith_legs.asset,Graphics and interface definitions,34,31,31,2160,A4D61188EFDD53299613CA711E761E9CD99E3083D77B742EBD48E8BF2EDB81C4
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_executioner_legs/asoiaf_executioner_legs.asset,Graphics and interface definitions,43,39,39,2480,E35EDFDBE927C0B58BC67A5034531C6464DE569D75F18D223E32BCC1FEE87BDD
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_huntsman_legs/asoiaf_huntsman_legs.asset,Graphics and interface definitions,43,39,39,2383,38B1B2179589236E674764B8BAD1F4676E0C6AFC3783C7D34B33FD2D023C3E79
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_leather_boots_1/asoiaf_leather_boots_1.asset,Graphics and interface definitions,34,31,31,2152,723BDB698D15474444172BAEAACF4285ABDC0E086E241C7F13FA206532DF6AD8
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_leather_boots_2/asoiaf_leather_boots_2.asset,Graphics and interface definitions,34,31,31,2152,D58382D7BABB67ECA3B85B364D3754A52EAB4BF3EACE48855D4BE92E96A4D359
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_leather_boots_3/asoiaf_leather_boots_3.asset,Graphics and interface definitions,34,31,31,2159,5A8C05B27B26CBC10CDB140C8952EE0AB318F7016131F1C9DADE0B6E898A5AF3
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_leather_boots_4/asoiaf_leather_boots_4.asset,Graphics and interface definitions,34,31,31,2159,689F0781AC3BC3E94B2E516115BE3F79979F7B5A3E91F343D7EDE2EB40D8CADF
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_leather_boots_5/asoiaf_leather_boots_5.asset,Graphics and interface definitions,34,31,31,2159,537D22A126DE4DE7E912875F97ABDE7E5726FFE199AE873295C96BF40D575F56
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_leather_boots_6/asoiaf_leather_boots_6.asset,Graphics and interface definitions,34,31,31,2159,35503CF4B5D232BE8B23F8A6BA4B1E3513BCBA11157CD3829F23CD7168D873FE
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_leather_boots_7/asoiaf_leather_boots_7.asset,Graphics and interface definitions,34,31,31,2159,1710E72859A43FF6579D3D1D77AD4FC654A241D719D3A0344FBD246DC8AC1363
gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_slippers_1/asoiaf_slippers_1.asset,Graphics and interface definitions,34,31,31,2008,F30A564892C33DC9D5DA5056A94878C26AD83339DB945F3F12951AB579C324BD
gfx/models/portraits/m_legwear/asoiaf/asoiaf_dorne/asoiaf_beaked_shoes/asoiaf_beaked_shoes.asset,Graphics and interface definitions,35,32,31,2090,29F7604790C4F8ACD9CB80402A6FCCCCCC227C87EAEB68FE9A046D0AE5405266
gfx/models/portraits/m_legwear/asoiaf/asoiaf_crownlands/asoiaf_dragonstone_legs/asoiaf_dragonstone_legs.asset,Graphics and interface definitions,34,31,31,2186,137B26E4A7060B2DE7F4B48D9686FA6C0DA86FAAFE6E2BD12AC960E55ECEF818
gfx/models/portraits/m_legwear/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_legs/asoiaf_gold_cloak_legs.asset,Graphics and interface definitions,34,31,31,2159,C141DC0C9DD7D638B4B72FE1F307281D8B9F02493DCA3C122FA28A5432FE7353
gfx/models/portraits/m_legwear/asoiaf/asoiaf_crownlands/asoiaf_kingsguard_legs/asoiaf_kingsguard_legs_boots/asoiaf_kingsguard_legs_boots.asset,Graphics and interface definitions,34,31,31,2330,3D7AFCBCD27E689DBF1C4A01BC6F5D48F9C9A6FD206CC904F9BE649F8BB97666
gfx/models/portraits/m_legwear/asoiaf/asoiaf_crownlands/asoiaf_kingsguard_legs/asoiaf_kingsguard_legs_default/asoiaf_kingsguard_legs_default.asset,Graphics and interface definitions,34,31,31,2391,6E43C5F19C9CFECFACAF2F3E16694E5ED06FC35A0878224B8422FF06CFC00034
gfx/models/portraits/m_jewellery/asoiaf/asoiaf_religious_jewellery/asoiaf_septon_jewellery/asoiaf_septon_necklace_1/asoiaf_septon_necklace_1.asset,Graphics and interface definitions,32,29,29,1971,8E7708FCA9DB70ABD7309217D98B5EAF1916FB289783BFDA455081CA96551D56
gfx/models/portraits/m_jewellery/asoiaf/asoiaf_maester_chains/asoiaf_maester_chain_1/asoiaf_maester_chain_1.asset,Graphics and interface definitions,32,29,29,1926,89093C68B3815AF809F98680C5C876454FB9CF98256202B804E6BCE7F6153E8B
gfx/models/portraits/m_jewellery/asoiaf/asoiaf_maester_chains/asoiaf_maester_chain_2/asoiaf_maester_chain_2.asset,Graphics and interface definitions,32,29,29,1926,8669D8E316CDA1D17A30A8FC492CC360287267F38D8064EB79B2298F2EFDF4CE
gfx/models/portraits/m_jewellery/asoiaf/asoiaf_maester_chains/asoiaf_maester_chain_3/asoiaf_maester_chain_3.asset,Graphics and interface definitions,32,29,29,1926,918FCE448DD1C502EEC96A2E663C6E381834B84B605543D656C73B0BE6D87AB7
gfx/models/portraits/m_jewellery/asoiaf/asoiaf_maester_chains/asoiaf_maester_chain_4/asoiaf_maester_chain_4.asset,Graphics and interface definitions,32,29,29,1926,C71370589A694290661E074341AF0D8FF8B822BA5B44D1DF7AD85DF044C6009A
gfx/models/portraits/m_jewellery/asoiaf/asoiaf_maester_chains/asoiaf_maester_chain_5/asoiaf_maester_chain_5.asset,Graphics and interface definitions,32,29,29,1926,38175F2007D2569A1A6692CA0E178AC92752E796C4EA1A65AAD550C48A64A941
gfx/models/portraits/m_jewellery/asoiaf/asoiaf_generic/asoiaf_shark_tooth_necklace/asoiaf_shark_tooth_necklace.asset,Graphics and interface definitions,32,29,29,2050,45D29B0DB365497A7F7A5276A6118D9832E774950AAB5C81656C8C77B6CB9ED0
gfx/models/portraits/m_headgears/asoiaf/asoiaf_westerlands/asoiaf_hound_helm/asoiaf_hound_helm.asset,Graphics and interface definitions,22,19,17,715,41ED921483D21A0A19DBFB04EBDAEA34C31588740AAD5D56F59555D9EE845A73
gfx/models/portraits/m_headgears/asoiaf/asoiaf_westerlands/lannister_war_plate_2/asoiaf_lannister_war_plate_2_helm.asset,Graphics and interface definitions,18,17,17,705,81FF59AEBDD31DFEFDA38DDAAF00FEEF3B8EC77C9FA6EC4B1473A7269C939856
gfx/models/portraits/m_headgears/asoiaf/asoiaf_reach/asoiaf_tyrell_helm_dynast/asoiaf_tyrell_helm_dynast.asset,Graphics and interface definitions,18,17,17,583,FEFCA25E4CC2F19C451C7C9BD054353B215F268F64934EDED3F10173C1E54290
gfx/models/portraits/m_headgears/asoiaf/asoiaf_reach/asoiaf_tyrell_helm_high/asoiaf_tyrell_helm_high.asset,Graphics and interface definitions,18,17,17,567,9F03ED5BE5F2F051168FCC78872A56436D72F60E8082A41AB71C73B15887A626
gfx/models/portraits/m_headgears/asoiaf/asoiaf_reach/asoiaf_tyrell_helm_low/asoiaf_tyrell_helm_low.asset,Graphics and interface definitions,18,17,17,559,DDC4AC5BC8D47157736F8802ADD4B383B9038B59EEB5944AE8BEB6FFEEB8FE08
gfx/models/portraits/m_headgears/asoiaf/asoiaf_north/asoiaf_umber_helms/asoiaf_umber_helm_dynast/asoiaf_umber_helm_dynast.asset,Graphics and interface definitions,48,44,43,1621,D6DC3B4588E0983AD7DA2A9D6D258EA13ED9D146F1A7F185F3C457923FCE6D43
gfx/models/portraits/m_headgears/asoiaf/asoiaf_north/asoiaf_umber_helms/asoiaf_umber_helm_low/asoiaf_umber_helm_low.asset,Graphics and interface definitions,27,26,26,870,FCEC706C471AD604DA8F42B0F3E8BB111C9C16C9C7B0EC2A5A3EB18D2E87D468
gfx/models/portraits/m_headgears/asoiaf/asoiaf_north/asoiaf_north_helms/asoiaf_north_helm_high/asoiaf_north_helm_high.asset,Graphics and interface definitions,67,63,61,2285,1BE9004AC223605C246B481B2D62A1CE9896AFFC0ECA763E14B63F92CE1E0758
gfx/models/portraits/m_headgears/asoiaf/asoiaf_north/asoiaf_north_helms/asoiaf_north_helm_low/asoiaf_north_helm_low.asset,Graphics and interface definitions,49,45,43,1563,6912BE0A6569579BC0C21B855C4AA857190E59FD8E098E492BF8FB36E5818B8F
gfx/models/portraits/m_headgears/asoiaf/asoiaf_north/asoiaf_manderly_helms/asoiaf_manderly_helm_low/asoiaf_manderly_helm_low.asset,Graphics and interface definitions,49,45,43,1642,286B90E49E64A3AC541355F78CE29C470BDBD992B43B1A821CC87A0BE4ACB05E
gfx/models/portraits/m_headgears/asoiaf/asoiaf_north/asoiaf_bolton_helms/asoiaf_bolton_helm_high/asoiaf_bolton_helm_high.asset,Graphics and interface definitions,27,26,26,891,479AC794D46AA2A750F79476295B3BA40B28B8F1FE4C9F07D500551B03AEF64A
gfx/models/portraits/m_headgears/asoiaf/asoiaf_north/asoiaf_bolton_helms/asoiaf_bolton_helm_low/asoiaf_bolton_helm_low.asset,Graphics and interface definitions,27,26,26,882,F308B83C2AB3204A2DF85C21527B1826FAD619A781890AE914D9492EA12562F1
