"Count","Line","Category","Message"
"1","9812","Localization / dynamic text error","Unrecognized loc key tear_sailors. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 6780 (DI_tear_sailors_effect:effect)"
"1","9815","Localization / dynamic text error","Unrecognized loc key wyven_hunters. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 6837 (DI_wyven_hunters_effect:effect)"
"3","14158","Script / database error","Error: ""Failed to read key reference: 1453_end_date: 1453_end_date, near line: 587
Failed to read key reference: rhomaion_name_of_byzantium: rhomaion_name_of_byzantium, near line: 587
Failed to read key reference: default_mongol_invasion: default_mongol_invasion, near line: 587
Failed to read key reference: random_ruler_placement_off: random_ruler_placement_off, near line: 587
Failed to read key reference: launch_historical: launch_historical, near line: 587
Failed to read key reference: fp1_scandi_adventurers_apocalyptic: fp1_scandi_adventurers_apocalyptic, near line: 587
Failed to read key reference: dissolution_after_caliph_death: dissolution_after_caliph_death, near line: 587
Failed to read key reference: default_seljuk_invasion: default_seljuk_invasion, near line: 587
Failed to read key reference: situation_the_great_steppe_toggle_on: situation_the_great_steppe_toggle_on, near line: 587
Failed to read key reference: struggle_iberia_toggle_on: struggle_iberia_toggle_on, near line: 587
Failed to read key reference: struggle_persia_toggle_on: struggle_persia_toggle_on, near line: 587
Failed to read key reference: historicity_ruler_of_munster_historical_toirdelbach: historicity_ruler_of_munster_historical_toirdelbach, near line: 587
Failed to read key reference: historicity_norman_conquest_default_random: historicity_norman_conquest_default_random, near line: 587
Failed to read key reference: tibet_nomad_region_on: tibet_nomad_region_on, near line: 587
Failed to read key reference: sami_nomad_region_on: sami_nomad_region_on, near line: 587
Failed to read key reference: arabia_nomad_region_on: arabia_nomad_region_on, near line: 587
Failed to read key reference: sahel_nomad_region_on: sahel_nomad_region_on, near line: 587
Failed to read key reference: horn_of_africa_nomad_region_on: horn_of_africa_nomad_region_on, near line: 587
Failed to read key reference: historicity_extra_admin_egypt_gameplay_not_administrative: historicity_extra_admin_egypt_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_arabia_gameplay_not_administrative: historicity_extra_admin_arabia_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_ghana_gameplay_not_administrative: historicity_extra_admin_ghana_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_kabulistan_gameplay_not_administrative: historicity_extra_admin_kabulistan_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_persia_gameplay_not_administrative: historicity_extra_admin_persia_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_maghreb_gameplay_not_administrative: historicity_extra_admin_maghreb_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_tamilakam_gameplay_not_administrative: historicity_extra_admin_tamilakam_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_carolingians_gameplay_not_administrative: historicity_extra_admin_carolingians_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_player_wherever_gameplay_not_administrative: historicity_extra_admin_player_wherever_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_frankokratia_fourth_crusade: historicity_frankokratia_fourth_crusade, near line: 587
Failed to read key reference: silk_road_starting_innovations_preset: silk_road_starting_innovations_preset, near line: 587
Failed to read key reference: ACR_RE_tradition_slots_plus_95: ACR_RE_tradition_slots_plus_95, near line: 587
Failed to read key reference: ACR_RE_tradition_cost_free: ACR_RE_tradition_cost_free, near line: 587
Failed to read key reference: ACR_RE_tradition_cooldown_none: ACR_RE_tradition_cooldown_none, near line: 587
Failed to read key reference: ACR_RE_truce_duration_5: ACR_RE_truce_duration_5, near line: 587
Failed to read key reference: ACR_RE_truce_scope_player_primary: ACR_RE_truce_scope_player_primary, near line: 587
Failed to read key reference: ACR_RE_council_task_speed_1_month: ACR_RE_council_task_speed_1_month, near line: 587
Failed to read key reference: HM_RE_rule_player_free_functions_enabled: HM_RE_rule_player_free_functions_enabled, near line: 587
Failed to read key reference: HM_RE_rule_change_holding_type_cost_very_cheap: HM_RE_rule_change_holding_type_cost_very_cheap, near line: 587
Failed to read key reference: HM_RE_rule_change_holding_type_cooldown_very_short: HM_RE_rule_change_holding_type_cooldown_very_short, near line: 587
Failed to read key reference: HM_RE_rule_can_replace_buildings_vassals: HM_RE_rule_can_replace_buildings_vassals, near line: 587
Failed to read key reference: HM_RE_rule_can_feudalize_holdings_vassals: HM_RE_rule_can_feudalize_holdings_vassals, near line: 587
Failed to read key reference: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap, near line: 587
Failed to read key reference: HM_RE_rule_player_extra_slots_enabled: HM_RE_rule_player_extra_slots_enabled, near line: 587
Failed to read key reference: HM_RE_rule_player_slot_base_cost_very_cheap: HM_RE_rule_player_slot_base_cost_very_cheap, near line: 587
Failed to read key reference: HM_RE_rule_player_slot_step_cost_very_cheap: HM_RE_rule_player_slot_step_cost_very_cheap, near line: 587
Failed to read key reference: HM_RE_rule_construction_time_cost_free: HM_RE_rule_construction_time_cost_free, near line: 587
Failed to read key reference: HM_RE_build_all_button_on: HM_RE_build_all_button_on, near line: 587
Failed to read key reference: HM_RE_upgrade_all_button_on: HM_RE_upgrade_all_button_on, near line: 587
Failed to read key reference: HM_RE_make_nomad_button_on: HM_RE_make_nomad_button_on, near line: 587
Failed to read key reference: HM_RE_make_temple_citadel_button_on: HM_RE_make_temple_citadel_button_on, near line: 587
Failed to read key reference: HM_RE_player_add_slots_decision_on: HM_RE_player_add_slots_decision_on, near line: 587
Failed to read key reference: HM_RE_player_add_slots_decision_base_cost_very_cheap: HM_RE_player_add_slots_decision_base_cost_very_cheap, near line: 587
Failed to read key reference: HM_RE_player_cost_gold: HM_RE_player_cost_gold, near line: 587
Failed to read key reference: HM_RE_rule_ai_extra_slots_disabled: HM_RE_rule_ai_extra_slots_disabled, near line: 587
Failed to read key reference: HM_RE_rule_ai_slot_base_cost_very_expensive: HM_RE_rule_ai_slot_base_cost_very_expensive, near line: 587
Failed to read key reference: HM_RE_rule_ai_slot_step_cost_very_expensive: HM_RE_rule_ai_slot_step_cost_very_expensive, near line: 587"" in file: ""save games/Приём.ck3"" near line: 587"
"1","9818","Localization / dynamic text error","Unrecognized loc key brindled_warriors. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 6915 (DI_brindled_warriors_effect:effect)"
"1","1242","Localization / dynamic text error","gui/window_admin_vassal_detail.gui:193 - Failed parsing localized text: admin_vassal_tab_appointment"
"3","15042","Script / database error","Error: ""Failed to read key reference: 1453_end_date: 1453_end_date, near line: 221
Failed to read key reference: rhomaion_name_of_byzantium: rhomaion_name_of_byzantium, near line: 221
Failed to read key reference: default_mongol_invasion: default_mongol_invasion, near line: 221
Failed to read key reference: random_ruler_placement_off: random_ruler_placement_off, near line: 221
Failed to read key reference: launch_historical: launch_historical, near line: 221
Failed to read key reference: fp1_scandi_adventurers_apocalyptic: fp1_scandi_adventurers_apocalyptic, near line: 221
Failed to read key reference: dissolution_after_caliph_death: dissolution_after_caliph_death, near line: 221
Failed to read key reference: default_seljuk_invasion: default_seljuk_invasion, near line: 221
Failed to read key reference: situation_the_great_steppe_toggle_on: situation_the_great_steppe_toggle_on, near line: 221
Failed to read key reference: struggle_iberia_toggle_on: struggle_iberia_toggle_on, near line: 221
Failed to read key reference: struggle_persia_toggle_on: struggle_persia_toggle_on, near line: 221
Failed to read key reference: historicity_ruler_of_munster_historical_toirdelbach: historicity_ruler_of_munster_historical_toirdelbach, near line: 221
Failed to read key reference: historicity_norman_conquest_default_random: historicity_norman_conquest_default_random, near line: 221
Failed to read key reference: tibet_nomad_region_on: tibet_nomad_region_on, near line: 221
Failed to read key reference: sami_nomad_region_on: sami_nomad_region_on, near line: 221
Failed to read key reference: arabia_nomad_region_on: arabia_nomad_region_on, near line: 221
Failed to read key reference: sahel_nomad_region_on: sahel_nomad_region_on, near line: 221
Failed to read key reference: horn_of_africa_nomad_region_on: horn_of_africa_nomad_region_on, near line: 221
Failed to read key reference: historicity_extra_admin_egypt_gameplay_not_administrative: historicity_extra_admin_egypt_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_arabia_gameplay_not_administrative: historicity_extra_admin_arabia_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_ghana_gameplay_not_administrative: historicity_extra_admin_ghana_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_kabulistan_gameplay_not_administrative: historicity_extra_admin_kabulistan_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_persia_gameplay_not_administrative: historicity_extra_admin_persia_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_maghreb_gameplay_not_administrative: historicity_extra_admin_maghreb_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_tamilakam_gameplay_not_administrative: historicity_extra_admin_tamilakam_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_carolingians_gameplay_not_administrative: historicity_extra_admin_carolingians_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_player_wherever_gameplay_not_administrative: historicity_extra_admin_player_wherever_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_frankokratia_fourth_crusade: historicity_frankokratia_fourth_crusade, near line: 221
Failed to read key reference: silk_road_starting_innovations_preset: silk_road_starting_innovations_preset, near line: 221
Failed to read key reference: ACR_RE_tradition_slots_plus_95: ACR_RE_tradition_slots_plus_95, near line: 221
Failed to read key reference: ACR_RE_tradition_cost_free: ACR_RE_tradition_cost_free, near line: 221
Failed to read key reference: ACR_RE_tradition_cooldown_none: ACR_RE_tradition_cooldown_none, near line: 221
Failed to read key reference: ACR_RE_truce_duration_5: ACR_RE_truce_duration_5, near line: 221
Failed to read key reference: ACR_RE_truce_scope_player_primary: ACR_RE_truce_scope_player_primary, near line: 221
Failed to read key reference: ACR_RE_council_task_speed_1_month: ACR_RE_council_task_speed_1_month, near line: 221
Failed to read key reference: HM_RE_rule_player_free_functions_enabled: HM_RE_rule_player_free_functions_enabled, near line: 221
Failed to read key reference: HM_RE_rule_change_holding_type_cost_very_cheap: HM_RE_rule_change_holding_type_cost_very_cheap, near line: 221
Failed to read key reference: HM_RE_rule_change_holding_type_cooldown_very_short: HM_RE_rule_change_holding_type_cooldown_very_short, near line: 221
Failed to read key reference: HM_RE_rule_can_replace_buildings_vassals: HM_RE_rule_can_replace_buildings_vassals, near line: 221
Failed to read key reference: HM_RE_rule_can_feudalize_holdings_vassals: HM_RE_rule_can_feudalize_holdings_vassals, near line: 221
Failed to read key reference: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap, near line: 221
Failed to read key reference: HM_RE_rule_player_extra_slots_enabled: HM_RE_rule_player_extra_slots_enabled, near line: 221
Failed to read key reference: HM_RE_rule_player_slot_base_cost_very_cheap: HM_RE_rule_player_slot_base_cost_very_cheap, near line: 221
Failed to read key reference: HM_RE_rule_player_slot_step_cost_very_cheap: HM_RE_rule_player_slot_step_cost_very_cheap, near line: 221
Failed to read key reference: HM_RE_rule_construction_time_cost_free: HM_RE_rule_construction_time_cost_free, near line: 221
Failed to read key reference: HM_RE_build_all_button_on: HM_RE_build_all_button_on, near line: 221
Failed to read key reference: HM_RE_upgrade_all_button_on: HM_RE_upgrade_all_button_on, near line: 221
Failed to read key reference: HM_RE_make_nomad_button_on: HM_RE_make_nomad_button_on, near line: 221
Failed to read key reference: HM_RE_make_temple_citadel_button_on: HM_RE_make_temple_citadel_button_on, near line: 221
Failed to read key reference: HM_RE_player_add_slots_decision_on: HM_RE_player_add_slots_decision_on, near line: 221
Failed to read key reference: HM_RE_player_add_slots_decision_base_cost_very_cheap: HM_RE_player_add_slots_decision_base_cost_very_cheap, near line: 221
Failed to read key reference: HM_RE_player_cost_gold: HM_RE_player_cost_gold, near line: 221
Failed to read key reference: HM_RE_rule_ai_extra_slots_disabled: HM_RE_rule_ai_extra_slots_disabled, near line: 221
Failed to read key reference: HM_RE_rule_ai_slot_base_cost_very_expensive: HM_RE_rule_ai_slot_base_cost_very_expensive, near line: 221
Failed to read key reference: HM_RE_rule_ai_slot_step_cost_very_expensive: HM_RE_rule_ai_slot_step_cost_very_expensive, near line: 221"" in file: ""save games/Старт.ck3"" near line: 221"
"1","9807","Localization / dynamic text error","Missing loc key 'lmf_address_cousin' for custom localization 'my_relation_by_name' (or variant), at 'file: common/customizable_localization/00_agot_lmf_custom_loc.txt line: 284 (my_relation_by_name)'"
"3","15954","Script / database error","Error: ""Failed to read key reference: 1453_end_date: 1453_end_date, near line: 589
Failed to read key reference: rhomaion_name_of_byzantium: rhomaion_name_of_byzantium, near line: 589
Failed to read key reference: default_mongol_invasion: default_mongol_invasion, near line: 589
Failed to read key reference: random_ruler_placement_off: random_ruler_placement_off, near line: 589
Failed to read key reference: launch_historical: launch_historical, near line: 589
Failed to read key reference: fp1_scandi_adventurers_apocalyptic: fp1_scandi_adventurers_apocalyptic, near line: 589
Failed to read key reference: dissolution_after_caliph_death: dissolution_after_caliph_death, near line: 589
Failed to read key reference: default_seljuk_invasion: default_seljuk_invasion, near line: 589
Failed to read key reference: situation_the_great_steppe_toggle_on: situation_the_great_steppe_toggle_on, near line: 589
Failed to read key reference: struggle_iberia_toggle_on: struggle_iberia_toggle_on, near line: 589
Failed to read key reference: struggle_persia_toggle_on: struggle_persia_toggle_on, near line: 589
Failed to read key reference: historicity_ruler_of_munster_historical_toirdelbach: historicity_ruler_of_munster_historical_toirdelbach, near line: 589
Failed to read key reference: historicity_norman_conquest_default_random: historicity_norman_conquest_default_random, near line: 589
Failed to read key reference: tibet_nomad_region_on: tibet_nomad_region_on, near line: 589
Failed to read key reference: sami_nomad_region_on: sami_nomad_region_on, near line: 589
Failed to read key reference: arabia_nomad_region_on: arabia_nomad_region_on, near line: 589
Failed to read key reference: sahel_nomad_region_on: sahel_nomad_region_on, near line: 589
Failed to read key reference: horn_of_africa_nomad_region_on: horn_of_africa_nomad_region_on, near line: 589
Failed to read key reference: historicity_extra_admin_egypt_gameplay_not_administrative: historicity_extra_admin_egypt_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_extra_admin_arabia_gameplay_not_administrative: historicity_extra_admin_arabia_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_extra_admin_ghana_gameplay_not_administrative: historicity_extra_admin_ghana_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_extra_admin_kabulistan_gameplay_not_administrative: historicity_extra_admin_kabulistan_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_extra_admin_persia_gameplay_not_administrative: historicity_extra_admin_persia_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_extra_admin_maghreb_gameplay_not_administrative: historicity_extra_admin_maghreb_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_extra_admin_tamilakam_gameplay_not_administrative: historicity_extra_admin_tamilakam_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_extra_admin_carolingians_gameplay_not_administrative: historicity_extra_admin_carolingians_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_extra_admin_player_wherever_gameplay_not_administrative: historicity_extra_admin_player_wherever_gameplay_not_administrative, near line: 589
Failed to read key reference: historicity_frankokratia_fourth_crusade: historicity_frankokratia_fourth_crusade, near line: 589
Failed to read key reference: silk_road_starting_innovations_preset: silk_road_starting_innovations_preset, near line: 589
Failed to read key reference: ACR_RE_tradition_slots_plus_95: ACR_RE_tradition_slots_plus_95, near line: 589
Failed to read key reference: ACR_RE_tradition_cost_free: ACR_RE_tradition_cost_free, near line: 589
Failed to read key reference: ACR_RE_tradition_cooldown_none: ACR_RE_tradition_cooldown_none, near line: 589
Failed to read key reference: ACR_RE_truce_duration_5: ACR_RE_truce_duration_5, near line: 589
Failed to read key reference: ACR_RE_truce_scope_player_primary: ACR_RE_truce_scope_player_primary, near line: 589
Failed to read key reference: ACR_RE_council_task_speed_1_month: ACR_RE_council_task_speed_1_month, near line: 589
Failed to read key reference: HM_RE_rule_player_free_functions_enabled: HM_RE_rule_player_free_functions_enabled, near line: 589
Failed to read key reference: HM_RE_rule_change_holding_type_cost_very_cheap: HM_RE_rule_change_holding_type_cost_very_cheap, near line: 589
Failed to read key reference: HM_RE_rule_change_holding_type_cooldown_very_short: HM_RE_rule_change_holding_type_cooldown_very_short, near line: 589
Failed to read key reference: HM_RE_rule_can_replace_buildings_vassals: HM_RE_rule_can_replace_buildings_vassals, near line: 589
Failed to read key reference: HM_RE_rule_can_feudalize_holdings_vassals: HM_RE_rule_can_feudalize_holdings_vassals, near line: 589
Failed to read key reference: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap, near line: 589
Failed to read key reference: HM_RE_rule_player_extra_slots_enabled: HM_RE_rule_player_extra_slots_enabled, near line: 589
Failed to read key reference: HM_RE_rule_player_slot_base_cost_very_cheap: HM_RE_rule_player_slot_base_cost_very_cheap, near line: 589
Failed to read key reference: HM_RE_rule_player_slot_step_cost_very_cheap: HM_RE_rule_player_slot_step_cost_very_cheap, near line: 589
Failed to read key reference: HM_RE_rule_construction_time_cost_free: HM_RE_rule_construction_time_cost_free, near line: 589
Failed to read key reference: HM_RE_build_all_button_on: HM_RE_build_all_button_on, near line: 589
Failed to read key reference: HM_RE_upgrade_all_button_on: HM_RE_upgrade_all_button_on, near line: 589
Failed to read key reference: HM_RE_make_nomad_button_on: HM_RE_make_nomad_button_on, near line: 589
Failed to read key reference: HM_RE_make_temple_citadel_button_on: HM_RE_make_temple_citadel_button_on, near line: 589
Failed to read key reference: HM_RE_player_add_slots_decision_on: HM_RE_player_add_slots_decision_on, near line: 589
Failed to read key reference: HM_RE_player_add_slots_decision_base_cost_very_cheap: HM_RE_player_add_slots_decision_base_cost_very_cheap, near line: 589
Failed to read key reference: HM_RE_player_cost_gold: HM_RE_player_cost_gold, near line: 589
Failed to read key reference: HM_RE_rule_ai_extra_slots_disabled: HM_RE_rule_ai_extra_slots_disabled, near line: 589
Failed to read key reference: HM_RE_rule_ai_slot_base_cost_very_expensive: HM_RE_rule_ai_slot_base_cost_very_expensive, near line: 589
Failed to read key reference: HM_RE_rule_ai_slot_step_cost_very_expensive: HM_RE_rule_ai_slot_step_cost_very_expensive, near line: 589"" in file: ""save games/Турнир.ck3"" near line: 589"
"1","9814","Localization / dynamic text error","Unrecognized loc key wyven_hunters. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 6825 (DI_wyven_hunters_effect:effect)"
"1","9832","Localization / dynamic text error","Unrecognized loc key butterflies. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 7365 (DI_butterflies_effect:effect)"
"1","1219","Localization / dynamic text error","Unlocalized text 'building_type_special_kings_landing_not_explosion_graphical' at gui/DI_title_manager_templates/DI_title_manager_building_list_template.gui:10685, either localize it or use the raw_text property instead of text"
