"Key","Kind","File","Line","EnglishTokens","RussianTokens","English","Russian"
"death_self_defence_killer","Brackets","localization/russian/asoiaf_death_reasons_l_russian.yml","3","[TARGET_CHARACTER.GetUIName]","[Select_CString(CHARACTER.IsFemale, 'была убита', 'был убит')] | [TARGET_CHARACTER.GetUIName]","was killed in self-defence by [TARGET_CHARACTER.GetUIName]","[Select_CString(CHARACTER.IsFemale, 'была убита', 'был убит')] при самообороне от рук [TARGET_CHARACTER.GetUIName]"
"game_concept_asoiaf_canon_child_concept_desc","References","localization/russian/asoiaf_game_concepts_l_russian.yml","7","","$game_concept_asoiaf_canon_children_concept_desc$","The #bold Canon Children#! system allows canon characters to be dynamically born into a game.\n\nCanon children will be born so long as the dominant partner marries into the correct House. E.g., if Eddard Stark marries #italic any#! Tully, his canon children will be born.\n\nThis system uses CK3's regular pregnancy/birth cycle, so children will #italic not#! necessarily be born in the same year as in the lore.\n\nYou can read how to further a character's line by viewing the Canon Children modifier given to characters included in the system.\n\n@warning_icon! #X Will not work with vanilla AGOT's Canon Children system enabled.#!","$game_concept_asoiaf_canon_children_concept_desc$"
"game_concept_asoiaf_canon_child_concept_desc","Icons","localization/russian/asoiaf_game_concepts_l_russian.yml","7","@warning_icon!","","The #bold Canon Children#! system allows canon characters to be dynamically born into a game.\n\nCanon children will be born so long as the dominant partner marries into the correct House. E.g., if Eddard Stark marries #italic any#! Tully, his canon children will be born.\n\nThis system uses CK3's regular pregnancy/birth cycle, so children will #italic not#! necessarily be born in the same year as in the lore.\n\nYou can read how to further a character's line by viewing the Canon Children modifier given to characters included in the system.\n\n@warning_icon! #X Will not work with vanilla AGOT's Canon Children system enabled.#!","$game_concept_asoiaf_canon_children_concept_desc$"
"game_concept_asoiaf_canon_child_concept_desc","Format","localization/russian/asoiaf_game_concepts_l_russian.yml","7","#! | #! | #! | #! | #bold | #italic | #italic | #X","","The #bold Canon Children#! system allows canon characters to be dynamically born into a game.\n\nCanon children will be born so long as the dominant partner marries into the correct House. E.g., if Eddard Stark marries #italic any#! Tully, his canon children will be born.\n\nThis system uses CK3's regular pregnancy/birth cycle, so children will #italic not#! necessarily be born in the same year as in the lore.\n\nYou can read how to further a character's line by viewing the Canon Children modifier given to characters included in the system.\n\n@warning_icon! #X Will not work with vanilla AGOT's Canon Children system enabled.#!","$game_concept_asoiaf_canon_children_concept_desc$"
"setting_asoiaf_targaryen_invasion_claimants_dragon_bonded","Format","localization/russian/asoiaf_game_rules_l_russian.yml","144","#high","#! | #high","#high Dragonriding Targaryens","#high Таргариены-наездники драконов#!"
"house_relation_reason_asoiaf_destroyed_valyrian_steel_artefact_desc","Brackets","localization/russian/asoiaf_house_relations_l_russian.yml","2","[char.GetDynastyHouseName] | [target_char.GetShortUINameNotMe|U]","[char.GetDynastyHouseName] | [Select_CString(target_char.IsFemale, 'уничтожила', 'уничтожил' )] | [target_char.GetShortUINameNotMe|U]","[target_char.GetShortUINameNotMe|U] destroyed a Valyrian steel artefact of House [char.GetDynastyHouseName]","[target_char.GetShortUINameNotMe|U] [Select_CString(target_char.IsFemale, 'уничтожила', 'уничтожил' )] артефакт из валирийской стали дома [char.GetDynastyHouseName]"
"house_relation_reason_asoiaf_dismissed_from_kingsguard_desc","Brackets","localization/russian/asoiaf_house_relations_l_russian.yml","3","[recipient.GetShortUINameNotMe] | [target_char.GetShortUINameNotMe|U]","[recipient.GetShortUINameNotMe] | [Select_CString(target_char.IsFemale, 'исключена', 'исключён' )] | [target_char.GetShortUINameNotMe|U]","[target_char.GetShortUINameNotMe|U] dismissed [recipient.GetShortUINameNotMe] from the Kingsguard","[target_char.GetShortUINameNotMe|U] [Select_CString(target_char.IsFemale, 'исключена', 'исключён' )] [recipient.GetShortUINameNotMe] из Королевской гвардии"
"legend_aegon_I_targaryen_desc","Brackets","localization/russian/asoiaf_legends_l_russian.yml","4","[ancestor.GetHouse.GetNameNoTooltip] | [ancestor.GetNickname] | [ancestor.GetShortUIName] | [title.GetNameNoTooltip]","[ancestor.GetHouse.GetNameNoTooltip] | [ancestor.GetNickname] | [ancestor.GetShortUIName] | [Select_CString(ancestor.IsFemale, 'ая', 'ый')] | [Select_CString(ancestor.IsFemale, 'была', 'был')] | [Select_CString(ancestor.IsFemale, 'основательницей', 'основателем')] | [Select_CString(ancestor.IsFemale, 'первой королевой', 'первым королём')] | [title.GetNameNoTooltip]","[ancestor.GetShortUIName], known as #italic [ancestor.GetNickname]#!, was the first king of House [ancestor.GetHouse.GetNameNoTooltip] and the founder of the [title.GetNameNoTooltip].","[ancestor.GetShortUIName], известн[Select_CString(ancestor.IsFemale, 'ая', 'ый')] как #italic [ancestor.GetNickname]#!, [Select_CString(ancestor.IsFemale, 'была', 'был')] [Select_CString(ancestor.IsFemale, 'первой королевой', 'первым королём')] дома [ancestor.GetHouse.GetNameNoTooltip] и [Select_CString(ancestor.IsFemale, 'основательницей', 'основателем')] [title.GetNameNoTooltip]."
"asoiaf_kingsguard_dismissal_memory_desc_third_perspective_1","Brackets","localization/russian/asoiaf_memories_l_russian.yml","6","[king.GetTitledFirstNamePossessive] | [recipient.GetName]","[king.GetTitledFirstNamePossessive] | [recipient.GetName] | [Select_CString(recipient.IsFemale, 'а', '')] | [Select_CString(recipient.IsFemale, 'была', 'был')]","[recipient.GetName] was forcibly dismissed from [king.GetTitledFirstNamePossessive] Kingsguard","[recipient.GetName] [Select_CString(recipient.IsFemale, 'была', 'был')] силой исключён[Select_CString(recipient.IsFemale, 'а', '')] из Королевской гвардии [king.GetTitledFirstNamePossessive]"
"asoiaf_Targaryen_9_traits_change_memory_desc_third_perspective_1","Brackets","localization/russian/asoiaf_memories_l_russian.yml","16","[asoiaf_Targaryen_9.GetNamePossessive] | [asoiaf_Targaryen_9.HerHim]","[asoiaf_Targaryen_9.GetNameNoTooltip]","[asoiaf_Targaryen_9.GetNamePossessive] marriage helped [asoiaf_Targaryen_9.HerHim] become a stronger person","Брак помог [asoiaf_Targaryen_9.GetNameNoTooltip] стать сильнее"
"asoiaf_mance_rayder_desertion_memory_desc","Brackets","localization/russian/asoiaf_memories_l_russian.yml","19","","[Select_CString(ROOT.Char.IsFemale, 'дезертировала', 'дезертировал')] | [Select_CString(ROOT.Char.IsFemale, 'Королевой-за-Стеной', 'Королём-за-Стеной')] | [Select_CString(ROOT.Char.IsFemale, 'провозгласила', 'провозгласил')]","I deserted from the Night's Watch and declared myself King-Beyond-the-Wall","Я [Select_CString(ROOT.Char.IsFemale, 'дезертировала', 'дезертировал')] из Ночного Дозора и [Select_CString(ROOT.Char.IsFemale, 'провозгласила', 'провозгласил')] себя [Select_CString(ROOT.Char.IsFemale, 'Королевой-за-Стеной', 'Королём-за-Стеной')]"
"asoiaf_mance_rayder_desertion_memory_desc_second_perspective_1","Brackets","localization/russian/asoiaf_memories_l_russian.yml","20","","[Select_CString(ROOT.Char.IsFemale, 'Королевой-за-Стеной', 'Королём-за-Стеной')]","You deserted from the Night's Watch and declared yourself King-Beyond-the-Wall","Вы дезертировали из Ночного Дозора и провозгласили себя [Select_CString(ROOT.Char.IsFemale, 'Королевой-за-Стеной', 'Королём-за-Стеной')]"
"nick_the_late_prefix","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","2","","[Select_CString(CHARACTER.IsFemale, 'Покойная', 'Покойный')]","The Late","[Select_CString(CHARACTER.IsFemale, 'Покойная', 'Покойный')]"
"nick_bastard_prefix","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","3","","[Select_CString(CHARACTER.IsFemale, 'Бастардка', 'Бастард')]","Bastard","[Select_CString(CHARACTER.IsFemale, 'Бастардка', 'Бастард')]"
"nick_fat_prefix","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","5","","[Select_CString(CHARACTER.IsFemale, 'Толстая', 'Толстый')]","Fat","[Select_CString(CHARACTER.IsFemale, 'Толстая', 'Толстый')]"
"nick_the_heir_for_a_day","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","6","","[Select_CString(CHARACTER.IsFemale, 'Наследница на день', 'Наследник на день')]","the Heir for a Day","[Select_CString(CHARACTER.IsFemale, 'Наследница на день', 'Наследник на день')]"
"nick_the_heir_for_a_day_desc","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","7","[CHARACTER.GetFirstNameNoTooltip]","[CHARACTER.GetFirstNameNoTooltip] | [CHARACTER.GetHerHim] | [Select_CString(CHARACTER.IsFemale, 'Наследницей', 'Наследником')] | [Select_CString(CHARACTER.IsFemale, 'прожила', 'прожил')]","[CHARACTER.GetFirstNameNoTooltip] lived only for a few hours, thereafter callously dubbed 'the Heir for a Day' by his uncle Daemon.","[CHARACTER.GetFirstNameNoTooltip] [Select_CString(CHARACTER.IsFemale, 'прожила', 'прожил')] всего несколько часов; после этого дядя Деймон безжалостно прозвал [CHARACTER.GetHerHim] «[Select_CString(CHARACTER.IsFemale, 'Наследницей', 'Наследником')] на день»."
"nick_homeless_prefix","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","8","","[Select_CString(CHARACTER.IsFemale, 'Бездомная', 'Бездомный')]","Homeless","[Select_CString(CHARACTER.IsFemale, 'Бездомная', 'Бездомный')]"
"nick_red_prefix","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","9","","[Select_CString(CHARACTER.IsFemale, 'Красная', 'Красный')]","Red","[Select_CString(CHARACTER.IsFemale, 'Красная', 'Красный')]"
"nick_the_black_queen_desc","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","12","[CHARACTER.GetFirstNamePossessiveNoTooltip] | [CHARACTER.GetHerHis] | [CHARACTER.GetHerHis]","[CHARACTER.GetHerHis] | [CHARACTER.GetHerHis]","[CHARACTER.GetFirstNamePossessiveNoTooltip] slaughter of [CHARACTER.GetHerHis] brothers has forever stained [CHARACTER.GetHerHis] reputation.","Резня [CHARACTER.GetHerHis] братьев навеки запятнала [CHARACTER.GetHerHis] репутацию."
"nick_the_iron_one","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","13","","[Select_CString(CHARACTER.IsFemale, 'Железная', 'Железный')]","the Iron One","[Select_CString(CHARACTER.IsFemale, 'Железная', 'Железный')]"
"nick_the_feral","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","15","","[Select_CString(CHARACTER.IsFemale, 'Одичавшая', 'Одичавший')]","the Feral","[Select_CString(CHARACTER.IsFemale, 'Одичавшая', 'Одичавший')]"
"nick_ironrod_desc","Brackets","localization/russian/asoiaf_nicknames_l_russian.yml","18","[CHARACTER.GetFirstNameNoTooltip] | [CHARACTER.GetHerHis] | [CHARACTER.GetHerHis]","[CHARACTER.GetFirstNameNoTooltip] | [CHARACTER.GetFirstNameNoTooltip] | [CHARACTER.GetHerHis]","Known for an unbending attitude in matters of law, many say [CHARACTER.GetFirstNameNoTooltip] more than earned [CHARACTER.GetHerHis] sobriquet, while others claim it's from the stiffness of [CHARACTER.GetHerHis] member, having sired over two dozen children.","Известный непреклонностью в вопросах закона, многие считают, что прозвище [CHARACTER.GetFirstNameNoTooltip] досталось по заслугам; другие же уверяют, что оно связано с жёсткостью [CHARACTER.GetHerHis] достоинства — ведь у [CHARACTER.GetFirstNameNoTooltip] больше двух десятков детей."
"asoiaf_dismissed_from_kingsguard_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","2","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHim] | [kingsguard|E] | [TARGET_CHARACTER.GetTitledFirstName]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHim] | [Concept('kingsguard', 'Королевской гвардии')|E] | [Select_CString(CHARACTER.IsFemale, 'затаила', 'затаил' )] | [Select_CString(TARGET_CHARACTER.IsFemale, 'исключила', 'исключил' )] | [TARGET_CHARACTER.GetSheHe] | [TARGET_CHARACTER.GetTitledFirstName]","[CHARACTER.GetFirstName|U] resents [TARGET_CHARACTER.GetTitledFirstName] for dismissing [CHARACTER.GetHerHim] from the [kingsguard|E], a highly taboo action which brought great shame.","[CHARACTER.GetFirstName|U] [Select_CString(CHARACTER.IsFemale, 'затаила', 'затаил' )] обиду на [TARGET_CHARACTER.GetTitledFirstName] за то, что [TARGET_CHARACTER.GetSheHe] [Select_CString(TARGET_CHARACTER.IsFemale, 'исключила', 'исключил' )] [CHARACTER.GetHerHim] из [Concept('kingsguard', 'Королевской гвардии')|E], совершив крайне запретный поступок, принёсший великий позор."
"asoiaf_alicent_rhaenyra_grudge_2_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","4","[CHARACTER.GetFirstName|U] | [CHARACTER.GetFirstNamePossessiveNoTooltip] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetSheHe]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetFirstNamePossessiveNoTooltip] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName|U] despises [TARGET_CHARACTER.GetFirstName] after [TARGET_CHARACTER.GetSheHe] slaughtered [CHARACTER.GetFirstNamePossessiveNoTooltip] children.","[CHARACTER.GetFirstName|U] ненавидит [TARGET_CHARACTER.GetFirstName] после резни детей [CHARACTER.GetFirstNamePossessiveNoTooltip], устроенной [TARGET_CHARACTER.GetFirstName]."
"asoiaf_aemond_lucerys_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","10","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHis] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetSheHe]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHis] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName|U] holds a deep, longing hatred for [TARGET_CHARACTER.GetFirstName] ever since [TARGET_CHARACTER.GetSheHe] slashed out [CHARACTER.GetHerHis] eye in a brutal childhood quarrel.","[CHARACTER.GetFirstName|U] питает глубокую, давнюю ненависть к [TARGET_CHARACTER.GetFirstName] с тех пор, как в жестокой детской ссоре [CHARACTER.GetHerHis] глаз был рассечён [TARGET_CHARACTER.GetFirstName]."
"asoiaf_aegon_aemond_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","14","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHim] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetSheHe]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHim] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName|U] hates and fears [TARGET_CHARACTER.GetFirstName] after [TARGET_CHARACTER.GetSheHe] tried to kill [CHARACTER.GetHerHim] during the Battle of Rook's Rest.","[CHARACTER.GetFirstName|U] ненавидит и боится [TARGET_CHARACTER.GetFirstName] после попытки убийства [CHARACTER.GetHerHim] в битве при Гнезде Грача."
"asoiaf_laenor_criston_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","16","[CHARACTER.GetFirstName|U] | [CHARACTER.GetFirstNamePossessive] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetHerHis]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetFirstNamePossessive] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName|U] holds an unwavering loathing for [TARGET_CHARACTER.GetFirstName] after [TARGET_CHARACTER.GetHerHis] murder of [CHARACTER.GetFirstNamePossessive] closest friend and soulmate.","[CHARACTER.GetFirstName|U] испытывает непримиримую ненависть к [TARGET_CHARACTER.GetFirstName] после убийства ближайшего друга и родственной души [CHARACTER.GetFirstNamePossessive], совершённого [TARGET_CHARACTER.GetFirstName]."
"asoiaf_cersei_tyrion_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","18","[CHARACTER.GetFirstName|U] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetHerHim]","[CHARACTER.GetFirstName|U] | [Select_CString(CHARACTER.IsFemale, 'а', '')] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetHerHim]","[CHARACTER.GetFirstName|U] grew to hate [TARGET_CHARACTER.GetFirstName] after their mother died giving birth to [TARGET_CHARACTER.GetHerHim].","[CHARACTER.GetFirstName|U] возненавидел[Select_CString(CHARACTER.IsFemale, 'а', '')] [TARGET_CHARACTER.GetFirstName] после того, как их мать умерла, рожая [TARGET_CHARACTER.GetHerHim]."
"asoiaf_cersei_high_sparrow_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","20","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHis] | [CHARACTER.GetHerHis] | [TARGET_CHARACTER.GetFirstNameNicknamed]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHim] | [CHARACTER.GetHerHis] | [TARGET_CHARACTER.GetFirstNameNicknamed]","[CHARACTER.GetFirstName|U] despises [TARGET_CHARACTER.GetFirstNameNicknamed] for usurping [CHARACTER.GetHerHis] power and persecuting [CHARACTER.GetHerHis].","[CHARACTER.GetFirstName|U] ненавидит [TARGET_CHARACTER.GetFirstNameNicknamed] за узурпацию власти [CHARACTER.GetHerHis] и за преследование [CHARACTER.GetHerHim]."
"asoiaf_cersei_unella_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","22","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHis] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetSheHe]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerHis] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName|U] swore [CHARACTER.GetHerHis] face would be the last thing [TARGET_CHARACTER.GetFirstName] sees before [TARGET_CHARACTER.GetSheHe] dies.","[CHARACTER.GetFirstName|U] твёрдо решила, что [CHARACTER.GetHerHis] лицо станет последним, что увидит [TARGET_CHARACTER.GetFirstName] перед смертью."
"asoiaf_aegon_gregor_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","24","[CHARACTER.GetFirstName|U] | [CHARACTER.GetRealMother.GetShortUIName] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetSheHe]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetRealMother.GetShortUINameNotMe] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName|U] swore that [TARGET_CHARACTER.GetFirstName] would be brought to justice after [TARGET_CHARACTER.GetSheHe] raped and murdered [CHARACTER.GetRealMother.GetShortUIName].","[CHARACTER.GetFirstName|U] требует, чтобы [TARGET_CHARACTER.GetFirstName] был предан суду после чудовищных преступлений — изнасилования и убийства [CHARACTER.GetRealMother.GetShortUINameNotMe], совершённых [TARGET_CHARACTER.GetFirstName]."
"asoiaf_robert_rhaegar_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","26","[CHARACTER.GetFirstName|U] | [CHARACTER.GetFirstNamePossessiveNoTooltip] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetSheHe]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetFirstNamePossessiveNoTooltip] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName|U] swore revenge upon [TARGET_CHARACTER.GetFirstName] after [TARGET_CHARACTER.GetSheHe] eloped with [CHARACTER.GetFirstNamePossessiveNoTooltip] betrothed.","[CHARACTER.GetFirstName|U] жаждет мести [TARGET_CHARACTER.GetFirstName] после побега [TARGET_CHARACTER.GetFirstName] с невестой [CHARACTER.GetFirstNamePossessiveNoTooltip]."
"asoiaf_cersei_jaime_lover_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","36","[CHARACTER.GetShortUINameNotMe] | [TARGET_CHARACTER.GetShortUINameNotMe|U]","[CHARACTER.GetShortUINameNotMeNotMe] | [TARGET_CHARACTER.GetShortUINameNotMeNotMe|U]","[TARGET_CHARACTER.GetShortUINameNotMe|U] and [CHARACTER.GetShortUINameNotMe] fell in love after growing close to one another and experimenting sexually in their youth.","[TARGET_CHARACTER.GetShortUINameNotMeNotMe|U] и [CHARACTER.GetShortUINameNotMeNotMe] полюбили друг друга, сблизившись в юности и пускаясь в смелые эксперименты."
"asoiaf_cersei_jaime_lover_desc_corresponding","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","37","[CHARACTER.GetShortUINameNotMe|U] | [TARGET_CHARACTER.GetShortUINameNotMe]","[CHARACTER.GetShortUINameNotMeNotMe|U] | [TARGET_CHARACTER.GetShortUINameNotMeNotMe]","[CHARACTER.GetShortUINameNotMe|U] and [TARGET_CHARACTER.GetShortUINameNotMe] fell in love after growing close to one another and experimenting sexually in their youth.","[CHARACTER.GetShortUINameNotMeNotMe|U] и [TARGET_CHARACTER.GetShortUINameNotMeNotMe] полюбили друг друга, сблизившись в юности и пускаясь в смелые эксперименты."
"asoiaf_criston_rhaenyra_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","69","[CHARACTER.GetFirstName] | [CHARACTER.HerHim] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetHerselfHimself]","[CHARACTER.GetFirstName] | [CHARACTER.GetHerHim] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetSheHe]","[CHARACTER.GetFirstName] resents [TARGET_CHARACTER.GetFirstName] for dishonouring [CHARACTER.HerHim] with false promises, then proving [TARGET_CHARACTER.GetHerselfHimself] unfit to rule through unbecoming behaviour.","[CHARACTER.GetFirstName] затаил обиду на [TARGET_CHARACTER.GetFirstName] за бесчестье, причинённое [CHARACTER.GetHerHim] ложными обещаниями, и за то, что недостойное поведение [TARGET_CHARACTER.GetFirstName] показывает: [TARGET_CHARACTER.GetSheHe] не годится для власти."
