Category,Line,Owner,Remedy,Status,Message
animations,1811,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'female')"
animations,1812,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'female')"
animations,1813,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'boy')"
animations,1814,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'boy')"
animations,1815,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'boy')"
animations,1816,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'boy')"
animations,1817,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'boy')"
animations,1818,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'boy')"
animations,1819,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'girl')"
animations,1820,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'girl')"
animations,1821,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'girl')"
animations,1822,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'girl')"
animations,1823,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'girl')"
animations,1824,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'girl')"
animations,1825,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'male')"
animations,1826,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'male')"
animations,1827,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'male')"
animations,1828,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'male')"
animations,1829,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'male')"
animations,1830,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'male')"
animations,1831,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'female')"
animations,1832,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'female')"
animations,1833,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'female')"
animations,1834,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'female')"
animations,1835,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'female')"
animations,1836,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'female')"
animations,1837,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'boy')"
animations,1838,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'boy')"
animations,1839,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'boy')"
animations,1840,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'boy')"
animations,1841,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'boy')"
animations,1842,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'boy')"
animations,1843,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'girl')"
animations,1844,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'girl')"
animations,1845,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'girl')"
animations,1846,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'girl')"
animations,1847,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'girl')"
animations,1848,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_halberd_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'girl')"
accessories,1352,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_captainsPants_blackfyreAlt_01"""
accessories,1353,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01"""
accessories,1354,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01"""
accessories,1355,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_captainsPants_blackfyreAlt_01"""
accessories,1356,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01"""
accessories,1357,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01"""
accessories,1358,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01"""
accessories,1359,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_01"""
accessories,1360,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_02"""
accessories,1361,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_02"""
accessories,1362,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_03"""
accessories,1363,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_03"""
accessories,1364,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01"""
accessories,1365,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_01"""
accessories,1366,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_02"""
accessories,1367,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_02"""
accessories,1368,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_03"""
accessories,1369,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_03"""
accessories,1370,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""male_clothes_secular_brightboar_swordsman"""
accessories,1371,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""female_clothes_secular_brightboar_swordsman"""
accessories,1372,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""male_clothes_secular_brightboar_swordsman"""
accessories,1373,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""female_clothes_secular_brightboar_swordsman"""
accessories,1374,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmor_blackfyreAlt_01"""
accessories,1375,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmorMetal_blackfyreAlt_01"""
accessories,1376,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_ornateVest_blackfyreAlt_01"""
accessories,1377,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_standardVest_blackfyreAlt_01"""
accessories,1378,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_platedVest_blackfyreAlt_01"""
accessories,1379,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmor_blackfyreAlt_01"""
accessories,1380,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmorMetal_blackfyreAlt_01"""
accessories,1381,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_ornateVest_blackfyreAlt_01"""
accessories,1382,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_standardVest_blackfyreAlt_01"""
accessories,1383,AGOT Submod Core,KEEP-INTEGRATIONS,retain,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_platedVest_blackfyreAlt_01"""
entities,1309,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""western_walls_05_entity"" for attachment in"
entities,1310,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""western_walls_06_entity"" for attachment in"
entities,1311,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""western_walls_07_entity"" for attachment in"
entities,1312,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""india_walls_05_entity"" for attachment in"
entities,1313,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""india_walls_06_entity"" for attachment in"
entities,1314,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""india_walls_07_entity"" for attachment in"
entities,1315,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mediterranean_walls_05_entity"" for attachment in"
entities,1316,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mediterranean_walls_06_entity"" for attachment in"
entities,1317,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mediterranean_walls_07_entity"" for attachment in"
entities,1318,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""fp2_building_iberian_wall_05_entity"" for attachment in"
entities,1319,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""fp2_building_iberian_wall_06_entity"" for attachment in"
entities,1320,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""fp2_building_iberian_wall_07_entity"" for attachment in"
entities,1321,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""walls_05_marrakesh_entity"" for attachment in"
entities,1322,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""western_walls_05_paris_entity"" for attachment in"
entities,1323,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""western_walls_07_london_entity"" for attachment in"
entities,1324,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""western_walls_06_london_entity"" for attachment in"
entities,1325,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""western_walls_05_london_entity"" for attachment in"
entities,1326,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mediterranean_walls_05_thes_entity"" for attachment in"
entities,1327,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mena_walls_05_entity"" for attachment in"
entities,1328,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mena_walls_06_entity"" for attachment in"
entities,1329,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mena_walls_07_entity"" for attachment in"
entities,1330,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mediterranean_walls_05_genoa_entity"" for attachment in"
entities,1331,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mediterranean_walls_05_rome_entity"" for attachment in"
entities,1332,COW-AGOT,ENTITY-WALLS,proposed,"Failed to find entity ""mediterranean_walls_05_constantinople_entity"" for attachment in"
entities,1333,AGOT Submod Core,ENTITY-ALICENT,proposed,could not find entity [smc_alicent_dress_03_entity] - file: gfx/portraits/accessories/smc_clothing.txt line: 24 (female_clothes_smc_alicent_dress_03)
entities,1334,AGOT Submod Core,ENTITY-ALICENT,proposed,could not find entity [smc_alicent_dress_04_entity] - file: gfx/portraits/accessories/smc_clothing.txt line: 28 (female_clothes_smc_alicent_dress_04)
mesh_settings,1205,COW-AGOT,SETTINGS-01,proposed,pdxmesh [cow_blackhaven_mesh] is out of sync with its meshsettings. [blackhaven_rockShape] is not in use in file: gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh
mesh_settings,1206,COW-AGOT,SETTINGS-01,proposed,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh
mesh_settings,1207,COW-AGOT,SETTINGS-01,proposed,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh
mesh_settings,1208,COW-AGOT,SETTINGS-01,proposed,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh
mesh_settings,1209,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_special_lonely_light_04] is out of sync with its meshsettings. [dock_tower_wood] is not in use in file: gfx/models/buildings/special/Lonely Light/building_special_lonely_light_04.mesh
mesh_settings,1210,COW-AGOT,SETTINGS-01,proposed,pdxmesh [starpike_mesh] is out of sync with its meshsettings. [starpike_ground] is not in use in file: gfx/models/buildings/special/starpike/starpike.mesh
mesh_settings,1211,COW-AGOT,SETTINGS-01,proposed,pdxmesh [starpike_mesh] is out of sync with its meshsettings. [starpike_lower] is not in use in file: gfx/models/buildings/special/starpike/starpike.mesh
mesh_settings,1212,COW-AGOT,SETTINGS-01,proposed,pdxmesh [high_hermitage_mesh] is out of sync with its meshsettings. [ep3_basilica_sant_apollinare_nuovo_decalShape] is not in use in file: gfx/models/buildings/special/high_hermitage/high_hermitage.mesh
mesh_settings,1226,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_palestone_sword_01_mesh] is out of sync with its meshsettings. [casterlyrock_rockShape] is not in use in file: gfx/models/buildings/special/palestone_sword/building_palestone_sword_01.mesh
mesh_settings,1241,COW-AGOT,SETTINGS-01,proposed,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh
mesh_settings,1242,COW-AGOT,SETTINGS-01,proposed,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh
mesh_settings,1243,COW-AGOT,SETTINGS-01,proposed,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh
mesh_settings,1244,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_special_sisterton_mesh] is out of sync with its meshsettings. [sisteron_rough_walls] is not in use in file: gfx/models/buildings/special/sisterton/building_special_sisterton.mesh
mesh_settings,1249,COW-AGOT,SETTINGS-01,proposed,pdxmesh [lordsport_mesh] is out of sync with its meshsettings. [iron] is not in use in file: gfx/models/buildings/special/lordsport/lordsport.mesh
mesh_settings,1250,COW-AGOT,SETTINGS-01,proposed,pdxmesh [lordsport_mesh] is out of sync with its meshsettings. [lordsport_stone_ground] is not in use in file: gfx/models/buildings/special/lordsport/lordsport.mesh
mesh_settings,1251,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_special_yronwood_mesh] is out of sync with its meshsettings. [fp2_building_special_alhambra_01_palm_treeShape] is not in use in file: gfx/models/buildings/special/yronwood/building_special_yronwood.mesh
mesh_settings,1255,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [building_special_evenfall_4Shape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh
mesh_settings,1256,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [building_special_evenfall_cellsShape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh
mesh_settings,1257,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [fp4_legendary_western_palace_01_aShape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh
mesh_settings,1260,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [City] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
mesh_settings,1261,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [building_western_castle_0Shape4] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
mesh_settings,1262,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
mesh_settings,1263,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape1] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
mesh_settings,1264,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape2] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
mesh_settings,1265,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape3] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
mesh_settings,1266,COW-AGOT,SETTINGS-01,proposed,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [pallet] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh
