LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message,PriorLogLine,EvidenceBasis
1366,localization,Symbol only in AGOT+ effective text,test_crush_desc,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2864 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2866 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9348 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9350 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9543 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9545,AGOT+ | Исправления совместимости,pdx_locstring.cpp:93,,,Key is missing localization: test_crush_desc,1582,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1367,localization,Symbol only in AGOT+ effective text,test_crush_desc,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2864 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2866 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9348 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9350 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9543 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9545,AGOT+ | Исправления совместимости,pdx_locstring.cpp:93,,,Key is missing localization: test_crush_desc,1583,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1368,localization,Symbol only in AGOT+ effective text,test_crush_desc,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2864 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2866 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9348 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9350 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9543 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9545,AGOT+ | Исправления совместимости,pdx_locstring.cpp:93,,,Key is missing localization: test_crush_desc,1584,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1369,localization,Symbol only in AGOT+ effective text,test_crush_desc,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2864 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2866 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9348 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9350 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9543 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9545,AGOT+ | Исправления совместимости,pdx_locstring.cpp:93,,,Key is missing localization: test_crush_desc,1585,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1370,localization,Symbol only in AGOT+ effective text,test_crush_desc,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2864 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2866 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9348 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9350 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9543 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9545,AGOT+ | Исправления совместимости,pdx_locstring.cpp:93,,,Key is missing localization: test_crush_desc,1586,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1517,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1302,1733,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1519,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/re_block_02.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/re_block_02.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1699,1735,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1520,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/re_block_02.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/re_block_02.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1781,1736,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1522,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_personal_coas.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_personal_coas.txt | gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds near file: common/coat_of_arms/coat_of_arms/test_personal_coas.txt line: 2130,1738,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1523,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt | gfx/coat_of_arms/colored_emblems/north_wibberly.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/north_wibberly.dds near file: common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt line: 981,1739,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1525,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt | gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds near file: common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt line: 735,1741,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1532,artifact_visuals,Symbol only in AGOT+ effective text,asoiaf_hound_armour_visuals,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:2561 | AGOT+: common/artifacts/visuals/asoiaf_visuals.txt:100,AGOT+ | AGOT+ | Исправления совместимости,artifact_visual_type.cpp:31,,,Artifact visual type 'asoiaf_hound_armour_visuals' has no defined assets,1748,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2039,modifier_unused,Symbol only in AGOT+ effective text,asoiaf_oathkeeper_modifier,AGOT+ | Исправления совместимости: common/modifiers/asoiaf_artifact_modifiers.txt:1,AGOT+ | Исправления совместимости,static_modifier.cpp:200,,,"Modifier 'asoiaf_oathkeeper_modifier' was not used by the script or code but exists in the database, this is a waste",2255,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2040,modifier_unused,Symbol only in AGOT+ effective text,asoiaf_stark_throne_modifier,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:2384 | AGOT+ | Исправления совместимости: common/modifiers/asoiaf_artifact_modifiers.txt:50,AGOT+ | Исправления совместимости,static_modifier.cpp:200,,,"Modifier 'asoiaf_stark_throne_modifier' was not used by the script or code but exists in the database, this is a waste",2256,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2041,modifier_unused,Symbol only in AGOT+ effective text,asoiaf_Karstark_4_modifier,AGOT+: common/modifiers/asoiaf_canon_children_modifiers.txt:987,AGOT+,static_modifier.cpp:200,,,"Modifier 'asoiaf_Karstark_4_modifier' was not used by the script or code but exists in the database, this is a waste",2257,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2095,orphan_events,Symbol only in AGOT+ effective text,asoiaf_mega_war_events.0001,AGOT+ | Исправления совместимости: events/asoiaf_mega_war_events.txt:3,AGOT+ | Исправления совместимости,jomini_eventmanager.cpp:372,,,Event asoiaf_mega_war_events.0001 is orphaned,2311,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2096,orphan_events,Symbol only in AGOT+ effective text,asoiaf_young_griff_landing_events.2,AGOT+ | Исправления совместимости: events/asoiaf_young_griff_landing_events.txt:30,AGOT+ | Исправления совместимости,jomini_eventmanager.cpp:372,,,Event asoiaf_young_griff_landing_events.2 is orphaned,2312,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2138,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2354,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2139,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2355,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2140,character_links,Symbol only in AGOT+ effective text,Broome_rs_54,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:5766,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Broome_rs_54,2356,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2141,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2357,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2142,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2358,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2143,character_links,Symbol only in AGOT+ effective text,Hotah_rs_2,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:12175,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Hotah_rs_2,2359,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2144,character_links,Symbol only in AGOT+ effective text,Hotah_rs_2,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:12175,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Hotah_rs_2,2360,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2145,character_links,Symbol only in AGOT+ effective text,asoiaf_Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:519,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1,2361,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2146,character_links,Symbol only in AGOT+ effective text,asoiaf_Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:519,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1,2362,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2147,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2363,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2148,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2364,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2149,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2365,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
2150,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2366,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
