"Key","Kind","File","Line","EnglishTokens","RussianTokens"
"mde_dragon_animation_idle_tt","Escapes",,,"\n",""
"mde_dragon_animation_roar_fire_tt","Formatting",,,"#! || #T",""
"mde_dragon_animation_roar_fire_tt","Escapes",,,"\n",""
"mde_dragon_animation_roar_tt","Formatting",,,"#! || #T",""
"mde_dragon_animation_roar_tt","Escapes",,,"\n",""
"mde_dragon_contains_embryo","Expressions",,,"[ROOT.Artifact.Custom('mde_dragon_embryo_name')]",""
"mde_dragon_contains_embryo","Formatting",,,"#! || #italic",""
"mde_dragon_contains_embryo_builder","Expressions",,,"[newly_created_artifact.Custom('mde_dragon_embryo_line')] || [newly_created_artifact.GetDesc]",""
"mde_dragon_contains_embryo_hatching","Expressions",,,"[Artifact.Custom('mde_dragon_embryo_name')]",""
"mde_dragon_contains_embryo_hatching","Formatting",,,"#! || #italic",""
"mde_dragon_eggs_events.0012.desc","Expressions","localization/russian/more_dragon_eggs_events_l_russian.yml","135","[meraxes.GetName] || [meraxes.GetName] || [meraxes.GetNamePossessive] || [rhaenys.GetName] || [rhaenys.GetName]","[meraxes.GetName] || [meraxes.GetName] || [meraxes.GetName] || [rhaenys.GetName] || [rhaenys.GetName]"
"mde_dragon_eggs_events.0013.desc","Expressions","localization/russian/more_dragon_eggs_events_l_russian.yml","139","[meraxes.GetNamePossessive]","[meraxes.GetName]"
"mde_dragon_parent_line","Expressions",,,"[Artifact.MakeScope.Var('dragon_parent').GetCharacter.GetName]",""
"mde_dragon_parents_line","Expressions",,,"[Artifact.MakeScope.Var('dragon_parent').GetCharacter.GetName] || [Artifact.MakeScope.Var('dragon_parent_other').GetCharacter.GetName]",""
"mde_dragon_portrait_toggle_tt","Formatting",,,"#! || #T",""
"mde_dragon_portrait_toggle_tt","Escapes",,,"\n",""
"mde_dragonkeeper_liege","Expressions",,,"[AGOTGetName(Artifact.GetOwner)] || [AGOTGetName(Artifact.GetOwner.GetLiege)]",""
"mde_dragonkeeper_liege","References",,,"$head_dragonkeeper_court_position$",""
"mde_dragonkeeper_liege","Formatting",,,"#! || #V",""
"mde_egg_msg_found_intro","Escapes",,,"\n || \n",""
"mde_egg_msg_found_outro","Expressions",,,"[mde_egg_owner.GetSheHe]",""
"mde_egg_msg_found_outro","Escapes",,,"\n || \n",""
"mde_egg_owner","Expressions",,,"[AddLocalizationIf(GetScriptedGui('mde_is_dragonkeeper').IsShown( GuiScope.SetRoot( Artifact.GetOwner.MakeScope ).End ), 'mde_dragonkeeper_liege')] || [AGOTGetName(Artifact.GetOwner)|V]",""
"mde_egg_toast_clutch","Expressions",,,"[dragon_parent.Custom('GetDragonColorFull')] || [dragon_parent.GetName] || [mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_clutch","Escapes",,,"\n || \n || \n || \n",""
"mde_egg_toast_clutch_t","Expressions",,,"[dragon_parent.GetNameNoTooltip]",""
"mde_egg_toast_expedition_adventure","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_expedition_adventure","Escapes",,,"\n || \n || \n || \n",""
"mde_egg_toast_expedition_t","Expressions",,,"[mde_egg_owner.GetFirstNameNoTooltip]",""
"mde_egg_toast_expedition_trade","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_expedition_trade","Escapes",,,"\n || \n || \n || \n",""
"mde_egg_toast_expedition_valyria","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_expedition_valyria","Escapes",,,"\n || \n || \n || \n",""
"mde_egg_toast_market","Expressions",,,"[mde_toast_egg.GetName]",""
"mde_egg_toast_market","Escapes",,,"\n || \n",""
"mde_egg_toast_other","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_other","Escapes",,,"\n || \n",""
"mde_egg_toast_pickup_dragonstone","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_dragonstone","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_hellholt","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_hellholt","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_isle_of_faces","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_isle_of_faces","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_old_wyk","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_old_wyk","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_qohor_road","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_qohor_road","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_red_lake","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_red_lake","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_skagos","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_skagos","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_spicetown","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_spicetown","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_summerhall","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_summerhall","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_t","Expressions",,,"[mde_egg_owner.GetFirstNameNoTooltip]",""
"mde_egg_toast_pickup_vale","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_vale","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_volantis","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_volantis","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_pickup_winterfell","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_pickup_winterfell","References",,,"$mde_egg_msg_found_intro$ || $mde_egg_msg_found_outro$",""
"mde_egg_toast_restoration_spicetown","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_restoration_spicetown","Escapes",,,"\n || \n || \n || \n",""
"mde_egg_toast_restoration_summerhall","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_restoration_summerhall","Escapes",,,"\n || \n || \n || \n",""
"mde_egg_toast_secret_hightower","Expressions",,,"[mde_egg_owner.GetTitledFirstName] || [mde_toast_egg.GetName]",""
"mde_egg_toast_secret_hightower","Escapes",,,"\n || \n || \n || \n",""
"mde_kingsguard_white_book_tt","Formatting",,,"#! || #T",""
"mde_kingsguard_white_book_tt","Escapes",,,"\n",""
"mde_lineage_and_embryo","Expressions",,,"[Artifact.Custom('mde_dragon_embryo_line')] || [Artifact.Custom('mde_dragon_parent_localization')]",""
"MDE_MOVE_DRAGON_TT","Formatting",,,"#! || #I",""
"MDE_RETURN_BUTTONS_TT","Formatting",,,"#! || #I",""
"mde_start_demand_egg_event_chain","Formatting","localization/russian/mde_demand_egg_events_l_russian.yml","62","#X","#! || #X"
"MDE_VERSION_BUILD","References",,,"$MDE_VERSION$",""
"MDE_VERSION_BUILD","Formatting",,,"#! || #color_yellow",""
"MDE_VERSION_BUILD_TT","Formatting",,,"#! || #! || #color_yellow || #color_yellow",""
"menu_menu_host_only","Icons",,,"@warning_icon!",""
"menu_menu_host_only","Formatting",,,"#! || #X",""
"message_filter_dragon_egg_created","Icons",,,"@dragon_icon!",""
"message_filter_dragon_egg_created_desc","Expressions",,,"[dragon|E]",""
"move_dragon.t","Expressions",,,"[GetPlayer.MakeScope.Var('sgui_selected_dragon').GetCharacter.GetName]",""
"move_dragon_into.t","Expressions",,,"[GetPlayer.MakeScope.Var('viewing_county_mover').Title.GetNameNoTier]",""
"NO_DRAGONPITS_TOOLTIP","Formatting","localization/russian/more_dragon_eggs_ui_l_russian.yml","13","#X","#! || #X"
"NO_DRAGONS_TOOLTIP","Formatting","localization/russian/more_dragon_eggs_ui_l_russian.yml","11","#X","#! || #X"
"NO_EGG_TOOLTIP","Formatting","localization/russian/more_dragon_eggs_ui_l_russian.yml","12","#X","#! || #X"
"NO_KINGSGUARD_TOOLTIP","Formatting","localization/russian/more_dragon_eggs_ui_l_russian.yml","14","#X","#! || #X"
"NO_VALYRIAN_STEEL_TOOLTIP","Formatting","localization/russian/more_dragon_eggs_ui_l_russian.yml","15","#X","#! || #X"
"num_dragons_in_pit","Expressions",,,"[Title.MakeScope.ScriptValue('pit_has_this_many_dragons')|0]",""
"num_dragons_in_this_coop","Expressions",,,"[GetPlayer.MakeScope.Var('viewing_county').Title.MakeScope.ScriptValue('pit_has_this_many_dragons')|0]",""
"num_dragons_in_this_pit","Expressions",,,"[GetPlayer.MakeScope.Var('viewing_county').Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] || [GetPlayer.MakeScope.Var('viewing_county').Title.MakeScope.ScriptValue('pit_has_this_many_dragons')|0]",""
"num_eggs_in_pit","Expressions",,,"[Title.GetHolder.MakeScope.ScriptValue('pit_has_this_many_eggs')|0]",""
"num_eggs_in_this_pit","Expressions",,,"[GetPlayer.MakeScope.Var('viewing_county').Title.GetHolder.MakeScope.ScriptValue('pit_has_this_many_eggs')|0]",""
"num_tamers_in_this_pit","Expressions",,,"[GetPlayer.MakeScope.Var('viewing_county').Title.MakeScope.ScriptValue('pit_has_this_many_tamers')|0]",""
"RETRIEVE_EGG","Formatting",,,"#! || #I",""
"RETRIEVE_EGGS","Formatting",,,"#! || #I",""
"rule_cradle_egg_hatch_likelihood_ai","Icons",,,"@mde_icon! || @white_dragon_egg_icon!",""
"rule_cradle_egg_hatch_likelihood_player","Icons",,,"@mde_icon! || @white_dragon_egg_icon!",""
"rule_dragon_egg_spawn_likelihood_ai","Icons",,,"@iceFire_dragon_egg_icon! || @mde_icon!",""
"rule_dragon_egg_spawn_likelihood_player","Icons",,,"@iceFire_dragon_egg_icon! || @mde_icon!",""
"rule_mde_buttons","Icons",,,"@dragon_majestic_icon! || @mde_icon!",""
"rule_mde_egg_notifications","Icons",,,"@mde_icon!",""
"rule_pit_egg_hatch_likelihood_ai","Icons",,,"@mde_icon! || @white_dragon_egg_icon!",""
"rule_pit_egg_hatch_likelihood_player","Icons",,,"@mde_icon! || @white_dragon_egg_icon!",""
"SEND_DRAGON","Formatting",,,"#! || #I",""
"SEND_DRAGONS","Formatting",,,"#! || #I",""
"SEND_EGG","Formatting",,,"#! || #I",""
"SEND_EGGS","Formatting",,,"#! || #I",""
"SHOW_ARTIFACT_MARKET","Formatting",,,"#! || #T",""
"SHOW_ARTIFACT_MARKET","Escapes",,,"\n",""
"SHOW_DRAGONBLOOD","Formatting",,,"#! || #T",""
"SHOW_DRAGONBLOOD","Escapes",,,"\n",""
"SHOW_DRAGONPITS","Expressions","localization/russian/more_dragon_eggs_ui_l_russian.yml","17","[dragonpits|E]","[Concept('dragonpits', 'драконьи ямы')|E]"
"SHOW_DRAGONS","Expressions","localization/russian/more_dragon_eggs_ui_l_russian.yml","18","[dragons_plural|E]","[Concept('dragons_plural', 'драконов')|E]"
"SHOW_EGGS","Expressions","localization/russian/more_dragon_eggs_ui_l_russian.yml","19","[dragon|E]","[Concept('dragon', 'драконьи яйца')|E]"
"SHOW_MENU_MENU","Formatting",,,"#! || #T",""
"SHOW_MENU_MENU","Escapes",,,"\n",""
