"Key","File","Line","Russian","BuiltinRussian","ExternalRussian"
"show_dragons_decision_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","22","Управлять","False","False"
"show_eggs_decision","localization/russian/more_dragon_eggs_decisions_l_russian.yml","24","Управление драконьими яйцами","False","False"
"show_eggs_decision_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","25","Открывает меню всех существующих драконьих яиц и дополнительных действий.","False","False"
"show_eggs_decision_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","26","Управлять","False","False"
"establish_dragon_wives","localization/russian/more_dragon_eggs_decisions_l_russian.yml","28","Учредить драконьих жён","False","False"
"establish_dragon_wives_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","30","Заглушка для будущего особого типа брака всадников драконов.","False","False"
"establish_dragon_wives_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","31","Готово!","False","False"
"more_eggs_debug_decision","localization/russian/more_dragon_eggs_decisions_l_russian.yml","33","Отладка","False","False"
"more_eggs_debug_decision_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","35","Отладочное меню More Dragon Eggs.","False","False"
"more_eggs_debug_decision_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","36","Готово!","False","False"
"renaming_dragon_in_your_court_tt","localization/russian/more_dragon_eggs_decisions_l_russian.yml","38","Хотя бы одно из условий:\n$EFFECT_LIST_BULLET$Вы — компаньон этого дракона\n$EFFECT_LIST_BULLET$Вы глава дома компаньона или всадника этого дракона\nИЛИ оба условия:\n$EFFECT_LIST_BULLET$У дракона есть владелец\n$EFFECT_LIST_BULLET$Дракон находится при вашем дворе\nИЛИ все условия:\n$EFFECT_LIST_BULLET$У дракона есть владелец\n$EFFECT_LIST_BULLET$Дракон находится в драконьей яме\n$EFFECT_LIST_BULLET$Владелец драконьей ямы — ваш вассал\n$EFFECT_LIST_BULLET$Владелец драконьей ямы — ваш близкий родственник","False","False"
"renaming_dragon_in_your_family_dragonpit_tt","localization/russian/more_dragon_eggs_decisions_l_russian.yml","39","Или все условия:\n$EFFECT_LIST_BULLET$У дракона есть владелец\n$EFFECT_LIST_BULLET$Дракон находится в драконьей яме\n$EFFECT_LIST_BULLET$Владелец драконьей ямы — ваш вассал\n$EFFECT_LIST_BULLET$Владелец драконьей ямы — ваш близкий родственник","False","False"
"choose_dragonblood","localization/russian/more_dragon_eggs_decisions_l_russian.yml","81","Кровь дракона","False","False"
"choose_dragonblood_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","82","Показать список всех носителей крови дракона.","False","False"
"show_dragon_portrait_decision_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","91","Показывает портрет вашего дракона в левом нижнем углу экрана. Примечание: портреты не появляются, пока размер дракона меньше 3; если вы их не видите, причина может быть в этом.","False","False"
"show_dragon_portrait_decision_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","92","Показать портрет","False","False"
"hide_dragon_portrait_decision","localization/russian/more_dragon_eggs_decisions_l_russian.yml","94","Скрыть портрет дракона","False","False"
"hide_dragon_portrait_decision_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","96","Скрывает портрет вашего дракона в левом нижнем углу экрана. Примечание: портреты не появляются, пока размер дракона меньше 3; если вы их не видите, причина может быть в этом.","False","False"
"hide_dragon_portrait_decision_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","97","Скрыть портрет","False","False"
"manage_buttons_decision","localization/russian/more_dragon_eggs_decisions_l_russian.yml","99","Настроить кнопки","False","False"
"manage_buttons_decision_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","100","Открывает меню настройки видимости интерфейсных кнопок.","False","False"
"manage_buttons_decision_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","102","Открыть меню","False","False"
"more_dragon_eggs_events.0001.t","localization/russian/more_dragon_eggs_events_l_russian.yml","2","Порченые яйца уничтожены","False","False"
"more_dragon_eggs_events.0001.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","3","Это событие удаляет все порченые яйца в вашей игре. Наведите курсор на подсказку, чтобы увидеть результат и узнать, какие яйца были уничтожены. Решение появится снова, если в мире возникнут новые порченые яйца.","False","False"
"more_dragon_eggs_events.0001.a","localization/russian/more_dragon_eggs_events_l_russian.yml","4","Уничтожить!","False","False"
"more_dragon_eggs_events.0002.t","localization/russian/more_dragon_eggs_events_l_russian.yml","6","Отладка","False","False"
"more_dragon_eggs_events.0002.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","7","Это событие удаляет все порченые яйца в вашей игре. Наведите курсор на подсказку, чтобы увидеть результат и узнать, какие яйца были уничтожены. Решение появится снова, если в мире возникнут новые порченые яйца.","False","False"
"more_dragon_eggs_events.0002.a","localization/russian/more_dragon_eggs_events_l_russian.yml","8","Уничтожить!","False","False"
"more_dragon_eggs_events.0003.t","localization/russian/more_dragon_eggs_events_l_russian.yml","10","Выбор [Concept('dragon', 'дракона')|E]","False","False"
"more_dragon_eggs_events.0003.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","11","","False","False"
"more_dragon_eggs_events.0003.a","localization/russian/more_dragon_eggs_events_l_russian.yml","12","Выбрать этого дракона","False","False"
"more_dragon_eggs_events.0003.b","localization/russian/more_dragon_eggs_events_l_russian.yml","13","Отмена","False","False"
"more_dragon_eggs_events.0004.t","localization/russian/more_dragon_eggs_events_l_russian.yml","15","Выбор [Concept('dragonpit', 'драконьей ямы')|E]","False","False"
"more_dragon_eggs_events.0004.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","16","Здесь находятся драконьи ямы.","False","False"
"more_dragon_eggs_events.0004.a","localization/russian/more_dragon_eggs_events_l_russian.yml","17","Переместить [selected_dragon_loc.GetName] в выбранную [Concept('dragonpit', 'драконью яму')|E]","False","False"
"more_dragon_eggs_events.0004.b","localization/russian/more_dragon_eggs_events_l_russian.yml","18","Переместить [selected_dragon_loc.GetName] наружу","False","False"
"more_dragon_eggs_events.0004.c","localization/russian/more_dragon_eggs_events_l_russian.yml","19","Отмена","False","False"
"more_dragon_eggs_events.0005.a","localization/russian/more_dragon_eggs_events_l_russian.yml","21","","False","False"
"more_dragon_eggs_events.0005.t","localization/russian/more_dragon_eggs_events_l_russian.yml","22","","False","False"
"more_dragon_eggs_events.0005.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","23","","False","False"
"more_dragon_eggs_events.0006.t","localization/russian/more_dragon_eggs_events_l_russian.yml","25","","False","False"
"more_dragon_eggs_events.0006.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","26","","False","False"
"more_dragon_eggs_events.0006.a","localization/russian/more_dragon_eggs_events_l_russian.yml","27","","False","False"
"more_dragon_eggs_events.0007.t","localization/russian/more_dragon_eggs_events_l_russian.yml","29","","False","False"
"more_dragon_eggs_events.0007.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","30","","False","False"
"more_dragon_eggs_events.0007.a","localization/russian/more_dragon_eggs_events_l_russian.yml","31","","False","False"
"more_dragon_eggs_events.0008.t","localization/russian/more_dragon_eggs_events_l_russian.yml","33","Выбор [Concept('dragonpit', 'драконьей ямы')|E]","False","False"
"more_dragon_eggs_events.0008.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","34"," ","False","False"
"more_dragon_eggs_events.0008.a","localization/russian/more_dragon_eggs_events_l_russian.yml","35","Переместить [selected_dragon_loc.GetName] в выбранную [Concept('dragonpit', 'драконью яму')|E]","False","False"
"more_dragon_eggs_events.0008.b","localization/russian/more_dragon_eggs_events_l_russian.yml","36","Переместить [selected_dragon_loc.GetName] наружу","False","False"
"more_dragon_eggs_events.0008.c","localization/russian/more_dragon_eggs_events_l_russian.yml","37","Закрыть","False","False"
"more_dragon_eggs_events.0009.t","localization/russian/more_dragon_eggs_events_l_russian.yml","39","","False","False"
"more_dragon_eggs_events.0009.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","40","","False","False"
"more_dragon_eggs_events.0009.a","localization/russian/more_dragon_eggs_events_l_russian.yml","41","","False","False"
"more_dragon_eggs_events.0011.t","localization/russian/more_dragon_eggs_events_l_russian.yml","43","","False","False"
"more_dragon_eggs_events.0011.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","44","","False","False"
"more_dragon_eggs_events.0012.a","localization/russian/more_dragon_eggs_events_l_russian.yml","46","","False","False"
"more_dragon_eggs_events.0014.t","localization/russian/more_dragon_eggs_events_l_russian.yml","48","Все живые драконы","False","False"
"more_dragon_eggs_events.0014.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","49","","False","False"
"more_dragon_eggs_events.0014.a","localization/russian/more_dragon_eggs_events_l_russian.yml","50","Посмотреть своих [Concept('dragons_plural', 'драконов')|E]","False","False"
"more_dragon_eggs_events.0014.b","localization/russian/more_dragon_eggs_events_l_russian.yml","51","Посмотреть чужих [Concept('dragons_plural', 'драконов')|E]","False","False"
"more_dragon_eggs_events.0014.c","localization/russian/more_dragon_eggs_events_l_russian.yml","52","Отменить","False","False"
"more_dragon_eggs_events.0015.t","localization/russian/more_dragon_eggs_events_l_russian.yml","54","Ваши драконьи ямы","False","False"
"more_dragon_eggs_events.0015.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","55","","False","False"
"more_dragon_eggs_events.0015.a","localization/russian/more_dragon_eggs_events_l_russian.yml","56","Посмотреть всех [Concept('dragons_plural', 'драконов')|E] в выбранной [Concept('dragonpit', 'драконьей яме')|E]","False","False"
"more_dragon_eggs_events.0015.b","localization/russian/more_dragon_eggs_events_l_russian.yml","57","Переместить всех ваших [Concept('dragons_plural', 'драконов')|E] в выбранную [Concept('dragonpit', 'драконью яму')|E]","False","False"
"more_dragon_eggs_events.0015.c","localization/russian/more_dragon_eggs_events_l_russian.yml","58","Переместить всех ваших [Concept('dragons_plural', 'драконов')|E] из выбранной [Concept('dragonpit', 'драконьей ямы')|E]","False","False"
"more_dragon_eggs_events.0015.d","localization/russian/more_dragon_eggs_events_l_russian.yml","59","Посмотреть все [Concept('dragonpits', 'драконьи ямы')|E]","False","False"
"more_dragon_eggs_events.0015.e","localization/russian/more_dragon_eggs_events_l_russian.yml","60","Отменить","False","False"
"more_dragon_eggs_events.0016.t","localization/russian/more_dragon_eggs_events_l_russian.yml","62","Драконы в [selected_dragonpit_loc.GetName]","False","False"
"more_dragon_eggs_events.0016.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","63","","False","False"
"more_dragon_eggs_events.0016.a","localization/russian/more_dragon_eggs_events_l_russian.yml","64","Посмотреть всех [Concept('dragons_plural', 'драконов')|E] в выбранной [Concept('dragonpit', 'драконьей яме')|E]","False","False"
"more_dragon_eggs_events.0016.b","localization/russian/more_dragon_eggs_events_l_russian.yml","65","Переместить выбранного дракона наружу","False","False"
"more_dragon_eggs_events.0016.c","localization/russian/more_dragon_eggs_events_l_russian.yml","66","Отменить","False","False"
"more_dragon_eggs_events.0017.t","localization/russian/more_dragon_eggs_events_l_russian.yml","68","","False","False"
"more_dragon_eggs_events.0017.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","69","","False","False"
"more_dragon_eggs_events.0018.t","localization/russian/more_dragon_eggs_events_l_russian.yml","71","","False","False"
"more_dragon_eggs_events.0018.a","localization/russian/more_dragon_eggs_events_l_russian.yml","72","","False","False"
"more_dragon_eggs_events.0019.t","localization/russian/more_dragon_eggs_events_l_russian.yml","74","Драконы в [selected_dragonpit_loc.GetName]","False","False"
"more_dragon_eggs_events.0019.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","75","","False","False"
"more_dragon_eggs_events.0019.a","localization/russian/more_dragon_eggs_events_l_russian.yml","76","Посмотреть других [Concept('dragons_plural', 'драконов')|E]","False","False"
"more_dragon_eggs_events.0019.b","localization/russian/more_dragon_eggs_events_l_russian.yml","77","Посмотреть другие [Concept('dragonpits', 'драконьи ямы')|E]","False","False"
"more_dragon_eggs_events.0019.c","localization/russian/more_dragon_eggs_events_l_russian.yml","78","Отменить","False","False"
"more_dragon_eggs_events.0020.t","localization/russian/more_dragon_eggs_events_l_russian.yml","81","","False","False"
"more_dragon_eggs_events.0020.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","82","","False","False"
"more_dragon_eggs_events.0020.a","localization/russian/more_dragon_eggs_events_l_russian.yml","83","","False","False"
"agot_dragon_maintenance.0807.t","localization/russian/more_dragon_eggs_events_l_russian.yml","86","Показать действующие драконьи ямы","False","False"
"agot_dragon_maintenance.0807.a","localization/russian/more_dragon_eggs_events_l_russian.yml","87","Посмотреть всех [Concept('dragons_plural', 'драконов')|E] в выбранной [Concept('dragonpit', 'драконьей яме')|E]","False","False"
"agot_dragon_maintenance.0807.b","localization/russian/more_dragon_eggs_events_l_russian.yml","88","Отменить","False","False"
"agot_dragon_maintenance.0807.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","162","","False","False"
"SELECTED_DRAGON_TT","localization/russian/more_dragon_eggs_events_l_russian.yml","163","[selected_dragon_loc.GetName]","False","False"
"DRAGON_CANT_GO_OUTSIDE","localization/russian/more_dragon_eggs_events_l_russian.yml","173","Если переместить этого дракона наружу, вы потеряете право владения им!","False","False"
"agot_dragon_maintenance.0804.t","localization/russian/more_dragon_eggs_events_l_russian.yml","179","Показать драконьи яйца","False","False"
"agot_dragon_maintenance.0804.a","localization/russian/more_dragon_eggs_events_l_russian.yml","180","Показать драконьи яйца","False","False"
"agot_dragon_maintenance.0804.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","181","Владельцы драконьих яиц:","False","False"
"agot_dragon_maintenance.0804.desc_no_eggs","localization/russian/more_dragon_eggs_events_l_russian.yml","182","Драконьих яиц не обнаружено.","False","False"
"agot_dragon_maintenance.0805.t","localization/russian/more_dragon_eggs_events_l_russian.yml","183","Показать жизнеспособные драконьи яйца","False","False"
"agot_dragon_maintenance.0805.a","localization/russian/more_dragon_eggs_events_l_russian.yml","184","Показать жизнеспособные драконьи яйца","False","False"
"agot_dragon_maintenance.0805.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","185","Владельцы жизнеспособных драконьих яиц:","False","False"
"agot_dragon_maintenance.0806.t","localization/russian/more_dragon_eggs_events_l_russian.yml","186","Показать порченые драконьи яйца","False","False"
"agot_dragon_maintenance.0806.a","localization/russian/more_dragon_eggs_events_l_russian.yml","187","Показать порченые драконьи яйца","False","False"
"agot_dragon_maintenance.0806.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","188","Владельцы порченых драконьих яиц:","False","False"
"agot_dragon_maintenance.0808.t","localization/russian/more_dragon_eggs_events_l_russian.yml","189","Показать носителей крови дракона","False","False"
"agot_dragon_maintenance.0808.a","localization/russian/more_dragon_eggs_events_l_russian.yml","190","Показать носителей крови дракона","False","False"
"agot_dragon_maintenance.0808.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","191","","False","False"
"rule_realm_affairs_extended","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","16","@mde_icon!@dragon_majestic_icon!Дополнительный интерфейс мода","False","False"
"setting_realm_affairs_extended_off","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","17","Выключено","False","False"
"setting_realm_affairs_extended_buttons","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","18","Только кнопки","False","False"
"setting_realm_affairs_extended_decisions","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","19","Только решения","False","False"
"setting_realm_affairs_extended_decisions_and_buttons","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","20","Решения и кнопки","False","False"
"setting_realm_affairs_extended_off_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","22","Дополнительный интерфейс будет отключён.","False","False"
"setting_realm_affairs_extended_buttons_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","23","Кнопки для просмотра драконьих ям, драконов и яиц появятся, когда соответствующие объекты будут доступны.","False","False"
"setting_realm_affairs_extended_decisions_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","24","Решения для просмотра драконьих ям, драконов и яиц появятся, когда соответствующие объекты будут доступны.","False","False"
"setting_realm_affairs_extended_decisions_and_buttons_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","25","Кнопки и решения для просмотра драконьих ям, драконов и яиц появятся, когда соответствующие объекты будут доступны.","False","False"
"setting_dragon_hatching_very_likely","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","45","Очень вероятно","False","False"
"setting_dragon_hatching_very_likely_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","50","Около 50% шанса, что церемония выведения дракона завершится успехом.","False","False"
"rule_dragon_egg_spawn_likelihood","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","60","@mde_icon!@iceFire_dragon_egg_icon!Вероятность появления драконьих яиц","False","False"
"setting_extremely_unlikely_spawn","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","62","Крайне редко","False","False"
"setting_very_unlikely_spawn","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","63","Очень редко","False","False"
"setting_normal_unlikely_spawn","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","64","Редко","False","False"
"setting_fairly_likely_spawn","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","65","Довольно часто","False","False"
"setting_very_likely_spawn","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","66","Очень часто","False","False"
"setting_extremely_unlikely_spawn_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","70","~1/1200 шанс для любого персонажа (включая ИИ, если он не отключён) получить драконьи яйца через локации или решения.","False","False"
"setting_very_unlikely_spawn_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","71","~1/600 шанс для любого персонажа (включая ИИ, если он не отключён) получить драконьи яйца через локации или решения.","False","False"
"setting_normal_unlikely_spawn_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","72","~1/300 шанс для любого персонажа (включая ИИ, если он не отключён) получить драконьи яйца через локации или решения. Это стандартный шанс AGOT.","False","False"
"setting_fairly_likely_spawn_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","73","~1/50 шанс для любого персонажа (включая ИИ, если он не отключён) получить драконьи яйца через локации или решения.","False","False"
"setting_very_likely_spawn_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","74","~75% шанс для любого персонажа (включая ИИ, если он не отключён) получить драконьи яйца через локации или решения. Яйца будут быстро разобраны; если ИИ может их получать, рекомендуется отключить яйца Драконьего Камня.","False","False"
"rule_can_ai_get_eggs","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","150","@mde_icon!@iceFire_dragon_egg_icon!ИИ может получать яйца","False","False"
"setting_ai_can_get_eggs","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","151","Включено","False","False"
"setting_ai_can_not_get_eggs","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","152","Отключено","False","False"
"setting_ai_can_get_eggs_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","154","Персонажи ИИ смогут получать драконьи яйца через путешествия, решения и другие источники — так же, как игрок.","False","False"
"setting_ai_can_not_get_eggs_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","155","Только игроки смогут получать драконьи яйца любыми способами. Должно работать в мультиплеере; если нет — сообщите в Steam.","False","False"
"rule_can_ai_get_dragonstone_eggs","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","157","@mde_icon!@rainbow_dragon_egg_icon!ИИ может получать яйца с Драконьего Камня","False","False"
"setting_ai_can_get_dragonstone_eggs","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","158","Включено","False","False"
"setting_ai_can_not_get_dragonstone_eggs","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","159","Отключено","False","False"
"setting_ai_can_get_dragonstone_eggs_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","161","ИИ сможет получать яйца на Драконьем Камне. Будьте готовы к потоку яиц!","False","False"
"setting_ai_can_not_get_dragonstone_eggs_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","162","Только игроки могут получать яйца на Драконьем Камне.","False","False"
"rule_can_cradle_eggs_fail","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","171","@mde_icon!@white_dragon_egg_icon!Яйца в колыбели могут испортиться","False","False"
"setting_can_cradle_eggs_fail_yes","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","172","Да","False","False"
"setting_can_cradle_eggs_fail_no","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","173","Нет","False","False"
"setting_can_cradle_eggs_fail_yes_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","175","Яйца, положенные в детскую колыбель, могут оказаться порчеными.","False","False"
"setting_can_cradle_eggs_fail_no_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","176","Яйца, положенные в детскую колыбель, рано или поздно всегда дадут дракона.","False","False"
"rule_can_ai_cradle_dragon_eggs","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","178","@mde_icon!@white_dragon_egg_icon!ИИ может класть драконьи яйца в колыбели","False","False"
"setting_can_ai_cradle_dragon_eggs_yes","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","179","Да","False","False"
"setting_can_ai_cradle_dragon_eggs_no","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","180","Нет","False","False"
"setting_can_ai_cradle_dragon_eggs_yes_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","182","ИИ будет класть драконьи яйца в детские колыбели.","False","False"
"setting_can_ai_cradle_dragon_eggs_no_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","183","ИИ не будет использовать яйца в колыбелях.","False","False"
"rule_cradle_egg_hatch_likelihood","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","185","@mde_icon!@white_dragon_egg_icon!Вероятность выведения дракона из яйца","False","False"
"rule_enable_delete_dud_eggs_decision","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","416","@mde_icon!Включить решение «Удалить порченые яйца»","False","False"
"setting_enable_delete_dud_eggs_decision_yes","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","417","Включено","False","False"
"setting_enable_delete_dud_eggs_decision_no","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","418","Отключено","False","False"
"setting_enable_delete_dud_eggs_decision_yes_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","420","Позволяет удалять все порченые яйца. Доступно только игроку. В мультиплеере лучше отключить.","False","False"
"setting_enable_delete_dud_eggs_decision_no_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","421","Удаление порченых яиц будет невозможно.","False","False"
"k_the_sapphire_islands","localization/russian/more_dragon_eggs_titles_l_russian.yml","2","Сапфировые острова","False","False"
"k_the_sapphire_islands_adj","localization/russian/more_dragon_eggs_titles_l_russian.yml","3","Сапфирово-островск","False","False"
"d_dornish_islands","localization/russian/more_dragon_eggs_titles_l_russian.yml","4","Дорнийские острова","False","False"
"d_dornish_islands_adj","localization/russian/more_dragon_eggs_titles_l_russian.yml","5","Дорнийско-островск","False","False"
"mde_menu_events.0001.t","localization/russian/more_dragon_eggs_ui_l_russian.yml","25","Настройка кнопок","False","False"
"mde_menu_events.0001.a","localization/russian/more_dragon_eggs_ui_l_russian.yml","26","Закрыть","False","False"
"mde_menu_events.0001.desc","localization/russian/more_dragon_eggs_ui_l_russian.yml","27","","False","False"
"mde_menu_events.0002.desc","localization/russian/more_dragon_eggs_ui_l_russian.yml","30","","False","False"
"mde_menu_events.0003.desc","localization/russian/more_dragon_eggs_ui_l_russian.yml","33","","False","False"
"mde_menu_events.0004.t","localization/russian/more_dragon_eggs_ui_l_russian.yml","35","Настройка кнопок","False","False"
"mde_menu_events.0004.a","localization/russian/more_dragon_eggs_ui_l_russian.yml","36","Закрыть","False","False"
"mde_menu_events.0004.desc","localization/russian/more_dragon_eggs_ui_l_russian.yml","37","","False","False"
