"Catalog","Key","File","Line","Text"
"EN","mde_demand_egg_events.0003.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","24","[egg_target.GetFullName] has heard our demands and proposed a counter offer, by way of an enormous amount of gold, at a sum of [gold_i]#emphasis $5000|V0$#!. We must now weigh if the good we can do with this gold is worth more than the trouble of escalating matters to obtain the dragon eggs."
"EN","mde_demand_egg_events.0003.a","localization/replace/english/mde_demand_egg_events_l_english.yml","25","In their hands, they're no more than stone, and gold is a better stone anyhow..."
"EN","mde_demand_egg_events.0003.a.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","26","We will gain [gold_i]#emphasis $5000|V0$#! and [egg_target.GetFullName] will lose [gold_i]#emphasis $5000|V0$#!\n\n@warning_icon!#X We will lose our claims on the eggs and won't have another opportunity to claim them!#!"
"EN","mde_demand_egg_events.0003.b","localization/replace/english/mde_demand_egg_events_l_english.yml","27","What is gold compared to fire made flesh!"
"EN","mde_demand_egg_events.0003.b.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","28","We will ponder escalating the matter to war!"
"EN","mde_demand_egg_events.0004.t","localization/replace/english/mde_demand_egg_events_l_english.yml","30","[egg_taker.GetNameNoTooltip] Demands Our [egg_target.GetNameNoTooltip]!"
"EN","mde_demand_egg_events.0004.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","31","[egg_taker.GetFullName] has decreed that our [egg_target.GetName] rightfully belongs to them by the laws of gods and men!\n\nA demand of this nature presents a grave danger, and must be considered with the utmost importance. We may either cave into their demands, offer them a suitably satiable sum of gold, to the tune of [gold_i]#emphasis $1500|V0$#!, or risk their wrath, whether that be our arrest or a declaration of war!"
"EN","mde_demand_egg_events.0004.a","localization/replace/english/mde_demand_egg_events_l_english.yml","32","[egg_taker.GetNameNoTooltip] poses too great a threat, we must concede."
"EN","mde_demand_egg_events.0004.a.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","33","@warning_icon!#X We will forfeit our [egg_target.GetName]!#!"
"EN","mde_demand_egg_events.0004.b","localization/replace/english/mde_demand_egg_events_l_english.yml","34","Mayhaps gold will dissuade them..."
"EN","mde_demand_egg_events.0004.c","localization/replace/english/mde_demand_egg_events_l_english.yml","35","Threats be damned, we will remain steadfast in our resolve."
"EN","mde_demand_egg_events.0004.c.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","36","@warning_icon!#X [egg_taker.GetFullName] is likely to declare war on us or imprison us!#!"
"EN","mde_demand_egg_events.0005.t","localization/replace/english/mde_demand_egg_events_l_english.yml","38","An Offer Of Gold"
"EN","mde_demand_egg_events.0005.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","39","[egg_victim.GetFullName] has heard our demands and proposed a counter offer, by way of a very large amount of gold, at a sum of [gold_i]#emphasis $1500|V0$#!. We must now weigh if the good we can do with this gold is worth more than the trouble of escalating matters to obtain the [egg_target.GetName]."
"EN","mde_demand_egg_events.0005.a","localization/replace/english/mde_demand_egg_events_l_english.yml","40","It is quite a sum of gold..."
"EN","mde_demand_egg_events.0005.a.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","41","@warning_icon!#X We will lose our claims on the eggs and won't have another opportunity to claim them!#!"
"EN","mde_demand_egg_events.0005.b","localization/replace/english/mde_demand_egg_events_l_english.yml","42","What is gold compared to fire made flesh!"
"EN","mde_demand_egg_events.0005.b.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","43","We will ponder escalating the matter to war!"
"EN","mde_demand_egg_events.0006.t","localization/replace/english/mde_demand_egg_events_l_english.yml","45","Demands Rejected!"
"EN","mde_demand_egg_events.0006.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","46","[egg_victim.GetName] has refused to give us the dragon egg that belongs to us! Nor have they given anything sufficient in their stead. Now we must weigh our options.\n\nWe can either rally our soldiers and march to war if we are allowed by law, arrest them if we are allowed by law, claim the egg and pursue other methods of reclaiming it, or drop the matter entirely, and permanently."
"EN","mde_demand_egg_events.0006.a","localization/replace/english/mde_demand_egg_events_l_english.yml","47","The [egg_target.GetNameNoTooltip] is ours by right! To war!"
"EN","mde_demand_egg_events.0006.a.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","48","@warning_icon!#X We are not able to go to war with [egg_victim.GetFullName]!#!"
"EN","mde_demand_egg_events.0006.b","localization/replace/english/mde_demand_egg_events_l_english.yml","49","Their possession of the [egg_target.GetNameNoTooltip] is illegal!"
"EN","mde_demand_egg_events.0006.b.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","50","We will have a claim on the [egg_target.GetName] and all the options that come with it!"
"EN","mde_demand_egg_events.0006.c","localization/replace/english/mde_demand_egg_events_l_english.yml","51","The eggs may remain in their care..."
"EN","mde_demand_egg_events.0006.c.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","52","@warning_icon!#X We will lose our claims on the eggs and won't have another opportunity to claim them!#!"
"EN","mde_demand_egg_events.0007.t","localization/replace/english/mde_demand_egg_events_l_english.yml","54","Demands Accepted!"
"EN","mde_demand_egg_events.0007.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","55","[egg_victim.GetFullName] has trembled before our might! They have taken the wiser path of conceding to our demands and have surrendered their [egg_target.GetName] to us!"
"EN","mde_demand_egg_events.0007.a","localization/replace/english/mde_demand_egg_events_l_english.yml","56","Victory is ours!"
"EN","demand_egg","localization/replace/english/mde_demand_egg_events_l_english.yml","59","Demand Egg"
"EN","demand_egg_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","60","[recipient.GetName] is unjustly in possession of a dragon's egg!"
"EN","demanded_egg_interaction.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","61","[actor.GetName] has demanded a dragon egg!"
"EN","mde_start_demand_egg_event_chain","localization/replace/english/mde_demand_egg_events_l_english.yml","62","@warning_icon!#X This will issue a demand to [recipient.GetFullName] to forfeit the egg!#"
"EN","mde_egg_access_gained","localization/replace/english/mde_demand_egg_events_l_english.yml","63","Permitted dragon egg possession."
"EN","mde_egg_access_removed","localization/replace/english/mde_demand_egg_events_l_english.yml","64","Denied dragon egg possession."
"EN","debug_take_egg","localization/replace/english/mde_demand_egg_events_l_english.yml","66","#bold #color_red Debug:#!#! Take Dragon Egg"
"EN","debug_take_egg_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","67","[actor.GetName] recieves this dragon  egg"
"EN","debug_take_all_eggs","localization/replace/english/mde_demand_egg_events_l_english.yml","69","#bold #color_red Debug:#!#! Take All Dragon Eggs"
"EN","debug_take_all_eggs_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","70","[actor.GetName] recieves every egg"
"EN","debug_give_all_eggs","localization/replace/english/mde_demand_egg_events_l_english.yml","71","#bold #color_red Debug:#!#! Give All Dragon Eggs"
"EN","debug_give_all_eggs_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","72","[recipient.GetName] recieves every egg"
"EN","debug_hatch_egg","localization/replace/english/mde_demand_egg_events_l_english.yml","74","#bold #color_red Debug:#!#! Hatch Egg"
"EN","debug_hatch_egg_bond_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","75","[recipient.GetName] will bond with the dragon that hatches from the egg"
"EN","debug_hatch_egg_own_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","76","[recipient.GetName] will own the dragon that hatches from the egg"
"EN","debug_hatch_egg_own_pit_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","77","[recipient.GetEmployer.GetName] will own the dragon that hatches from the egg"
"EN","demanded_egg_opinion","localization/replace/english/mde_demand_egg_events_l_english.yml","79","Illegally Possesses Dragon Egg"
"EN","mde_grant_egg_permission","localization/replace/english/mde_demand_egg_events_l_english.yml","81","Permit Dragon Egg Possession"
"EN","mde_grant_egg_permission_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","82","This person will be legally authorized to possess Dragon Eggs!"
"EN","mde_remove_egg_permission","localization/replace/english/mde_demand_egg_events_l_english.yml","83","Forbid Dragon Egg Possession"
"EN","mde_remove_egg_permission_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","84","Possession of Dragon Eggs by this person will be considered illegal!"
"EN","mde_egg_access_gained_interface_tt","localization/replace/english/mde_demand_egg_events_l_english.yml","85","[recipient.GetFullName] will be impervious to our ability to claim their dragon eggs!"
"EN","mde_egg_access_removed_interface_tt","localization/replace/english/mde_demand_egg_events_l_english.yml","86","We will be able to legally demand any dragon eggs in [recipient.GetFullName]'s possession!"
"EN","take_prisoner_egg","localization/replace/english/mde_demand_egg_events_l_english.yml","88","Take Egg"
"EN","take_prisoner_egg_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","89","[recipient.GetFullName] is a prisoner in our custody who illegally holds a dragon egg. We may rightfully seize it."
"EN","mde_transfer_prison_egg_tt","localization/replace/english/mde_demand_egg_events_l_english.yml","90","[actor.GetFullName] legally seized [target.GetName]!"
"EN","demanded_egg_interaction.t","localization/replace/english/mde_demand_egg_events_l_english.yml","92","Demanded A Dragon Egg!"
"EN","agot_dragon_hatching.0401.opt.b","localization/replace/english/mde_demand_egg_events_l_english.yml","94","My children!"
"EN","mde_decisions_events.1000.t","localization/replace/english/mde_demand_egg_events_l_english.yml","97","$dragon_egg_blue$"
"EN","mde_decisions_events.1000.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","98","Many have speculated about the various curiosities that are said to be contained within the Hightower, with such rumors emanating from its ancient and mystical origins atop the greasy, black stone from which it stands. The Hightowers’ fall from grace after the Dance made the house more reclusive, invigorating these rumors, such as their possession of a dragon egg. \n\nThat rumor holds true, I find as I stare at the brilliant, cobalt blue dragon egg in front of me. I have known of the chamber that contained it for a long time, as while the final days of [tessarion.GetFirstName] have largely been a mystery to recorded history, the Hightowers have known that she laid an egg, and we have kept that secret to ourselves. \n\n But now is the moment to make it known."
"EN","mde_decisions_events.1000.desc_targs","localization/replace/english/mde_demand_egg_events_l_english.yml","99","\n\nIf I were to reveal it, the Targaryens would almost certainly be enraged. Perhaps it would be wiser to give it to them quietly, as a gesture of goodwill, before they hear of it another way."
"EN","mde_decisions_events.1000.a","localization/replace/english/mde_demand_egg_events_l_english.yml","100","It belongs to House [current_hightower.GetHouse.GetName], as we are the more worthy custodians."
"EN","mde_decisions_events.1000.b","localization/replace/english/mde_demand_egg_events_l_english.yml","101","It belongs with the Blood of Old Valyria."
"EN","mde_decisions_events.1001.t","localization/replace/english/mde_demand_egg_events_l_english.yml","103","$dragon_egg_blue$"
"EN","mde_decisions_events.1001.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","104","We have been informed of a most grave matter from Oldtown. The Hightowers have been hiding a dragon egg from the time of the Dance in their ancient abode. It is a blue dragon egg sired by Tessarion that they have concealed for all this time. The final days of the she-dragon have hitherto been unknown to us.\n\nHiding this great treasure from us is a treason of the highest order. Perhaps if it had been in the right hands it could’ve hatched, preventing the extinction of the dragons. Alas, it must be secured."
"EN","mde_decisions_events.1001.a","localization/replace/english/mde_demand_egg_events_l_english.yml","105","The egg must be secured!"
"EN","mde_decisions_events.1001.b","localization/replace/english/mde_demand_egg_events_l_english.yml","106","It is no more than a stone now, anyhow."
"EN","mde_decisions_events.1002.t","localization/replace/english/mde_demand_egg_events_l_english.yml","108","$dragon_egg_blue$"
"EN","mde_decisions_events.1002.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","109","A well defended and large entourage has arrived from the city of Oldtown, carrying cargo of incalculable value. According to a sealed letter from [current_hightower.GetName], the Hightower’s have been in possession of a dragon egg since the Dance! The final days of [tessarion.GetFirstName] have long since held some mystery, but it has now been revealed that the she-dragon laid an egg! It is a brillant shade of cobalt blue. [current_hightower.GetName] now offers it to us, in hopes to make amends for concealing it for so long."
"EN","mde_decisions_events.1002.a","localization/replace/english/mde_demand_egg_events_l_english.yml","110","At last, it has been returned to us."
"EN","mde_decisions_events.3000.t","localization/replace/english/mde_demand_egg_events_l_english.yml","112","My Secret Exposed!"
"EN","mde_decisions_events.3000.desc.intro","localization/replace/english/mde_demand_egg_events_l_english.yml","113","The Dance of the Dragons was a chaotic event, leaving many of the finer details of the war unaccounted for, such as the last days of the she-dragon Tessarion. Although it has not been a secret to our house, as we know one of the final actions of the she-dragon was to lay a brilliant, cobalt blue dragon egg.\n\n"
"EN","mde_decisions_events.3000.desc.self","localization/replace/english/mde_demand_egg_events_l_english.yml","114","I have revealed to the world my possession of [ROOT.Char.Custom('HiddenArtifact')]."
"EN","mde_decisions_events.3000.desc.other","localization/replace/english/mde_demand_egg_events_l_english.yml","115","[secret_exposer.Custom2('MyCharacterIntroduction', ROOT.Char)|U] has revealed to the world that I am in possession of [ROOT.Char.Custom('HiddenArtifact')]."
"EN","mde_decisions_events.3000.desc.shared","localization/replace/english/mde_demand_egg_events_l_english.yml","116","\n\nHouse Hightower has possessed the egg since the end of the Dance of Dragons..."
"EN","mde_decisions_events.3000.desc.targs","localization/replace/english/mde_demand_egg_events_l_english.yml","117","\n\nThe Targaryens are not likely to take this reveal well. Perhaps it would be wiser to return it quietly, as a gesture of goodwill, before they hear of it another way."
"EN","mde_decisions_events.3000.a","localization/replace/english/mde_demand_egg_events_l_english.yml","118","It belongs to House Hightower."
"EN","mde_decisions_events.3000.b","localization/replace/english/mde_demand_egg_events_l_english.yml","119","I shall return it."
"EN","decision_group_type_dragon_group","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","3","@dragon_icon! Dragon Decisions"
"EN","move_dragon_dragonpit_tooltip","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","5","I like to move it move it! I like to, move it!"
"EN","delete_duds_decision_tooltip","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","7","Deleted Eggs!"
"EN","establish_dragon_wives_tooltip","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","12","Concubines await"
"EN","more_eggs_debug_decision_tooltip","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","14","Concubines await"
"EN","agot_dragon_laid_clutch_1","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","17","Laid Clutch"
"EN","agot_laid_clutch_desc_1","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","18","I laid a clutch of one egg"
"EN","agot_laid_clutch_desc_second_perspective_1","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","19","You laid a clutch of one egg"
"EN","agot_laid_clutch_desc_third_perspective_1","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","20","[owner.GetName] laid a clutch of one egg"
"EN","agot_dragon_laid_clutch_2","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","22","Laid Clutch"
"EN","agot_laid_clutch_desc_2","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","23","I laid a clutch of two eggs"
"EN","agot_laid_clutch_desc_second_perspective_2","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","24","You laid a clutch of two eggs"
"EN","agot_laid_clutch_desc_third_perspective_2","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","25","[owner.GetName] laid a clutch of two eggs"
"EN","agot_dragon_laid_clutch_3","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","27","Laid Clutch"
"EN","agot_laid_clutch_desc_3","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","28","I laid a clutch of three eggs"
"EN","agot_laid_clutch_desc_second_perspective_3","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","29","You laid a clutch of three eggs"
"EN","agot_laid_clutch_desc_third_perspective_3","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","30","[owner.GetName] laid a clutch of three eggs"
"EN","agot_dragon_laid_clutch_4","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","32","Laid Clutch"
"EN","agot_laid_clutch_desc_4","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","33","I laid a clutch of four eggs"
"EN","agot_laid_clutch_desc_second_perspective_4","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","34","You laid a clutch of four eggs"
"EN","agot_laid_clutch_desc_third_perspective_4","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","35","[owner.GetName] laid a clutch of four eggs"
"EN","agot_dragon_laid_clutch_5","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","37","Laid Clutch"
"EN","agot_laid_clutch_desc_5","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","38","I laid a clutch of five eggs"
"EN","agot_laid_clutch_desc_second_perspective_5","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","39","You laid a clutch of five eggs"
"EN","agot_laid_clutch_desc_third_perspective_5","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","40","[owner.GetName] laid a clutch of five eggs"
"EN","agot_dragon_laid_clutch_6","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","42","Laid Clutch"
"EN","agot_laid_clutch_desc_6","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","43","I laid a clutch of six eggs"
"EN","agot_laid_clutch_desc_second_perspective_6","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","44","You laid a clutch of six eggs"
"EN","agot_laid_clutch_desc_third_perspective_6","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","45","[owner.GetName] laid a clutch of six eggs"
"EN","agot_dragon_laid_clutch_7","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","47","Laid Clutch"
"EN","agot_laid_clutch_desc_7","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","48","I laid a clutch of seven eggs"
"EN","agot_laid_clutch_desc_second_perspective_7","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","49","You laid a clutch of seven eggs"
"EN","agot_laid_clutch_desc_third_perspective_7","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","50","[owner.GetName] laid a clutch of seven eggs"
"EN","agot_dragon_laid_clutch_8","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","52","Laid Clutch"
"EN","agot_laid_clutch_desc_8","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","53","I laid a clutch of five eggs"
"EN","agot_laid_clutch_desc_second_perspective_8","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","54","You laid a clutch of five eggs"
"EN","agot_laid_clutch_desc_third_perspective_8","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","55","[owner.GetName] laid a clutch of five eggs"
"EN","choose_dragonblood_tooltip","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","57","You will be brought a list of all dragonblooded people"
"EN","mde_view_dragon_blood_value","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","59","[Character.MakeScope.ScriptValue('dragonblood_percent')]% Dragonblood"
"EN","show_dragon_portrait_decision","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","63","Show Dragon Portrait"
"EN","show_dragon_portrait_decision_tooltip","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","64","Will display the dragon potrait."
"EN","hide_dragon_portrait_decision_tooltip","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","66","Will hide the dragon potrait."
"EN","manage_buttons_decision_tooltip","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","68","Open the Menu for Mananging Button Visibiltiy"
"EN","mde_dragon_eggs_events.0001.t","localization/replace/english/more_dragon_eggs_events_l_english.yml","23","Dragonlore: The Cannibals Of Skagos"
"EN","mde_dragon_eggs_events.0001.desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","24","The fearsome and violent dragon, [cannibal.GetName], was notorious for the abominable acts that earned him his name. Neither the Targaryens or the Order of the Dragonkeepers were able to contain the monstrous beast, much less stop him from feasting on his kin.\n\nIn recorded history, [cannibal.GetNamePossessive] appearance is as mysterious as his disappearance , as very little is known about either. Many say that his birth predated the birth of the Conquerors' dragons.\n\nIt is known, however, that [cannibal.GetName] disappeared some time after The Dance of Dragons. Though some have speculated that he might have flown off into the heart of Skagos, drawn by those of similar nature. You think that this may have been more than speculation, evidenced by the dragonglass scarring the forest floor around you."
"EN","mde_dragon_eggs_events.0001.a","localization/replace/english/more_dragon_eggs_events_l_english.yml","25","Unnerving."
"EN","mde_dragon_eggs_events.0002.t","localization/replace/english/more_dragon_eggs_events_l_english.yml","27","Dragonlore: The Fire Witch Of The Vale"
"EN","mde_dragon_eggs_events.0002.desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","28","During the time of the Dance of the Dragons, there were multiple wild dragons. One of these roamed the Vale, a skittish dragon that was particularly fond of lamb, earning him his namesake; [sheepstealer.GetName].\n\nThis was taken advantage of by only the hypothetical non-Targaryen descended dragonrider in Westeros, [nettles.GetName]. She would tame this dragon by luring him in with sheep every day until he trusted her. She also earned the trust of [daemon.GetName], with rumors claiming her to be either his daughter or his lover.\n\nDuring the Dance, [nettles.GetName] and [sheepstealer.GetName] would disappear, never to be seen again.\n\nThat being said, there is a clan in the Mountains of the Vale known as the Burned Men, who possess a coming of age ritual that involves their boys bringing gifts to the Fire Witch, avoiding the wrath of her flames in order to prove their manhood. Many speculate that the Fire Witch is [nettles.GetName]"
"EN","mde_dragon_eggs_events.0002.a","localization/replace/english/more_dragon_eggs_events_l_english.yml","29","If the rumors are true..."
"EN","mde_dragon_eggs_events.0004.t","localization/replace/english/more_dragon_eggs_events_l_english.yml","32","Dragonlore: The Cannibal Mound"
"EN","mde_dragon_eggs_events.0004.desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","33","You follow the dragonglass scarring throughout the forest, and as you go you begin noticing a direction in which the amount of dragonglass increases. You follow this path, nervously, until it leads to the mouth of an enormous cave.\n\nAfter waiting still for what seems like an eternity, listening for any sound from the cave, you proceed in. The cave is marked across all of its surfaces, in either a deep, red paint or even more dragonglass, and bones litter the floor.\n\nEventually, you reach the center of the cave, where it seems there is a ceremonial pit. At the heart of the ceremonial pit, is a giant mound of skulls of all sorts, rabbits, bears, deer, giants, unicorns, and humans. At the top though is a skull larger than any other, and it shines a wicked green from its eye.\n\nYou treacherously ascend the mound and find a treasure unlike anything else! A dragon egg!"
"EN","mde_dragon_eggs_events.0004.a","localization/replace/english/more_dragon_eggs_events_l_english.yml","34","Fear my might!"
"EN","mde_dragon_eggs_events.0005.t","localization/replace/english/more_dragon_eggs_events_l_english.yml","36","Dragonlore: The Cave Of The Fire Witch"
"EN","mde_dragon_eggs_events.0005.desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","37","After discussing with the locals for the better part of many days, you finally convince them to set you on the path of the Burned Men.\n\nYou do well to avoid them as you ascend into the mountains, and it is not hard to find the way of their ritual without their aid, as it is marked frequently by younger, male skeletons. Some of them have varying degrees of burns, down to the bones.\n\nWhether by luck or skill, or both, you find your way to the cave of the Fire Witch, without encountering any Burned Men, inside you see the walls are covered in thousands of markings, almost like a grey rat maester had gone mad without paper. Hidden in the corner, is a dusty, brown dragon egg!"
"EN","mde_dragon_eggs_events.0005.a","localization/replace/english/more_dragon_eggs_events_l_english.yml","38","Lucky, indeed."
"EN","mde_dragon_eggs_events.0006.t","localization/replace/english/more_dragon_eggs_events_l_english.yml","40","Dragonlore: The Isle of Faces"
