"Key","File","Line","Text","ExternalTranslation"
"mde_demand_egg_events.0006.a.tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","48","@warning_icon!#X Мы не можем воевать с [egg_victim.GetFullName]!#!"" ""@warning_icon!#X Мы не можем воевать с [egg_victim.GetFullName]!#!","@warning_icon!#X Мы не можем воевать с [egg_victim.GetFullName]!#!"
"mde_demand_egg_events.0006.b","localization/replace/russian/mde_demand_egg_events_l_russian.yml","49","Их владение [egg_target.GetNameNoTooltip] незаконно!","Они владеют [egg_target.GetNameNoTooltip] незаконно!"
"mde_demand_egg_events.0006.b.tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","50","Мы получим претензию на [egg_target.GetName] и все связанные с этим возможности!","Мы получим претензию на [egg_target.GetName] и откроем связанные с ней возможности."
"mde_demand_egg_events.0006.c","localization/replace/russian/mde_demand_egg_events_l_russian.yml","51","Пусть яйца останутся у них...","Пусть яйцо останется у них..."
"mde_demand_egg_events.0007.desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","55","[egg_victim.GetFullName] дрогнул перед нашей мощью! Они выбрали мудрый путь, уступив нашим требованиям и передав нам своё [egg_target.GetName]!","Наша угроза возымела действие: [egg_victim.GetFullName] уступает и передаёт нам [egg_target.GetName]!"
"demand_egg","localization/replace/russian/mde_demand_egg_events_l_russian.yml","59","Требовать яйцо","Потребовать яйцо"
"demand_egg_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","60","[recipient.GetName] незаконно владеет драконьим яйцом!","[recipient.GetName] незаконно владеет драконьим яйцом."
"demanded_egg_interaction.desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","61","[actor.GetName] потребовал(а) яйцо дракона!","[actor.GetName] требует передать драконье яйцо!"
"mde_start_demand_egg_event_chain","localization/replace/russian/mde_demand_egg_events_l_russian.yml","62","@warning_icon!#X Это выдвинет требование к [recipient.GetFullName] о передаче яйца!#","@warning_icon!#X Это выдвинет требование к [recipient.GetFullName] о передаче яйца!#!"
"mde_egg_access_gained","localization/replace/russian/mde_demand_egg_events_l_russian.yml","63","Разрешено владение яйцом дракона.","Владение драконьим яйцом разрешено."
"mde_egg_access_removed","localization/replace/russian/mde_demand_egg_events_l_russian.yml","64","Запрещено владение яйцом дракона.","Владение драконьим яйцом запрещено."
"debug_take_egg","localization/replace/russian/mde_demand_egg_events_l_russian.yml","66","#bold #color_red Отладка:#!#! Взять яйцо дракона","#bold #color_red Отладка:#!#! Взять драконье яйцо"
"debug_take_egg_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","67","[actor.GetName] получает это яйцо дракона","[actor.GetName] получает это драконье яйцо"
"debug_take_all_eggs","localization/replace/russian/mde_demand_egg_events_l_russian.yml","69","#bold #color_red Отладка:#!#! Взять все яйца драконов","#bold #color_red Отладка:#!#! Взять все драконьи яйца"
"debug_take_all_eggs_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","70","[actor.GetName] получает все яйца","[actor.GetName] получает все драконьи яйца"
"debug_give_all_eggs","localization/replace/russian/mde_demand_egg_events_l_russian.yml","71","#bold #color_red Отладка:#!#! Отдать все яйца драконов","#bold #color_red Отладка:#!#! Отдать все драконьи яйца"
"debug_give_all_eggs_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","72","[recipient.GetName] получает все яйца","[recipient.GetName] получает все драконьи яйца"
"debug_hatch_egg","localization/replace/russian/mde_demand_egg_events_l_russian.yml","74","#bold #color_red Отладка:#!#! Высидеть яйцо","#bold #color_red Отладка:#!#! Вывести дракона из яйца"
"debug_hatch_egg_bond_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","75","[recipient.GetName] установит связь с драконом, вылупившимся из яйца","[recipient.GetName] установит связь с драконом, появившимся из этого яйца"
"debug_hatch_egg_own_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","76","[recipient.GetName] будет владеть драконом, вылупившимся из яйца","[recipient.GetName] станет владельцем дракона, появившегося из этого яйца"
"debug_hatch_egg_own_pit_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","77","[recipient.GetEmployer.GetName] будет владеть драконом, вылупившимся из яйца","[recipient.GetEmployer.GetName] станет владельцем дракона, появившегося из этого яйца"
"mde_grant_egg_permission_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","82","Это лицо получит законное право владеть драконьими яйцами!","Это лицо получит законное право владеть драконьими яйцами."
"mde_remove_egg_permission_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","84","Владение драконьими яйцами этим лицом будет считаться незаконным!","Владение драконьими яйцами для этого лица будет считаться незаконным."
"mde_egg_access_gained_interface_tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","85","[recipient.GetFullName] станет неуязвим для наших претензий на его драконьи яйца!","[recipient.GetFullName] будет защищён от наших претензий на драконьи яйца."
"mde_egg_access_removed_interface_tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","86","Мы сможем законно требовать любые драконьи яйца во владении [recipient.GetFullName]!","Мы сможем законно требовать любые драконьи яйца во владении [recipient.GetFullName]."
"take_prisoner_egg_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","89","[recipient.GetFullName] является нашим пленником и незаконно владеет драконьим яйцом. Мы можем правомерно изъять его.","[recipient.GetFullName] находится у нас в плену и незаконно владеет драконьим яйцом. Мы можем законно изъять его."
"mde_transfer_prison_egg_tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","90","[actor.GetNamePossessive] законно изъял [target.GetName]!","[actor.GetFullName] законно изымает [target.GetName]!"
"demanded_egg_interaction.t","localization/replace/russian/mde_demand_egg_events_l_russian.yml","92","Потребовал драконье яйцо!","Требование драконьего яйца!"
"move_dragon_dragonpit_tooltip","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","5","Я люблю двигать его, двигать! Я люблю... двигать!","Открыть меню перемещения дракона."
"delete_duds_decision_tooltip","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","7","Яйца удалены!","Удалить порченые яйца"
"establish_dragon_wives_tooltip","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","12","Наложницы ждут","Особый тип брака для всадников драконов."
"more_eggs_debug_decision_tooltip","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","14","Наложницы ждут","Открыть отладочные действия More Dragon Eggs."
"agot_dragon_laid_clutch_1","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","17","Снесла кладку","Отложила кладку"
"agot_laid_clutch_desc_1","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","18","Я снесла кладку из одного яйца","Я отложила кладку из одного яйца"
"agot_laid_clutch_desc_second_perspective_1","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","19","Вы снесли кладку из одного яйца","Вы отложили кладку из одного яйца"
"agot_laid_clutch_desc_third_perspective_1","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","20","[owner.GetName] снесла кладку из одного яйца","[owner.GetName] отложила кладку из одного яйца"
"agot_dragon_laid_clutch_2","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","22","Снесла кладку","Отложила кладку"
"agot_laid_clutch_desc_2","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","23","Я снесла кладку из двух яиц","Я отложила кладку из двух яиц"
"agot_laid_clutch_desc_second_perspective_2","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","24","Вы снесли кладку из двух яиц","Вы отложили кладку из двух яиц"
"agot_laid_clutch_desc_third_perspective_2","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","25","[owner.GetName] снесла кладку из двух яиц","[owner.GetName] отложила кладку из двух яиц"
"agot_dragon_laid_clutch_3","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","27","Снесла кладку","Отложила кладку"
"agot_laid_clutch_desc_3","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","28","Я снесла кладку из трёх яиц","Я отложила кладку из трёх яиц"
"agot_laid_clutch_desc_second_perspective_3","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","29","Вы снесли кладку из трёх яиц","Вы отложили кладку из трёх яиц"
"agot_laid_clutch_desc_third_perspective_3","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","30","[owner.GetName] снесла кладку из трёх яиц","[owner.GetName] отложила кладку из трёх яиц"
"agot_dragon_laid_clutch_4","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","32","Снесла кладку","Отложила кладку"
"agot_laid_clutch_desc_4","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","33","Я снесла кладку из четырёх яиц","Я отложила кладку из четырёх яиц"
"agot_laid_clutch_desc_second_perspective_4","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","34","Вы снесли кладку из четырёх яиц","Вы отложили кладку из четырёх яиц"
"agot_laid_clutch_desc_third_perspective_4","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","35","[owner.GetName] снесла кладку из четырёх яиц","[owner.GetName] отложила кладку из четырёх яиц"
"agot_dragon_laid_clutch_5","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","37","Снесла кладку","Отложила кладку"
"agot_laid_clutch_desc_5","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","38","Я снесла кладку из пяти яиц","Я отложила кладку из пяти яиц"
"agot_laid_clutch_desc_second_perspective_5","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","39","Вы снесли кладку из пяти яиц","Вы отложили кладку из пяти яиц"
"agot_laid_clutch_desc_third_perspective_5","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","40","[owner.GetName] снесла кладку из пяти яиц","[owner.GetName] отложила кладку из пяти яиц"
"agot_dragon_laid_clutch_6","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","42","Снесла кладку","Отложила кладку"
"agot_laid_clutch_desc_6","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","43","Я снесла кладку из шести яиц","Я отложила кладку из шести яиц"
"agot_laid_clutch_desc_second_perspective_6","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","44","Вы снесли кладку из шести яиц","Вы отложили кладку из шести яиц"
"agot_laid_clutch_desc_third_perspective_6","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","45","[owner.GetName] снесла кладку из шести яиц","[owner.GetName] отложила кладку из шести яиц"
"agot_dragon_laid_clutch_7","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","47","Снесла кладку","Отложила кладку"
"agot_laid_clutch_desc_7","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","48","Я снесла кладку из семи яиц","Я отложила кладку из семи яиц"
"agot_laid_clutch_desc_second_perspective_7","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","49","Вы снесли кладку из семи яиц","Вы отложили кладку из семи яиц"
"agot_laid_clutch_desc_third_perspective_7","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","50","[owner.GetName] снесла кладку из семи яиц","[owner.GetName] отложила кладку из семи яиц"
"agot_dragon_laid_clutch_8","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","52","Снесла кладку","Отложила кладку"
"agot_laid_clutch_desc_8","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","53","Я снесла кладку из пяти яиц","Я отложила кладку из восьми яиц"
"agot_laid_clutch_desc_second_perspective_8","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","54","Вы снесли кладку из пяти яиц","Вы отложили кладку из восьми яиц"
"agot_laid_clutch_desc_third_perspective_8","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","55","[owner.GetName] снесла кладку из пяти яиц","[owner.GetName] отложила кладку из восьми яиц"
"choose_dragonblood_tooltip","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","57","Вам будет представлен список всех людей с драконьей кровью","Показать список всех носителей крови дракона."
"mde_view_dragon_blood_value","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","59","[Character.MakeScope.ScriptValue('dragonblood_percent')]% Драконьей крови","[Character.MakeScope.ScriptValue('dragonblood_percent')]% драконьей крови"
"mde_dragon_eggs_events.0001.t","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","20","Драконьи предания: Каннибалы Скагоса","Драконьи знания: Каннибалы Скагоса"
"mde_dragon_eggs_events.0001.desc","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","21","Грозный и жестокий дракон [cannibal.GetName] был печально известен мерзкими деяниями, давшими ему имя. Ни Таргариены, ни Орден Драконьих Стражей не смогли усмирить чудовище, а тем более помешать ему пожирать сородичей.\n\nВ известной истории появление [cannibal.GetName] столь же загадочно, как и исчезновение. Многие считают, что его рождение предшествовало драконам Завоевателей.\n\nДоподлинно известно, что [cannibal.GetName] исчез после Танца Драконов. Ходили слухи, что он улетел вглубь Скагоса, привлеченный родственными душами. Судя по обсидиановым шрамам на лесной почве вокруг, эти слухи могут быть правдой.","Грозный и жестокий дракон [cannibal.GetName] был печально известен мерзкими деяниями, за которые и получил своё имя. Ни Таргариены, ни драконоблюстители не смогли усмирить чудовище — тем более помешать ему пожирать собственных сородичей.\n\nВ летописях появление [cannibal.GetNamePossessive] столь же загадочно, как и исчезновение. Многие считают, что он родился ещё до драконов Завоевателя.\n\nДостоверно известно лишь одно: [cannibal.GetName] исчез вскоре после Танца Драконов. Ходили слухи, будто он улетел в глубь Скагоса, привлечённый родственными душами. Судя по обсидиановым шрамам на лесной почве вокруг, эти слухи могли быть правдой."
"mde_dragon_eggs_events.0002.t","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","24","Драконьи предания: Огненная Ведьма Долины","Драконьи знания: Огненная ведьма Долины"
"mde_dragon_eggs_events.0002.desc","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","25","Во времена Танца Драконов в Долине обитал дикий дракон [sheepstealer.GetName], получивший имя за любовь к баранине.\n\nЕго смогла приручить [nettles.GetName] - единственный Драконий всадник не-Таргариен в Вестеросе. Она завоевала доверие, ежедневно подкармливая его овцами. Ходили слухи, что она была дочерью или возлюбленной [daemon.GetName].\n\nВо время Танца [nettles.GetName] и [sheepstealer.GetName] исчезли.\n\nВ горах Долины есть клан Опаленных Людей, чей обряд инициации требует принесения даров Огненной Ведьме и прохождения сквозь пламя. Многие считают, что Ведьма - это [nettles.GetName].","Во времена Танца Драконов в Долине обитал дикий дракон [sheepstealer.GetName], получивший имя за любовь к баранине.\n\nЕго смогла приручить [nettles.GetName] — единственная предполагаемая всадница дракона в Вестеросе, не происходившая от Таргариенов. Она завоевывала его доверие, день за днём приманивая овцами. Ходили слухи, что [nettles.GetName] была дочерью или возлюбленной [daemon.GetName].\n\nВо время Танца [nettles.GetName] и [sheepstealer.GetName] исчезли и больше не появлялись.\n\nВ Лунных горах живёт клан Обгорелых. Их обряд взросления требует, чтобы юноши принесли дары огненной ведьме и прошли сквозь пламя, доказывая свою мужественность. Многие считают, что огненная ведьма — именно она."
"mde_dragon_eggs_events.0004.t","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","29","Драконьи предания: Курган Каннибала","Драконьи знания: Курган Каннибала"
"mde_dragon_eggs_events.0004.desc","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","30","Следуя по обсидиановым шрамам леса, вы замечаете, что их концентрация нарастает в одном направлении. Вы идете по этому пути, пока он не приводит ко входу в огромную пещеру.\n\nЗатаив дыхание, вы входите внутрь. Стены покрыты красной краской и обсидианом, пол усеян костями.\n\nВ центре пещеры - ритуальная яма с курганом из черепов: кроликов, медведей, оленей, великанов, единорогов и людей. На вершине - огромный череп с зеленым огнем в глазницах.\n\nВзобравшись на курган, вы находите невероятное сокровище - драконье яйцо!","Следуя по обсидиановым шрамам леса, вы замечаете, что их становится всё больше в одном направлении. Вы идёте по этому следу, пока он не выводит к устью огромной пещеры.\n\nЗатаив дыхание, вы входите внутрь. Стены испещрены красной краской и обсидианом, пол усеян костями.\n\nВ центре пещеры — ритуальная яма с курганом из черепов: кроликов, медведей, оленей, великанов, единорогов и людей. На вершине высится огромный череп, чьи глазницы горят злым зелёным светом.\n\nВзобравшись на курган, вы находите невероятное сокровище — драконье яйцо!"
"mde_dragon_eggs_events.0004.a","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","31","Да познают мое могущество!","Страшитесь моей мощи!"
"mde_dragon_eggs_events.0005.t","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","33","Драконьи предания: Пещера Огненной Ведьмы","Драконьи знания: Пещера огненной ведьмы"
"mde_dragon_eggs_events.0005.desc","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","34","После дней расспросов местные указали путь к Опаленным Людям.\n\nПоднимаясь в горы, вы избегаете встреч с ними. Тропа ритуала отмечена скелетами юношей с ожогами на костях.\n\nЧудом найдя пещеру Ведьмы, вы видите стены, испещренные тысячами знаков. В углу - покрытое пылью коричневое драконье яйцо!","После многих дней расспросов местные наконец указывают путь к Обгорелым.\n\nПоднимаясь в горы, вы избегаете встреч с ними. Тропа ритуала отмечена скелетами юношей; на некоторых костях видны следы ожогов.\n\nТо ли благодаря удаче, то ли благодаря умению, вы находите пещеру огненной ведьмы, не столкнувшись с Обгорелыми. Внутри стены покрыты тысячами знаков, словно обезумевший серый крысомейстер остался без бумаги. В углу, под слоем пыли, лежит коричневое драконье яйцо!"
"mde_dragon_eggs_events.0006.t","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","37","Драконьи предания: Остров Ликов","Драконьи знания: Остров Ликов"
"mde_dragon_eggs_events.0006.desc","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","38","Жуткий шепот в голове парализует меня леденящим страхом.\n\nПротив воли я поворачиваюсь к Острову Ликов и иду к нему, затем плыву.\n\nВыбравшись на берег, я вижу, как деревья кровоточат. Фигура с зелеными глазами выглядывает из рощи чардрев, и я теряю сознание.\n\nОчнувшись на берегу Годзиного Глаза, я обнаруживаю в руках драконье яйцо!","Жуткий шёпот в голове заставляет меня замереть, оставляя лишь ледяной страх.\n\nПротив воли я поворачиваюсь к Острову Ликов, иду к нему, а затем плыву.\n\nВыбравшись на берег, я вижу, как деревья истекают кровью. Из чащи чардрев выглядывает укрытая тенью фигура с сияющими зелёными глазами, и ужас поглощает меня.\n\nОчнувшись на берегу Божьего Ока, растерянный и встревоженный, я обнаруживаю в руках драконье яйцо."
"mde_dragon_eggs_events.0006.a","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","39","Судьба ждет.","Судьба ждёт."
"mde_dragon_eggs_events.0007.t","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","41","Драконьи предания: Дары прошлого","Драконьи знания: Дары прошлого"
