"Key","English","BuiltinRussian","BaseRussian","Russian"
"DI_00_agot_terrain_specific_buildings","Agot Terrain Specific Buildings","Agot Terrain Specific Buildings",,"AGOT: постройки для особых типов местности"
"DI_00_agot_wilderness_buildings","Agot Wilderness Buildings","Agot Wilderness Buildings",,"AGOT: постройки в дебрях"
"DI_00_city_buildings","City Buildings","City Buildings",,"Городские постройки"
"DI_00_common_buildings","Common Buildings","Common Buildings","Общие","Общие постройки"
"DI_00_duchy_capital_buildings","Duchy Capital Buildings","Duchy Capital Buildings","Столица Герцогства","Постройки столицы герцогства"
"DI_00_legendary_buildings","Legendary Buildings","Legendary Buildings","Легендарные","Легендарные постройки"
"DI_00_special_buildings","Special Buildings","Special Buildings","Специальные","Особые постройки"
"DI_00_special_mines","Special Mines","Special Mines","Специальные Шахты","Особые рудники"
"DI_00_standard_economy_buildings","Standard Economy Buildings","Standard Economy Buildings","Экономические","Хозяйственные постройки"
"DI_00_standard_military_buildings","Standard Military Buildings","Standard Military Buildings","Военные","Военные постройки"
"DI_00_temple_buildings","Temple Buildings","Temple Buildings","Церковные","Храмовые постройки"
"DI_98_special_buildings","Special Buildings","Special Buildings",,"Особые постройки"
"DI_99_ach_buildings","Ach Buildings","Ach Buildings","Здания Ach","Постройки коронационных обетов"
"DI_99_background_graphics_buildings","Background Graphics Buildings","Background Graphics Buildings","Фоновая Графика","Облик укреплений"
"DI_AGOT_w_title","A Game of Thrones","A Game of Thrones",,"Игра престолов"
"DI_ccp3_special_buildings","Ccp3 Special Buildings","Ccp3 Special Buildings","Cпециальные (DLC Ccp3)","Средневековые памятники"
"DI_court_position_category_county","County","County","Графство","Графство"
"DI_court_position_category_duchy","Duchy","Duchy","Герцогство","Герцогство"
"DI_court_position_category_empire","Empire or Greater","Empire or Greater","Империя & Гегемония","Империя и выше"
"DI_court_position_category_kingdom","Kingdom","Kingdom","Королевство","Королевство"
"DI_court_position_category_landless_adventurer","Landless Adventurer","Landless Adventurer","Безземельный","Безземельный авантюрист"
"DI_court_position_category_other","Other Positions","Other Positions","Особые","Прочие должности"
"DI_cp6_special_buildings","Cp6 Special Buildings","Cp6 Special Buildings","Cпециальные (DLC Cp6)","Священные постройки"
"DI_cp8_special_buildings","Cp8 Special Buildings","Cp8 Special Buildings","Cпециальные (DLC Cp8)","Чудеса Восточной Азии"
"DI_DRAGON_DREAD_TOOLTIP","Dread of the dragon","Dread of the dragon",,"Драконий ужас"
"DI_DRAGON_SIZE_TOOLTIP","Size of the dragon","Size of the dragon",,"Размер дракона"
"DI_DRAGON_TEMPERAMENT_TOOLTIP","Temperament of the dragon","Temperament of the dragon",,"Темперамент дракона"
"DI_holding_filter_castle_holding_loc","Check $DI_holding_type_castle_holding$","Check $game_concept_castle_holding$","Проверка $DI_holding_type_castle_holding$","Отметить: $DI_holding_type_castle_holding$"
"DI_holding_filter_church_holding_loc","Check $DI_holding_type_church_holding$","Check $game_concept_temple_holding$","Проверка $DI_holding_type_church_holding$","Отметить: $DI_holding_type_church_holding$"
"DI_holding_filter_city_holding_loc","Check $DI_holding_type_city_holding$","Check $game_concept_city_holding$","Проверка $DI_holding_type_city_holding$","Отметить: $DI_holding_type_city_holding$"
"DI_holding_filter_herder_holding_loc","Check $DI_holding_type_herder_holding$","Check $local_holding_type_capitalized_herder_holding$","Проверка $DI_holding_type_herder_holding$","Отметить: $DI_holding_type_herder_holding$"
"DI_holding_filter_monastery_holding_loc","Check $DI_holding_type_monastery_holding$","Check $local_holding_type_capitalized_monastery_holding$",,"Отметить: $DI_holding_type_monastery_holding$"
"DI_holding_filter_nomad_holding_loc","Check $DI_holding_type_nomad_holding$","Check $local_holding_type_capitalized_nomad_holding$","Проверка $DI_holding_type_nomad_holding$","Отметить: $DI_holding_type_nomad_holding$"
"DI_holding_filter_pirate_den_holding_loc","Check $DI_holding_type_pirate_den_holding$","Check $local_holding_type_capitalized_pirate_den_holding$",,"Отметить: $DI_holding_type_pirate_den_holding$"
"DI_holding_filter_ruin_holding_loc","Check $DI_holding_type_ruin_holding$","Check $local_holding_type_capitalized_ruin_holding$",,"Отметить: $DI_holding_type_ruin_holding$"
"DI_holding_filter_settlement_holding_loc","Check $DI_holding_type_settlement_holding$","Check $local_holding_type_capitalized_settlement_holding$",,"Отметить: $DI_holding_type_settlement_holding$"
"DI_holding_filter_temple_citadel_holding_loc","Check $DI_holding_type_temple_citadel_holding$","Check $local_holding_type_capitalized_temple_citadel_holding$","Проверка $DI_holding_type_temple_citadel_holding$","Отметить: $DI_holding_type_temple_citadel_holding$"
"DI_holding_filter_tribal_holding_loc","Check $DI_holding_type_tribal_holding$","Check $game_concept_tribe_holding$","Проверка $DI_holding_type_tribal_holding$","Отметить: $DI_holding_type_tribal_holding$"
"DI_holding_filter_unknown_holding_loc","Check $DI_holding_type_unknown_holding$","Check $local_holding_type_capitalized_unknown_holding$",,"Отметить: $DI_holding_type_unknown_holding$"
"DI_holding_filter_wilderness_holding_loc","Check $DI_holding_type_wilderness_holding$","Check $local_holding_type_capitalized_wilderness_holding$",,"Отметить: $DI_holding_type_wilderness_holding$"
"DI_holding_type_castle_holding","$local_holding_type_capitalized_castle_holding$","$local_holding_type_capitalized_castle_holding$","$local_holding_type_capitalized_castle_holding$","$local_holding_type_capitalized_castle_holding$"
"DI_holding_type_church_holding","$local_holding_type_capitalized_church_holding$","$local_holding_type_capitalized_church_holding$","$local_holding_type_capitalized_church_holding$","$local_holding_type_capitalized_church_holding$"
"DI_holding_type_city_holding","$local_holding_type_capitalized_city_holding$","$local_holding_type_capitalized_city_holding$","$local_holding_type_capitalized_city_holding$","$local_holding_type_capitalized_city_holding$"
"DI_holding_type_herder_holding","$local_holding_type_capitalized_herder_holding$","$local_holding_type_capitalized_herder_holding$","$local_holding_type_capitalized_herder_holding$","$local_holding_type_capitalized_herder_holding$"
"DI_holding_type_monastery_holding","$local_holding_type_capitalized_monastery_holding$","$local_holding_type_capitalized_monastery_holding$",,"$game_concept_monastery_holding$"
"DI_holding_type_nomad_holding","$local_holding_type_capitalized_nomad_holding$","$local_holding_type_capitalized_nomad_holding$","$local_holding_type_capitalized_nomad_holding$","$local_holding_type_capitalized_nomad_holding$"
"DI_holding_type_pirate_den_holding","$local_holding_type_capitalized_pirate_den_holding$","$local_holding_type_capitalized_pirate_den_holding$",,"$game_concept_pirate_den$"
"DI_holding_type_ruin_holding","$local_holding_type_capitalized_ruin_holding$","$local_holding_type_capitalized_ruin_holding$",,"$game_concept_ruin$"
"DI_holding_type_settlement_holding","$game_concept_settlement_holding$ $game_concept_holding$","$game_concept_settlement_holding$ $game_concept_holding$",,"$game_concept_settlement_holding$"
"DI_holding_type_temple_citadel_holding","$local_holding_type_capitalized_temple_citadel_holding$","$local_holding_type_capitalized_temple_citadel_holding$","$local_holding_type_capitalized_temple_citadel_holding$","$local_holding_type_capitalized_temple_citadel_holding$"
"DI_holding_type_tribal_holding","$local_holding_type_capitalized_tribal_holding$","$local_holding_type_capitalized_tribal_holding$","$local_holding_type_capitalized_tribal_holding$","$local_holding_type_capitalized_tribal_holding$"
"DI_holding_type_unknown_holding","$game_concept_unknown_holding$ $game_concept_holding$","$game_concept_unknown_holding$ $game_concept_holding$",,"Неизвестное владение"
"DI_holding_type_wilderness_holding","$game_concept_wilderness_holding$ $game_concept_holding$","$game_concept_wilderness_holding$ $game_concept_holding$",,"$game_concept_wilderness_holding$"
"DI_PC_dragon_dread","Dread: [Character.MakeScope.ScriptValue('draconic_dread')|0]","Dread: [Character.MakeScope.ScriptValue('draconic_dread')|0]",,"Драконий ужас: [Character.MakeScope.ScriptValue('draconic_dread')|0]"
"DI_PC_dragon_size","Size: [Character.MakeScope.ScriptValue('dragon_size')|0]","Size: [Character.MakeScope.ScriptValue('dragon_size')|0]",,"Размер: [Character.MakeScope.ScriptValue('dragon_size')|0]"
"DI_PC_dragon_temperament","Temperament: [Character.MakeScope.ScriptValue('temperament')|0]","Temperament: [Character.MakeScope.ScriptValue('temperament')|0]",,"Темперамент: [Character.MakeScope.ScriptValue('temperament')|0]"
"DI_select_counties_tt","#bold Left-Click#! to select all counties\n#bold Right-Click#! to deselect all counties.",,,"#Bold ЛКМ#! чтобы выбрать все графства\n#Bold ПКМ#! чтобы отменить выбор всех графств"
"DI_select_kingdoms_tt","#bold Left-Click#! to select all kingdoms\n#bold Right-Click#! to deselect all kingdoms.",,,"#Bold ЛКМ#! чтобы выбрать все королевства\n#Bold ПКМ#! чтобы отменить выбор всех королевств"
"DI_STRESS_TOOLTIP","#T [stress_level|E]: [Character.GetStressLevel|V]/[GetDefine('NCharacter', 'MAX_STRESS_LEVEL')|V]\n#![ConcatIfNeitherEmpty('#S Effects:#!\n', Character.StressLevelEffect )]\n[AddTextIf(Not(StringIsEmpty(Character.StressLevelEffect)), '\n')]#S [stress|E]: [stress_i][Character.GetStress|V]/[GetMaxStress|V]#!\n[Character.StressProgressDesc]",,"#T [stress_level|E]: [Character.GetStressLevel|V]/[GetDefine('NCharacter', 'MAX_STRESS_LEVEL')|V]\n#![ConcatIfNeitherEmpty('#S Effects:#!\n', Character.StressLevelEffect )]\n[ДобавитьTextIf(Not(StringIsEmpty(Character.StressLevelEffect)), '\n')]#S [stress|E]: [stress_i][Character.GetStress|V]/[GetMaxStress|V]#!\n[Character.StressProgressDesc]","#T [stress_level|E]: [Character.GetStressLevel|V]/[GetDefine('NCharacter', 'MAX_STRESS_LEVEL')|V]\n#![ConcatIfNeitherEmpty('#S Эффекты:#!\n', Character.StressLevelEffect )]\n[AddTextIf(Not(StringIsEmpty(Character.StressLevelEffect)), '\n')]#S [stress|E]: [stress_i][Character.GetStress|V]/[GetMaxStress|V]#!\n[Character.StressProgressDesc]"
"DI_tgp_great_project_buildings","Tgp Great Project Buildings","Tgp Great Project Buildings","Великие Проекты (Tgp)","Великие проекты"
"DI_tm_building_action",,"Apply",,"Применить"
"DI_tm_building_button_tt","#Bold Left-Click#! to build this building chain at the level selected above. \n#Bold Right-Click#! to destroy this building chain.","#Bold Left-Click#! to build this building chain at the level selected above. \n#Bold Right-Click#! to destroy this building chain.","#Bold ЛКМ#! - построить здание выбранного уровня. \n#Bold ПКМ#! - разрушить здание выбранного уровня.","#Bold ЛКМ#! — возвести эту цепочку построек на выбранном выше уровне. \n#Bold ПКМ#! — снести эту цепочку построек."
"DI_tm_destroy_building",,"Destroy",,"Снести"
"DI_tm_level_selector","Level Selector","Level Selector","Уровень","Уровень постройки"
"indigo_spears",,,,"Копья индиго"
"pen_guards",,,,"Стражи невольничьих загонов"
"sunset_feathers",,,,"Перья заката"
"tear_sailors",,,,"Моряки Острова Слёз"
"testbutton",,,,"Создать тестовую медвежью шкуру"
"tree_speakers",,,,"Говорящие с деревьями"
"triarchs_herd",,,,"Боевые слоны триархов"
"wights",,,,"Упыри"
"wyven_hunters",,,,"Охотники на виверн"
"zamoyos_sailors",,,,"Моряки Замойоса"
