Character,File,Mod,Line,SourceText
Targaryen_asoiaf_41,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5164,copy_inheritable_appearance_from = character:Targaryen_asoiaf_41
Targaryen_asoiaf_42,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5243,copy_inheritable_appearance_from = character:Targaryen_asoiaf_42
Targaryen_asoiaf_43,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5311,copy_inheritable_appearance_from = character:Targaryen_asoiaf_43
Targaryen_asoiaf_44,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5353,copy_inheritable_appearance_from = character:Targaryen_asoiaf_44
Targaryen_asoiaf_49,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5692,copy_inheritable_appearance_from = character:Targaryen_asoiaf_49
Targaryen_asoiaf_52,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5876,copy_inheritable_appearance_from = character:Targaryen_asoiaf_52
Targaryen_asoiaf_53,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5930,copy_inheritable_appearance_from = character:Targaryen_asoiaf_53
Targaryen_asoiaf_54,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5973,copy_inheritable_appearance_from = character:Targaryen_asoiaf_54
Targaryen_asoiaf_55,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6016,copy_inheritable_appearance_from = character:Targaryen_asoiaf_55
Targaryen_asoiaf_55_1,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6076,copy_inheritable_appearance_from = character:Targaryen_asoiaf_55_1
Targaryen_asoiaf_56,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6134,copy_inheritable_appearance_from = character:Targaryen_asoiaf_56
Targaryen_asoiaf_57,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6171,copy_inheritable_appearance_from = character:Targaryen_asoiaf_57
Targaryen_asoiaf_58,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6206,copy_inheritable_appearance_from = character:Targaryen_asoiaf_58
Hammer_asoiaf_2,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6294,copy_inheritable_appearance_from = character:Hammer_asoiaf_2
Targaryen_asoiaf_62,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6633,copy_inheritable_appearance_from = character:Targaryen_asoiaf_62
Targaryen_asoiaf_131,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6695,copy_inheritable_appearance_from = character:Targaryen_asoiaf_131
Targaryen_asoiaf_64,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,6837,copy_inheritable_appearance_from = character:Targaryen_asoiaf_64
Targaryen_asoiaf_61_1,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,7640,copy_inheritable_appearance_from = character:Targaryen_asoiaf_61_1
Targaryen_asoiaf_80,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,8504,copy_inheritable_appearance_from = character:Targaryen_asoiaf_80
Targaryen_asoiaf_88,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,8870,copy_inheritable_appearance_from = character:Targaryen_asoiaf_88
Targaryen_asoiaf_91,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9082,copy_inheritable_appearance_from = character:Targaryen_asoiaf_91
Targaryen_asoiaf_134,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9147,copy_inheritable_appearance_from = character:Targaryen_asoiaf_134
Targaryen_asoiaf_132,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9191,copy_inheritable_appearance_from = character:Targaryen_asoiaf_132
Targaryen_asoiaf_133,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9230,copy_inheritable_appearance_from = character:Targaryen_asoiaf_133
Targaryen_asoiaf_92,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9275,copy_inheritable_appearance_from = character:Targaryen_asoiaf_92
Targaryen_asoiaf_93,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9345,copy_inheritable_appearance_from = character:Targaryen_asoiaf_93
Targaryen_asoiaf_135,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9388,copy_inheritable_appearance_from = character:Targaryen_asoiaf_135
Targaryen_asoiaf_94,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9440,copy_inheritable_appearance_from = character:Targaryen_asoiaf_94
Targaryen_asoiaf_108,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9673,copy_inheritable_appearance_from = character:Targaryen_asoiaf_108
Targaryen_asoiaf_109,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9741,copy_inheritable_appearance_from = character:Targaryen_asoiaf_109
Targaryen_asoiaf_112,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9935,copy_inheritable_appearance_from = character:Targaryen_asoiaf_112
Targaryen_asoiaf_113,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,9986,copy_inheritable_appearance_from = character:Targaryen_asoiaf_113
Targaryen_asoiaf_114,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,10028,copy_inheritable_appearance_from = character:Targaryen_asoiaf_114
Targaryen_asoiaf_115,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,10072,copy_inheritable_appearance_from = character:Targaryen_asoiaf_115
Targaryen_asoiaf_116,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,10122,copy_inheritable_appearance_from = character:Targaryen_asoiaf_116
Targaryen_asoiaf_117,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,10176,copy_inheritable_appearance_from = character:Targaryen_asoiaf_117
Targaryen_asoiaf_121,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,10428,copy_inheritable_appearance_from = character:Targaryen_asoiaf_121
Targaryen_asoiaf_123,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,10538,copy_inheritable_appearance_from = character:Targaryen_asoiaf_123
Targaryen_asoiaf_124,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,10598,copy_inheritable_appearance_from = character:Targaryen_asoiaf_124
Targaryen_asoiaf_125,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,10657,copy_inheritable_appearance_from = character:Targaryen_asoiaf_125
Targaryen_asoiaf_4,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,11215,copy_inheritable_appearance_from = character:Targaryen_asoiaf_4
Targaryen_asoiaf_5,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,11258,copy_inheritable_appearance_from = character:Targaryen_asoiaf_5
Targaryen_asoiaf_6,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,11301,copy_inheritable_appearance_from = character:Targaryen_asoiaf_6
Targaryen_asoiaf_7,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,11345,copy_inheritable_appearance_from = character:Targaryen_asoiaf_7
Dayne_asoiaf_3,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,12500,copy_inheritable_appearance_from = character:Dayne_asoiaf_3
Dayne_asoiaf_6,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,12650,copy_inheritable_appearance_from = character:Dayne_asoiaf_6
Dayne_asoiaf_7,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,12689,copy_inheritable_appearance_from = character:Dayne_asoiaf_7
Tully_asoiaf_2,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,12750,copy_inheritable_appearance_from = character:Tully_asoiaf_2
Tully_asoiaf_3,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,12791,copy_inheritable_appearance_from = character:Tully_asoiaf_3
Tully_asoiaf_8,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,12998,copy_inheritable_appearance_from = character:Tully_asoiaf_8
Strong_asoiaf_32,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,13294,copy_inheritable_appearance_from = character:Strong_asoiaf_32
Strong_asoiaf_33,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,13327,copy_inheritable_appearance_from = character:Strong_asoiaf_33
Greyjoy_asoiaf_11,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,13366,copy_inheritable_appearance_from = character:Greyjoy_asoiaf_11
Greyjoy_asoiaf_12,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,13423,copy_inheritable_appearance_from = character:Greyjoy_asoiaf_12
Targaryen_61_1,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,13871,character:Targaryen_61_1 = { exists = yes }
Targaryen_61_1,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,13872,character:Targaryen_61_1.mother ?= { is_alive = yes }
Targaryen_61_1,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,13873,character:Targaryen_61_1.mother ?= { is_spouse_of = character:Targaryen_61_1.father }
Targaryen_61_1,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,13873,character:Targaryen_61_1.mother ?= { is_spouse_of = character:Targaryen_61_1.father }
Dormund_1,common/scripted_effects/asoiaf_setup_effects.txt,AGOT+ | Исправления совместимости,2659,character:Dormund_1 ?= { #Artys Dormand
Broome_rs_54,common/scripted_effects/asoiaf_setup_effects.txt,AGOT+ | Исправления совместимости,5766,set_mother = character:Broome_rs_54
Dormund_1,common/scripted_effects/asoiaf_setup_effects.txt,AGOT+ | Исправления совместимости,11255,character:Dormund_1 ?= { #Jon Dormund -> Artys Dormand
Hotah_rs_2,common/scripted_effects/asoiaf_setup_effects.txt,AGOT+ | Исправления совместимости,12175,character:Hotah_rs_2 ?= { #Areo Hotah's mother turns Summer Islander
Gardener_75,common/scripted_effects/00_ntc_scripted_effects_crowns.txt,AGOT - Crowns of Westeros,4478,recipient = character:Gardener_75 # Meryn IV Gardener
Gardener_75,common/scripted_effects/00_ntc_scripted_effects_crowns.txt,AGOT - Crowns of Westeros,4527,recipient = character:Gardener_75 # Meryn IV Gardener
