Character,Name,AuthorLabel,BirthEffect,File,Line
Targaryen_asoiaf_116,Aelor,Aelor & Aelora Targaryen (children of Rhaegel),asoiaf_canon_children_Targaryen_115_and_116_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,10122
Targaryen_asoiaf_117,Daenora,Daenora Targaryen (son of Baelor),asoiaf_canon_children_Targaryen_117_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,10176
Targaryen_asoiaf_121,Daella,Daella Targaryen (daughter of Maekar I),asoiaf_canon_children_Targaryen_121_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,10428
Targaryen_asoiaf_123,Rhae,Rhae Targaryen (daughter of Maekar I),asoiaf_canon_children_Targaryen_123_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,10538
Targaryen_asoiaf_124,Vaella,Vaella Targaryen (daughter of Daeron),asoiaf_canon_children_Targaryen_124_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,10598
Targaryen_asoiaf_125,Maegor,Maegor Targaryen (son of Aerion),asoiaf_canon_children_Targaryen_125_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,10657
Targaryen_asoiaf_4,Shaena,Shaena Targaryen (daughter of Aerys II),asoiaf_canon_children_Targaryen_4_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,11215
Targaryen_asoiaf_5,Daeron,Daeron Targaryen (son of Aerys II),asoiaf_canon_children_Targaryen_5_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,11258
Targaryen_asoiaf_6,Aegon,Aegon Targaryen (son of Aerys II),asoiaf_canon_children_Targaryen_6_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,11301
Targaryen_asoiaf_7,Jaehaerys,Jaehaerys Targaryen (son of Aerys II),asoiaf_canon_children_Targaryen_7_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,11345
Dayne_asoiaf_3,Ulrick,Ulrick Dayne (son of Beric),asoiaf_canon_children_Dayne_3_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,12500
Dayne_asoiaf_6,Allyria,Allyria Dayne (daughter of Beric),asoiaf_canon_children_Dayne_6_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,12650
Dayne_asoiaf_7,Edric,Edric Dayne (son of Ulrick),asoiaf_canon_children_Dayne_7_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,12689
Tully_asoiaf_2,Edmund,Edmund Tully (son of Hoster),asoiaf_canon_children_Tully_2_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,12750
Tully_asoiaf_3,Denys,Denys Tully (son of Hoster),asoiaf_canon_children_Tully_3_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,12791
Tully_asoiaf_8,Patrek,Patrek Tully (son of Hoster),asoiaf_canon_children_Tully_8_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,12998
Strong_asoiaf_32,Catelyn,Catelyn Strong (daughter of Lyonel),asoiaf_canon_children_Strong_32_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,13294
Strong_asoiaf_33,Lysa,Lysa Strong (daughter of Lyonel),asoiaf_canon_children_Strong_33_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,13327
Greyjoy_asoiaf_11,Rodrik,Rodrik Greyjoy (son of Balon),asoiaf_canon_children_Greyjoy_11_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,13366
Greyjoy_asoiaf_12,Maron,Maron Greyjoy (son of Balon),asoiaf_canon_children_Greyjoy_12_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,13423
