LogLine,Kind,Character,File,SourceLine,SourceText,Message
10903,Missing_DNA,asoiaf_Leipa_2,history/characters/asoiaf_char_vanity.txt,936,dna = asoiaf_Leipa_2,"Error: ""Failed to read key reference: asoiaf_Leipa_2: asoiaf_Leipa_2, near line: 936"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 936"
10904,Missing_DNA,asoiaf_Leipa_rs_2,history/characters/asoiaf_char_vanity.txt,973,dna = asoiaf_Leipa_rs_2,"Error: ""Failed to read key reference: asoiaf_Leipa_rs_2: asoiaf_Leipa_rs_2, near line: 973"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 973"
10905,Missing_DNA,asoiaf_Leipa_3,history/characters/asoiaf_char_vanity.txt,1000,dna = asoiaf_Leipa_3,"Error: ""Failed to read key reference: asoiaf_Leipa_3: asoiaf_Leipa_3, near line: 1000"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1000"
10906,Missing_DNA,asoiaf_Leipa_rs_3,history/characters/asoiaf_char_vanity.txt,1051,dna = asoiaf_Leipa_rs_3,"Error: ""Failed to read key reference: asoiaf_Leipa_rs_3: asoiaf_Leipa_rs_3, near line: 1051"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1051"
10907,Missing_DNA,asoiaf_Leipa_4,history/characters/asoiaf_char_vanity.txt,1084,dna = asoiaf_Leipa_4,"Error: ""Failed to read key reference: asoiaf_Leipa_4: asoiaf_Leipa_4, near line: 1084"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1084"
10908,Missing_DNA,asoiaf_Leipa_rs_4,history/characters/asoiaf_char_vanity.txt,1129,dna = asoiaf_Leipa_rs_4,"Error: ""Failed to read key reference: asoiaf_Leipa_rs_4: asoiaf_Leipa_rs_4, near line: 1129"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1129"
10909,Missing_DNA,asoiaf_Leipa_5,history/characters/asoiaf_char_vanity.txt,1156,dna = asoiaf_Leipa_5,"Error: ""Failed to read key reference: asoiaf_Leipa_5: asoiaf_Leipa_5, near line: 1156"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1156"
10910,Missing_DNA,asoiaf_Leipa_6,history/characters/asoiaf_char_vanity.txt,1186,dna = asoiaf_Leipa_6,"Error: ""Failed to read key reference: asoiaf_Leipa_6: asoiaf_Leipa_6, near line: 1186"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1186"
10911,Missing_DNA,asoiaf_Leipa_7,history/characters/asoiaf_char_vanity.txt,1216,dna = asoiaf_Leipa_7,"Error: ""Failed to read key reference: asoiaf_Leipa_7: asoiaf_Leipa_7, near line: 1216"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1216"
10912,Missing_DNA,asoiaf_Leipa_8,history/characters/asoiaf_char_vanity.txt,1253,dna = asoiaf_Leipa_8,"Error: ""Failed to read key reference: asoiaf_Leipa_8: asoiaf_Leipa_8, near line: 1253"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1253"
10913,Missing_DNA,asoiaf_Leipa_9,history/characters/asoiaf_char_vanity.txt,1283,dna = asoiaf_Leipa_9,"Error: ""Failed to read key reference: asoiaf_Leipa_9: asoiaf_Leipa_9, near line: 1283"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1283"
10914,Missing_DNA,asoiaf_Leipa_10,history/characters/asoiaf_char_vanity.txt,1320,dna = asoiaf_Leipa_10,"Error: ""Failed to read key reference: asoiaf_Leipa_10: asoiaf_Leipa_10, near line: 1320"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1320"
10915,Missing_DNA,asoiaf_Leipa_rs_10,history/characters/asoiaf_char_vanity.txt,1357,dna = asoiaf_Leipa_rs_10,"Error: ""Failed to read key reference: asoiaf_Leipa_rs_10: asoiaf_Leipa_rs_10, near line: 1357"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1357"
10916,Missing_DNA,asoiaf_Leipa_11,history/characters/asoiaf_char_vanity.txt,1384,dna = asoiaf_Leipa_11,"Error: ""Failed to read key reference: asoiaf_Leipa_11: asoiaf_Leipa_11, near line: 1384"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1384"
10917,Missing_DNA,asoiaf_Leipa_rs_11,history/characters/asoiaf_char_vanity.txt,1421,dna = asoiaf_Leipa_rs_11,"Error: ""Failed to read key reference: asoiaf_Leipa_rs_11: asoiaf_Leipa_rs_11, near line: 1421"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1421"
10918,Missing_DNA,asoiaf_Capon_1,history/characters/asoiaf_char_vanity.txt,1451,dna = asoiaf_Capon_1,"Error: ""Failed to read key reference: asoiaf_Capon_1: asoiaf_Capon_1, near line: 1451"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1451"
10919,Missing_DNA,asoiaf_Capon_rs_1,history/characters/asoiaf_char_vanity.txt,1499,dna = asoiaf_Capon_rs_1,"Error: ""Failed to read key reference: asoiaf_Capon_rs_1: asoiaf_Capon_rs_1, near line: 1499"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1499"
10920,Missing_DNA,asoiaf_Leipa_13,history/characters/asoiaf_char_vanity.txt,1633,dna = asoiaf_Leipa_13,"Error: ""Failed to read key reference: asoiaf_Leipa_13: asoiaf_Leipa_13, near line: 1633"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1633"
10921,Missing_DNA,asoiaf_Leipa_14,history/characters/asoiaf_char_vanity.txt,1663,dna = asoiaf_Leipa_14,"Error: ""Failed to read key reference: asoiaf_Leipa_14: asoiaf_Leipa_14, near line: 1663"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1663"
10922,Missing_DNA,asoiaf_Leipa_15,history/characters/asoiaf_char_vanity.txt,1700,dna = asoiaf_Leipa_15,"Error: ""Failed to read key reference: asoiaf_Leipa_15: asoiaf_Leipa_15, near line: 1700"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1700"
10923,Missing_DNA,asoiaf_Leipa_16,history/characters/asoiaf_char_vanity.txt,1737,dna = asoiaf_Leipa_16,"Error: ""Failed to read key reference: asoiaf_Leipa_16: asoiaf_Leipa_16, near line: 1737"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1737"
10924,Missing_DNA,asoiaf_Leipa_17,history/characters/asoiaf_char_vanity.txt,1767,dna = asoiaf_Leipa_17,"Error: ""Failed to read key reference: asoiaf_Leipa_17: asoiaf_Leipa_17, near line: 1767"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1767"
10925,Missing_DNA,asoiaf_Lichtenburg_1,history/characters/asoiaf_char_vanity.txt,1806,dna = asoiaf_Lichtenburg_1,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_1: asoiaf_Lichtenburg_1, near line: 1806"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1806"
10926,Missing_DNA,asoiaf_Lichtenburg_rs_1,history/characters/asoiaf_char_vanity.txt,1846,dna = asoiaf_Lichtenburg_rs_1,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_rs_1: asoiaf_Lichtenburg_rs_1, near line: 1846"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1846"
10927,Missing_DNA,asoiaf_Lichtenburg_rs_2,history/characters/asoiaf_char_vanity.txt,1872,dna = asoiaf_Lichtenburg_rs_2,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_rs_2: asoiaf_Lichtenburg_rs_2, near line: 1872"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1872"
10928,Missing_DNA,asoiaf_Lichtenburg_2,history/characters/asoiaf_char_vanity.txt,1902,dna = asoiaf_Lichtenburg_2,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_2: asoiaf_Lichtenburg_2, near line: 1902"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1902"
10929,Missing_DNA,asoiaf_Lichtenburg_3,history/characters/asoiaf_char_vanity.txt,1939,dna = asoiaf_Lichtenburg_3,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_3: asoiaf_Lichtenburg_3, near line: 1939"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1939"
10930,Missing_DNA,asoiaf_Lichtenburg_rs_3,history/characters/asoiaf_char_vanity.txt,1976,dna = asoiaf_Lichtenburg_rs_3,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_rs_3: asoiaf_Lichtenburg_rs_3, near line: 1976"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 1976"
10931,Missing_DNA,asoiaf_Lichtenburg_4,history/characters/asoiaf_char_vanity.txt,2003,dna = asoiaf_Lichtenburg_4,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_4: asoiaf_Lichtenburg_4, near line: 2003"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2003"
10932,Missing_DNA,asoiaf_Lichtenburg_rs_4,history/characters/asoiaf_char_vanity.txt,2043,dna = asoiaf_Lichtenburg_rs_4,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_rs_4: asoiaf_Lichtenburg_rs_4, near line: 2043"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2043"
10933,Missing_DNA,asoiaf_Lichtenburg_5,history/characters/asoiaf_char_vanity.txt,2075,dna = asoiaf_Lichtenburg_5,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_5: asoiaf_Lichtenburg_5, near line: 2075"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2075"
10934,Missing_DNA,asoiaf_Lichtenburg_rs_5,history/characters/asoiaf_char_vanity.txt,2112,dna = asoiaf_Lichtenburg_rs_5,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_rs_5: asoiaf_Lichtenburg_rs_5, near line: 2112"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2112"
10935,Missing_DNA,asoiaf_Zleb_1,history/characters/asoiaf_char_vanity.txt,2139,dna = asoiaf_Zleb_1,"Error: ""Failed to read key reference: asoiaf_Zleb_1: asoiaf_Zleb_1, near line: 2139"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2139"
10936,Missing_DNA,asoiaf_Zleb_rs_1,history/characters/asoiaf_char_vanity.txt,2176,dna = asoiaf_Zleb_rs_1,"Error: ""Failed to read key reference: asoiaf_Zleb_rs_1: asoiaf_Zleb_rs_1, near line: 2176"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2176"
10937,Missing_DNA,asoiaf_Lichtenburg_6,history/characters/asoiaf_char_vanity.txt,2203,dna = asoiaf_Lichtenburg_6,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_6: asoiaf_Lichtenburg_6, near line: 2203"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2203"
10938,Missing_DNA,asoiaf_Lichtenburg_7,history/characters/asoiaf_char_vanity.txt,2240,dna = asoiaf_Lichtenburg_7,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_7: asoiaf_Lichtenburg_7, near line: 2240"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2240"
10939,Missing_DNA,asoiaf_Lichtenburg_rs_7,history/characters/asoiaf_char_vanity.txt,2277,dna = asoiaf_Lichtenburg_rs_7,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_rs_7: asoiaf_Lichtenburg_rs_7, near line: 2277"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2277"
10940,Missing_DNA,asoiaf_Lichtenburg_8,history/characters/asoiaf_char_vanity.txt,2307,dna = asoiaf_Lichtenburg_8,"Error: ""Failed to read key reference: asoiaf_Lichtenburg_8: asoiaf_Lichtenburg_8, near line: 2307"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2307"
10941,Missing_DNA,asoiaf_Bitov_1,history/characters/asoiaf_char_vanity.txt,2346,dna = asoiaf_Bitov_1,"Error: ""Failed to read key reference: asoiaf_Bitov_1: asoiaf_Bitov_1, near line: 2346"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2346"
10942,Missing_DNA,asoiaf_Bitov_rs_1,history/characters/asoiaf_char_vanity.txt,2383,dna = asoiaf_Bitov_rs_1,"Error: ""Failed to read key reference: asoiaf_Bitov_rs_1: asoiaf_Bitov_rs_1, near line: 2383"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2383"
10943,Missing_DNA,asoiaf_Bitov_2,history/characters/asoiaf_char_vanity.txt,2410,dna = asoiaf_Bitov_2,"Error: ""Failed to read key reference: asoiaf_Bitov_2: asoiaf_Bitov_2, near line: 2410"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2410"
10944,Missing_DNA,asoiaf_Bitov_3,history/characters/asoiaf_char_vanity.txt,2447,dna = asoiaf_Bitov_3,"Error: ""Failed to read key reference: asoiaf_Bitov_3: asoiaf_Bitov_3, near line: 2447"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2447"
10945,Missing_DNA,asoiaf_Bitov_rs_3,history/characters/asoiaf_char_vanity.txt,2484,dna = asoiaf_Bitov_rs_3,"Error: ""Failed to read key reference: asoiaf_Bitov_rs_3: asoiaf_Bitov_rs_3, near line: 2484"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2484"
10946,Missing_DNA,asoiaf_Bitov_4,history/characters/asoiaf_char_vanity.txt,2511,dna = asoiaf_Bitov_4,"Error: ""Failed to read key reference: asoiaf_Bitov_4: asoiaf_Bitov_4, near line: 2511"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2511"
10947,Missing_DNA,asoiaf_Bitov_5,history/characters/asoiaf_char_vanity.txt,2544,dna = asoiaf_Bitov_5,"Error: ""Failed to read key reference: asoiaf_Bitov_5: asoiaf_Bitov_5, near line: 2544"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2544"
10948,Missing_DNA,asoiaf_Bitov_6,history/characters/asoiaf_char_vanity.txt,2574,dna = asoiaf_Bitov_6,"Error: ""Failed to read key reference: asoiaf_Bitov_6: asoiaf_Bitov_6, near line: 2574"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2574"
10949,Missing_DNA,asoiaf_Bitov_7,history/characters/asoiaf_char_vanity.txt,2611,dna = asoiaf_Bitov_7,"Error: ""Failed to read key reference: asoiaf_Bitov_7: asoiaf_Bitov_7, near line: 2611"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2611"
10950,Missing_DNA,asoiaf_Bitov_8,history/characters/asoiaf_char_vanity.txt,2650,dna = asoiaf_Bitov_8,"Error: ""Failed to read key reference: asoiaf_Bitov_8: asoiaf_Bitov_8, near line: 2650"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2650"
10951,Missing_DNA,asoiaf_Bitov_rs_8,history/characters/asoiaf_char_vanity.txt,2687,dna = asoiaf_Bitov_rs_8,"Error: ""Failed to read key reference: asoiaf_Bitov_rs_8: asoiaf_Bitov_rs_8, near line: 2687"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2687"
10952,Missing_DNA,asoiaf_Bitov_9,history/characters/asoiaf_char_vanity.txt,2714,dna = asoiaf_Bitov_9,"Error: ""Failed to read key reference: asoiaf_Bitov_9: asoiaf_Bitov_9, near line: 2714"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2714"
10953,Missing_DNA,asoiaf_Bitov_10,history/characters/asoiaf_char_vanity.txt,2746,dna = asoiaf_Bitov_10,"Error: ""Failed to read key reference: asoiaf_Bitov_10: asoiaf_Bitov_10, near line: 2746"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2746"
10954,Missing_DNA,asoiaf_Bitov_11,history/characters/asoiaf_char_vanity.txt,2783,dna = asoiaf_Bitov_11,"Error: ""Failed to read key reference: asoiaf_Bitov_11: asoiaf_Bitov_11, near line: 2783"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2783"
10955,Missing_DNA,asoiaf_Bitov_rs_11,history/characters/asoiaf_char_vanity.txt,2820,dna = asoiaf_Bitov_rs_11,"Error: ""Failed to read key reference: asoiaf_Bitov_rs_11: asoiaf_Bitov_rs_11, near line: 2820"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2820"
10956,Missing_DNA,asoiaf_Bitov_12,history/characters/asoiaf_char_vanity.txt,2847,dna = asoiaf_Bitov_12,"Error: ""Failed to read key reference: asoiaf_Bitov_12: asoiaf_Bitov_12, near line: 2847"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2847"
10957,Missing_DNA,asoiaf_Bitov_rs_12,history/characters/asoiaf_char_vanity.txt,2884,dna = asoiaf_Bitov_rs_12,"Error: ""Failed to read key reference: asoiaf_Bitov_rs_12: asoiaf_Bitov_rs_12, near line: 2884"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2884"
10958,Missing_DNA,asoiaf_Bitov_13,history/characters/asoiaf_char_vanity.txt,2911,dna = asoiaf_Bitov_13,"Error: ""Failed to read key reference: asoiaf_Bitov_13: asoiaf_Bitov_13, near line: 2911"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2911"
10959,Missing_DNA,asoiaf_Bitov_14,history/characters/asoiaf_char_vanity.txt,2948,dna = asoiaf_Bitov_14,"Error: ""Failed to read key reference: asoiaf_Bitov_14: asoiaf_Bitov_14, near line: 2948"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2948"
10960,Missing_DNA,asoiaf_Bitov_15,history/characters/asoiaf_char_vanity.txt,2985,dna = asoiaf_Bitov_15,"Error: ""Failed to read key reference: asoiaf_Bitov_15: asoiaf_Bitov_15, near line: 2985"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 2985"
10961,Missing_DNA,asoiaf_Bitov_16,history/characters/asoiaf_char_vanity.txt,3022,dna = asoiaf_Bitov_16,"Error: ""Failed to read key reference: asoiaf_Bitov_16: asoiaf_Bitov_16, near line: 3022"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3022"
10962,Missing_DNA,asoiaf_Bitov_17,history/characters/asoiaf_char_vanity.txt,3059,dna = asoiaf_Bitov_17,"Error: ""Failed to read key reference: asoiaf_Bitov_17: asoiaf_Bitov_17, near line: 3059"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3059"
10963,Missing_DNA,asoiaf_Bitov_rs_17,history/characters/asoiaf_char_vanity.txt,3096,dna = asoiaf_Bitov_rs_17,"Error: ""Failed to read key reference: asoiaf_Bitov_rs_17: asoiaf_Bitov_rs_17, near line: 3096"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3096"
10964,Missing_DNA,asoiaf_Bitov_18,history/characters/asoiaf_char_vanity.txt,3123,dna = asoiaf_Bitov_18,"Error: ""Failed to read key reference: asoiaf_Bitov_18: asoiaf_Bitov_18, near line: 3123"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3123"
10965,Missing_DNA,asoiaf_Bitov_rs_18,history/characters/asoiaf_char_vanity.txt,3160,dna = asoiaf_Bitov_rs_18,"Error: ""Failed to read key reference: asoiaf_Bitov_rs_18: asoiaf_Bitov_rs_18, near line: 3160"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3160"
10966,Missing_DNA,asoiaf_Bitov_19,history/characters/asoiaf_char_vanity.txt,3187,dna = asoiaf_Bitov_19,"Error: ""Failed to read key reference: asoiaf_Bitov_19: asoiaf_Bitov_19, near line: 3187"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3187"
10967,Missing_DNA,asoiaf_Bitov_20,history/characters/asoiaf_char_vanity.txt,3224,dna = asoiaf_Bitov_20,"Error: ""Failed to read key reference: asoiaf_Bitov_20: asoiaf_Bitov_20, near line: 3224"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3224"
10968,Missing_DNA,asoiaf_Bitov_21,history/characters/asoiaf_char_vanity.txt,3261,dna = asoiaf_Bitov_21,"Error: ""Failed to read key reference: asoiaf_Bitov_21: asoiaf_Bitov_21, near line: 3261"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3261"
10969,Missing_DNA,asoiaf_Bitov_22,history/characters/asoiaf_char_vanity.txt,3291,dna = asoiaf_Bitov_22,"Error: ""Failed to read key reference: asoiaf_Bitov_22: asoiaf_Bitov_22, near line: 3291"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3291"
10970,Missing_DNA,asoiaf_Bitov_23,history/characters/asoiaf_char_vanity.txt,3328,dna = asoiaf_Bitov_23,"Error: ""Failed to read key reference: asoiaf_Bitov_23: asoiaf_Bitov_23, near line: 3328"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 3328"
