Key,PreviousReason,Before,After
setting_cradle_egg_hatch_likelihood_always_ai_desc,Reviewed builtin Russian fallback,Яйца в колыбелях ИИ никогда не станут бесплодными.,Яйца в колыбелях персонажей ИИ никогда не станут бесплодными.
setting_cradle_egg_hatch_likelihood_always_desc,Reviewed builtin Russian fallback,Яйца в колыбелях игроков и их семей никогда не станут бесплодными.,Яйца в колыбелях игроков и членов их семей никогда не станут бесплодными.
setting_cradle_egg_hatch_likelihood_common_ai_desc,Reviewed builtin Russian fallback,Высокий шанс вылупления яиц в колыбелях ИИ.,Яйца в колыбелях персонажей ИИ получат высокий шанс успешно вылупиться.
setting_cradle_egg_hatch_likelihood_common_desc,Preserve external RU over different builtin replace definition,Яйца в колыбелях и драконьих ямах имеют высокий шанс успешно дать дракона.,Яйца в колыбелях игроков и членов их семей получат высокий шанс успешно вылупиться.
setting_cradle_egg_hatch_likelihood_default_ai_desc,Reviewed builtin Russian fallback,Стандартная вероятность вылупления яиц в колыбелях ИИ.,Яйца в колыбелях персонажей ИИ будут использовать стандартную вероятность вылупления.
setting_cradle_egg_hatch_likelihood_default_desc,Preserve external RU over different builtin replace definition,Яйца в колыбелях и драконьих ямах используют стандартные шансы.,Яйца в колыбелях игроков и членов их семей будут использовать стандартную вероятность вылупления.
setting_cradle_egg_hatch_likelihood_less_likely_ai_desc,Reviewed builtin Russian fallback,Яйца в колыбелях ИИ вылупляются реже обычного.,Яйца в колыбелях персонажей ИИ будут вылупляться реже обычного.
setting_cradle_egg_hatch_likelihood_less_likely_desc,Preserve external RU over different builtin replace definition,Яйца в колыбелях и драконьих ямах дают драконов реже обычного.,Яйца в колыбелях игроков и членов их семей будут вылупляться реже обычного.
setting_cradle_egg_hatch_likelihood_more_likely_ai_desc,Reviewed builtin Russian fallback,Яйца в колыбелях ИИ вылупляются чаще обычного.,Яйца в колыбелях персонажей ИИ будут вылупляться чаще обычного.
setting_cradle_egg_hatch_likelihood_more_likely_desc,Preserve external RU over different builtin replace definition,Яйца в колыбелях и драконьих ямах дают драконов чаще обычного.,Яйца в колыбелях игроков и членов их семей будут вылупляться чаще обычного.
setting_cradle_egg_hatch_likelihood_never_ai_desc,Reviewed builtin Russian fallback,Яйца в колыбелях ИИ никогда не вылупляются.,Яйца в колыбелях персонажей ИИ никогда не вылупятся.
setting_cradle_egg_hatch_likelihood_never_desc,Reviewed builtin Russian fallback,Яйца в колыбелях игроков и их семей никогда не вылупляются.,Яйца в колыбелях игроков и членов их семей никогда не вылупятся.
setting_cradle_egg_hatch_likelihood_rare_ai_desc,Reviewed builtin Russian fallback,Яйца в колыбелях ИИ редко вылупляются.,Яйца в колыбелях персонажей ИИ будут вылупляться крайне редко.
setting_cradle_egg_hatch_likelihood_rare_desc,Preserve external RU over different builtin replace definition,Яйца в колыбелях и драконьих ямах почти никогда не дают драконов.,Яйца в колыбелях игроков и членов их семей будут вылупляться крайне редко.
setting_cradle_egg_hatch_likelihood_wont_cradle_ai,Reviewed builtin Russian fallback,Не использует колыбели,Не кладёт в колыбель
setting_mde_buttons_all_desc,Reviewed builtin Russian fallback,"Показаны все кнопки MDE: драконьи логова, драконы, яйца, Королевская гвардия, валирийская сталь и меню MDE.","Изначально показаны все кнопки MDE: драконьи ямы, драконы, яйца, Королевская гвардия, валирийская сталь и меню MDE."
setting_mde_buttons_off_desc,Reviewed builtin Russian fallback,"Все кнопки MDE скрыты. Их можно включить в меню MDE, которое открывается из меню паузы.","Все кнопки MDE изначально скрыты. Их можно включить в меню MDE, которое открывается из меню паузы."
setting_mde_buttons_standard_desc,Reviewed builtin Russian fallback,"Кнопки драконьих логов, драконов, яиц и меню MDE показаны. Королевскую гвардию и валирийскую сталь можно включить в меню MDE.","Кнопки драконьих ям, драконов, яиц и меню MDE изначально показаны. Королевскую гвардию и валирийскую сталь можно включить в меню MDE."
setting_mde_egg_notifications_off_desc,Reviewed builtin Russian fallback,"Игроки не получают уведомлений, когда кто-то другой получает новое драконье яйцо.","Игроки не получают уведомлений, когда драконье яйцо отложено или найдено."
setting_mde_egg_notifications_on_desc,Reviewed builtin Russian fallback,"Игроки получают уведомление, когда кто-то другой получает драконье яйцо: кладка, находка или иной способ.","Игроки получают уведомления, когда драконье яйцо отложено или найдено."
setting_no_spawns,Preserve external RU over different builtin replace definition,Без появления,Без появления для игроков
setting_no_spawns_desc,Preserve external RU over different builtin replace definition,"Драконьи яйца нельзя будет найти на карте: ни в местах, связанных с драконами, ни в Винтерфелле, ни через решения вроде «Дня на Драконьем Камне», бегства в Летний замок или восстановления Летнего замка.","Игроки не смогут получить драконьи яйца на карте: ни в местах, связанных с драконьими знаниями, ни в Винтерфелле, ни через решения вроде «Дня на Драконьем Камне», бегства в Летний замок или восстановления Летнего замка."
setting_pit_egg_hatch_likelihood_always_ai_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове ИИ никогда не станут бесплодными.,Яйца в драконьих ямах персонажей ИИ никогда не станут бесплодными.
setting_pit_egg_hatch_likelihood_always_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове игрока никогда не станут бесплодными.,Яйца в драконьих ямах игроков никогда не станут бесплодными.
setting_pit_egg_hatch_likelihood_common_ai_desc,Reviewed builtin Russian fallback,Высокий шанс вылупления яиц в драконьем логове ИИ.,Яйца в драконьих ямах персонажей ИИ получат высокий шанс успешно вылупиться.
setting_pit_egg_hatch_likelihood_common_desc,Reviewed builtin Russian fallback,Высокий шанс вылупления яиц в драконьем логове игрока.,Яйца в драконьих ямах игроков получат высокий шанс успешно вылупиться.
setting_pit_egg_hatch_likelihood_default_ai_desc,Reviewed builtin Russian fallback,Стандартная вероятность вылупления яиц в драконьем логове ИИ.,Яйца в драконьих ямах персонажей ИИ будут использовать стандартную вероятность вылупления.
setting_pit_egg_hatch_likelihood_default_desc,Reviewed builtin Russian fallback,Стандартная вероятность вылупления яиц в драконьем логове игрока.,Яйца в драконьих ямах игроков будут использовать стандартную вероятность вылупления.
setting_pit_egg_hatch_likelihood_less_likely_ai_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове ИИ вылупляются реже обычного.,Яйца в драконьих ямах персонажей ИИ будут вылупляться реже обычного.
setting_pit_egg_hatch_likelihood_less_likely_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове игрока вылупляются реже обычного.,Яйца в драконьих ямах игроков будут вылупляться реже обычного.
setting_pit_egg_hatch_likelihood_more_likely_ai_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове ИИ вылупляются чаще обычного.,Яйца в драконьих ямах персонажей ИИ будут вылупляться чаще обычного.
setting_pit_egg_hatch_likelihood_more_likely_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове игрока вылупляются чаще обычного.,Яйца в драконьих ямах игроков будут вылупляться чаще обычного.
setting_pit_egg_hatch_likelihood_never_ai_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове ИИ никогда не вылупляются.,Яйца в драконьих ямах персонажей ИИ никогда не вылупятся.
setting_pit_egg_hatch_likelihood_never_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове игрока никогда не вылупляются.,Яйца в драконьих ямах игроков никогда не вылупятся.
setting_pit_egg_hatch_likelihood_rare_ai_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове ИИ редко вылупляются.,Яйца в драконьих ямах персонажей ИИ будут вылупляться крайне редко.
setting_pit_egg_hatch_likelihood_rare_desc,Reviewed builtin Russian fallback,Яйца в драконьем логове игрока редко вылупляются.,Яйца в драконьих ямах игроков будут вылупляться крайне редко.
setting_pit_egg_hatch_likelihood_wont_pit_ai,Reviewed builtin Russian fallback,Не использует логово,Не помещает в яму
setting_pit_egg_hatch_likelihood_wont_pit_ai_desc,Reviewed builtin Russian fallback,ИИ не будет помещать драконьи яйца в драконье логово.,ИИ не будет помещать драконьи яйца в драконьи ямы.
setting_spawn_dragonstone_eggs_disabled_desc,Preserve external RU over different builtin replace definition,"Событие о драконьих знаниях на Драконьем Камне останется, но обычное посещение больше не будет создавать драконье яйцо. Событие «День на Драконьем Камне» и вдохновения авантюристов на Драконьем Камне останутся без изменений.","Событие о драконьих знаниях на Драконьем Камне останется, но при обычном посещении драконье яйцо больше не появится. Событие «День на Драконьем Камне» и вдохновения авантюристов, направленные на Драконий Камень, останутся без изменений."
setting_spawn_pythax_egg_enabled_desc,Preserve external RU over different builtin replace definition,Яйцо потомка Питакса можно найти во время путешествия в южный Эссос.,Яйцо потомка Пифакса можно найти во время путешествия в южный Эссос.
