"Stage","IssueClass","BeforeLogLine","Component","Message","PresentBefore","PresentAfter","AfterCount"
"5","Dragon_schemes","10099","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6441 (asoiaf_canon_children_Targaryen_60_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10100","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6544 (asoiaf_canon_children_Targaryen_61_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10101","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6731 (asoiaf_canon_children_Targaryen_63_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10102","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6898 (asoiaf_canon_children_Targaryen_65_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10103","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7022 (asoiaf_canon_children_Targaryen_66_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10104","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7133 (asoiaf_canon_children_Targaryen_67_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10105","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7284 (asoiaf_canon_children_Targaryen_68_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10106","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7427 (asoiaf_canon_children_Targaryen_69_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10107","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7515 (asoiaf_canon_children_Targaryen_70_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10108","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7842 (asoiaf_canon_children_Targaryen_75_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10109","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7996 (asoiaf_canon_children_Targaryen_76_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10110","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 8143 (asoiaf_canon_children_Targaryen_77_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10111","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 8289 (asoiaf_canon_children_Targaryen_78_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10116","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 11750 (asoiaf_canon_children_Velaryon_34_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10117","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 11835 (asoiaf_canon_children_Velaryon_35_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10288","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 415 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10292","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 415 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10296","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 456 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10300","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 456 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10304","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 497 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10308","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 497 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10312","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 538 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10316","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 538 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10320","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 579 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10324","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 579 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10328","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 620 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10332","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 620 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10336","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 661 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10340","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 661 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10344","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 702 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10348","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 702 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10352","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 743 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10356","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 743 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10360","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 784 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10364","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 784 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10511","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4379 (asoiaf_canon_children_Targaryen_30_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10515","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4379 (asoiaf_canon_children_Targaryen_30_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10519","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4474 (asoiaf_canon_children_Targaryen_31_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10523","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4474 (asoiaf_canon_children_Targaryen_31_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10535","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4628 (asoiaf_canon_children_Targaryen_33_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10539","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4628 (asoiaf_canon_children_Targaryen_33_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10551","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4790 (asoiaf_canon_children_Targaryen_35_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10555","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4790 (asoiaf_canon_children_Targaryen_35_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10563","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4881 (asoiaf_canon_children_Targaryen_36_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10567","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4881 (asoiaf_canon_children_Targaryen_36_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10575","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5181 (asoiaf_canon_children_Targaryen_41_and_42_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10579","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5181 (asoiaf_canon_children_Targaryen_41_and_42_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10591","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5417 (asoiaf_canon_children_Targaryen_45_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10595","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5417 (asoiaf_canon_children_Targaryen_45_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10607","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5551 (asoiaf_canon_children_Targaryen_47_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10611","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5551 (asoiaf_canon_children_Targaryen_47_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10615","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6331 (asoiaf_canon_children_Targaryen_59_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10619","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6331 (asoiaf_canon_children_Targaryen_59_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10623","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6439 (asoiaf_canon_children_Targaryen_60_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10627","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6439 (asoiaf_canon_children_Targaryen_60_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10631","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6542 (asoiaf_canon_children_Targaryen_61_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10635","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6542 (asoiaf_canon_children_Targaryen_61_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10639","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6729 (asoiaf_canon_children_Targaryen_63_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10643","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6729 (asoiaf_canon_children_Targaryen_63_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10647","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6896 (asoiaf_canon_children_Targaryen_65_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10651","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6896 (asoiaf_canon_children_Targaryen_65_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10655","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7020 (asoiaf_canon_children_Targaryen_66_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10659","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7020 (asoiaf_canon_children_Targaryen_66_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10663","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7131 (asoiaf_canon_children_Targaryen_67_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10667","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7131 (asoiaf_canon_children_Targaryen_67_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10671","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7282 (asoiaf_canon_children_Targaryen_68_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10675","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7282 (asoiaf_canon_children_Targaryen_68_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10679","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7425 (asoiaf_canon_children_Targaryen_69_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10683","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7425 (asoiaf_canon_children_Targaryen_69_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10687","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7513 (asoiaf_canon_children_Targaryen_70_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10691","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7513 (asoiaf_canon_children_Targaryen_70_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10695","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7840 (asoiaf_canon_children_Targaryen_75_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10699","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7840 (asoiaf_canon_children_Targaryen_75_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10703","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7994 (asoiaf_canon_children_Targaryen_76_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10707","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7994 (asoiaf_canon_children_Targaryen_76_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10711","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 8141 (asoiaf_canon_children_Targaryen_77_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10715","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 8141 (asoiaf_canon_children_Targaryen_77_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10719","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 8287 (asoiaf_canon_children_Targaryen_78_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10723","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 8287 (asoiaf_canon_children_Targaryen_78_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10727","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 11748 (asoiaf_canon_children_Velaryon_34_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10731","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ Can't start a scheme with an incompatible target type ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 11748 (asoiaf_canon_children_Velaryon_34_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10735","jomini_script_system.cpp:303","Script system error!
  Error: start_scheme effect [ No targets are set. Did you mean to use 'targets_nothing = yes'? ]
  Script location: file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 11833 (asoiaf_canon_children_Velaryon_35_birth_effect:after_creation)","True","False","0"
