Symbol,Category,LogMessages,Reads,Writes,Removals,Group,Action,Replacement,Status
asoiaf_canon_children_Greyjoy_5_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Hightower_90_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Karstark_4_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Lannister_129_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Martell_4_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Reed_1_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Stark_1_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Stark_84_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Strong_28_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Strong_29_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Targaryen_27_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Targaryen_28_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Targaryen_29_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Targaryen_95_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Targaryen_96_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Tarly_1_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Tully_1_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Tully_9_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Tyrell_4_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Velaryon_31_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_is_krakenfall,variable_unused,2,0,2,0,V07,comment_unused_artifact_marker_keep_creation_visuals_history_modifiers,,analysis_only_not_applied
asoiaf_is_needle,variable_unused,2,0,2,0,V07,comment_unused_artifact_marker_keep_creation_visuals_history_modifiers,,analysis_only_not_applied
asoiaf_is_red_vipers_spear,variable_unused,2,0,1,0,V07,comment_unused_artifact_marker_keep_creation_visuals_history_modifiers,,analysis_only_not_applied
asoiaf_targaryen_invasion_claimant,variable_not_set,2,2,0,0,V10,archive_uncalled_incomplete_spawn_effect,,analysis_only_not_applied
color,variable_unused,2,0,7,0,V04,rename_dragon_metadata_preserve_values_and_genes,primary_color,analysis_only_not_applied
color_grading,variable_unused,2,0,7,0,V04,rename_dragon_metadata_preserve_values_and_genes,primary_color_grading,analysis_only_not_applied
dark_sister_artifact,variable_unused,2,0,2,0,V08,comment_AGOTplus_marker_LOTD_writer_requires_separate_scope,,analysis_only_not_applied
faegon_main_character,variable_not_set,2,3,0,0,V09,archive_already_unsubscribed_on_action_definition,,analysis_only_not_applied
is_jon_snow,variable_not_set,2,5,0,0,V02,use_is_Stark_7_with_game_rule_guards_keep_AGOTplus_trait_branches,is_Stark_7,analysis_only_not_applied
kingsguard_armour,variable_not_set,2,3,0,0,V03,replace_artifact_marker,kingsguard_armor,analysis_only_not_applied
