Kind,Character,Name,Sex,Action,MissingReference,Replacement,DNA,BirthEffect,SourceFile,SourceLine,NativeHistoryFile,NativeDNAFile,Reason
History,asoiaf_Ronov_rs_2,Obetta,,CommentUnavailableDNA,asoiaf_Ronov_rs_2,,,,history/characters/asoiaf_char_vanity.txt,626,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_3,Henry,,CommentUnavailableDNA,asoiaf_Ronov_3,,,,history/characters/asoiaf_char_vanity.txt,653,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_rs_3,Lily,,CommentUnavailableDNA,asoiaf_Ronov_rs_3,,,,history/characters/asoiaf_char_vanity.txt,696,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_4,Henry,,CommentUnavailableDNA,asoiaf_Ronov_4,,,,history/characters/asoiaf_char_vanity.txt,723,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_5,Castolov,,CommentUnavailableDNA,asoiaf_Ronov_5,,,,history/characters/asoiaf_char_vanity.txt,760,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_1,Chval,,CommentUnavailableDNA,asoiaf_Leipa_1,,,,history/characters/asoiaf_char_vanity.txt,797,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_rs_1,Alerie,,CommentUnavailableDNA,asoiaf_Leipa_rs_1,,,,history/characters/asoiaf_char_vanity.txt,837,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_6,Smil,,CommentUnavailableDNA,asoiaf_Ronov_6,,,,history/characters/asoiaf_char_vanity.txt,864,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_rs_6,Elizabeth,,CommentUnavailableDNA,asoiaf_Ronov_rs_6,,,,history/characters/asoiaf_char_vanity.txt,904,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_2,Cenek,,CommentUnavailableDNA,asoiaf_Leipa_2,,,,history/characters/asoiaf_char_vanity.txt,936,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_rs_2,Austa,,CommentUnavailableDNA,asoiaf_Leipa_rs_2,,,,history/characters/asoiaf_char_vanity.txt,973,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_3,Henry,,CommentUnavailableDNA,asoiaf_Leipa_3,,,,history/characters/asoiaf_char_vanity.txt,1000,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_rs_3,Elizabeth,,CommentUnavailableDNA,asoiaf_Leipa_rs_3,,,,history/characters/asoiaf_char_vanity.txt,1051,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_4,Henry,,CommentUnavailableDNA,asoiaf_Leipa_4,,,,history/characters/asoiaf_char_vanity.txt,1084,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_rs_4,Agnes,,CommentUnavailableDNA,asoiaf_Leipa_rs_4,,,,history/characters/asoiaf_char_vanity.txt,1129,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_5,Clara,,CommentUnavailableDNA,asoiaf_Leipa_5,,,,history/characters/asoiaf_char_vanity.txt,1156,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_6,Margaret,,CommentUnavailableDNA,asoiaf_Leipa_6,,,,history/characters/asoiaf_char_vanity.txt,1186,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_7,John,,CommentUnavailableDNA,asoiaf_Leipa_7,,,,history/characters/asoiaf_char_vanity.txt,1216,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_8,Katherine,,CommentUnavailableDNA,asoiaf_Leipa_8,,,,history/characters/asoiaf_char_vanity.txt,1253,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_9,Berthold,,CommentUnavailableDNA,asoiaf_Leipa_9,,,,history/characters/asoiaf_char_vanity.txt,1283,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_10,Cenek,,CommentUnavailableDNA,asoiaf_Leipa_10,,,,history/characters/asoiaf_char_vanity.txt,1320,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_rs_10,Judith,,CommentUnavailableDNA,asoiaf_Leipa_rs_10,,,,history/characters/asoiaf_char_vanity.txt,1357,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_11,Henry,,CommentUnavailableDNA,asoiaf_Leipa_11,,,,history/characters/asoiaf_char_vanity.txt,1384,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_rs_11,Ofca,,CommentUnavailableDNA,asoiaf_Leipa_rs_11,,,,history/characters/asoiaf_char_vanity.txt,1421,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Capon_1,Henry,,CommentUnavailableDNA,asoiaf_Capon_1,,,,history/characters/asoiaf_char_vanity.txt,1451,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Capon_rs_1,Hedvika,,CommentUnavailableDNA,asoiaf_Capon_rs_1,,,,history/characters/asoiaf_char_vanity.txt,1499,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_13,Agnes,,CommentUnavailableDNA,asoiaf_Leipa_13,,,,history/characters/asoiaf_char_vanity.txt,1633,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_14,Henry,,CommentUnavailableDNA,asoiaf_Leipa_14,,,,history/characters/asoiaf_char_vanity.txt,1663,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_15,Berthold,,CommentUnavailableDNA,asoiaf_Leipa_15,,,,history/characters/asoiaf_char_vanity.txt,1700,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_16,Helena,,CommentUnavailableDNA,asoiaf_Leipa_16,,,,history/characters/asoiaf_char_vanity.txt,1737,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Leipa_17,Cenek,,CommentUnavailableDNA,asoiaf_Leipa_17,,,,history/characters/asoiaf_char_vanity.txt,1767,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_1,Henry,,CommentUnavailableDNA,asoiaf_Lichtenburg_1,,,,history/characters/asoiaf_char_vanity.txt,1806,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_rs_1,Domaslava,,CommentUnavailableDNA,asoiaf_Lichtenburg_rs_1,,,,history/characters/asoiaf_char_vanity.txt,1846,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_rs_2,Matilda,,CommentUnavailableDNA,asoiaf_Lichtenburg_rs_2,,,,history/characters/asoiaf_char_vanity.txt,1872,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_2,Smil,,CommentUnavailableDNA,asoiaf_Lichtenburg_2,,,,history/characters/asoiaf_char_vanity.txt,1902,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_3,Oldrich,,CommentUnavailableDNA,asoiaf_Lichtenburg_3,,,,history/characters/asoiaf_char_vanity.txt,1939,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_rs_3,Lobella,,CommentUnavailableDNA,asoiaf_Lichtenburg_rs_3,,,,history/characters/asoiaf_char_vanity.txt,1976,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_4,Raymond,,CommentUnavailableDNA,asoiaf_Lichtenburg_4,,,,history/characters/asoiaf_char_vanity.txt,2003,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_rs_4,Adele,,CommentUnavailableDNA,asoiaf_Lichtenburg_rs_4,,,,history/characters/asoiaf_char_vanity.txt,2043,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_5,Hynek,,CommentUnavailableDNA,asoiaf_Lichtenburg_5,,,,history/characters/asoiaf_char_vanity.txt,2075,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_rs_5,Marianne,,CommentUnavailableDNA,asoiaf_Lichtenburg_rs_5,,,,history/characters/asoiaf_char_vanity.txt,2112,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Zleb_1,Wenceslaus,,CommentUnavailableDNA,asoiaf_Zleb_1,,,,history/characters/asoiaf_char_vanity.txt,2139,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Zleb_rs_1,Agnes,,CommentUnavailableDNA,asoiaf_Zleb_rs_1,,,,history/characters/asoiaf_char_vanity.txt,2176,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_6,Smil,,CommentUnavailableDNA,asoiaf_Lichtenburg_6,,,,history/characters/asoiaf_char_vanity.txt,2203,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_7,Cenek,,CommentUnavailableDNA,asoiaf_Lichtenburg_7,,,,history/characters/asoiaf_char_vanity.txt,2240,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_rs_7,Agnes,,CommentUnavailableDNA,asoiaf_Lichtenburg_rs_7,,,,history/characters/asoiaf_char_vanity.txt,2277,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Lichtenburg_8,Henry,,CommentUnavailableDNA,asoiaf_Lichtenburg_8,,,,history/characters/asoiaf_char_vanity.txt,2307,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_1,Henry,,CommentUnavailableDNA,asoiaf_Bitov_1,,,,history/characters/asoiaf_char_vanity.txt,2346,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_1,Melara,,CommentUnavailableDNA,asoiaf_Bitov_rs_1,,,,history/characters/asoiaf_char_vanity.txt,2383,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_2,Cenek,,CommentUnavailableDNA,asoiaf_Bitov_2,,,,history/characters/asoiaf_char_vanity.txt,2410,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_3,Smil,,CommentUnavailableDNA,asoiaf_Bitov_3,,,,history/characters/asoiaf_char_vanity.txt,2447,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_3,Anna,,CommentUnavailableDNA,asoiaf_Bitov_rs_3,,,,history/characters/asoiaf_char_vanity.txt,2484,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_4,Margaret,,CommentUnavailableDNA,asoiaf_Bitov_4,,,,history/characters/asoiaf_char_vanity.txt,2511,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_5,Serra,,CommentUnavailableDNA,asoiaf_Bitov_5,,,,history/characters/asoiaf_char_vanity.txt,2544,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_6,John,,CommentUnavailableDNA,asoiaf_Bitov_6,,,,history/characters/asoiaf_char_vanity.txt,2574,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_7,Smil,,CommentUnavailableDNA,asoiaf_Bitov_7,,,,history/characters/asoiaf_char_vanity.txt,2611,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_8,Henry,,CommentUnavailableDNA,asoiaf_Bitov_8,,,,history/characters/asoiaf_char_vanity.txt,2650,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_8,Anezka,,CommentUnavailableDNA,asoiaf_Bitov_rs_8,,,,history/characters/asoiaf_char_vanity.txt,2687,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_9,Hynek,,CommentUnavailableDNA,asoiaf_Bitov_9,,,,history/characters/asoiaf_char_vanity.txt,2714,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_10,John,,CommentUnavailableDNA,asoiaf_Bitov_10,,,,history/characters/asoiaf_char_vanity.txt,2746,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_11,George,,CommentUnavailableDNA,asoiaf_Bitov_11,,,,history/characters/asoiaf_char_vanity.txt,2783,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_11,Sybell,,CommentUnavailableDNA,asoiaf_Bitov_rs_11,,,,history/characters/asoiaf_char_vanity.txt,2820,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_12,Albert,,CommentUnavailableDNA,asoiaf_Bitov_12,,,,history/characters/asoiaf_char_vanity.txt,2847,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_12,Jeyne,,CommentUnavailableDNA,asoiaf_Bitov_rs_12,,,,history/characters/asoiaf_char_vanity.txt,2884,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_13,Henry,,CommentUnavailableDNA,asoiaf_Bitov_13,,,,history/characters/asoiaf_char_vanity.txt,2911,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_14,Smil,,CommentUnavailableDNA,asoiaf_Bitov_14,,,,history/characters/asoiaf_char_vanity.txt,2948,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_15,Hanush,,CommentUnavailableDNA,asoiaf_Bitov_15,,,,history/characters/asoiaf_char_vanity.txt,2985,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_16,George,,CommentUnavailableDNA,asoiaf_Bitov_16,,,,history/characters/asoiaf_char_vanity.txt,3022,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_17,Hynek,,CommentUnavailableDNA,asoiaf_Bitov_17,,,,history/characters/asoiaf_char_vanity.txt,3059,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_17,Tanda,,CommentUnavailableDNA,asoiaf_Bitov_rs_17,,,,history/characters/asoiaf_char_vanity.txt,3096,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_18,Litholt,,CommentUnavailableDNA,asoiaf_Bitov_18,,,,history/characters/asoiaf_char_vanity.txt,3123,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_18,Magda,,CommentUnavailableDNA,asoiaf_Bitov_rs_18,,,,history/characters/asoiaf_char_vanity.txt,3160,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_19,Henry,,CommentUnavailableDNA,asoiaf_Bitov_19,,,,history/characters/asoiaf_char_vanity.txt,3187,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_20,Smil,,CommentUnavailableDNA,asoiaf_Bitov_20,,,,history/characters/asoiaf_char_vanity.txt,3224,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_21,Margaret,,CommentUnavailableDNA,asoiaf_Bitov_21,,,,history/characters/asoiaf_char_vanity.txt,3261,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_22,Stephen,,CommentUnavailableDNA,asoiaf_Bitov_22,,,,history/characters/asoiaf_char_vanity.txt,3291,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_23,Smil,,CommentUnavailableDNA,asoiaf_Bitov_23,,,,history/characters/asoiaf_char_vanity.txt,3328,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_24,Jan,,CommentUnavailableDNA,asoiaf_Bitov_24,,,,history/characters/asoiaf_char_vanity.txt,3365,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_24,Alanna,,CommentUnavailableDNA,asoiaf_Bitov_rs_24,,,,history/characters/asoiaf_char_vanity.txt,3402,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_25,Franek,,CommentUnavailableDNA,asoiaf_Bitov_25,,,,history/characters/asoiaf_char_vanity.txt,3429,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_26,Jirik,,CommentUnavailableDNA,asoiaf_Bitov_26,,,,history/characters/asoiaf_char_vanity.txt,3466,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_27,Barbora,,CommentUnavailableDNA,asoiaf_Bitov_27,,,,history/characters/asoiaf_char_vanity.txt,3503,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_28,Klara,,CommentUnavailableDNA,asoiaf_Bitov_28,,,,history/characters/asoiaf_char_vanity.txt,3533,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_29,Smil,,CommentUnavailableDNA,asoiaf_Bitov_29,,,,history/characters/asoiaf_char_vanity.txt,3563,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_rs_29,Mary,,CommentUnavailableDNA,asoiaf_Bitov_rs_29,,,,history/characters/asoiaf_char_vanity.txt,3600,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Bitov_30,Jan,,CommentUnavailableDNA,asoiaf_Bitov_30,,,,history/characters/asoiaf_char_vanity.txt,3627,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
Birth,Stark_asoiaf_87,Bennard,male,UseBaseAGOTDonor,Stark_asoiaf_87,Dummy_Stark_87,Stark_87,asoiaf_canon_children_Stark_87_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,200,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_88,Sara,female,UseBaseDNAWithDedicatedDonor,Stark_asoiaf_88,agot_plus_fix_donor_Stark_88,Stark_88,asoiaf_canon_children_Stark_88_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,239,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_94,Rickard,male,CommentUnavailableDonor,Stark_asoiaf_94,,,asoiaf_canon_children_Stark_94_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,376,,,Name or sex differs; do not guess identity or change biography
Birth,Stark_asoiaf_95,Sarra,female,UseBaseAGOTDonor,Stark_asoiaf_95,Dummy_Stark_95,Stark_95,asoiaf_canon_children_Stark_95_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,438,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_96,Alys,female,UseBaseAGOTDonor,Stark_asoiaf_96,Dummy_Stark_96,Stark_96,asoiaf_canon_children_Stark_96_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,471,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_97,Raya,female,UseBaseAGOTDonor,Stark_asoiaf_97,Dummy_Stark_97,Stark_97,asoiaf_canon_children_Stark_97_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,504,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_98,Mariah,female,UseBaseAGOTDonor,Stark_asoiaf_98,Dummy_Stark_98,Stark_98,asoiaf_canon_children_Stark_98_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,537,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_99,Jonnel,male,UseBaseAGOTDonor,Stark_asoiaf_99,Dummy_Stark_99,Stark_99,asoiaf_canon_children_Stark_99_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,570,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_100,Edric,male,UseBaseAGOTDonor,Stark_asoiaf_100,Dummy_Stark_100,Stark_100,asoiaf_canon_children_Stark_100_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,605,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_101,Lyanna,female,UseBaseAGOTDonor,Stark_asoiaf_101,Dummy_Stark_101,Stark_101,asoiaf_canon_children_Stark_101_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,638,history/characters/00_agot_char_north_ancestors.txt,common/dna_data/agot_dna_north_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Stark_asoiaf_102,Barthogan,female,CommentUnavailableDonor,Stark_asoiaf_102,,,asoiaf_canon_children_Stark_102_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,671,,,Name or sex differs; do not guess identity or change biography
Birth,Stark_asoiaf_103,Brandon,female,CommentUnavailableDonor,Stark_asoiaf_103,,,asoiaf_canon_children_Stark_103_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,716,,,Name or sex differs; do not guess identity or change biography
Birth,Arryn_asoiaf_7,Jeyne,female,CommentUnavailableDonor,Arryn_asoiaf_7,,,asoiaf_canon_children_Arryn_7_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,3223,,,Native character has no uniquely resolved fixed DNA
Birth,Tyrell_asoiaf_9,Mina,female,UseBaseAGOTDonor,Tyrell_asoiaf_9,Dummy_Tyrell_9,Tyrell_9,asoiaf_canon_children_Tyrell_9_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,3476,history/characters/00_agot_char_reach.txt,common/dna_data/agot_dna_reach.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Tyrell_asoiaf_10,Janna,female,UseBaseAGOTDonor,Tyrell_asoiaf_10,Dummy_Tyrell_10,Tyrell_10,asoiaf_canon_children_Tyrell_10_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,3515,history/characters/00_agot_char_reach.txt,common/dna_data/agot_dna_reach.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Hightower_asoiaf_96,Bryndon,male,UseBaseAGOTDonor,Hightower_asoiaf_96,Dummy_Hightower_96,Hightower_96,asoiaf_canon_children_Hightower_96_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4114,history/characters/00_agot_char_reach_ancestors.txt,common/dna_data/agot_dna_reach_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Hightower_asoiaf_98,Myles,male,UseBaseAGOTDonor,Hightower_asoiaf_98,Dummy_Hightower_98,Hightower_98,asoiaf_canon_children_Hightower_98_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4216,history/characters/00_agot_char_reach_ancestors.txt,common/dna_data/agot_dna_reach_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
Birth,Targaryen_asoiaf_30,Aenys,male,UseBaseAGOTDonor,Targaryen_asoiaf_30,Dummy_Targaryen_30,Targaryen_30,asoiaf_canon_children_Targaryen_30_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4332,history/characters/00_agot_char_dragonstone_ancestors.txt,common/dna_data/agot_dna_dragonstone_ancestors.txt,"Same native identity, exact name and sex, existing fixed DNA; base AGOT fallback"
