File,DNA,DonorFile,DonorDNA,ExactGenes,ComparedGenes,Ratio
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,common/dna_data/test_dna_dornish.txt,Martell_asoiaf_4,11,103,0.1068
common/dna_data/test_dna_north.txt,Cassel_asoiaf_3,common/dna_data/test_dna_reach.txt,Tarly_asoiaf_5,12,103,0.1165
common/dna_data/test_dna_north.txt,Bolton_asoiaf_1,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_36,12,103,0.1165
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,common/dna_data/test_dna_north.txt,Manderly_asoiaf_7,8,103,0.0777
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,common/dna_data/test_dna_westerlands.txt,Lannister_asoiaf_90,7,103,0.068
common/dna_data/test_dna_north.txt,Mormont_asoiaf_2,common/dna_data/test_dna_riverlands.txt,Strong_asoiaf_31,11,103,0.1068
common/dna_data/test_dna_north.txt,Mormont_asoiaf_3,common/bookmark_portraits/bookmark_284_davos_seaworth.txt,bookmark_284_davos_seaworth,12,103,0.1165
common/dna_data/test_dna_north.txt,Manderly_asoiaf_6,common/dna_data/test_dna_north.txt,Manderly_asoiaf_7,38,103,0.3689
common/dna_data/test_dna_north.txt,Manderly_asoiaf_7,common/dna_data/test_dna_north.txt,Manderly_asoiaf_8,44,103,0.4272
common/dna_data/test_dna_north.txt,Manderly_asoiaf_8,common/dna_data/test_dna_north.txt,Manderly_asoiaf_7,44,103,0.4272
common/dna_data/test_dna_north.txt,Degore_asoiaf_1,common/dna_data/test_dna_north.txt,Tuttle_asoiaf_4,29,103,0.2816
common/dna_data/test_dna_north.txt,Tuttle_asoiaf_4,common/dna_data/test_dna_north.txt,Degore_asoiaf_1,29,103,0.2816
common/dna_data/test_dna_north.txt,Tuttle_asoiaf_5,common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_35,11,103,0.1068
common/dna_data/test_dna_north.txt,Glover_asoiaf_5,common/dna_data/test_dna_riverlands.txt,Strong_asoiaf_30,11,103,0.1068
common/dna_data/test_dna_reach.txt,Tyrell_asoiaf_8,common/dna_data/test_dna_north.txt,Tuttle_asoiaf_5,9,103,0.0874
common/dna_data/test_dna_reach.txt,Tyrell_asoiaf_11,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_79,11,103,0.1068
common/dna_data/test_dna_reach.txt,Tyrell_asoiaf_12,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_122,10,103,0.0971
common/dna_data/test_dna_reach.txt,Tyrell_asoiaf_14,common/dna_data/test_dna_vale.txt,Arryn_asoiaf_84,6,103,0.0583
common/dna_data/test_dna_reach.txt,Redwyne_asoiaf_2,common/bookmark_portraits/bookmark_239_olenna_redwyne.txt,bookmark_239_olenna_redwyne,97,103,0.9417
common/dna_data/test_dna_reach.txt,Tarly_asoiaf_1,common/dna_data/test_dna_reach.txt,Tarly_asoiaf_5,45,103,0.4369
common/dna_data/test_dna_reach.txt,Tarly_asoiaf_2,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_47,12,103,0.1165
common/dna_data/test_dna_reach.txt,Tarly_asoiaf_3,common/dna_data/test_dna_reach.txt,Tarly_asoiaf_4,47,103,0.4563
common/dna_data/test_dna_reach.txt,Florent_asoiaf_8,common/dna_data/test_dna_reach.txt,Tarly_asoiaf_4,25,103,0.2427
common/dna_data/test_dna_reach.txt,Hightower_asoiaf_3,common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_31,9,103,0.0874
common/dna_data/test_dna_reach.txt,Hightower_asoiaf_5,common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_31,9,103,0.0874
common/dna_data/test_dna_reach.txt,Hightower_asoiaf_7,common/dna_data/test_dna_dornish.txt,Martell_asoiaf_4,13,103,0.1262
common/dna_data/test_dna_reach.txt,Hightower_asoiaf_9,common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_35,11,103,0.1068
common/dna_data/test_dna_reach.txt,Hightower_asoiaf_14,common/dna_data/test_dna_westerlands.txt,Lannister_asoiaf_90,12,103,0.1165
common/dna_data/test_dna_riverlands.txt,Tully_asoiaf_1,common/bookmark_portraits/bookmark_282_hoster_tully.txt,bookmark_282_hoster_tully,96,103,0.932
common/dna_data/test_dna_riverlands.txt,Tully_asoiaf_4,common/bookmark_portraits/bookmark_282_catelyn_tully.txt,bookmark_282_catelyn_tully,96,103,0.932
common/dna_data/test_dna_riverlands.txt,Tully_asoiaf_6,common/dna_data/test_dna_north.txt,Stark_asoiaf_5,8,103,0.0777
common/dna_data/test_dna_riverlands.txt,Tully_asoiaf_7,common/dna_data/test_dna_dornish.txt,Martell_asoiaf_4,9,103,0.0874
common/dna_data/test_dna_riverlands.txt,Tully_asoiaf_9,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_28,7,103,0.068
common/dna_data/test_dna_riverlands.txt,Strong_asoiaf_31,common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_44,11,103,0.1068
common/dna_data/test_dna_stormlands.txt,Baratheon_asoiaf_2_1,common/dna_data/test_dna_stormlands.txt,Baratheon_asoiaf_2,17,103,0.165
common/dna_data/test_dna_stormlands.txt,Baratheon_asoiaf_13,common/dna_data/test_dna_dornish.txt,Martell_asoiaf_7,13,103,0.1262
common/dna_data/test_dna_stormlands.txt,Tarth_asoiaf_1,common/bookmark_portraits/bookmark_277_barristan_selmy.txt,bookmark_277_barristan_selmy,17,103,0.165
common/dna_data/test_dna_stormlands.txt,Tarth_asoiaf_3,common/bookmark_portraits/bookmark_277_barristan_selmy.txt,bookmark_277_barristan_selmy,18,103,0.1748
common/dna_data/test_dna_stormlands.txt,Tarth_asoiaf_6,common/bookmark_portraits/bookmark_239_denys_redwyne.txt,bookmark_239_denys_redwyne,7,103,0.068
common/dna_data/test_dna_stormlands.txt,Selmy_asoiaf_3,common/bookmark_portraits/bookmark_277_barristan_selmy.txt,bookmark_277_barristan_selmy,96,103,0.932
common/dna_data/test_dna_stormlands.txt,Trant_asoiaf_2,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_122,8,103,0.0777
common/dna_data/test_dna_stormlands.txt,Cole_asoiaf_11,common/dna_data/test_dna_north.txt,Stark_asoiaf_1,13,103,0.1262
common/dna_data/test_dna_stormlands.txt,Melisandre_asoiaf_1,common/dna_data/test_dna_stormlands.txt,Baratheon_asoiaf_4,8,103,0.0777
common/dna_data/test_dna_stormlands.txt,Seaworth_asoiaf_1,common/bookmark_portraits/bookmark_284_davos_seaworth.txt,bookmark_284_davos_seaworth,96,103,0.932
common/dna_data/test_dna_vale.txt,Arryn_asoiaf_3,common/bookmark_portraits/challenge_character_284_jon_arryn.txt,challenge_character_284_jon_arryn,96,103,0.932
common/dna_data/test_dna_vale.txt,Baelish_asoiaf_2,common/bookmark_portraits/challenge_character_284_petyr_baelish.txt,challenge_character_284_petyr_baelish,96,103,0.932
common/dna_data/test_dna_vale.txt,Royce_asoiaf_37,common/bookmark_portraits/bookmark_106_rhea_royce.txt,bookmark_106_rhea_royce,98,103,0.9515
common/dna_data/test_dna_vale.txt,Royce_asoiaf_1,common/dna_data/test_dna_north.txt,Stark_asoiaf_9,15,103,0.1456
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_59,common/bookmark_portraits/bookmark_82_rhaenys_targaryen.txt,bookmark_82_rhaenys_targaryen,99,103,0.9612
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_63,common/bookmark_portraits/challenge_character_106_rhaenyra_targaryen.txt,challenge_character_106_rhaenyra_targaryen,99,103,0.9612
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_67,common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_31,10,103,0.0971
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_70,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_127,10,103,0.0971
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_79,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_36,12,103,0.1165
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_120,common/bookmark_portraits/bookmark_239_aemon.txt,bookmark_239_aemon,97,103,0.9417
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_122,common/bookmark_portraits/bookmark_259_aegon_targaryen.txt,bookmark_259_aegon_targaryen,99,103,0.9612
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_126,common/bookmark_portraits/bookmark_259_duncan_targaryen.txt,bookmark_259_duncan_targaryen,99,103,0.9612
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_hh_10,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_126,13,103,0.1262
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_3,common/bookmark_portraits/bookmark_282_rhaegar_targaryen.txt,bookmark_282_rhaegar_targaryen,97,103,0.9417
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_12,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_11,38,103,0.3689
common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_31,common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,98,103,0.9515
common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_34,common/dna_data/test_dna_reach.txt,Florent_asoiaf_10,12,103,0.1165
common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_35,common/bookmark_portraits/bookmark_106_laenor_velaryon.txt,bookmark_106_laenor_velaryon,98,103,0.9515
common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_2,common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_4,53,103,0.5146
common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_5,common/dna_data/test_dna_reach.txt,Strickland_asoiaf_1,7,103,0.068
common/dna_data/test_dna_westerlands.txt,Clegane_asoiaf_3,common/dna_data/test_dna_dornish.txt,Martell_asoiaf_4,12,103,0.1165
common/dna_data/test_dna_westerlands.txt,Clegane_asoiaf_4,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_71,8,103,0.0777
common/dna_data/test_dna_westerlands.txt,Payne_asoiaf_6,common/dna_data/test_dna_crownlands.txt,asoiaf_Most_Devout_21,7,103,0.068
common/dna_data/test_dna_westerlands.txt,Vikary_asoiaf_1,common/dna_data/test_dna_crownlands.txt,Branfield_asoiaf_2,13,103,0.1262
