File,DNA,DonorFile,DonorDNA,ExactGenes,ComparedGenes,Ratio,CheckedGenes,Unchanged,Interpretation
common/dna_data/test_dna_vale.txt,Baelish_asoiaf_2,common/bookmark_portraits/challenge_character_284_petyr_baelish.txt,challenge_character_284_petyr_baelish,96,103,0.932,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_vale.txt,Royce_asoiaf_37,common/bookmark_portraits/bookmark_106_rhea_royce.txt,bookmark_106_rhea_royce,98,103,0.9515,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_59,common/bookmark_portraits/bookmark_82_rhaenys_targaryen.txt,bookmark_82_rhaenys_targaryen,99,103,0.9612,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_63,common/bookmark_portraits/challenge_character_106_rhaenyra_targaryen.txt,challenge_character_106_rhaenyra_targaryen,99,103,0.9612,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_120,common/bookmark_portraits/bookmark_239_aemon.txt,bookmark_239_aemon,97,103,0.9417,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_122,common/bookmark_portraits/bookmark_259_aegon_targaryen.txt,bookmark_259_aegon_targaryen,99,103,0.9612,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_126,common/bookmark_portraits/bookmark_259_duncan_targaryen.txt,bookmark_259_duncan_targaryen,99,103,0.9612,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_3,common/bookmark_portraits/bookmark_282_rhaegar_targaryen.txt,bookmark_282_rhaegar_targaryen,97,103,0.9417,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_31,common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,98,103,0.9515,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_valyrian.txt,Velaryon_asoiaf_35,common/bookmark_portraits/bookmark_106_laenor_velaryon.txt,bookmark_106_laenor_velaryon,98,103,0.9515,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
