"File","Line","Field","Key","LocalRussian"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","901","description","showrhaenyra_crown_02_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","917","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","941","name","showrhaenyra_crown_03_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","942","description","showrhaenyra_crown_03_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","958","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","982","name","showaegon_crown_01_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","983","description","showaegon_crown_01_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","999","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1023","name","showaegon_crown_02_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1024","description","showaegon_crown_02_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1040","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1064","name","aegon_variant_1_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1065","description","aegon_variant_1_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1081","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1105","name","aegon_variant_2_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1106","description","aegon_variant_2_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1122","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1146","name","aegon_variant_3_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1147","description","aegon_variant_3_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1163","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1187","name","aegon_variant_4_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1188","description","aegon_variant_4_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1204","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1228","name","jaehaerys_valyrian_variant_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1229","description","jaehaerys_valyrian_variant_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1245","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1269","name","jaehaerys_variant_1_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1270","description","jaehaerys_variant_1_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1286","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1310","name","jaehaerys_variant_2_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1311","description","jaehaerys_variant_2_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1327","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1351","name","seawyrm_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1352","description","seawyrm_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1368","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1392","name","greenpyre_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1393","description","greenpyre_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1409","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1433","name","goldfyre_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1434","description","goldfyre_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1450","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1474","name","emberrose_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1475","description","emberrose_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1491","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1520","name","snowflower_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1521","description","snowflower_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1537","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1566","name","winterwing_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1567","description","winterwing_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1583","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1612","name","reindeer_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1613","description","reindeer_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1629","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1658","name","baldric_durrandon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1659","description","baldric_durrandon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1675","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1704","name","orysbaratheon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1705","description","orysbaratheon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1721","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1745","name","orysbaratheon_crown_generic_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1746","description","orysbaratheon_crown_generic_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1762","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1792","name","baelorbreakspear_crown_generic_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1793","description","baelorbreakspear_crown_generic_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1809","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1839","name","aemma_tiara_generic_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1840","description","aemma_tiara_generic_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1856","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1885","name","aemma_tiara_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1886","description","aemma_tiara_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1902","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1931","name","winterrose_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1932","description","winterrose_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1948","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1971","name","celtigar_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1972","description","celtigar_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","1988","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2013","name","wolfswood_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2014","description","wolfswood_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2041","name","bracken_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2042","description","bracken_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2069","name","massey_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2070","description","massey_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2097","name","duskendale_crown_01_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2098","description","duskendale_crown_01_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2125","name","duncandragonfly_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2126","description","duncandragonfly_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2142","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2166","name","laenorvelaryon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2167","description","laenorvelaryon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2183","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2207","name","jacaerysvelaryon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2208","description","jacaerysvelaryon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2224","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2248","name","jonsnow_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2249","description","jonsnow_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2265","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2289","name","aereatargaryen_crown_01_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2290","description","aereatargaryen_crown_01_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2306","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2330","name","aereatargaryen_crown_02_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2331","description","aereatargaryen_crown_02_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2347","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2371","name","vaellatargaryen_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2372","description","vaellatargaryen_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2388","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2412","name","brightflame_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2413","description","brightflame_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2429","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2453","name","robbstark_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2454","description","robbstark_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2470","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2494","name","branstark_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2495","description","branstark_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2511","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2535","name","tyboltthunderbolt_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2536","description","tyboltthunderbolt_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2558","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2602","name","geroldlannister_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2603","description","geroldlannister_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2625","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2654","name","lancellannister_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2655","description","lancellannister_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2677","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2706","name","margaerytyrell_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2707","description","margaerytyrell_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2723","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2752","name","myrcella_circlet_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2753","description","myrcella_circlet_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2769","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2792","name","cersei_tiara_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2793","description","cersei_tiara_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2815","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2838","name","cersei_red_tiara_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2839","description","cersei_red_tiara_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2855","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2870","name","rhaenysvelaryon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2871","description","rhaenysvelaryon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2887","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2910","name","stepstone_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2911","description","stepstone_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2933","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2960","name","hugor_of_the_hill_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2961","description","hugor_of_the_hill_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","2983","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3002","name","matarys_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3003","description","matarys_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3019","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3042","name","alicenthightower_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3043","description","alicenthightower_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3065","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3098","name","alyssavelaryon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3099","description","alyssavelaryon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3121","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3174","name","bethablackwood_circlet_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3175","description","bethablackwood_circlet_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3197","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3230","name","mariah_martell_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3231","description","mariah_martell_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3253","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3276","name","aliandra_martell_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3277","description","aliandra_martell_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3299","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3322","name","mors_martell_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3323","description","mors_martell_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3345","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3368","name","rhaenatargaryen_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3369","description","rhaenatargaryen_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3391","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3419","name","daeron_the_daring_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3420","description","daeron_the_daring_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3442","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3470","name","jaehaera_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3471","description","jaehaera_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3493","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3521","name","maegor_brightflame_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3522","description","maegor_brightflame_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3544","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3572","name","daena_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3573","description","daena_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3595","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3633","name","seven_dragon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3634","description","seven_dragon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3656","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3684","name","elaena_crown_default_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3685","description","elaena_crown_default_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3707","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3735","name","elaena_crown_red_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3736","description","elaena_crown_red_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3758","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3791","name","elaena_crown_black_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3792","description","elaena_crown_black_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3814","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3837","name","elaena_crown_red_and_black_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3838","description","elaena_crown_red_and_black_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3854","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3885","name","aemon_blackfyre_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3886","description","aemon_blackfyre_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3908","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","3931","name","calla_blackfyre_circlet_name","True"
