Key,Status,Before,After,English,InCurrentEnglish,DefinedByPatch,PatchText,PreviousFile,CurrentFile
rule_spawn_pythax_egg,changed,@mde_icon!@darkpurple_dragon_egg_icon!Яйцо Питакса,@mde_icon!@darkpurple_dragon_egg_icon!Яйцо Пифакса,@mde_icon!@darkpurple_dragon_egg_icon!Spawn Pythax Egg,True,True,@mde_icon!@darkpurple_dragon_egg_icon!Яйцо Питакса,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_absolute_spawn,changed,Гарантировано,Гарантировано для игроков,Player Guaranteed Spawns,True,True,Гарантировано,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_absolute_spawn_desc,changed,"Первый посетитель соответствующих локаций или первый персонаж, принявший нужные решения, гарантированно получит драконьи яйца. Отключите яйца Драконьего Камня, иначе их станет слишком много.","Первый игрок, посетивший соответствующую локацию или принявший нужное решение, гарантированно получит драконье яйцо.",Guaranteed chance for the first player to visit these locations or take the decisions to pick up the dragon eggs.,True,True,"Первый посетитель соответствующих локаций или первый персонаж, принявший нужные решения, гарантированно получит драконьи яйца. Отключите яйца Драконьего Камня, иначе их станет слишком много.",localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_canon_dragon_egg_hatch_likelihood_common_desc,changed,Канонические драконьи яйца имеют высокий шанс успешно дать дракона. Складывается с обычным правилом вероятности.,"Канонические драконьи яйца имеют высокий шанс вылупиться в колыбели, в драконьей яме или как дополнительные яйца на церемонии выведения. Эффект складывается с соответствующими настройками. Действует только при включённых канонических драконах.","Canon dragon eggs have a high chance to hatch when cradled, pitted, or as extra eggs in a hatching ceremony. Stacks with those settings. Only applies when canon dragons are enabled.",True,True,Канонические драконьи яйца имеют высокий шанс успешно дать дракона. Складывается с обычным правилом вероятности.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_canon_dragon_egg_hatch_likelihood_default_desc,changed,Канонические драконьи яйца используют стандартные шансы. Складывается с обычным правилом вероятности.,"Канонические драконьи яйца используют те же шансы, что и остальные яйца, в колыбели, в драконьей яме и как дополнительные яйца на церемонии выведения. Действует только при включённых канонических драконах.","Canon dragon eggs use the same odds as any other egg when cradled, pitted, or as extra eggs in a hatching ceremony. Only applies when canon dragons are enabled.",True,True,Канонические драконьи яйца используют стандартные шансы. Складывается с обычным правилом вероятности.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_canon_dragon_egg_hatch_likelihood_guaranteed_desc,changed,Канонические драконьи яйца всегда дают драконов.,"Канонические драконьи яйца не станут бесплодными в колыбели или драконьей яме, если соответствующая настройка не установлена на «Никогда», и всегда вылупятся как дополнительные яйца на церемонии выведения. Действует только при включённых канонических драконах.","Canon dragon eggs will never become duds when cradled or pitted, unless that setting is Never, and will always hatch as extra eggs in a hatching ceremony. Only applies when canon dragons are enabled.",True,True,Канонические драконьи яйца всегда дают драконов.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_canon_dragon_egg_hatch_likelihood_less_likely_desc,changed,Канонические драконьи яйца дают драконов реже обычного. Складывается с обычным правилом вероятности.,"Канонические драконьи яйца реже вылупляются в колыбели, в драконьей яме или как дополнительные яйца на церемонии выведения. Эффект складывается с соответствующими настройками. Действует только при включённых канонических драконах.","Canon dragon eggs are less likely to hatch when cradled, pitted, or as extra eggs in a hatching ceremony. Stacks with those settings. Only applies when canon dragons are enabled.",True,True,Канонические драконьи яйца дают драконов реже обычного. Складывается с обычным правилом вероятности.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_canon_dragon_egg_hatch_likelihood_more_likely_desc,changed,Канонические драконьи яйца дают драконов чаще обычного. Складывается с обычным правилом вероятности.,"Канонические драконьи яйца чаще вылупляются в колыбели, в драконьей яме или как дополнительные яйца на церемонии выведения. Эффект складывается с соответствующими настройками. Действует только при включённых канонических драконах.","Canon dragon eggs are more likely to hatch when cradled, pitted, or as extra eggs in a hatching ceremony. Stacks with those settings. Only applies when canon dragons are enabled.",True,True,Канонические драконьи яйца дают драконов чаще обычного. Складывается с обычным правилом вероятности.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_cradle_egg_hatch_likelihood_common_desc,changed,Яйца в колыбелях и драконьих ямах имеют высокий шанс успешно дать дракона.,Яйца в колыбелях игроков и членов их семей получат высокий шанс успешно вылупиться.,Eggs cradled by players and their families have a high chance to successfully hatch.,True,True,Яйца в колыбелях и драконьих ямах имеют высокий шанс успешно дать дракона.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_cradle_egg_hatch_likelihood_default_desc,changed,Яйца в колыбелях и драконьих ямах используют стандартные шансы.,Яйца в колыбелях игроков и членов их семей будут использовать стандартную вероятность вылупления.,Eggs cradled by players and their families will use the vanilla odds to determine if they will hatch.,True,True,Яйца в колыбелях и драконьих ямах используют стандартные шансы.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_cradle_egg_hatch_likelihood_less_likely_desc,changed,Яйца в колыбелях и драконьих ямах дают драконов реже обычного.,Яйца в колыбелях игроков и членов их семей будут вылупляться реже обычного.,Eggs cradled by players and their families will hatch less often than normal.,True,True,Яйца в колыбелях и драконьих ямах дают драконов реже обычного.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_cradle_egg_hatch_likelihood_more_likely_desc,changed,Яйца в колыбелях и драконьих ямах дают драконов чаще обычного.,Яйца в колыбелях игроков и членов их семей будут вылупляться чаще обычного.,Eggs cradled by players and their families are more likely to hatch than normal.,True,True,Яйца в колыбелях и драконьих ямах дают драконов чаще обычного.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_cradle_egg_hatch_likelihood_rare_desc,changed,Яйца в колыбелях и драконьих ямах почти никогда не дают драконов.,Яйца в колыбелях игроков и членов их семей будут вылупляться крайне редко.,Eggs cradled by players and their families will rarely ever hatch.,True,True,Яйца в колыбелях и драконьих ямах почти никогда не дают драконов.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_no_spawns,changed,Без появления,Без появления для игроков,Player No Spawns,True,True,Без появления,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_no_spawns_desc,changed,"Драконьи яйца нельзя будет найти на карте: ни в местах, связанных с драконами, ни в Винтерфелле, ни через решения вроде «Дня на Драконьем Камне», бегства в Летний замок или восстановления Летнего замка.","Игроки не смогут получить драконьи яйца на карте: ни в местах, связанных с драконьими знаниями, ни в Винтерфелле, ни через решения вроде «Дня на Драконьем Камне», бегства в Летний замок или восстановления Летнего замка.","No dragon eggs can be picked up on the map by any player, either from any of the dragonlore locations, Winterfell, or by decisions such as A Day On Dragonstone or Escape to Summerhall/Rebuild Summerhall.",True,True,"Драконьи яйца нельзя будет найти на карте: ни в местах, связанных с драконами, ни в Винтерфелле, ни через решения вроде «Дня на Драконьем Камне», бегства в Летний замок или восстановления Летнего замка.",localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_spawn_dragonstone_eggs_disabled_desc,changed,"Событие о драконьих знаниях на Драконьем Камне останется, но обычное посещение больше не будет создавать драконье яйцо. Событие «День на Драконьем Камне» и вдохновения авантюристов на Драконьем Камне останутся без изменений.","Событие о драконьих знаниях на Драконьем Камне останется, но при обычном посещении драконье яйцо больше не появится. Событие «День на Драконьем Камне» и вдохновения авантюристов, направленные на Драконий Камень, останутся без изменений.","The Dragonlore event in Dragonstone will remain but it will never spawn a dragon egg by visiting, A Day On Dragonstone and Adventurer Inspirations to Dragonstone will remain unchanged.",True,True,"Событие о драконьих знаниях на Драконьем Камне останется, но обычное посещение больше не будет создавать драконье яйцо. Событие «День на Драконьем Камне» и вдохновения авантюристов на Драконьем Камне останутся без изменений.",localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
setting_spawn_pythax_egg_enabled_desc,changed,Яйцо потомка Питакса можно найти во время путешествия в южный Эссос.,Яйцо потомка Пифакса можно найти во время путешествия в южный Эссос.,Pythax descended dragon egg can be picked up by travelers going to southern Essos.,True,True,Яйцо потомка Питакса можно найти во время путешествия в южный Эссос.,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,localization/russian/more_dragon_eggs_gamerules_l_russian.yml
