File,DNA,Gene,Kind,Before,After,Reason,SourceLegacyGene,Line
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 109 ""eye_shut_bottom"" 109",,retire_preserve_current_gene,gene_eye_shut_bottom,150
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_forehead_inner_brow_width,retire,"""inner_brow_width"" 131 ""inner_brow_width"" 131",,approximate_current_gene,gene_forehead_inner_brow_width,156
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eyebrow_inner_width,replace,"""eyebrow_inner_width_max"" 11 ""eyebrow_inner_width_max"" 11","""eyebrow_inner_width_max"" 13 ""eyebrow_inner_width_max"" 13",approximate_current_gene,gene_forehead_inner_brow_width,173
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 118 ""eye_fold_2"" 118",,retire_preserve_primary_fold,gene_bs_eye_fold_2,160
common/dna_data/test_dna_crownlands.txt,Cressen_asoiaf_1,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 62 ""eye_fold_2"" 62",,retire_preserve_primary_fold,gene_bs_eye_fold_2,3588
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_eye_size,retire,"""eye_size"" 120 ""eye_size"" 120",,approximate_current_gene,gene_eye_size,3988
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_bs_eye_size,replace,"""eye_size_neg"" 77 ""eye_size_neg"" 77","""eye_size_neg"" 81 ""eye_size_neg"" 81",approximate_current_gene,gene_eye_size,3929
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_eye_shut_top,retire,"""eye_shut_top"" 147 ""eye_shut_top"" 147",,retire_preserve_current_gene,gene_eye_shut_top,3989
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 126 ""eye_shut_bottom"" 126",,retire_preserve_current_gene,gene_eye_shut_bottom,3990
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 8 ""eye_fold_2"" 8",,retire_preserve_primary_fold,gene_bs_eye_fold_2,4000
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_10,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 11 ""eye_fold_2"" 0",,retire_preserve_primary_fold,gene_bs_eye_fold_2,978
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_eye_size,retire,"""eye_size"" 123 ""eye_size"" 123",,approximate_current_gene,gene_eye_size,1771
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_bs_eye_size,replace,"""eye_size_pos"" 52 ""eye_size_pos"" 52","""eye_size_pos"" 50 ""eye_size_pos"" 50",approximate_current_gene,gene_eye_size,1712
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_eye_shut_top,retire,"""eye_shut_top"" 136 ""eye_shut_top"" 136",,approximate_current_gene,gene_eye_shut_top,1772
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 137 ""eye_upper_lid_size_pos"" 137","""eye_upper_lid_size_pos"" 141 ""eye_upper_lid_size_pos"" 141",approximate_current_gene,gene_eye_shut_top,1713
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 120 ""eye_shut_bottom"" 120",,retire_preserve_current_gene,gene_eye_shut_bottom,1773
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_forehead_inner_brow_width,retire,"""inner_brow_width"" 129 ""inner_brow_width"" 129",,approximate_current_gene,gene_forehead_inner_brow_width,1779
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_eyebrow_inner_width,replace,"""eyebrow_inner_width_max"" 0 ""eyebrow_inner_width_max"" 0","""eyebrow_inner_width_max"" 1 ""eyebrow_inner_width_max"" 1",approximate_current_gene,gene_forehead_inner_brow_width,1796
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 224 ""eye_fold_2"" 224",,retire_preserve_primary_fold,gene_bs_eye_fold_2,1783
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_eye_size,retire,"""eye_size"" 135 ""eye_size"" 135",,approximate_current_gene,gene_eye_size,1980
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_bs_eye_size,replace,"""eye_size_neg"" 95 ""eye_size_neg"" 95","""eye_size_neg"" 91 ""eye_size_neg"" 91",approximate_current_gene,gene_eye_size,1921
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_eye_shut_top,retire,"""eye_shut_top"" 141 ""eye_shut_top"" 141",,approximate_current_gene,gene_eye_shut_top,1981
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_neg"" 59 ""eye_upper_lid_size_neg"" 59","""eye_upper_lid_size_neg"" 52 ""eye_upper_lid_size_neg"" 52",approximate_current_gene,gene_eye_shut_top,1922
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 119 ""eye_shut_bottom"" 119",,retire_preserve_current_gene,gene_eye_shut_bottom,1982
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_forehead_inner_brow_width,retire,"""inner_brow_width"" 132 ""inner_brow_width"" 132",,approximate_current_gene,gene_forehead_inner_brow_width,1988
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_eyebrow_inner_width,replace,"""eyebrow_inner_width_max"" 120 ""eyebrow_inner_width_max"" 120","""eyebrow_inner_width_max"" 122 ""eyebrow_inner_width_max"" 122",approximate_current_gene,gene_forehead_inner_brow_width,2005
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 2 ""eye_fold_2"" 2",,map_fold_in_free_slot,gene_bs_eye_fold_2,1992
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_bs_eye_fold_shape,replace,"""eye_fold_shape_pos"" 0 ""eye_fold_shape_pos"" 0","""eye_fold_shape_neg_02"" 2 ""eye_fold_shape_neg_02"" 2",map_fold_in_free_slot,gene_bs_eye_fold_2,1920
common/dna_data/test_dna_dornish.txt,Uller_asoiaf_6,gene_eye_size,retire,"""eye_size"" 117 ""eye_size"" 117",,approximate_current_gene,gene_eye_size,2590
common/dna_data/test_dna_dornish.txt,Uller_asoiaf_6,gene_bs_eye_size,replace,"""eye_size_neg"" 21 ""eye_size_neg"" 21","""eye_size_neg"" 26 ""eye_size_neg"" 26",approximate_current_gene,gene_eye_size,2531
common/dna_data/test_dna_dornish.txt,Uller_asoiaf_6,gene_eye_shut_top,retire,"""eye_shut_top"" 127 ""eye_shut_top"" 127",,retire_preserve_current_gene,gene_eye_shut_top,2591
common/dna_data/test_dna_dornish.txt,Uller_asoiaf_6,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 121 ""eye_shut_bottom"" 121",,retire_preserve_current_gene,gene_eye_shut_bottom,2592
common/dna_data/test_dna_essos.txt,Mysaria_asoiaf_1,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 21 ""eye_fold_2"" 21",,retire_preserve_primary_fold,gene_bs_eye_fold_2,746
common/dna_data/test_dna_essos.txt,Saan_asoiaf_2,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 73 ""eye_fold_2"" 73",,retire_preserve_primary_fold,gene_bs_eye_fold_2,1352
common/dna_data/test_dna_essos.txt,Thoros_asoiaf_1,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 160 ""eye_fold_2"" 160",,retire_preserve_primary_fold,gene_bs_eye_fold_2,1557
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_eye_size,retire,"""eye_size"" 115 ""eye_size"" 115",,approximate_current_gene,gene_eye_size,1752
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_bs_eye_size,replace,"""eye_size_pos"" 2 ""eye_size_pos"" 2","""eye_size_neg"" 4 ""eye_size_neg"" 4",approximate_current_gene,gene_eye_size,1693
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_eye_shut_top,retire,"""eye_shut_top"" 130 ""eye_shut_top"" 130",,approximate_current_gene,gene_eye_shut_top,1753
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_neg"" 25 ""eye_upper_lid_size_neg"" 25","""eye_upper_lid_size_neg"" 24 ""eye_upper_lid_size_neg"" 24",approximate_current_gene,gene_eye_shut_top,1694
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 112 ""eye_shut_bottom"" 112",,retire_preserve_current_gene,gene_eye_shut_bottom,1754
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_forehead_inner_brow_width,retire,"""inner_brow_width"" 136 ""inner_brow_width"" 136",,approximate_current_gene,gene_forehead_inner_brow_width,1760
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_eyebrow_inner_width,replace,"""eyebrow_inner_width_max"" 4 ""eyebrow_inner_width_max"" 4","""eyebrow_inner_width_max"" 8 ""eyebrow_inner_width_max"" 8",approximate_current_gene,gene_forehead_inner_brow_width,1777
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 81 ""eye_fold_2"" 81",,map_fold_in_free_slot,gene_bs_eye_fold_2,1764
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,gene_bs_eye_fold_shape,replace,"""eye_fold_shape_pos"" 0 ""eye_fold_shape_pos"" 0","""eye_fold_shape_neg_02"" 81 ""eye_fold_shape_neg_02"" 81",map_fold_in_free_slot,gene_bs_eye_fold_2,1692
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,gene_eye_size,retire,"""eye_size"" 131 ""eye_size"" 131",,approximate_current_gene,gene_eye_size,354
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,gene_bs_eye_size,replace,"""eye_size_neg"" 157 ""eye_size_neg"" 157","""eye_size_neg"" 155 ""eye_size_neg"" 155",approximate_current_gene,gene_eye_size,295
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,gene_eye_shut_top,retire,"""eye_shut_top"" 124 ""eye_shut_top"" 124",,approximate_current_gene,gene_eye_shut_top,355
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 201 ""eye_upper_lid_size_pos"" 201","""eye_upper_lid_size_pos"" 199 ""eye_upper_lid_size_pos"" 199",approximate_current_gene,gene_eye_shut_top,296
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 125 ""eye_shut_bottom"" 125",,retire_preserve_current_gene,gene_eye_shut_bottom,356
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 168 ""eye_fold_2"" 168",,retire_preserve_primary_fold,gene_bs_eye_fold_2,366
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_eye_size,retire,"""eye_size"" 122 ""eye_size"" 122",,approximate_current_gene,gene_eye_size,567
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_bs_eye_size,replace,"""eye_size_pos"" 67 ""eye_size_pos"" 67","""eye_size_pos"" 64 ""eye_size_pos"" 64",approximate_current_gene,gene_eye_size,508
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_eye_shut_top,retire,"""eye_shut_top"" 120 ""eye_shut_top"" 120",,approximate_current_gene,gene_eye_shut_top,568
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 175 ""eye_upper_lid_size_pos"" 175","""eye_upper_lid_size_pos"" 171 ""eye_upper_lid_size_pos"" 171",approximate_current_gene,gene_eye_shut_top,509
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 130 ""eye_shut_bottom"" 130",,approximate_current_gene,gene_eye_shut_bottom,569
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_bs_eye_lower_lid_size,replace,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0","""eye_lower_lid_size"" 1 ""eye_lower_lid_size"" 1",approximate_current_gene,gene_eye_shut_bottom,601
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_forehead_inner_brow_width,retire,"""inner_brow_width"" 142 ""inner_brow_width"" 142",,approximate_current_gene,gene_forehead_inner_brow_width,575
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_eyebrow_inner_width,replace,"""eyebrow_inner_width_max"" 0 ""eyebrow_inner_width_max"" 0","""eyebrow_inner_width_max"" 7 ""eyebrow_inner_width_max"" 7",approximate_current_gene,gene_forehead_inner_brow_width,592
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 61 ""eye_fold_2"" 61",,retire_preserve_primary_fold,gene_bs_eye_fold_2,579
common/dna_data/test_dna_north.txt,Stark_asoiaf_1,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 94 ""eye_fold_2"" 94",,retire_preserve_primary_fold,gene_bs_eye_fold_2,762
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,gene_eye_size,retire,"""eye_size"" 116 ""eye_size"" 116",,approximate_current_gene,gene_eye_size,1774
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,gene_bs_eye_size,replace,"""eye_size_neg"" 45 ""eye_size_neg"" 45","""eye_size_neg"" 51 ""eye_size_neg"" 51",approximate_current_gene,gene_eye_size,1715
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,gene_eye_shut_top,retire,"""eye_shut_top"" 137 ""eye_shut_top"" 137",,approximate_current_gene,gene_eye_shut_top,1775
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 37 ""eye_upper_lid_size_pos"" 37","""eye_upper_lid_size_pos"" 42 ""eye_upper_lid_size_pos"" 42",approximate_current_gene,gene_eye_shut_top,1716
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 124 ""eye_shut_bottom"" 124",,retire_preserve_current_gene,gene_eye_shut_bottom,1776
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,gene_forehead_inner_brow_width,retire,"""inner_brow_width"" 136 ""inner_brow_width"" 136",,approximate_current_gene,gene_forehead_inner_brow_width,1782
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,gene_eyebrow_inner_width,replace,"""eyebrow_inner_width_max"" 0 ""eyebrow_inner_width_max"" 0","""eyebrow_inner_width_max"" 4 ""eyebrow_inner_width_max"" 4",approximate_current_gene,gene_forehead_inner_brow_width,1799
common/dna_data/test_dna_north.txt,Stark_asoiaf_6,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 96 ""eye_fold_2"" 96",,retire_preserve_primary_fold,gene_bs_eye_fold_2,1786
common/dna_data/test_dna_north.txt,Cassel_asoiaf_3,gene_eye_size,retire,"""eye_size"" 111 ""eye_size"" 111",,approximate_current_gene,gene_eye_size,4210
common/dna_data/test_dna_north.txt,Cassel_asoiaf_3,gene_bs_eye_size,replace,"""eye_size_pos"" 1 ""eye_size_pos"" 1","""eye_size_neg"" 7 ""eye_size_neg"" 7",approximate_current_gene,gene_eye_size,4151
common/dna_data/test_dna_north.txt,Cassel_asoiaf_3,gene_eye_shut_top,retire,"""eye_shut_top"" 124 ""eye_shut_top"" 124",,approximate_current_gene,gene_eye_shut_top,4211
common/dna_data/test_dna_north.txt,Cassel_asoiaf_3,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 43 ""eye_upper_lid_size_pos"" 43","""eye_upper_lid_size_pos"" 41 ""eye_upper_lid_size_pos"" 41",approximate_current_gene,gene_eye_shut_top,4152
common/dna_data/test_dna_north.txt,Cassel_asoiaf_3,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 138 ""eye_shut_bottom"" 138",,approximate_current_gene,gene_eye_shut_bottom,4212
common/dna_data/test_dna_north.txt,Cassel_asoiaf_3,gene_bs_eye_lower_lid_size,replace,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0","""eye_lower_lid_size"" 5 ""eye_lower_lid_size"" 5",approximate_current_gene,gene_eye_shut_bottom,4244
common/dna_data/test_dna_north.txt,Cassel_asoiaf_3,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 41 ""eye_fold_2"" 41",,retire_preserve_primary_fold,gene_bs_eye_fold_2,4222
common/dna_data/test_dna_north.txt,Bolton_asoiaf_1,gene_eye_size,retire,"""eye_size"" 126 ""eye_size"" 126",,approximate_current_gene,gene_eye_size,5211
common/dna_data/test_dna_north.txt,Bolton_asoiaf_1,gene_bs_eye_size,replace,"""eye_size_neg"" 133 ""eye_size_neg"" 133","""eye_size_neg"" 134 ""eye_size_neg"" 134",approximate_current_gene,gene_eye_size,5152
common/dna_data/test_dna_north.txt,Bolton_asoiaf_1,gene_eye_shut_top,retire,"""eye_shut_top"" 125 ""eye_shut_top"" 125",,approximate_current_gene,gene_eye_shut_top,5212
common/dna_data/test_dna_north.txt,Bolton_asoiaf_1,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 255 ""eye_upper_lid_size_pos"" 255","""eye_upper_lid_size_pos"" 254 ""eye_upper_lid_size_pos"" 254",approximate_current_gene,gene_eye_shut_top,5153
common/dna_data/test_dna_north.txt,Bolton_asoiaf_1,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 129 ""eye_shut_bottom"" 129",,approximate_current_gene,gene_eye_shut_bottom,5213
common/dna_data/test_dna_north.txt,Bolton_asoiaf_1,gene_bs_eye_lower_lid_size,replace,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0","""eye_lower_lid_size"" 1 ""eye_lower_lid_size"" 1",approximate_current_gene,gene_eye_shut_bottom,5245
common/dna_data/test_dna_north.txt,Bolton_asoiaf_1,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 200 ""eye_fold_2"" 200",,retire_preserve_primary_fold,gene_bs_eye_fold_2,5223
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_eye_size,retire,"""eye_size"" 125 ""eye_size"" 125",,approximate_current_gene,gene_eye_size,5420
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_bs_eye_size,replace,"""eye_size_neg"" 73 ""eye_size_neg"" 73","""eye_size_neg"" 74 ""eye_size_neg"" 74",approximate_current_gene,gene_eye_size,5361
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_eye_shut_top,retire,"""eye_shut_top"" 125 ""eye_shut_top"" 125",,approximate_current_gene,gene_eye_shut_top,5421
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 103 ""eye_upper_lid_size_pos"" 103","""eye_upper_lid_size_pos"" 102 ""eye_upper_lid_size_pos"" 102",approximate_current_gene,gene_eye_shut_top,5362
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 129 ""eye_shut_bottom"" 129",,approximate_current_gene,gene_eye_shut_bottom,5422
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_bs_eye_lower_lid_size,replace,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0","""eye_lower_lid_size"" 1 ""eye_lower_lid_size"" 1",approximate_current_gene,gene_eye_shut_bottom,5454
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_forehead_inner_brow_width,retire,"""inner_brow_width"" 142 ""inner_brow_width"" 142",,approximate_current_gene,gene_forehead_inner_brow_width,5428
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_eyebrow_inner_width,replace,"""eyebrow_inner_width_max"" 48 ""eyebrow_inner_width_max"" 48","""eyebrow_inner_width_max"" 55 ""eyebrow_inner_width_max"" 55",approximate_current_gene,gene_forehead_inner_brow_width,5445
common/dna_data/test_dna_north.txt,Bolton_asoiaf_4,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 92 ""eye_fold_2"" 92",,retire_preserve_primary_fold,gene_bs_eye_fold_2,5432
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_eye_size,retire,"""eye_size"" 125 ""eye_size"" 125",,approximate_current_gene,gene_eye_size,5629
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_bs_eye_size,replace,"""eye_size_neg"" 117 ""eye_size_neg"" 117","""eye_size_neg"" 118 ""eye_size_neg"" 118",approximate_current_gene,gene_eye_size,5570
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_eye_shut_top,retire,"""eye_shut_top"" 119 ""eye_shut_top"" 119",,approximate_current_gene,gene_eye_shut_top,5630
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_neg"" 11 ""eye_upper_lid_size_neg"" 11","""eye_upper_lid_size_neg"" 15 ""eye_upper_lid_size_neg"" 15",approximate_current_gene,gene_eye_shut_top,5571
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 133 ""eye_shut_bottom"" 133",,approximate_current_gene,gene_eye_shut_bottom,5631
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_bs_eye_lower_lid_size,replace,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0","""eye_lower_lid_size"" 3 ""eye_lower_lid_size"" 3",approximate_current_gene,gene_eye_shut_bottom,5663
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_forehead_inner_brow_width,retire,"""inner_brow_width"" 142 ""inner_brow_width"" 142",,approximate_current_gene,gene_forehead_inner_brow_width,5637
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_eyebrow_inner_width,replace,"""eyebrow_inner_width_max"" 48 ""eyebrow_inner_width_max"" 48","""eyebrow_inner_width_max"" 55 ""eyebrow_inner_width_max"" 55",approximate_current_gene,gene_forehead_inner_brow_width,5654
common/dna_data/test_dna_north.txt,Bolton_asoiaf_5,gene_bs_eye_fold_2,retire,"""eye_fold_2"" 13 ""eye_fold_2"" 13",,retire_preserve_primary_fold,gene_bs_eye_fold_2,5641
common/dna_data/test_dna_north.txt,Mormont_asoiaf_2,gene_eye_size,retire,"""eye_size"" 127 ""eye_size"" 127",,retire_preserve_current_gene,gene_eye_size,5838
common/dna_data/test_dna_north.txt,Mormont_asoiaf_2,gene_eye_shut_top,retire,"""eye_shut_top"" 131 ""eye_shut_top"" 131",,approximate_current_gene,gene_eye_shut_top,5839
common/dna_data/test_dna_north.txt,Mormont_asoiaf_2,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 251 ""eye_upper_lid_size_pos"" 251","""eye_upper_lid_size_pos"" 253 ""eye_upper_lid_size_pos"" 253",approximate_current_gene,gene_eye_shut_top,5780
common/dna_data/test_dna_north.txt,Mormont_asoiaf_2,gene_eye_shut_bottom,retire,"""eye_shut_bottom"" 132 ""eye_shut_bottom"" 132",,approximate_current_gene,gene_eye_shut_bottom,5840
common/dna_data/test_dna_north.txt,Mormont_asoiaf_2,gene_bs_eye_lower_lid_size,replace,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0","""eye_lower_lid_size"" 2 ""eye_lower_lid_size"" 2",approximate_current_gene,gene_eye_shut_bottom,5872
common/dna_data/test_dna_north.txt,Mormont_asoiaf_3,gene_eye_size,retire,"""eye_size"" 127 ""eye_size"" 127",,retire_preserve_current_gene,gene_eye_size,6047
common/dna_data/test_dna_north.txt,Mormont_asoiaf_3,gene_eye_shut_top,retire,"""eye_shut_top"" 129 ""eye_shut_top"" 129",,approximate_current_gene,gene_eye_shut_top,6048
common/dna_data/test_dna_north.txt,Mormont_asoiaf_3,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_pos"" 11 ""eye_upper_lid_size_pos"" 11","""eye_upper_lid_size_pos"" 12 ""eye_upper_lid_size_pos"" 12",approximate_current_gene,gene_eye_shut_top,5989
