catalog,key,count,distinct_values,definitions
RU,bookmark_02_argella_durrandon,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 16, ""key"": ""bookmark_02_argella_durrandon"", ""text"": ""Принцесса Аргелла"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 16, ""key"": ""bookmark_02_argella_durrandon"", ""text"": ""Принцесса Аргелла"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_ronnel_arryn,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 18, ""key"": ""bookmark_02_ronnel_arryn"", ""text"": ""Роннел, мальчик-король"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 18, ""key"": ""bookmark_02_ronnel_arryn"", ""text"": ""Роннел Аррен"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_ronnel_arryn_desc,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 19, ""key"": ""bookmark_02_ronnel_arryn_desc"", ""text"": ""Корона Гор и Долины покоится на голове ребёнка. Королева-регент Шарра правит за своего сына Роннела, защищённая Кровавыми Воротами, Орлиным Гнездом и горами, которые не покорила ни одна армия. Однако драконам горные дороги почти не нужны. \\n \\n#bold Сможет ли Шарра сохранить наследие Роннела, когда враг может просто перелететь через все укрепления?#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 19, ""key"": ""bookmark_02_ronnel_arryn_desc"", ""text"": ""Корона Гор и Долины покоится на голове ребёнка. Королева-регент Шарра правит за своего сына Роннела, защищённая Кровавыми Воротами, Орлиным Гнездом и горами, которые не покорила ни одна армия. Однако драконам горные дороги почти не нужны. \\n \\n#bold Сможет ли Шарра сохранить наследие Роннела, когда враг может просто перелететь через все укрепления?#"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_sharra_arryn,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 20, ""key"": ""bookmark_02_sharra_arryn"", ""text"": ""Королева-регент Шарра"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 20, ""key"": ""bookmark_02_sharra_arryn"", ""text"": ""Королева-регент Шарра"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_torrhen_stark,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 22, ""key"": ""bookmark_02_torrhen_stark"", ""text"": ""Торрен, Король Севера"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 22, ""key"": ""bookmark_02_torrhen_stark"", ""text"": ""Торрен Старк"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_torrhen_stark_desc,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 23, ""key"": ""bookmark_02_torrhen_stark_desc"", ""text"": ""Торрен Старк правит королевством старше и обширнее любого на юге. Расстояние, зима и Шея всегда охраняли Север, но ничто из этого не может противостоять драконьему огню. Когда требование Эйгона наконец достигнет Винтерфелла, Торрен должен решить, какой ценой он готов заплатить за независимость Севера. \\n \\n#bold Будет ли Король Севера сражаться за свою корону, или спасёт свой народ от войны, которую они не переживут?#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 23, ""key"": ""bookmark_02_torrhen_stark_desc"", ""text"": ""Торрен Старк правит королевством старше и обширнее любого на юге. Расстояние, зима и Шея всегда охраняли Север, но ничто из этого не может противостоять драконьему огню. Когда требование Эйгона наконец достигнет Винтерфелла, Торрен должен решить, какой ценой он готов заплатить за независимость Севера. \\n \\n#bold Будет ли Король Севера сражаться за свою корону, или спасёт свой народ от войны, которую они не переживут?#"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_loren_lannister,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 25, ""key"": ""bookmark_02_loren_lannister"", ""text"": ""Лорен, Король Скалы"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 25, ""key"": ""bookmark_02_loren_lannister"", ""text"": ""Лорен Ланнистер"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_loren_lannister_desc,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 26, ""key"": ""bookmark_02_loren_lannister_desc"", ""text"": ""В Кастерли Роке достаточно золота, чтобы нанять армии, снабдить замки и связать союзников, но никакое количество монет не может купить другого дракона. Лорен Ланнистер должен решить, лучше ли защищать богатства запада в одиночку или вместе с зелёными войсками Хайгардена. \\n \\n#bold Сможет ли Король Скалы обратить мощь запада против невозможного оружия Эйгона?#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 26, ""key"": ""bookmark_02_loren_lannister_desc"", ""text"": ""В Кастерли Роке достаточно золота, чтобы нанять армии, снабдить замки и связать союзников, но никакое количество монет не может купить другого дракона. Лорен Ланнистер должен решить, лучше ли защищать богатства запада в одиночку или вместе с зелёными войсками Хайгардена. \\n \\n#bold Сможет ли Король Скалы обратить мощь запада против невозможного оружия Эйгона?#"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_mern_gardener,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 28, ""key"": ""bookmark_02_mern_gardener"", ""text"": ""Мерн IX, Зелёный король"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 28, ""key"": ""bookmark_02_mern_gardener"", ""text"": ""Мерн IX Садовник"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_mern_gardener_desc,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 29, ""key"": ""bookmark_02_mern_gardener_desc"", ""text"": ""Мерн Садовник командует самым плодородным королевством Вестероса и величайшим войском, которое может собрать один король. Зелёная рука существует с начала времён королей, и Мерн не намерен стать последним именем в этой древней линии. \\n \\n#bold Сможет ли мощь Простора сокрушить меньшее войско Эйгона, прежде чем драконий огонь решит исход битвы?#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 29, ""key"": ""bookmark_02_mern_gardener_desc"", ""text"": ""Мерн Садовник командует самым плодородным королевством Вестероса и величайшим войском, которое может собрать один король. Зелёная рука существует с начала времён королей, и Мерн не намерен стать последним именем в этой древней линии. \\n \\n#bold Сможет ли мощь Простора сокрушить меньшее войско Эйгона, прежде чем драконий огонь решит исход битвы?#"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_meria_martell,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 31, ""key"": ""bookmark_02_meria_martell"", ""text"": ""Мерия, Принцесса Дорна"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 31, ""key"": ""bookmark_02_meria_martell"", ""text"": ""Мерия Мартелл"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_meria_martell_desc,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 32, ""key"": ""bookmark_02_meria_martell_desc"", ""text"": ""Возраст не смягчил принцессу Мерию, и пустыня не сделала Дорн лёгкой добычей. У неё меньше солдат, чем у северных королей, но она знает каждый пустой замок, скрытый колодец и выжженная дорогу, которая ждёт захватчика. Эйгон может завоевать замки; удержать Дорн будет делом иным. \\n \\n#bold Сможет ли Мерия лишить драконов каждой победы и сохранить Дорн не склонившимся, не согнувшимся, не сломленным?#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 32, ""key"": ""bookmark_02_meria_martell_desc"", ""text"": ""Возраст не смягчил принцессу Мерию, и пустыня не сделала Дорн лёгкой добычей. У неё меньше солдат, чем у северных королей, но она знает каждый пустой замок, скрытый колодец и выжженную дорогу, которая ждёт захватчика. Эйгон может завоевать замки; удержать Дорн будет делом иным. \\n \\n#bold Сможет ли Мерия лишить драконов каждой победы и сохранить Дорн не склонившимся, не согнувшимся, не сломленным?#"", ""header_valid"": true, ""closed_quote"": true}]"
RU,aegons_invasion_of_the_west,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml"", ""line"": 18, ""key"": ""aegons_invasion_of_the_west"", ""text"": ""Война Дракона на Западе"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml"", ""line"": 23, ""key"": ""aegons_invasion_of_the_west"", ""text"": ""Война Дракона на Западе"", ""header_valid"": true, ""closed_quote"": true}]"
RU,AEGONS_INVASION_THE_WEST_WAR_NAME,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml"", ""line"": 19, ""key"": ""AEGONS_INVASION_THE_WEST_WAR_NAME"", ""text"": ""[ATTACKER.GetFirstNamePossessive] война на Западе"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml"", ""line"": 24, ""key"": ""AEGONS_INVASION_THE_WEST_WAR_NAME"", ""text"": ""[ATTACKER.GetFirstNamePossessive] война на Западе"", ""header_valid"": true, ""closed_quote"": true}]"
RU,AEGONS_INVASION_THE_WEST_WAR_NAME_BASE,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml"", ""line"": 20, ""key"": ""AEGONS_INVASION_THE_WEST_WAR_NAME_BASE"", ""text"": ""[ATTACKER.GetFirstNamePossessive] война на Западе"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml"", ""line"": 25, ""key"": ""AEGONS_INVASION_THE_WEST_WAR_NAME_BASE"", ""text"": ""[ATTACKER.GetFirstNamePossessive] война на Западе"", ""header_valid"": true, ""closed_quote"": true}]"
RU,AEGONS_INVASION_THE_WEST_WAR_CB_NAME,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml"", ""line"": 21, ""key"": ""AEGONS_INVASION_THE_WEST_WAR_CB_NAME"", ""text"": ""Война Дракона на Западе"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml"", ""line"": 26, ""key"": ""AEGONS_INVASION_THE_WEST_WAR_CB_NAME"", ""text"": ""Война Дракона на Западе"", ""header_valid"": true, ""closed_quote"": true}]"
