catalog,file,line,key,text,header_valid,closed_quote
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,23,fab_ac_landing.0006.desc,"The ravens return, and two answers among them want remembering.\n\nFrom Sunspear writes Meria Martell, Princess of Dorne - eighty years old, blind, immense, and cunning as ever her enemies feared: the Yellow Toad offers me alliance against Argilac the Storm King. Alliance. She will fight beside me, share the spoils with me - and yield me nothing. From the Eyrie writes Sharra Arryn, regent of the Vale for her boy Ronnel, with a subtler snare: an alliance sealed with her own hand in marriage - she sends a portrait, and word that she was once called the Flower of the Mountain - provided only that I name her son my heir. She covets the east bank of the Green Fork, and would have my dragons win it from Harren for her.\n\nI have refused them both, the toad and the hawk alike, and in the same words: I did not send my ravens seeking allies. I sent them seeking subjects. There is no place in what is coming for kings and queens who would treat with me as equals - for I have no equals in Westeros.\n\n#bold They may keep their crowns a little longer. I shall come for them in due course - and I will come beneath a banner all the world shall learn.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,24,fab_ac_landing.0006.option1,"I seek subjects, not allies.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,26,fab_ac_landing.0007.t,The Three Heads of the Dragon,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,27,fab_ac_landing.0007.desc,"The dragonlords of old Valyria kept no banners. The Freehold flew no sigils to war; a dragon overhead was herald enough. But I do not mean to rule Valyria - I mean to rule Westeros, and Westeros reads the world through its banners: direwolf and kraken, lion and stag, falcon and sun-and-spear.\n\nSo let them have one to remember. Visenya has overseen the work herself: a field black as Balerion's wings, and upon it a dragon red as flame, #bold three-headed#! - one head for me, one for each of my sister-queens, for it is the three of us together who will do this thing. When the maesters of far-off ages write of how the Seven Kingdoms became one, this is the banner that will fly over every page.\n\n#bold Fire and blood, on black and red. It will be sewn on every sail. #!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,28,fab_ac_landing.0007.a,One head for each of us. Raise it over Dragonstone.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,30,fab_ac_landing.0008,A Claim Cast Across Westeros,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,31,fab_ac_landing.0008.desc.harren,"A raven has crossed the Gods Eye bearing Aegon Targaryen's demand: every king in Westeros is to surrender his crown and name the Lord of Dragonstone his sovereign. He offers peace to those who kneel and fire to those who refuse.\n\nThe boy has three dragons, but I have Harrenhal—the greatest fortress ever raised, with walls no army can breach and towers no flame can threaten. Aegon may come and dash himself against the monument I spent forty years building.\n\n#bold Stone does not burn, and Harren the Black does not kneel.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,32,fab_ac_landing.0008.desc.torrhen,"A raven from Dragonstone has reached Winterfell. Aegon Targaryen styles himself king of all Westeros and commands every crowned head to lay down his crown. Those who submit may keep their lands; those who resist are promised fire and blood.\n\nThe North has followed Stark kings since the Long Night. No southern conqueror has ever crossed the Neck and ruled us, yet no southern conqueror ever came astride Balerion, with Vhagar and Meraxes at either wing. Soon I must call the banners and decide what an ancient crown is worth in northern lives.\n\n#bold The North remembers its kings. The dragon will learn that.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,33,fab_ac_landing.0008.desc.meria,"Aegon Targaryen's raven has flown as far as Sunspear. The dragonlord commands me to yield my crown, bend my knee, and acknowledge him as king of all Westeros. Submission will bring peace, he says; refusal will bring dragonfire.\n\nThe other kings may count their walls and armies. Dorne has survived greater powers by offering neither battle nor surrender, only empty roads, poisoned wells, and sands that swallow invaders whole. Dragons may burn what they can find. We shall give them precious little to find.\n\n#bold Unbowed, Unbent, Unbroken. That is my answer.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,34,fab_ac_landing.0008.desc.loren,"Aegon Targaryen has sent his terms to Casterly Rock. He claims all Westeros as one realm beneath one king and bids me exchange the crown of the Rock for his peace. If I refuse, the raven warns, he will answer with Balerion, Vhagar, and Meraxes.\n\nThe Westerlands are rich enough to arm hosts beyond counting, and Mern Gardener commands the greatest strength in the Reach. Together our banners could cover the earth from horizon to horizon. Yet the Targaryens mean to fight from the sky. Gold has purchased every weapon known to men; now it must purchase an answer to dragons.\n\n#bold The lion has not ruled the Rock for six thousand years merely to become a dragon's cat.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,35,fab_ac_landing.0008.desc.mern,"The Lord of Dragonstone has sent a raven to Highgarden declaring himself king of all Westeros. Aegon Targaryen offers mercy if I surrender the green crown and threatens fire if I do not. Three dragons, he believes, outweigh the oldest dynasty and greatest host in the realm.\n\nEvery field of the Reach can yield another company of spears. Loren Lannister shares my danger, and the might of Highgarden joined to the gold of Casterly Rock will make an army such as Westeros has never seen. The dragonlord has wings, but he must still take and hold a continent.\n\n#bold House Gardener has flourished since the dawn of kings. I will not be its last bloom.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,36,fab_ac_landing.0008.desc.argilac,"Another message has come from the boy on Dragonstone. After answering my daughter's hand with the offer of his bastard brother, Aegon Targaryen now demands my crown as well. He names himself king of all Westeros and promises fire to every ruler who will not kneel.\n\nI have broken Dornish hosts, slain kings, and defended these stormlands since before Aegon first sat a saddle. His beasts are terrible, but storms have cast down prouder things than dragons, and Storm's End was raised to defy the fury of the gods themselves.\n\n#bold He knows where to find me. The last Storm King still has one war left in him.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,37,fab_ac_landing.0008.desc.ronnel,"A raven has come from the dragonlord. Mother read it twice and then shut herself in council with the lords of the Vale. Aegon Targaryen says all Westeros is one kingdom now, and every king must give him his crown or face his three dragons.\n\nThey say no army can pass the Bloody Gate and no castle is safer than the Eyrie. But dragons do not climb roads. Balerion is large enough to swallow a horse, Vhagar is nearly as fierce, and Meraxes has golden eyes. Everyone looks afraid when they think I am not watching.\n\n#bold I am King of Mountain and Vale. Surely even a dragon must ask before taking my crown.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,38,fab_ac_landing.0008.desc,"Ravens now carry Aegon Targaryen's proclamation to every court in Westeros: the Lord of Dragonstone claims the whole continent and names himself its king. Many laugh at the presumption, but wiser rulers remember the doom that dragons once brought to armies and cities. \n \nAegon does not come alone. Visenya rides Vhagar, Rhaenys rides Meraxes, and Balerion the Black Dread answers to Aegon himself. Soon the Seven Kingdoms will learn whether ancient crowns can withstand the last power of Valyria.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,39,fab_ac_landing.0008.option1,Our ancient crowns will not yield so easily.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,40,fab_ac_landing.0008.option.harren,What is dead may never die—and Harrenhal shall never fall.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,41,fab_ac_landing.0008.option.torrhen,"Winter is coming, even for dragons.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,42,fab_ac_landing.0008.option.meria,"Unbowed, Unbent, Unbroken.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,43,fab_ac_landing.0008.option.loren,The lion will answer with claws.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,44,fab_ac_landing.0008.option.mern,The Green Hand shall not wither before dragonfire.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,45,fab_ac_landing.0008.option.argilac,"Ours is the Fury. Come, dragon.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,46,fab_ac_landing.0008.option.ronnel,As High as Honor—higher even than dragons.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,48,fab_ac_landing.0009,The Last Stone,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,49,fab_ac_landing.0009.desc,"Forty years. Forty years of the rivers' timber and the rivers' gold and the rivers' backs bent to my quarries, and today the masons set the last stone of Harrenhal. Five towers to shame the mountains, walls no engine built by man could trouble, halls that could stable armies. No castle in all the world has ever matched it. None ever will.\n\nAnd on this same day, a raven from Dragonstone. The Valyrian salt-lordling bids me kneel — me, whose line has worn crowns since before his precious freehold was ash — or be destroyed.\n\nThe gods below have a sense of humour after all. He may come and look upon what I have built. Valyria has been dead for a hundred years. I will not kneel to what is left of it, and if he brings it to my gates, he will find them shut.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,50,fab_ac_landing.0009.option1,"Come, dragon, and learn what stone means.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,52,fab_ac_landing.0010,The Box of Hands,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,53,fab_ac_landing.0010.desc,"The dragonlord's envoy stood beneath Durran Godsgrief's roof and delivered his master's answer as though it were some great courtesy. I had offered Aegon Targaryen my daughter's hand and lands that Harren Hoare has no right to hold, enough to make common cause between two kings against a common enemy. The heathen refused Argella for himself. Instead he offered me Orys, his baseborn half-brother, and presumed to name still more lands besides.\n\nThere are insults a king may swallow for the good of his realm. This was not one of them.\n\nThe envoy leaves Storm's End with Aegon's answer returned to him in a cedar box. His hands are inside it. If Orys Waters desires something of mine badly enough to reach for it, he may begin with those.\n\nAegon may sit upon his smoking rock with his sister-wives and mistake restraint for weakness if it pleases him. The Storm Kings were fighting ironmen, Dornishmen, and worse before Valyria was ash, and I have not survived this long by fearing every foreign lord with a strange name and a monstrous beast beneath him. If the dragon wants war, by the Seven, he shall learn why my house has kept these lands for a thousand years.\n\n#bold The storm has given its answer. Dragonstone may make what it will of it.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,54,fab_ac_landing.0010.option1,The storm answers with fury.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,56,fab_ac_landing.0011,King's Landing,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,57,fab_ac_landing.0011.desc,"Our ships are drawn up where the Blackwater Rush meets the bay, and I chose the place with care: the land is claimed by both Argilac the Arrogant and Harren the Black, which is to say defended by neither. The two of them can quarrel over whose problem I am. Three hills rise north of the river: a high hill, a wooded hill away to the north, and a lower one nearer the water. No one has yet troubled to give them names. That will change.\n\nOn the high hill my men are already raising a fort of earth and timber, while my sisters attend to our first task - the lords of the shore. Rhaenys is flying Meraxes to Rosby, and Visenya is taking Vhagar to Stokeworth. Both lords will kneel to their king, or face dragonflame.\n\n#bold A fort of logs today; a city, one day. The maesters may argue over its name. #!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,58,fab_ac_landing.0011.option1,Here the conquest takes root.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,60,fab_ac_landing.0012,The Dragon at the Blackwater,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,61,fab_ac_landing.0012.desc,"The Targaryen has put ashore at the mouth of the Blackwater and thrown up a ditch and a timber palisade on the high hill. My land, as it happens — though the quarrelsome little lords of that shore forget whose peace they keep whenever it suits them.\n\nHe hopes to sting me into rushing down to meet him, no doubt. Why would I? Every day he sits in his mud fort, my walls stand just as high. He can bleed himself on Darklyn and Mooton and the Storm King's pride first.\n\nWhen he has worn his little host to rags, he may come and break what remains of it against Harrenhal.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,62,fab_ac_landing.0012.option1,The shore lords can blunt him first.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,64,fab_ac_landing.0013,The Dragon Comes Ashore,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,65,fab_ac_landing.0013.desc,"Word from the Blackwater: the Targaryen has landed at the river's mouth, on the three hills where the fisherfolk beach their boats. A few thousand men, some ships, and the three beasts of Dragonstone.\n\nThe mouth of the Blackwater is Harren's land — let the old squid dig him out, or lose the rivers trying. Both would suit me. Whichever of them bleeds first, the Stormlands watch, and arm, and wait.\n\nStorms have broken on these lands since Durran defied the gods themselves. A lizard with wings does not frighten me.",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,66,fab_ac_landing.0013.option1,The dragon and the squid can tear at each other.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,68,fab_ac_landing.0014,The First to Kneel,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,69,fab_ac_landing.0014.desc,"My sisters return before the week is out, and behind them come the first oaths.\n\nRhaenys found Rosby's gates open. The old lord watched Meraxes circle his towers once, twice, and had his banners struck before she finished the third pass; he met her in his own yard, knelt on the cobbles, and offered bread, salt, and homage without a single bolt loosed. His seat lies a short ride from our three hills, his lands run with the chalk road toward Duskendale, and his house is old enough to remember when kings were smaller things. He strikes me as a man who means to survive whatever comes next. I can use such men.\n\nStokeworth cost a little more. Visenya came down over their keep, and their crossbowmen - braver than their lord, or perhaps only worse informed - loosed a volley at her. Vhagar answered with a single breath. The roofs of the keep took flame, and the same crossbowmen spent the evening hauling water while their lord waved a peace banner from the walls. Rich farms, full granaries, and a house that will spend the next hundred years insisting it was faithful from the first. The scorched rafters will only make the tale better.\n\nTwo oaths, then, and the whole shore watching: Hayford, Rook's Rest, the Antlers, a dozen petty lords weighing dragons against the old crowns. Only from Duskendale and Maidenpool, where the Darklyns and the Mootons sit, has there come no word at all.\n\n#bold The silence to the north has a sound I know. It is the sound of swords being counted.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,70,fab_ac_landing.0014.option1,Bread and salt for the faithful.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,72,fab_ac_landing.0015,The Aegonfort,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,73,fab_ac_landing.0015.desc,"The fort is finished - or finished enough for a king to sleep in it.\n\nWe raised it on the tallest of the three hills, where I first planted the banner: a ring of raw logs and packed earth, a timber hall roofed in thatch and hides, stables, a smithy, a longhouse for the men. There is not a block of dressed stone in the whole of it. Visenya walked the wall once and called it a woodpile waiting for a torch. She is not wrong. It will serve.\n\nFrom its gate I can see everything I came for: the bay, the river mouth, and the fishing village below swelling day by day into a town of tents and mud lanes - traders, masons, camp followers, septons, every kind of man who can smell a court being born. The smallfolk have already named the hills. This one is Aegon's High Hill now; the wooded one to the north is Rhaenys's, and the one by the water Visenya's. And the town needs no maester to name it. Men simply say they are going to the king's landing.\n\nBalerion suns himself on the slope below the wall, which does more for the fort's defenses than every log in it.\n\nIt is well he does. Word comes at dusk that the Darklyns of Duskendale and the Mootons of Maidenpool have called their banners and joined their strength. They mean to come and burn my woodpile.\n\n#bold They are welcome to try. Every king must have a seat, and mine will outgrow the both of theirs.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,74,fab_ac_landing.0015.option1,This will do. For a start.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,76,fab_ac_landing.0016,Three Thousand Swords,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,77,fab_ac_landing.0016.desc,"My outriders have counted them on the road out of Duskendale: three thousand men, with carts, camp followers and levies strung out behind. They march openly and they march slowly, which tells me they expect a battle at the end of it and not a hunt.\n\nI can put fewer than sixteen hundred in the field, and half of those are narrow sea men who fight better from a deck than a ditch.\n\nNeither lord has ever seen a dragon. Their whole plan rests on that, and they do not know it.\n\n#bold They have until the ditch to think better of this.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,78,fab_ac_landing.0016.option1,Three thousand men. I have three dragons.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,80,fab_ac_landing.0017,The Aegonfort Stands to Arms,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,81,fab_ac_landing.0017.desc,"The ditch is dug, the palisade is up, and my sisters do not agree.\n\nVisenya would have us stand behind the timber and make them come to it: men who charge a palisade break on it, she says, and dragons can take them while they are breaking. Rhaenys would rather we rode out and met them on ground I choose, where they will have room to run and nowhere worth running to.\n\n#bold Both counsels end the same way. The difference is only where I stand while it happens.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,82,fab_ac_landing.0017.option1,We hold the palisade. They can come to us.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,83,fab_ac_landing.0017.option2,Ride out. I will choose the ground.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,85,fab_ac_landing.0018,Fire on the Rosby Road,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,86,fab_ac_landing.0018.desc,"They came on at the palisade in good order, and they were still in good order when the sky opened.\n\nVhagar and Meraxes came out of the sun on either flank. What had been an army was fire and screaming before a man could finish a prayer, and the ditch we dug caught most of those who ran the wrong way.\n\nLord Darklyn and Lord Mooton burned with their men. Of the host that marched out of Duskendale, the road will not carry a tenth of it home.\n\n#bold The first army raised against me in Westeros is ash. Every hall between here and the Trident will hear of it within the week.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,87,fab_ac_landing.0018.desc.sally,"I would not fight my first battle in Westeros from behind a ditch. I rode out and took the ground I wanted, with the road at their backs and nothing at all on their flanks.\n\nThen the sky opened. Vhagar and Meraxes came out of the sun on either side of them, and what had been an army was fire and screaming before a man could finish a prayer. My own line never had to hold longer than a moment.\n\nLord Darklyn and Lord Mooton burned with their men. Of the host that marched out of Duskendale, the road will not carry a tenth of it home.\n\n#bold The first army raised against me in Westeros is ash, and I stood on the field to watch it burn.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,88,fab_ac_landing.0018.option1,The first of many.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,90,fab_ac_landing.0019,The Heirs Kneel,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,91,fab_ac_landing.0019.desc,"They came to the Aegonfort before their dead were buried. Duskendale rode in at first light under a peace banner, Maidenpool followed within the hour, and neither asked for terms.\n\nThey knelt in the mud outside a half-built hall, gave up their castles, and asked one thing: their names and their lands. I granted it. Visenya already has men counting what sits in the Duskendale warehouses - it is the busiest port on the narrow sea, and tonight it is mine.\n\n#bold Their fathers would not kneel, so their heirs do. Westeros should see both halves of that.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,92,fab_ac_landing.0019.option1,Rise. You keep your names and your lands.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,94,fab_ac_landing.0021,The First Trial,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,95,fab_ac_landing.0021.desc,"Word of our landing ran up the coast faster than our outriders. Lord Darklyn of Duskendale and Lord Mooton of Maidenpool joined their strength - three thousand men, by the count of our scouts - and marched south to drive us back into the sea that brought us. It was the first true test of this conquest, and it lasted less than a morning.\n\nOrys met them with our vanguard and broke their line; Rhaenys came down upon their rear on Meraxes, and what had been a host became a rout. Both lords lie among the slain. Darklyn's son and Mooton's brother knelt to me on the field, amid their own dead, and did homage for their fathers' halls - and they shall keep them. All Westeros will mark it: those who bend the knee will find me open-handed. Those who take up swords against me will find I keep the swords.\n\nFor I have ordered the blades of the fallen gathered, every one, and carried up the high hill to the Aegonfort. I have a purpose for them - and it will want many more swords yet before it is done.\n\n#bold The ground about our landing is secure. Westeros has tested us, and been answered.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,96,fab_ac_landing.0021.option1,Gather up their swords.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,98,fab_ac_landing.0022,A Circlet of Valyrian Steel,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,99,fab_ac_landing.0022.desc,"My sisters would wait no longer. A conqueror who names himself king of all Westeros, Visenya said, ought to look the part before the lords he means to rule - and there are lords enough to witness it now, new-sworn and watching to see what manner of man holds their oaths.\n\nSo it was done - though no grand affair: a bare handful of lords stood witness in the timber hall, the new-sworn shore lords and my own captains, with the banners of Darklyn and Mooton hung fresh among my own. Before them I knelt to my elder sister, as our forebears knelt in the shadow of the Fourteen Flames. Visenya set upon my brow a circlet of Valyrian steel, studded with great square-cut rubies - no southron bauble of gold and velvet, but steel, dark and keen as the work of Old Valyria. It is the only crown I mean to wear.\n\nThen Rhaenys' voice rang out over the ranks, and the words she gave them shall be the style of every king of my line that follows after:\n\n#bold Aegon, First of His Name, King of All Westeros, and Shield of His People.#!\n\nThe little company took up the cry - a few dozen voices where one day there will be thousands - and somewhere above the clouds, the dragons answered louder than any host could.\n\n#bold Seven kingdoms do not yet know they have a king. They will learn.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,100,fab_ac_landing.0022.option1, #S King of All Westeros. #!,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,102,fab_ac_landing.0023,The Hand of the King,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,103,fab_ac_landing.0023.desc,"A crown is a weight, and a king who bears every weight alone will break beneath them. The lords about me understood this before I had worn mine a day - suddenly there was no shortage of counsel at the Aegonfort, nor of counsellors hungry to be seen giving it.\n\nThere was never a question of whom I would raise first. Orys has been at my side since we were boys in the yard at Dragonstone, matching blunted swords before either of us could grow a beard. The court whispers that he is my brother, base-born of my father's blood; I have never dignified the whisper with an answer, and never once denied it. It was Orys who broke the lords Darklyn and Mooton on the field that won us our landing. Where the fighting is thickest, there he is; where I am weakest, there he is also.\n\nSo before the assembled court I bade him kneel, and named him the first Hand of the King - and the realm would do well to mark the words I gave him, for I meant every one:\n\n#bold My shield, my stalwart, my strong right hand.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,104,fab_ac_landing.0023.option1,"Rise, my Lord Hand.",True,True
EN,localization/english/ac/fab_ac_02_riverlands_l_english.yml,2,fab_ac_riverlands.0001,North or South,True,True
