key,en_file,en_line,ru_file,ru_line,english,russian,en_only_queries,ru_only_queries,en_only_refs,ru_only_refs
bookmark_sotd_jaehaerys_desc,localization/english/sotd/agot_sotd_bookmark_l_english.yml,6,localization/russian/agot_sotd_l_russian.yml,7,"[Concept( 'story_content_fab_jaehaerys', '$bm_story_content_available_icon|q$' )|E] [Concept( 'story_content_fab_jaehaerys', '$bm_story_content_available_copy|q$' )|E]\nJaehaerys Targaryen is but four-and-ten, yet the Iron Throne is his. His uncle Maegor's cruelty has left the realm bleeding - the Faith Militant in arms, the lords wavering, the smallfolk starving. A boy king beneath the shadow of a regency must find a way to bind the wounds of a broken kingdom.\n\n#bold Can Jaehaerys grow into the greatest king the Seven Kingdoms will ever know? #!","Джейхейрису Таргариену всего четырнадцать, но Железный Трон его. Жестокость его дяди Мейгора оставила королевство истекающим кровью — Верные Семерым в оружии, лорды колеблются, простолюдины голодают. Король-мальчик под тенью регентства должен найти способ залечить раны разбитого королевства.\n\n#bold Сможет ли Джейхейрис вырасти в величайшего короля, которого когда-либо знало Семикоролевство?#!","[""[Concept( 'story_content_fab_jaehaerys', '$bm_story_content_available_icon|q$' )|E]"", ""[Concept( 'story_content_fab_jaehaerys', '$bm_story_content_available_copy|q$' )|E]""]",[],"[""bm_story_content_available_icon|q"", ""bm_story_content_available_copy|q""]",[]
bookmark_sotd_rogar_baratheon_desc,localization/english/sotd/agot_sotd_bookmark_l_english.yml,16,localization/russian/agot_sotd_l_russian.yml,17,"[Concept( 'story_content_fab_rogar', '$bm_story_content_available_icon|q$' )|E] [Concept( 'story_content_fab_rogar', '$bm_story_content_available_copy|q$' )|E]\nRogar Baratheon, Lord of Storm's End, is the strong right hand of the young king's regency - Lord Protector of the Realm and Hand of the King, and soon to wed the Dowager Queen herself. An ambitious man now stands closer to the throne than any Baratheon since Orys.\n\n#bold Will Lord Rogar guide the boy king faithfully, or reach for a crown of his own? #!","Рогар Баратеон, лорд Штормового Предела, — крепкая правая рука регентства юного короля — Лорд-Протектор Королевства и Десница Короля, и вскоре он женится на самой королеве-вдове. Амбициозный человек теперь стоит ближе к трону, чем любой Баратеон со времён Ориса.\n\n#bold Будет ли лорд Рогар верно направлять короля-мальчика или протянет руку к собственной короне?#!","[""[Concept( 'story_content_fab_rogar', '$bm_story_content_available_icon|q$' )|E]"", ""[Concept( 'story_content_fab_rogar', '$bm_story_content_available_copy|q$' )|E]""]",[],"[""bm_story_content_available_icon|q"", ""bm_story_content_available_copy|q""]",[]
sotd_soulmate_reason,localization/english/sotd/agot_sotd_jaehaerys_l_english.yml,133,localization/russian/agot_sotd_marriage_l_russian.yml,51,"[Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'You have', 'They have')] belonged to one another since [Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'you were', 'they were')] two silver-haired children trading secrets in the dark of the [GetTitleByKey('b_the_red_keep').GetNameNoTier]. Wed once in a stolen midnight flight to [GetTitleByKey('c_dragonstone').GetNameNoTier], and once more before all the realm, [CHARACTER.GetShortUIName] and [TARGET_CHARACTER.GetShortUIName] are far more than husband and wife - [Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'you are', 'they are')] the dearest of friends and two halves of a single beating heart. Where one dreams, the other dreams beside them; and not the gods, nor the Seven, nor all the wide world shall ever put them asunder.","[Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'Вы были', 'Они были')] предназначены друг для друга с тех пор, как [Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'вы были', 'они были')] двумя серебряноволосыми детьми, обменивающимися тайнами в [GetTitleByKey('b_the_red_keep').GetNameNoTier]. Обвенчанные тайно на [GetTitleByKey('c_dragonstone').GetNameNoTier], а затем перед всем королевством, [CHARACTER.GetShortUIName] и [TARGET_CHARACTER.GetShortUIName] — больше чем муж и жена: [Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'вы', 'они')] самые близкие друзья и две половины одного сердца. Где один мечтает, другой мечтает рядом; ни боги, ни люди не разлучат их.","[""[Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'You have', 'They have')]"", ""[Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'you were', 'they were')]"", ""[Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'you are', 'they are')]""]","[""[Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'Вы были', 'Они были')]"", ""[Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'вы были', 'они были')]"", ""[Select_CString(Or(CHARACTER.IsLocalPlayer, TARGET_CHARACTER.IsLocalPlayer), 'вы', 'они')]""]",[],[]
sotd_lifeline.0002.desc,localization/english/sotd/agot_sotd_lifeline_l_english.yml,3,localization/russian/agot_sotd_lifeline_l_russian.yml,3,"I receive word from Storm's End that stills the court: the Queen Dowager, my mother Alyssa, is with child again at six-and-forty. [storm_lord.GetTitledFirstName] boasts of the child, while the maesters write far more carefully. Her last confinement nearly killed her, and she has never been strong since.\n\nMy mother writes that she is content and that the gods will do as they will. That is what frightens me most.\n\n#bold When her time comes, I will ride for Storm's End.#!","Вести приходят из Штормового Предела и заставляют двор замереть: королева-вдова, моя мать Алисса, снова беременна — в сорок шесть лет. Лорд Рогар расхаживает по своему залу, словно завоевал Дорну, хвастаясь сыном, которого наконец зачал.\n\nМейстеры не расхаживают. Великий мейстер Бенифер говорит осторожно, как говорят мейстеры, когда вести плохи: женщине её лет не место на родильном ложе, говорит он. Её последние роды чуть не убили её, и она никогда не была сильна с тех пор. Собственный мейстер Штормового Предела Кири пишет то же самое, более мягкими словами.\n\nМоя мать со своей стороны пишет, что она довольна и что боги сделают, как им будет угодно. Это то, что пугает меня больше всего.\n\n#bold Боги сделают, как им будет угодно. Когда придёт её час, мы поскачем в Штормовой Предел.#!","[""[storm_lord.GetTitledFirstName]""]",[],[],[]
sotd_lifeline.0003.desc,localization/english/sotd/agot_sotd_lifeline_l_english.yml,8,localization/russian/agot_sotd_lifeline_l_russian.yml,7,"I came too late for anything but grief. When Alysanne and I arrived at Storm's End, we found [storm_lord.GetTitledFirstName] drunk in the hall and unable to face my mother's bedchamber. The maester told us plainly that she was dying, though the child might be saved if he cut the babe from her.\n\nI forced the lord into the room and made him speak the choice that was his. Alysanne never left Mother's side. Some swear my mother woke and consented; others swear she never woke at all. I know only that she died giving birth to a daughter, Jocelyn.\n\n#bold The storm has taken the gentlest soul it ever held.#!","Мы прибыли слишком поздно для чего-либо, кроме горя. Когда мы с Алисанной прибыли в Штормовой Предел, чтобы быть рядом с моей матерью, мы нашли лорда Рогара пьяным в своём зале, не желающим входить в спальню собственной жены. Внутри только сладкое снотворное давало ей передышку от боли. Мейстер Кири сказал нам прямо: королева-вдова умирает, и он больше не мог спасти её — но есть шанс, сказал он, спасти ребёнка, хотя для этого ему придётся вскрыть ей живот.\n\nЯ взял лорда Рогара за руку и силой ввёл его в ту комнату и дал ему выбор, который принадлежал ему. Он не мог смотреть на неё. Он остался ровно настолько, чтобы произнести слова — #italic «спаси моего ребёнка»#! — и бежал.\n\nАлисанна не покидала её. Она держала мать за руку через всё это, пока мейстер Кири делал свою работу. Некоторые в замке клянутся, что моя мать проснулась, прежде чем нож коснулся её, и дала своё согласие; другие клянутся, что она так и не проснулась. Я не знаю, что из этого правда. Я знаю только, что, умирая, Алисса из дома Веларионов — жена короля, мать короля, королева-регентша Семи Королевств — родила дочь.\n\nРогар назвал её Джоселин.\n\n#bold Буря забрала самую нежную душу, которую когда-либо держала.#!","[""[storm_lord.GetTitledFirstName]""]",[],[],[]
sotd_lifeline.0003.desc.no_alysanne,localization/english/sotd/agot_sotd_lifeline_l_english.yml,9,localization/russian/agot_sotd_lifeline_l_russian.yml,8,"I came too late for anything but grief. At Storm's End I found [storm_lord.GetTitledFirstName] drunk in the hall and unable to face my mother's bedchamber. The maester told me plainly that she was dying, though the child might be saved if he cut the babe from her.\n\nI forced the lord into the room and made him speak the choice that was his. Some swear my mother woke and consented; others swear she never woke at all. I know only that she died giving birth to a daughter, Jocelyn.\n\n#bold The storm has taken the gentlest soul it ever held.#!","Мы прибыли слишком поздно для чего-либо, кроме горя. Когда я прибыл в Штормовой Предел, чтобы быть рядом с моей матерью, я нашёл лорда Рогара пьяным в своём зале, не желающим входить в спальню собственной жены. Внутри только сладкое снотворное давало ей передышку от боли. Мейстер Кири сказал мне прямо: королева-вдова умирает, и он больше не мог спасти её — но есть шанс, сказал он, спасти ребёнка, хотя для этого ему придётся вскрыть ей живот.\n\nЯ взял лорда Рогара за руку и силой ввёл его в ту комнату и дал ему выбор, который принадлежал ему. Он не мог смотреть на неё. Он остался ровно настолько, чтобы произнести слова — #italic «спаси моего ребёнка»#! — и бежал.\n\nНекоторые в замке клянутся, что моя мать проснулась, прежде чем нож коснулся её, и дала своё согласие; другие клянутся, что она так и не проснулась. Я не знаю, что из этого правда. Я знаю только, что, умирая, Алисса из дома Веларионов — жена короля, мать короля, королева-регентша Семи Королевств — родила дочь.\n\nРогар назвал её Джоселин.\n\n#bold Буря забрала самую нежную душу, которую когда-либо держала.#!","[""[storm_lord.GetTitledFirstName]""]",[],[],[]
nick_sotd_the_cruel_desc,localization/english/sotd/agot_sotd_nicknames_l_english.yml,12,localization/russian/agot_sotd_nicknames_l_russian.yml,12,"[CHARACTER.GetShortUINameNoTooltipNoFormat] loosed dragonfire upon the Starry Sept, the holiest house of the Seven, and burned the High Septon alive within it. Like [CharYourHerHis(CHARACTER)] uncle Maegor before [CharYouHerHim(CHARACTER)], the realm shall remember [CharYouHerHim(CHARACTER)] as 'the Cruel.'","[CHARACTER.GetShortUINameNoTooltipNoFormat] обрушил драконье пламя на Звёздную Септу, святейший дом Семерых, и сжёг Верховного Септона живьём внутри. Как и его дядя Мейгор до него, королевство будет помнить [CharYouHerHim(CHARACTER)] как «Жестокого».","[""[CharYourHerHis(CHARACTER)]"", ""[CharYouHerHim(CHARACTER)]""]",[],[],[]
fab_shivers.0130.desc,localization/english/sotd/agot_sotd_shivers_l_english.yml,79,localization/russian/agot_sotd_shivers_l_russian.yml,46,"They carry [daenerys_dragon.GetName] into the chamber beneath a cloak of heavy chains, though the hatchling has eyes only for Daenerys. The instant it sees her, it wrenches free, scrambles across the coverlets, and presses itself against her breast.\n\nSmoke curls from between its teeth. Heat gathers beneath its scales until the furs steam and the maesters draw back in fear. Daenerys ceases to shake. Her little hand closes about one warm horn, and [daenerys_dragon.GetName] folds its wings around her as though it would shield her from winter itself.\n\nAt dawn her lips are red once more. Before midday she wakes and whispers her dragon's name. No egg was needed, for the fire had chosen her long before the cold came.\n\n#bold The bond between dragon and rider has reached where all the wisdom of men could not. #!","[daenerys_dragon.GetName] вносят в комнату под цепями. Увидев Дейенерис, он вырывается, взбирается на постель и прижимается к её груди. Тепло собирается под его чешуёй, мейстеры отступают в страхе.\n\nНа рассвете её губы красны. К полудню она просыпается и шепчет имя дракона. Яйцо не понадобилось — огонь выбрал её задолго до холода. Связь оказалась сильнее мудрости людей.","[""[daenerys_dragon.GetName]""]",[],[],[]
ERA_SEL_SGI,localization/replace/english/fab_ages_l_english.yml,2,localization/replace/russian/fab_ages_l_russian.yml,4,"[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'A.D. ', 'C.A. ' ) )]","[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'З.Э. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'Р.В. ', 'Д.Р. ' ) )]","[""[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'A.D. ', 'C.A. ' ) )]""]","[""[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'З.Э. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'Р.В. ', 'Д.Р. ' ) )]""]",[],[]
ERA_SEL_SR,localization/replace/english/fab_ages_l_english.yml,3,localization/replace/russian/fab_ages_l_russian.yml,5,"[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'A.D. ', 'C.A. ' ) )]","[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'З.Э. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'Р.В. ', 'Д.Р. ' ) )]","[""[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'A.D. ', 'C.A. ' ) )]""]","[""[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'З.Э. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'Р.В. ', 'Д.Р. ' ) )]""]",[],[]
ERA_SEL_BSD,localization/replace/english/fab_ages_l_english.yml,4,localization/replace/russian/fab_ages_l_russian.yml,6,"[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)7898' ), 'A.D. ', 'C.A. ' ) )]","[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)8000' ), 'З.Э. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)7898' ), 'Р.В. ', 'Д.Р. ' ) )]","[""[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)7898' ), 'A.D. ', 'C.A. ' ) )]""]","[""[Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)8000' ), 'З.Э. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)7898' ), 'Р.В. ', 'Д.Р. ' ) )]""]",[],[]
