category,log_line,owner,issue,original_owner,message,status,reason
scripts,1356,AGOT Bookmarked,bookmarked-april-scenario,AGOT Bookmarked,"Error: ""Unknown effect: agot_8299_4_1_acok_scenario_setup, near line: 89"" in file: ""common/scripted_effects/00_agot_scenario_setup_effects.txt"" near line: 90",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1357,AGOT Submod Core,core-house-scope,AGOT Submod Core,Failed to find a valid event target link 'house_Blackfyre' at file: common/scripted_triggers/tgc_loaded_trigger.txt line: 127 (tgc_blackfyre_equipment_trigger),exception,Интеграция TGC сохранена целиком по указанию пользователя; известная опечатка в неактивной ветви также оставлена.
scripts,1512,Divine Intervention + AGOT compatibility,di-varangian,Divine Intervention Cheat Menu,Failed to find 'varangian' from database for link 'trait' at file: common/scripted_effects/DI_char_spawner_effects.txt line: 1232 (DI_akolouthos_traits_effect),exception,Исходный Divine Intervention для ванили не исправляется по указанию пользователя.
scripts,1513,COW-AGOT,cow-missing-event,,'agot_cities.5000' does not have a valid namespace,deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены."
scripts,1514,COW-AGOT,cow-missing-event,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1827 (planky_town_special:on_complete)",deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены."
scripts,1518,COW-AGOT,cow-missing-event,,'agot_cities.5000' does not have a valid namespace,deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены."
scripts,1519,COW-AGOT,cow-missing-event,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1993 (agot_castamere_03:on_complete)",deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены."
scripts,1523,COW-AGOT,cow-missing-event,,'agot_cities.5000' does not have a valid namespace,deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены."
scripts,1524,COW-AGOT,cow-missing-event,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 2295 (24castamere_03:on_complete)",deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены."
scripts,1528,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1532,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1536,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#141906969])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1540,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#141906969])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1544,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 604 (agot_create_artifact_vs_pincer_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1548,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 630 (agot_create_artifact_vs_pincer_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1552,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 455 (agot_create_artifact_vs_seafoam_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1556,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 475 (agot_create_artifact_vs_seafoam_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1560,Legacy of the Dragon,lotd-scheme-bonus,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid static modifier 'artifact_personal_scheme_power_add_5_modifier' ]
  Script location: file: common/scripted_effects/00_lotd_artifact_creation_effects.txt line: 8 (create_artifact_subterfuge_effect[args#141906969])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1564,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1568,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1572,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 604 (agot_create_artifact_vs_pincer_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1576,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 630 (agot_create_artifact_vs_pincer_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1580,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 455 (agot_create_artifact_vs_seafoam_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1584,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 475 (agot_create_artifact_vs_seafoam_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1588,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 455 (agot_create_artifact_vs_seafoam_effect[args#2425720076])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1592,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 475 (agot_create_artifact_vs_seafoam_effect[args#2425720076])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1596,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 604 (agot_create_artifact_vs_pincer_effect[args#2425720076])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1600,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 630 (agot_create_artifact_vs_pincer_effect[args#2425720076])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1604,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#2425720076])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1608,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#2425720076])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1612,Divine Intervention + AGOT compatibility,di-lhazar-language,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: set_culture_pillar effect [ Invalid database object 'language_agot_lhazaar' ]
  Script location: file: common/scripted_guis/DI_cultural_editor_pillars_sgui.txt line: 620 (DI_language_agot_lhazaar_sgui:effect)",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1616,Divine Intervention + AGOT compatibility,di-lhazar-language,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'set_culture_pillar' returned false at file: common/scripted_guis/DI_cultural_editor_pillars_sgui.txt line: 620 (DI_language_agot_lhazaar_sgui:effect),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1617,Divine Intervention + AGOT compatibility,di-succession-innovation,Divine Intervention Cheat Menu,"Script system error!
  Error: add_innovation effect [ target: Not found in database class CCultureInnovationTypeDatabase ]
  Script location: file: common/character_interactions/DI_character_interaction.txt line: 4616 (DI_change_succession:on_accept)",exception,Исходный Divine Intervention для ванили не исправляется по указанию пользователя.
scripts,1621,Divine Intervention + AGOT compatibility,di-succession-innovation,Divine Intervention Cheat Menu,PostValidate of effect 'add_innovation' returned false at file: common/character_interactions/DI_character_interaction.txt line: 4616 (DI_change_succession:on_accept),exception,Исходный Divine Intervention для ванили не исправляется по указанию пользователя.
scripts,1622,Divine Intervention + AGOT compatibility,di-succession-innovation,Divine Intervention Cheat Menu,"Script system error!
  Error: add_innovation effect [ target: Not found in database class CCultureInnovationTypeDatabase ]
  Script location: file: common/character_interactions/DI_character_interaction.txt line: 4631 (DI_change_succession:on_accept)",exception,Исходный Divine Intervention для ванили не исправляется по указанию пользователя.
scripts,1626,Divine Intervention + AGOT compatibility,di-succession-innovation,Divine Intervention Cheat Menu,PostValidate of effect 'add_innovation' returned false at file: common/character_interactions/DI_character_interaction.txt line: 4631 (DI_change_succession:on_accept),exception,Исходный Divine Intervention для ванили не исправляется по указанию пользователя.
scripts,1627,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: add_building effect [ Invalid database object 'common_trade_03' ]
  Script location: file: common/on_action/cowagot_province_on_actions.txt line: 174 (set_provinces_on_actions)",expected_fixed,Исправлены подтверждённые ID порта/Медвежьего острова и старое бессильное удаление ironwood_01.
scripts,1631,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,PostValidate of effect 'add_building' returned false at file: common/on_action/cowagot_province_on_actions.txt line: 174 (set_provinces_on_actions),expected_fixed,Исправлены подтверждённые ID порта/Медвежьего острова и старое бессильное удаление ironwood_01.
scripts,1632,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: remove_building effect [ Invalid database object 'ironwood_01' ]
  Script location: file: common/on_action/cowagot_province_on_actions.txt line: 214 (set_provinces_on_actions)",expected_fixed,Исправлены подтверждённые ID порта/Медвежьего острова и старое бессильное удаление ironwood_01.
scripts,1636,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,PostValidate of effect 'remove_building' returned false at file: common/on_action/cowagot_province_on_actions.txt line: 214 (set_provinces_on_actions),expected_fixed,Исправлены подтверждённые ID порта/Медвежьего острова и старое бессильное удаление ironwood_01.
scripts,1637,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: add_special_building_slot effect [ Invalid database object 'bearisland_01' ]
  Script location: file: common/on_action/cowagot_province_on_actions.txt line: 273 (set_provinces_on_actions)",expected_fixed,Исправлены подтверждённые ID порта/Медвежьего острова и старое бессильное удаление ironwood_01.
scripts,1641,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,PostValidate of effect 'add_special_building_slot' returned false at file: common/on_action/cowagot_province_on_actions.txt line: 273 (set_provinces_on_actions),expected_fixed,Исправлены подтверждённые ID порта/Медвежьего острова и старое бессильное удаление ironwood_01.
scripts,1642,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: add_special_building effect [ Invalid database object 'bearisland_01' ]
  Script location: file: common/on_action/cowagot_province_on_actions.txt line: 274 (set_provinces_on_actions)",expected_fixed,Исправлены подтверждённые ID порта/Медвежьего острова и старое бессильное удаление ironwood_01.
scripts,1646,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,PostValidate of effect 'add_special_building' returned false at file: common/on_action/cowagot_province_on_actions.txt line: 274 (set_provinces_on_actions),expected_fixed,Исправлены подтверждённые ID порта/Медвежьего острова и старое бессильное удаление ironwood_01.
scripts,1647,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: add_special_building_slot effect [ Invalid database object 'harlaw_mines_01' ]
  Script location: file: common/on_action/cowagot_province_on_actions.txt line: 335 (harlaw_building_check_on_actions)",deferred,Неизвестный преемник шахт Харлоу; исходная ветвь сохранена.
scripts,1651,COW-AGOT,cow-building-ids,COW-AGOT: 3D Models & Bigger Castles,PostValidate of effect 'add_special_building_slot' returned false at file: common/on_action/cowagot_province_on_actions.txt line: 335 (harlaw_building_check_on_actions),deferred,Неизвестный преемник шахт Харлоу; исходная ветвь сохранена.
scripts,1652,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: learn_language effect [ Invalid database object 'language_arabic' ]
  Script location: file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 14 (DI_court_position_post_spawn_effect[args#2101251318])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1656,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'learn_language' returned false at file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 14 (DI_court_position_post_spawn_effect[args#2101251318]),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1657,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: learn_language effect [ Invalid database object 'language_greek' ]
  Script location: file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 15 (DI_court_position_post_spawn_effect[args#2101251318])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1661,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'learn_language' returned false at file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 15 (DI_court_position_post_spawn_effect[args#2101251318]),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1662,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: learn_language effect [ Invalid database object 'language_latin' ]
  Script location: file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 16 (DI_court_position_post_spawn_effect[args#2101251318])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1666,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'learn_language' returned false at file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 16 (DI_court_position_post_spawn_effect[args#2101251318]),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1667,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: learn_language effect [ Invalid database object 'language_norse' ]
  Script location: file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 17 (DI_court_position_post_spawn_effect[args#2101251318])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1671,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'learn_language' returned false at file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 17 (DI_court_position_post_spawn_effect[args#2101251318]),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1672,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: learn_language effect [ Invalid database object 'language_arabic' ]
  Script location: file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 26 (DI_court_position_post_spawn_effect[args#2101251318])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1676,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'learn_language' returned false at file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 26 (DI_court_position_post_spawn_effect[args#2101251318]),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1677,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: learn_language effect [ Invalid database object 'language_greek' ]
  Script location: file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 27 (DI_court_position_post_spawn_effect[args#2101251318])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1681,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'learn_language' returned false at file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 27 (DI_court_position_post_spawn_effect[args#2101251318]),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1682,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: learn_language effect [ Invalid database object 'language_latin' ]
  Script location: file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 28 (DI_court_position_post_spawn_effect[args#2101251318])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1686,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'learn_language' returned false at file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 28 (DI_court_position_post_spawn_effect[args#2101251318]),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1687,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: learn_language effect [ Invalid database object 'language_norse' ]
  Script location: file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 29 (DI_court_position_post_spawn_effect[args#2101251318])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1691,Divine Intervention + AGOT compatibility,di-polyglot,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'learn_language' returned false at file: common/scripted_effects/DI_court_position_spawner_overrides.txt line: 29 (DI_court_position_post_spawn_effect[args#2101251318]),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1692,Divine Intervention + AGOT compatibility,di-personalities,Divine Intervention AGOT Cheat Menu,"Script system error!
  Error: add_trait effect [ target: Not found in database class CTraitDatabase ]
  Script location: file: common/scripted_effects/DI_present_effects.txt line: 20 (DI_personality_trait_randomizer_effect)",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1696,Divine Intervention + AGOT compatibility,di-personalities,Divine Intervention AGOT Cheat Menu,PostValidate of effect 'add_trait' returned false at file: common/scripted_effects/DI_present_effects.txt line: 20 (DI_personality_trait_randomizer_effect),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
