"Catalog","File","Line","Key","Text"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","847","building_agot_dunstonbury_01","Старый замок"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","848","building_agot_dunstonbury_01_desc","Данстонбери, древний родовой замок дома Мандерли, по праву возвращён под власть Водяного. Хотя дом Мандерли построил Новый замок на Севере в память о нём, Старый замок вновь стоит как символ этого дома."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1113","building_type_agot_blackhaven_01","Чёрный Приют"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1114","building_type_agot_blackhaven_01_desc","Одна из древних крепостей марочных лордов, Чёрный Приют, долгое время сдерживала дорнийцев и их налётчиков."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1115","building_agot_blackhaven_01","Бездонный Ров"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1116","building_agot_blackhaven_01_desc","Чёрный Приют издавна был одним из опорных пунктов марочных лордов, хорошо защищённым своим огромным Бездонным Рвом, хранящим несметное количество останков дорнийских налётчиков. Считается, что именно в это место ударила молния, спасшая основателя дома Дондаррион."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1603","building_type_agot_lonely_light_01","Одинокий Свет"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1604","building_type_agot_lonely_light_01_desc","Самый дальний запад в известном мире, Одинокий Свет стоит как последний маяк перед тёмной неизвестностью Закатного моря. Хотя мейстеры и другие учёные мира считают, что оно круглое, ни один путешественник не совершал такого путешествия."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1605","building_agot_lonely_light_01","$building_type_agot_lonely_light_01$"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1606","building_agot_lonely_light_01_desc","$building_type_agot_lonely_light_01_desc$"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_ruins_l_russian.yml","114","reconstruct_small_ruin_tooltip","У вас должно быть не менее [Select_CString(GetPlayer.HasTreasury, '@treasury_icon!', '@gold_icon!')]#high 200#! и вы должны граничить с руинами, либо быть де-юре сюзереном руин, чтобы начать реконструкцию."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_ruins_l_russian.yml","115","reconstruct_med_ruin_tooltip","У вас должно быть не менее [Select_CString(GetPlayer.HasTreasury, '@treasury_icon!', '@gold_icon!')]#high 400#! и вы должны граничить с руинами, либо быть де-юре сюзереном руин, чтобы начать реконструкцию."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_ruins_l_russian.yml","116","reconstruct_large_ruin_tooltip","У вас должно быть не менее [Select_CString(GetPlayer.HasTreasury, '@treasury_icon!', '@gold_icon!')]#high 600#! и вы должны граничить с руинами, либо быть де-юре сюзереном руин, чтобы начать реконструкцию."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_ruins_l_russian.yml","117","reconstruct_special_ruin_tooltip","У вас должно быть не менее [Select_CString(GetPlayer.HasTreasury, '@treasury_icon!', '@gold_icon!')]#high 1000#! и вы должны граничить с руинами, либо быть де-юре сюзереном руин, чтобы начать реконструкцию."
